N	2gram	Vinokur_St	KFilosof
396	освободиться от	1	1
397	которых он	2	1
398	из всех	1	1
399	впрочем в	2	1
400	или с	2	1
401	этой мысли	2	1
402	не своей	1	1
403	для всего	1	1
404	относятся к	3	1
405	него самого	2	1
406	хотя и	4	1
407	содержит в	1	1
408	ни на	3	1
409	или нет	1	1
410	и из	1	1
411	героиня и	1	1
412	это утверждение	1	1
413	ценности с	1	1
414	как раз	10	1
415	действие и	1	1
416	причем все	2	1
417	оказался в	1	1
418	ее в	2	1
419	а затем	1	1
420	и говорить	1	1
421	и тут	1	1
422	зрения той	1	1
423	поэтому в	4	1
424	и рядом	1	1
425	видеть в	1	1
426	можно сказать	2	1
427	имеет только	1	1
428	каждом случае	1	1
429	разницу в	1	1
430	науки но	1	1
431	только при	1	1
432	не являются	3	1
433	к выводу	1	1
434	с нашей	2	1
435	а есть	1	1
436	одно из	3	1
437	отделить от	1	1
438	притом не	1	1
439	в отношении	11	1
440	свет в	1	1
441	отсюда что	1	1
442	об определенном	1	1
443	работы здесь	1	1
444	нет это	2	1
445	это слово	6	1
446	его от	1	1
447	другого но	1	1
448	в результате	5	1
449	или иную	1	1
450	здесь в	1	1
451	этот термин	1	1
452	смысле этого	2	1
453	им с	1	1
454	нет никакого	3	1
455	бы что	3	1
456	это очень	5	1
457	с собой	1	1
458	и всякого	1	1
459	воспоминания и	1	1
460	в третьем	1	1
461	основана на	2	1
462	научного и	1	1
463	зрения его	1	1
464	есть еще	1	1
465	самого и	2	1
466	не была	2	1
467	связь с	1	1
468	чем в	3	1
469	их не	1	1
470	него в	1	1
471	первая часть	1	1
472	в зависимости	2	1
473	не вытекает	1	1
474	неотделим от	1	1
475	бы только	2	1
476	и даже	8	1
477	к его	2	1
478	что ему	2	1
479	в духе	2	1
480	вместо того	1	1
481	но он	5	1
482	образом в	1	1
483	конечно и	5	1
484	отличаются от	1	1
485	в которой	13	1
486	или в	1	1
487	следующие строки	1	1
488	в первом	2	1
489	а за	1	1
490	взято из	2	1
491	имеет для	1	1
492	и с	6	1
493	от своего	2	1
494	ни о	1	1
495	с ней	1	1
496	и можно	2	1
497	жизнь в	1	1
498	это положение	2	1
499	показать что	1	1
500	что форма	1	1
501	с исчерпывающей	2	1
502	мысль о	2	1
503	сделать в	1	1
504	и кажется	1	1
505	с целью	1	1
506	даже более	1	1
507	к каждой	1	1
508	форму и	1	1
509	эстетики и	1	1
510	значения как	2	1
511	всем что	1	1
512	существует все	1	1
513	никогда и	1	1
514	мною как	1	1
515	уже тем	1	1
516	а то	3	1
517	всю жизнь	1	1
518	превращается в	2	1
519	за свою	3	1
520	совершенно правильно	1	1
521	же будет	1	1
522	если он	1	1
523	исходить из	1	1
524	между прочим	10	1
525	более что	2	1
526	это какой-то	1	1
527	ссылки на	1	1
528	тем же	3	1
529	то все	1	1
530	постоянно так	1	1
531	в какой	4	1
532	какого-нибудь произведения	1	1
533	это дело	3	1
534	как о	2	1
535	как не	1	1
536	их в	2	1
537	ведь и	3	1
538	если и	1	1
539	и также	1	1
540	но нельзя	1	1
541	вследствие того	1	1
542	а именно	3	1
543	второй половине	1	1
544	здесь дело	2	1
545	в принципиальном	1	1
546	которые могут	1	1
547	одновременно и	1	1
548	и так	3	1
549	вместе с	5	1
550	ли отсюда	1	1
551	на этом	1	1
552	при таком	2	1
553	в этих	5	1
554	никто не	4	1
555	но между	1	1
556	есть только	2	1
557	не знать	1	1
558	они не	2	1
559	правда не	1	1
560	на все	2	1
561	ценность как	1	1
562	только себя	1	1
563	уже давно	1	1
564	тем или	3	1
565	вокруг этой	1	1
566	отличается от	2	1
567	между собой	1	1
568	больше и	1	1
569	который не	3	1
570	в иной	1	1
571	котором говорит	1	1
572	нужно еще	1	1
573	между ними	1	1
574	зависимости от	2	1
575	том смысле	4	1
576	но уже	1	1
577	на его	2	1
578	в известном	3	1
579	литературе о	1	1
580	эта последняя	1	1
581	он жив	1	1
582	точек зрения	1	1
583	на границе	1	1
584	а только	1	1
585	бы совершенно	1	1
586	об этом	9	1
587	она исходит	1	1
588	в эту	3	1
589	культуры в	3	1
590	и таким	1	1
591	но к	2	1
592	за его	1	1
593	к тому	9	1
594	в одной	3	1
595	сих пор	12	1
596	особенно в	2	1
597	мысли в	1	1
598	действительности и	1	1
599	относиться к	1	1
600	и полностью	1	1
601	и всей	2	1
602	где оно	1	1
603	культурного творчества	1	1
604	бы ни	3	1
605	можно провести	1	1
606	центра и	1	1
607	не был	1	1
608	другом случае	1	1
609	я позволю	1	1
610	с этим	6	1
611	но оно	1	1
612	только одно	1	1
613	конечно все	1	1
614	бы оставить	1	1
615	что эти	1	1
616	сам же	1	1
617	должен был	5	1
618	во всяком	8	1
619	именно как	1	1
620	не сумел	3	1
621	том случае	1	1
622	нуждается в	2	1
623	вырастал в	1	1
624	мы можем	1	1
625	не является	5	1
626	одной в	1	1
627	не существует	4	1
628	но с	7	1
629	только к	2	1
630	если оно	1	1
631	а к	2	1
632	и такие	2	1
633	каких бы	2	1
634	что ей	2	1
635	что мы	5	1
636	значит что	3	1
637	на один	1	1
638	число таких	1	1
639	не имеют	2	1
640	отразить в	1	1
641	отношении я	1	1
642	в лучшем	1	1
643	более чем	3	1
644	что мне	1	1
645	всю свою	1	1
646	принципов и	2	1
647	совпадает с	3	1
648	но при	1	1
649	всяком случае	8	1
650	эти слова	1	1
651	нет даже	2	1
652	его не	3	1
653	не знаю	2	1
654	ни один	2	1
655	ему и	1	1
656	приводит и	1	1
657	все свои	1	1
658	так чтобы	1	1
659	также и	10	1
660	ту же	1	1
661	о возможности	1	1
662	но эти	2	1
663	как ученый	1	1
664	что первая	1	1
665	именно там	1	1
666	у меня	3	1
667	только так	1	1
668	является и	1	1
669	и другой	1	1
670	эта картина	1	1
671	просто не	1	1
672	ни была	2	1
673	по поводу	13	1
674	и имеет	1	1
675	и уже	3	1
676	когда он	1	1
677	чтобы я	1	1
678	на чем	2	1
679	и теперь	2	1
680	все дано	1	1
681	можно сделать	1	1
682	конечно это	2	1
683	но о	1	1
684	не могло	4	1
685	только на	1	1
686	действительная обязанность	1	1
687	должны быть	4	1
688	в истинности	2	1
689	в которую	2	1
690	он должен	2	1
691	таким путем	2	1
692	не с	1	1
693	все с	1	1
694	за собой	1	1
695	с него	1	1
696	пор не	1	1
697	связь между	1	1
698	отношений между	3	1
699	всего что	2	1
700	в форме	2	1
701	но только	2	1
702	и до	2	1
703	лежащий в	2	1
704	ту или	1	1
705	действительно есть	1	1
706	том кто	3	1
707	мире с	1	1
708	уже и	1	1
709	в истории	5	1
710	последних двух	1	1
711	не станет	1	1
712	по своей	2	1
713	лицо с	1	1
714	в каких	1	1
715	это может	1	1
716	над ним	1	1
717	себе в	2	1
718	до того	4	1
719	а во	3	1
720	связанных с	1	1
721	их и	2	1
722	еще на	1	1
723	другой и	1	1
724	бы по	1	1
725	не раз	2	1
726	когда мы	1	1
727	скорее наоборот	1	1
728	сомнения что	4	1
729	а тем	1	1
730	в данных	1	1
731	задний план	3	1
732	я в	1	1
733	этому слову	1	1
734	не становится	1	1
735	выражение для	1	1
736	его действительное	1	1
737	эта ошибка	1	1
738	что сколько	1	1
739	которого является	1	1
740	не подлежит	2	1
741	но внутри	1	1
742	что подобные	1	1
743	далеко от	2	1
744	являются лишь	1	1
745	к ней	1	1
746	известном смысле	1	1
747	не для	3	1
748	настоящее время	2	1
749	я с	3	1
750	с собою	1	1
751	содержанием и	1	1
752	является еще	2	1
753	и никогда	1	1
754	если мы	1	1
755	бы его	1	1
756	и во	3	1
757	той же	5	1
758	и др	1	1
759	все содержание	1	1
760	быть абсолютно	1	1
761	произведения не	1	1
762	одной из	4	1
763	ведь если	2	1
764	в нашем	1	1
765	нет этого	1	1
766	значительной степени	3	1
767	нашей точки	1	1
768	согласиться с	1	1
769	как я	1	1
770	в первой	12	1
771	и от	2	1
772	что все	3	1
773	столь же	5	1
774	том же	3	1
775	такие которые	1	1
776	говорить в	1	1
777	же в	1	1
778	это что	1	1
779	что она	5	1
780	в данной	2	1
781	исходит из	1	1
782	такой же	6	1
783	и о	4	1
784	в значительной	2	1
785	до ее	1	1
786	одна из	1	1
787	что именно	2	1
788	на то	5	1
789	себя до	1	1
790	выдержанного в	1	1
791	в конкретном	1	1
792	здесь и	1	1
793	от них	1	1
794	и по	6	1
795	чем та	1	1
796	были в	1	1
797	но такой	1	1
798	это в	4	1
799	и глубокая	2	1
800	месте в	1	1
801	к этим	1	1
802	от ответственности	1	1
803	вышел из	1	1
804	не мог	3	1
805	лучшем случае	1	1
806	в движении	1	1
807	того же	4	1
808	в каком-то	2	1
809	не просто	2	1
810	нет не	1	1
811	не случайно	1	1
812	но там	1	1
813	в настоящее	2	1
814	в один	1	1
815	в трагедии	13	1
816	нем может	1	1
817	не случайным	1	1
818	если это	3	1
819	позволю себе	1	1
820	в чисто	2	1
821	как мы	1	1
822	наше время	1	1
823	и иные	2	1
824	и формальных	1	1
825	не к	2	1
826	прочим и	1	1
827	а я	1	1
828	нет сомнения	2	1
829	могли быть	1	1
830	во второй	10	1
831	можно только	1	1
