N	2gram	Losev_Vesc	VrazhdaK
104	в своей	6	2
105	вместе с	4	2
106	так в	1	2
107	в это	2	2
108	не менее	11	2
109	и это	17	2
110	на первый	1	2
111	еще не	12	2
112	но как	3	2
113	а с	3	2
114	деталей и	1	2
115	это в	1	2
116	в свою	5	2
117	на основе	1	2
118	личность и	1	2
119	очень хорошо	2	2
120	в этой	4	2
121	в нашей	1	2
122	что к	1	2
123	при помощи	4	2
124	тогда как	3	2
125	а в	6	2
126	на это	5	2
127	и а	3	2
128	отношение к	4	2
129	в одну	2	2
130	уже не	15	2
131	из них	7	2
132	в себе	23	2
133	что я	26	2
134	с нею	19	2
135	не может	44	2
136	с которым	1	2
137	том же	1	2
138	точки зрения	10	2
139	тем более	3	2
140	одна из	6	2
141	он сам	2	2
142	в эти	1	2
143	отнюдь не	8	2
144	но это	14	2
145	не мог	3	2
146	в него	1	2
147	и ее	19	2
148	а н	1	2
149	никогда не	5	2
150	души и	1	1
151	возможно при	1	1
152	в особенности	3	1
153	тою же	1	1
154	в самом	13	1
155	во всем	2	1
156	то в	4	1
157	как к	5	1
158	связан с	1	1
159	именно к	1	1
160	так и	4	1
161	что они	12	1
162	этот материал	1	1
163	в свое	2	1
164	все что	3	1
165	для всех	1	1
166	до сих	1	1
167	один из	5	1
168	еще раз	1	1
169	можно говорить	2	1
170	и этот	2	1
171	важно как	1	1
172	ему в	1	1
173	этого в	1	1
174	из которых	3	1
175	ближе к	2	1
176	хочет быть	1	1
177	они не	1	1
178	ни с	8	1
179	только что	2	1
180	если в	1	1
181	также что	1	1
182	это будет	4	1
183	на три	2	1
184	к этой	1	1
185	и кончая	1	1
186	в основном	1	1
187	и уж	2	1
188	он отличается	2	1
189	которой не	1	1
190	за исключением	1	1
191	еще до	1	1
192	знали что	1	1
193	что уже	1	1
194	он как	1	1
195	или по	2	1
196	еще более	4	1
197	из всех	1	1
198	что это	18	1
199	хотя и	5	1
200	от нас	1	1
201	а это	5	1
202	с тех	1	1
203	он и	2	1
204	и сильно	1	1
205	в ее	8	1
206	только не	5	1
207	того что	16	1
208	прямо в	1	1
209	этом он	1	1
210	говорит о	3	1
211	и творческого	1	1
212	знаю что	1	1
213	действительно можно	1	1
214	в качестве	4	1
215	нас в	3	1
216	заметим что	1	1
217	сама жизнь	1	1
218	не хочет	1	1
219	прежде всего	17	1
220	никуда не	2	1
221	к реальному	2	1
222	ее и	2	1
223	своих собственных	1	1
224	это слово	1	1
225	другой стороны	3	1
226	быть может	3	1
227	нет ничего	2	1
228	себе не	3	1
229	в этих	1	1
230	но на	2	1
231	в их	4	1
232	все равно	6	1
233	мы находим	5	1
234	что слово	1	1
235	тому же	1	1
236	есть еще	3	1
237	без внимания	1	1
238	но с	2	1
239	а еще	1	1
240	без всяких	1	1
241	из мысли	1	1
242	в духе	1	1
243	конечно в	1	1
244	такое понимание	1	1
245	а за	1	1
246	далее он	1	1
247	из двух	1	1
248	наконец я	1	1
249	и сам	3	1
250	с такими	1	1
251	как по	1	1
252	в одном	6	1
253	их и	1	1
254	равно как	4	1
255	людей а	1	1
256	но какое	2	1
257	тот кто	1	1
258	во внимание	1	1
259	на нее	2	1
260	что о	2	1
261	– вы	2	1
262	но не	9	1
263	у людей	1	1
264	в ту	1	1
265	но для	2	1
266	это сравнение	1	1
267	если это	4	1
268	о чисто	1	1
269	именно в	2	1
270	уже на	1	1
271	жизни и	6	1
272	такое же	1	1
273	то время	4	1
274	представление о	1	1
275	в таком	1	1
276	героев и	1	1
277	а тут	1	1
278	нам не	2	1
279	может в	2	1
280	сходство с	1	1
281	пор мы	1	1
282	внимание в	1	1
283	в жизни	5	1
284	уже давно	1	1
285	мы получаем	1	1
286	но ведь	2	1
287	от злости	1	1
288	ясно что	10	1
289	как о	5	1
290	говорить об	2	1
291	себя как	3	1
292	не есть	79	1
293	между прочим	4	1
294	меня я	1	1
295	эту проблему	1	1
296	как в	3	1
297	была на	1	1
298	следовательно и	2	1
299	ли не	1	1
300	как нам	1	1
301	и я	1	1
302	по преимуществу	2	1
303	навсегда и	2	1
304	сразу же	1	1
305	никто не	1	1
306	что им	1	1
307	но у	1	1
308	между обоими	1	1
309	отличается от	8	1
310	да и	5	1
311	прочим и	2	1
312	ли он	1	1
313	в свете	8	1
314	о котором	2	1
315	не знали	1	1
316	том как	4	1
317	они как	2	1
318	это было	2	1
319	из которого	1	1
320	к своим	1	1
321	что образ	2	1
322	жизнь только	1	1
323	не имеет	2	1
324	ничего общего	1	1
325	но мы	1	1
326	тем не	11	1
327	ведь не	4	1
328	раз и	2	1
329	что как	1	1
330	сих пор	1	1
331	и вообще	6	1
332	– одна	1	1
333	опять и	1	1
334	иметь никакого	2	1
335	не был	2	1
336	тут нет	3	1
337	ему не	3	1
338	где также	1	1
339	и образ	3	1
340	жизнь и	2	1
341	с этим	4	1
342	еще один	2	1
343	во всех	5	1
344	сам же	1	1
345	до того	1	1
346	как имя	4	1
347	да я	2	1
348	во всяком	4	1
349	и руки	1	1
350	только от	2	1
351	это и	12	1
352	законченный тип	1	1
353	было не	1	1
354	они эти	1	1
355	входя в	1	1
356	я вижу	2	1
357	то он	2	1
358	выражение в	3	1
359	во все	1	1
360	это конечно	1	1
361	в полной	2	1
362	первый план	1	1
363	– не	11	1
364	было в	3	1
365	в мысли	5	1
366	не могли	1	1
367	что мало	1	1
368	что этот	1	1
369	важно и	1	1
370	ли это	9	1
371	имеется в	1	1
372	действие в	1	1
373	может идти	2	1
374	в –	1	1
375	потому что	25	1
376	не знаю	1	1
377	и и	1	1
378	д в	1	1
379	также и	9	1
380	и речи	1	1
381	совсем не	2	1
382	именно этот	1	1
383	сторону в	1	1
384	только как	2	1
385	было нечто	1	1
386	я покажу	2	1
387	не всегда	1	1
388	из их	1	1
389	тех пор	1	1
390	я только	2	1
391	быть и	5	1
392	существуют в	1	1
393	в частности	3	1
394	не будет	13	1
395	никого не	1	1
396	из своего	1	1
397	но зато	2	1
398	нужно было	3	1
399	отличается не	1	1
400	два человека	1	1
401	но они	2	1
402	с идеями	1	1
403	и их	11	1
404	говорить о	9	1
405	не с	8	1
406	что эта	2	1
407	не вдаваясь	1	1
408	одно и	6	1
409	отношении к	4	1
410	этого как	1	1
411	всех этих	1	1
412	хотя в	1	1
413	как он	2	1
414	и выражение	3	1
415	не могла	1	1
416	вслед за	1	1
417	этом смысле	2	1
418	тем самым	2	1
419	что ее	2	1
420	по своей	3	1
421	можно найти	1	1
422	от того	7	1
423	он –	1	1
424	вы не	1	1
425	и какая	1	1
426	что из	3	1
427	человека и	3	1
428	в каком	6	1
429	без труда	1	1
430	свою очередь	5	1
431	и можно	2	1
432	от вас	1	1
433	указания на	1	1
434	идет о	1	1
435	и реальных	1	1
436	вдаваясь в	1	1
437	с другой	8	1
438	было бы	24	1
439	а тем	3	1
440	как эта	1	1
441	всего то	2	1
442	вопросу о	1	1
443	что же	17	1
444	не забудем	1	1
445	итак чтобы	2	1
446	себя в	11	1
447	утверждаю что	4	1
448	ее не	6	1
449	однако в	3	1
450	в плане	1	1
451	что для	5	1
452	оба они	1	1
453	этого действительно	1	1
454	а вот	3	1
455	бы его	2	1
456	той же	2	1
457	заключается в	3	1
458	могут быть	1	1
459	и первым	1	1
460	сам в	1	1
461	– явление	2	1
462	это можно	2	1
463	имя его	1	1
464	к которому	1	1
465	выражение его	1	1
466	имя и	12	1
467	согласен что	1	1
468	это отношение	1	1
469	это дает	1	1
470	что только	4	1
471	только при	1	1
472	в первой	2	1
473	и от	4	1
474	и есть	40	1
475	во всей	1	1
476	имя не	12	1
477	общего ни	1	1
478	в силу	4	1
479	на этот	1	1
480	никому не	1	1
481	по крайней	10	1
482	так это	1	1
483	в уме	3	1
484	его слишком	1	1
485	но я	2	1
486	и дал	1	1
487	есть все	2	1
488	из этого	3	1
489	не стоит	2	1
490	ли эта	1	1
491	не все	3	1
492	от них	1	1
493	этом отношении	2	1
494	ничуть не	1	1
495	в рукописи	1	1
496	тут же	4	1
497	а следовательно	4	1
498	же это	5	1
499	всяком случае	2	1
500	в окно	1	1
501	конце концов	2	1
502	уже по	1	1
503	независимо от	5	1
504	момент его	1	1
505	с ее	10	1
506	из него	1	1
507	же он	1	1
508	бы в	9	1
509	у вас	1	1
510	не просто	23	1
511	того же	5	1
512	только о	2	1
513	в целом	3	1
514	весьма важно	1	1
515	крайней мере	10	1
516	едва ли	1	1
517	одного и	1	1
518	и наконец	1	1
519	ничего не	12	1
520	имя по	1	1
521	указанием на	2	1
522	и самый	1	1
523	постановки вопроса	2	1
524	как общее	1	1
525	доказывает что	1	1
526	к нему	3	1
