N	2gram	Bakhtin_KF	VLabPisa
247	и может	3	2
248	лишь в	8	2
249	в системе	1	2
250	должны быть	1	2
251	не с	1	2
252	не об	1	2
253	в различных	1	2
254	от того	3	2
255	пока еще	1	2
256	он и	2	2
257	к ним	4	2
258	же самое	1	2
259	вообще и	1	2
260	и никогда	1	2
261	о его	1	2
262	произведения не	1	2
263	вне его	1	2
264	одной из	1	2
265	он не	6	2
266	во всей	4	2
267	или иной	2	2
268	он может	2	2
269	автора как	2	2
270	в области	2	2
271	в противном	1	2
272	только с	3	2
273	к этим	1	2
274	чтобы не	2	2
275	и для	10	2
276	но для	3	2
277	но в	5	2
278	нет единства	1	2
279	данной области	1	1
280	с которой	1	1
281	для самого	1	1
282	были бы	2	1
283	значит ли	1	1
284	на почве	1	1
285	события и	2	1
286	от него	3	1
287	именно к	1	1
288	к действительности	1	1
289	включая сюда	2	1
290	понятий и	1	1
291	смерть и	1	1
292	и то	2	1
293	которой я	2	1
294	ее и	6	1
295	образом и	1	1
296	ни в	12	1
297	мы видим	1	1
298	можно говорить	1	1
299	содержания а	1	1
300	и мы	2	1
301	не противоречит	1	1
302	религии и	1	1
303	ее основных	1	1
304	вне себя	1	1
305	мышления и	2	1
306	со всем	5	1
307	то есть	1	1
308	и свою	1	1
309	его самого	1	1
310	можно и	2	1
311	переходит в	1	1
312	время и	5	1
313	поэтому в	1	1
314	закона их	1	1
315	мы не	3	1
316	конкретное реальное	1	1
317	противоречия и	1	1
318	и имеет	1	1
319	а тот	1	1
320	дело с	2	1
321	нет места	1	1
322	еще более	2	1
323	момента в	1	1
324	есть для	1	1
325	и менее	1	1
326	несмотря на	1	1
327	познания не	1	1
328	мысль в	1	1
329	есть его	2	1
330	освободиться от	1	1
331	не для	1	1
332	под ним	2	1
333	и включен	1	1
334	которых он	1	1
335	или с	1	1
336	и теоретической	1	1
337	значит не	1	1
338	своего свободного	1	1
339	это значит	1	1
340	по принципу	1	1
341	охватить и	1	1
342	с ним	5	1
343	где же	1	1
344	деятельности которого	1	1
345	и протекает	1	1
346	не являются	1	1
347	признается и	1	1
348	только со	1	1
349	отсюда следует	2	1
350	о нем	4	1
351	не как	4	1
352	для нас	4	1
353	и свой	2	1
354	то прежде	1	1
355	интуицией в	1	1
356	или иную	1	1
357	нет это	1	1
358	сознания хотя	1	1
359	сознание с	1	1
360	нет никакого	1	1
361	в живом	1	1
362	не знать	1	1
363	воспоминания и	1	1
364	в этих	1	1
365	научного и	1	1
366	себя или	2	1
367	и смысл	2	1
368	и эти	2	1
369	в виде	2	1
370	связанная с	1	1
371	определяется как	1	1
372	с действительностью	1	1
373	к настоящему	1	1
374	ведь это	2	1
375	этим путем	2	1
376	если не	2	1
377	в духе	1	1
378	говорим о	2	1
379	но он	1	1
380	самом деле	3	1
381	но все	6	1
382	вводить в	1	1
383	жизни это	1	1
384	этого не	1	1
385	не будем	1	1
386	жизнь в	1	1
387	смысла и	2	1
388	не получил	1	1
389	это положение	1	1
390	мы говорим	2	1
391	реализации в	1	1
392	и все	9	1
393	эстетики и	1	1
394	к пониманию	1	1
395	всем что	1	1
396	тем что	3	1
397	данного человека	1	1
398	если это	1	1
399	установить ряд	1	1
400	и целого	1	1
401	если он	1	1
402	места и	4	1
403	в стороне	1	1
404	относятся к	1	1
405	бы быть	5	1
406	в движение	1	1
407	к таким	1	1
408	в какой	1	1
409	истины но	2	1
410	его действительная	1	1
411	как не	1	1
412	я всегда	1	1
413	целого или	1	1
414	в соответствии	2	1
415	только через	1	1
416	а именно	1	1
417	одновременно и	1	1
418	и так	1	1
419	при таком	1	1
420	смысла в	2	1
421	как в	2	1
422	к последним	2	1
423	этим самым	1	1
424	что ее	1	1
425	мы только	1	1
426	по своему	3	1
427	себя и	5	1
428	не имеет	6	1
429	остается только	1	1
430	между собой	1	1
431	который я	1	1
432	определенной цели	1	1
433	том смысле	1	1
434	это было	2	1
435	не знала	1	1
436	лежит в	1	1
437	в известном	1	1
438	и это	12	1
439	а только	1	1
440	в каком	4	1
441	на своем	3	1
442	это противопоставление	4	1
443	даны ему	1	1
444	ничего общего	2	1
445	в единый	1	1
446	и из	1	1
447	философии как	1	1
448	весь мой	1	1
449	мысли в	1	1
450	говорят об	1	1
451	особенно часто	1	1
452	в математике	1	1
453	что конечно	1	1
454	из другого	1	1
455	той или	3	1
456	частей и	1	1
457	жизнь и	2	1
458	и отсюда	2	1
459	что эти	1	1
460	нет ничего	1	1
461	поскольку она	2	1
462	ни к	2	1
463	его и	2	1
464	необходимое условие	1	1
465	совершенно не	7	1
466	признать что	1	1
467	может иметь	2	1
468	том случае	1	1
469	более чем	1	1
470	это с	1	1
471	а с	2	1
472	в данном	2	1
473	только общую	1	1
474	можно установить	1	1
475	в основе	5	1
476	вытекает из	2	1
477	и мира	1	1
478	что этот	3	1
479	бытие как	4	1
480	как целое	1	1
481	вопрос о	2	1
482	что правда	2	1
483	но между	1	1
484	это понятие	1	1
485	которой он	2	1
486	но ведь	5	1
487	стороне вопрос	1	1
488	в лучшем	1	1
489	со всех	1	1
490	представление что	1	1
491	конечно не	7	1
492	а чисто	1	1
493	нет даже	1	1
494	входит в	4	1
495	всего этого	1	1
496	путем чисто	1	1
497	единства в	2	1
498	приводит и	1	1
499	не дает	3	1
500	ту или	1	1
501	с определенной	1	1
502	лежат в	3	1
503	бытия в	5	1
504	эта в	1	1
505	другой в	1	1
506	существенно не	1	1
507	теперь к	1	1
508	вся игра	1	1
509	друг друга	1	1
510	потому что	2	1
511	в свою	3	1
512	сознания в	2	1
513	этот учет	1	1
514	и тем	3	1
515	слова и	1	1
516	кажется что	2	1
517	жизнью каждый	1	1
518	быть и	3	1
519	только тогда	1	1
520	в него	2	1
521	то все	1	1
522	а по	2	1
523	эта мысль	1	1
524	не могло	1	1
525	можно конечно	1	1
526	значение для	1	1
527	со стороны	8	1
528	только на	1	1
529	содержания и	2	1
530	что эта	2	1
531	для этого	2	1
532	может служить	1	1
533	на его	1	1
534	и та	3	1
535	пор не	1	1
536	в каком-то	1	1
537	и миром	1	1
538	дело не	2	1
539	как если	1	1
540	конкретной действительности	4	1
541	творчестве но	1	1
542	подробный анализ	1	1
543	но только	1	1
544	этого факта	1	1
545	говоря о	1	1
546	установить между	1	1
547	мир а	1	1
548	и жизни	4	1
549	в истории	1	1
550	как оно	2	1
551	этом смысле	3	1
552	себя от	1	1
553	то или	2	1
554	или как	2	1
555	бы совершенно	1	1
556	себе в	1	1
557	свою очередь	1	1
558	или иное	2	1
559	возникает ряд	1	1
560	нет противоречия	1	1
561	содержания в	1	1
562	связанных с	1	1
563	данного момента	2	1
564	не случайно	1	1
565	к каждому	1	1
566	проблемы в	1	1
567	перейдем теперь	1	1
568	имеем в	2	1
569	знает и	2	1
570	этого мира	3	1
571	процесс и	2	1
572	единство и	1	1
573	же на	1	1
574	но ни	2	1
575	целом и	3	1
576	отношение к	6	1
577	как мы	1	1
578	входит как	2	1
579	соответствии с	2	1
580	же не	1	1
581	жизни не	1	1
582	к ней	1	1
583	к двум	1	1
584	я с	1	1
585	в данной	1	1
586	по которой	1	1
587	бы его	1	1
588	и во	1	1
589	данте и	1	1
590	что есть	2	1
591	бы он	2	1
592	общее и	3	1
593	и бытие	2	1
594	и чисто	1	1
595	всех сторон	1	1
596	целого и	1	1
597	связи между	1	1
598	созерцания и	1	1
599	быть в	4	1
600	предмета в	3	1
601	что может	1	1
602	ее а	1	1
603	находится в	1	1
604	уже не	7	1
605	за его	1	1
606	не значит	6	1
607	в действительной	4	1
608	эту мысль	1	1
609	слова в	2	1
610	ли она	1	1
611	процесс между	1	1
612	содержания на	1	1
613	или иного	3	1
614	его действительной	1	1
615	содержательны и	1	1
616	жизнью и	1	1
617	это что	1	1
618	человека вообще	3	1
619	и других	2	1
620	согласиться с	1	1
621	напряженность и	1	1
622	здесь не	3	1
623	себя до	1	1
624	оно может	1	1
625	единой и	3	1
626	чувства в	1	1
627	это в	1	1
628	или не	1	1
629	приходится признать	1	1
630	является только	1	1
631	месте в	1	1
632	даже для	1	1
633	в ту	2	1
634	этих терминов	1	1
635	все для	1	1
636	но это	6	1
637	едином и	8	1
638	познание а	1	1
639	с ее	2	1
640	из него	4	1
641	в едином	10	1
642	видения мира	1	1
643	которой мы	1	1
644	не был	1	1
645	в историю	1	1
646	и ни	3	1
647	он должен	1	1
648	своей активности	1	1
649	мира его	1	1
650	деятельности и	2	1
651	подлежит сомнению	1	1
652	действием и	1	1
653	мира в	6	1
654	не к	1	1
655	с целью	1	1
656	своего развития	1	1
657	я то	1	1
658	ли однако	1	1
659	то например	1	1
