N	2gram	Propp_Russ	VrazhdaK
200	второй половине	1	1
201	еще до	2	1
202	сколько в	1	1
203	ироническое отношение	2	1
204	из сибири	6	1
205	не будем	5	1
206	или по	1	1
207	все ясно	1	1
208	предположить что	5	1
209	из всех	1	1
210	что это	4	1
211	обычно не	2	1
212	хотя и	3	1
213	м е	5	1
214	и был	1	1
215	воспоминания о	2	1
216	он и	1	1
217	и из	3	1
218	того что	6	1
219	прямо в	1	1
220	в другой	1	1
221	говорит о	3	1
222	в названных	1	1
223	чем у	2	1
224	в качестве	5	1
225	не сохранилось	1	1
226	давно был	1	1
227	марта и	1	1
228	нас в	2	1
229	него в	1	1
230	не являются	1	1
231	прежде всего	2	1
232	далее в	2	1
233	тогда же	1	1
234	и другими	3	1
235	вошел в	1	1
236	ее и	2	1
237	это слово	1	1
238	своем дневнике	1	1
239	быть может	1	1
240	перед ними	1	1
241	в этих	3	1
242	но на	1	1
243	за это	1	1
244	так не	1	1
245	в их	5	1
246	о своем	1	1
247	тому же	1	1
248	ф м	1	1
249	полной уверенности	1	1
250	христа и	3	1
251	искал в	1	1
252	не ясно	1	1
253	а между	1	1
254	ему но	1	1
255	он уже	1	1
256	крестьян и	1	1
257	в духе	1	1
258	в разные	4	1
259	в н	1	1
260	же с	1	1
261	а за	4	1
262	и сам	1	1
263	с такими	1	1
264	как по	2	1
265	в одном	4	1
266	их и	3	1
267	где-нибудь на	2	1
268	год в	3	1
269	тот кто	2	1
270	в другую	1	1
271	на нее	5	1
272	на свою	1	1
273	и начинается	1	1
274	ее для	2	1
275	еще в	6	1
276	как при	1	1
277	но не	7	1
278	в ту	1	1
279	но для	1	1
280	именно в	3	1
281	уже на	1	1
282	жизни и	1	1
283	такое же	2	1
284	то время	3	1
285	представление о	5	1
286	можно объяснить	3	1
287	в таком	5	1
288	нам не	1	1
289	сходство с	3	1
290	только два	1	1
291	в жизни	2	1
292	уже давно	1	1
293	более что	1	1
294	в числе	2	1
295	сходство между	2	1
296	н п	1	1
297	как о	1	1
298	также в	5	1
299	говорить об	1	1
300	вряд ли	2	1
301	к русским	3	1
302	такие же	4	1
303	превращен в	1	1
304	это время	4	1
305	между прочим	2	1
306	не дают	1	1
307	одном из	1	1
308	как в	10	1
309	оказалось что	1	1
310	дома и	1	1
311	а п	3	1
312	о близости	1	1
313	хорошо знает	1	1
314	следовательно и	2	1
315	ли не	1	1
316	по своему	2	1
317	на стол	4	1
318	этот вывод	1	1
319	по преимуществу	1	1
320	сразу же	2	1
321	что им	1	1
322	но у	1	1
323	связь этого	1	1
324	по его	2	1
325	ли он	1	1
326	первое место	1	1
327	в свете	5	1
328	он одновременно	1	1
329	о котором	1	1
330	не знали	2	1
331	к вопросу	2	1
332	к своим	1	1
333	из разных	1	1
334	не имеет	9	1
335	ничего общего	3	1
336	но мы	1	1
337	всех их	1	1
338	полагает что	8	1
339	тем не	3	1
340	человеком и	1	1
341	что пишет	1	1
342	под влиянием	1	1
343	и вообще	1	1
344	года и	1	1
345	подтверждается тем	1	1
346	не был	3	1
347	ему не	1	1
348	на них	4	1
349	фигурируют и	1	1
350	этому же	3	1
351	жизнь и	2	1
352	первый взгляд	1	1
353	с этим	4	1
354	во всех	6	1
355	а б	7	1
356	до того	3	1
357	во всяком	1	1
358	и руки	1	1
359	это и	1	1
360	было не	1	1
361	во все	1	1
362	этих строк	1	1
363	того в	3	1
364	в полной	1	1
365	безо всякой	1	1
366	было в	1	1
367	не могли	1	1
368	он черпал	1	1
369	что этот	4	1
370	не хуже	1	1
371	него он	1	1
372	которой он	1	1
373	имеется в	1	1
374	чем говорилось	1	1
375	н ф	2	1
376	это как	1	1
377	полагали что	2	1
378	совпадает с	1	1
379	потому что	15	1
380	на первое	1	1
381	все свои	1	1
382	живет в	1	1
383	и и	2	1
384	также и	1	1
385	совсем не	1	1
386	только как	2	1
387	ряда других	2	1
388	не всегда	4	1
389	из их	1	1
390	в развитии	1	1
391	быть и	3	1
392	во второй	1	1
393	в частности	2	1
394	не будет	1	1
395	из своего	1	1
396	могли иметь	1	1
397	не могло	1	1
398	совпадают с	3	1
399	но они	4	1
400	и их	4	1
401	говорить о	2	1
402	не с	5	1
403	и ненависти	1	1
404	что эта	1	1
405	себе на	1	1
406	всех этих	2	1
407	точно так	1	1
408	как он	2	1
409	не могла	1	1
410	е годы	2	1
411	в форме	3	1
412	людей и	1	1
413	называя его	1	1
414	себя на	1	1
415	русский народ	1	1
416	привела к	1	1
417	это влияние	1	1
418	состояло в	3	1
419	что ее	3	1
420	можно найти	1	1
421	от того	1	1
422	человека и	1	1
423	каждый из	3	1
424	в москве	4	1
425	свою очередь	2	1
426	года на	2	1
427	через него	2	1
428	как известно	2	1
429	с другой	1	1
430	было бы	3	1
431	некоторое время	2	1
432	же только	1	1
433	же на	1	1
434	вторая часть	1	1
435	или вообще	3	1
436	как на	2	1
437	не совсем	6	1
438	у себя	1	1
439	у некоторых	1	1
440	и пытался	1	1
441	записи в	1	1
442	ее не	1	1
443	однако в	1	1
444	что для	4	1
445	затем в	1	1
446	писал о	1	1
447	не пускает	1	1
448	говорилось выше	1	1
449	как правило	4	1
450	могут быть	3	1
451	связь образа	1	1
452	без ответа	1	1
453	только по	2	1
454	за него	1	1
455	такая же	1	1
456	до конца	5	1
457	к которому	1	1
458	и раньше	1	1
459	во многих	14	1
460	был в	1	1
461	только при	1	1
462	в первой	1	1
463	и от	2	1
464	и есть	1	1
465	во всей	2	1
466	в силу	2	1
467	на этот	3	1
468	такой же	3	1
469	года когда	1	1
470	идет не	1	1
471	из этого	1	1
472	тем это	3	1
473	не все	4	1
474	от них	4	1
475	этом отношении	1	1
476	тут же	2	1
477	а следовательно	1	1
478	не имело	1	1
479	всяком случае	1	1
480	в окно	2	1
481	независимо от	3	1
482	друг друга	3	1
483	ее своей	1	1
484	же он	1	1
485	ее тем	1	1
486	не просто	3	1
487	того же	1	1
488	только о	1	1
489	в целом	2	1
490	как указывает	1	1
491	типичен для	1	1
492	одного и	1	1
493	и наконец	2	1
494	ничего не	4	1
495	вплоть до	4	1
496	в е	2	1
497	и самый	1	1
498	воду в	1	1
499	к нему	3	1
