N	2gram	Propp_Morf	VrazhdaK
168	за исключением	1	1
169	собой в	2	1
170	еще до	1	1
171	с любовью	1	1
172	сколько в	1	1
173	героя в	5	1
174	некоторые мотивы	1	1
175	не будем	5	1
176	он как	1	1
177	дает нам	1	1
178	или по	2	1
179	второй раз	2	1
180	предположить что	1	1
181	или а	1	1
182	встречается лишь	1	1
183	что это	3	1
184	хотя и	5	1
185	одному из	3	1
186	с тех	1	1
187	и был	1	1
188	в ее	1	1
189	того что	3	1
190	с просьбой	3	1
191	следить за	1	1
192	в другой	1	1
193	другие персонажи	1	1
194	в качестве	8	1
195	заметим что	3	1
196	не являются	1	1
197	прежде всего	14	1
198	родной дочери	1	1
199	вошел в	1	1
200	другой стороны	5	1
201	иными словами	1	1
202	в этих	17	1
203	но на	1	1
204	он лишь	1	1
205	за это	1	1
206	третий раз	1	1
207	в их	1	1
208	мы находим	1	1
209	из основателей	1	1
210	обращается в	4	1
211	но с	2	1
212	без всяких	1	1
213	что ни	2	1
214	конечно в	1	1
215	же с	1	1
216	этого не	2	1
217	из двух	3	1
218	как по	1	1
219	в одном	2	1
220	их и	1	1
221	равно как	1	1
222	что за	1	1
223	во внимание	1	1
224	в другую	2	1
225	и начинается	1	1
226	что о	2	1
227	еще в	1	1
228	как при	1	1
229	но не	8	1
230	но вот	2	1
231	но для	3	1
232	если это	3	1
233	никакого влияния	1	1
234	именно в	1	1
235	в третий	1	1
236	такое же	1	1
237	то время	3	1
238	в таком	1	1
239	уже давно	1	1
240	в числе	2	1
241	мы получаем	2	1
242	к царю	1	1
243	литературе и	1	1
244	но ведь	1	1
245	с различными	1	1
246	ясно что	5	1
247	также в	2	1
248	начинается с	5	1
249	в предисловии	1	1
250	в бою	3	1
251	вряд ли	2	1
252	же быть	2	1
253	такие же	1	1
254	не есть	1	1
255	а их	1	1
256	это время	1	1
257	между прочим	1	1
258	не дают	1	1
259	как в	5	1
260	влияния на	1	1
261	роль в	2	1
262	домой в	1	1
263	по своему	2	1
264	еще к	1	1
265	этот вывод	1	1
266	сразу же	2	1
267	никто не	4	1
268	что им	1	1
269	по его	1	1
270	прочим и	1	1
271	ли он	1	1
272	служит для	1	1
273	о котором	1	1
274	том как	2	1
275	это было	3	1
276	в итоге	2	1
277	к вопросу	2	1
278	пока не	1	1
279	мы считаем	1	1
280	возникает вопрос	3	1
281	по характеру	1	1
282	во сне	2	1
283	не имеет	2	1
284	ничего общего	1	1
285	но мы	3	1
286	тем не	7	1
287	сих пор	1	1
288	и вообще	1	1
289	дурак так	1	1
290	с предложением	2	1
291	этому же	1	1
292	первый взгляд	3	1
293	этот мотив	1	1
294	с этим	14	1
295	во всех	6	1
296	во всяком	2	1
297	это и	3	1
298	рассказы о	2	1
299	во все	1	1
300	просьбой о	2	1
301	возвращается к	1	1
302	что этот	2	1
303	него он	1	1
304	он дважды	1	1
305	свое место	1	1
306	имеется в	3	1
307	на той	2	1
308	может идти	1	1
309	говорить не	1	1
310	брата и	1	1
311	потому что	7	1
312	для описания	1	1
313	это то	1	1
314	д в	2	1
315	также и	6	1
316	одну из	1	1
317	совсем не	3	1
318	появилась книга	1	1
319	только об	1	1
320	только как	1	1
321	ряда других	1	1
322	не всегда	10	1
323	в рассказе	1	1
324	тех пор	1	1
325	к своей	1	1
326	быть и	2	1
327	во второй	2	1
328	с помощью	1	1
329	в частности	2	1
330	не будет	1	1
331	одним словом	1	1
332	но они	2	1
333	и их	3	1
334	говорить о	4	1
335	не с	2	1
336	что эта	2	1
337	одно и	1	1
338	всех этих	1	1
339	точно так	2	1
340	как он	1	1
341	один раз	2	1
342	е годы	1	1
343	в форме	6	1
344	вслед за	5	1
345	встреча с	2	1
346	б в	2	1
347	но об	1	1
348	доходит до	1	1
349	что ее	1	1
350	от того	4	1
351	к людям	1	1
352	которую он	1	1
353	в обоих	2	1
354	в каком	2	1
355	а от	1	1
356	свою очередь	1	1
357	на свое	1	1
358	у которого	1	1
359	можно бы	2	1
360	с другой	9	1
361	было бы	5	1
362	как эта	1	1
363	свою мать	1	1
364	вопросу о	2	1
365	верил в	1	1
366	что же	2	1
367	или вообще	2	1
368	как на	1	1
369	текста к	1	1
370	не совсем	1	1
371	себя в	2	1
372	ее не	1	1
373	однако в	2	1
374	и никогда	1	1
375	в плане	1	1
376	говорилось выше	1	1
377	могут быть	21	1
378	это можно	2	1
379	такая же	1	1
380	узнает в	1	1
381	а одна	1	1
382	в высшей	1	1
383	из первых	2	1
384	это дает	1	1
385	во многих	1	1
386	в первой	1	1
387	быть применено	1	1
388	и есть	3	1
389	и гораздо	1	1
390	во всей	1	1
391	в силу	1	1
392	на этот	2	1
393	такой же	1	1
394	из этого	1	1
395	не стоит	1	1
396	не все	6	1
397	этом отношении	2	1
398	хотя он	1	1
399	иваном в	1	1
400	всяком случае	2	1
401	в окно	1	1
402	уже по	1	1
403	независимо от	4	1
404	друг друга	3	1
405	материал и	1	1
406	ее своей	1	1
407	с ее	1	1
408	лишь один	1	1
409	же он	1	1
410	бы в	2	1
411	у вас	1	1
412	только о	1	1
413	в целом	5	1
414	свои собственные	1	1
415	и наконец	1	1
416	некоторые черты	1	1
417	ничего не	5	1
418	вплоть до	1	1
419	в е	1	1
420	указанием на	1	1
421	может как	1	1
422	к нему	3	1
423	в подобных	1	1
424	высшей степени	1	1
