N	2gram	Tiupa_Vved	SlovoVZh
489	конечном счете	2	1
490	слов в	2	1
491	мы это	1	1
492	к другим	1	1
493	не можем	2	1
494	в таком	2	1
495	из трех	2	1
496	обратимся к	2	1
497	следующим образом	1	1
498	например в	2	1
499	что я	2	1
500	и психологически	1	1
501	тот же	1	1
502	в высшей	2	1
503	за пределами	3	1
504	и признания	1	1
505	к которому	2	1
506	имеем дело	5	1
507	время не	1	1
508	человек и	1	1
509	с которой	1	1
510	оно всегда	1	1
511	характер и	1	1
512	и без	1	1
513	теперь когда	1	1
514	автор как	1	1
515	что все	1	1
516	как о	2	1
517	то она	1	1
518	художественного смысла	2	1
519	себе не	1	1
520	анализа в	1	1
521	столь же	3	1
522	том же	1	1
523	и она	1	1
524	если нам	2	1
525	есть в	2	1
526	же как	1	1
527	или даже	2	1
528	тем о	1	1
529	момент в	1	1
530	сохраняет при	1	1
531	науке о	1	1
532	и прежде	1	1
533	в слове	4	1
534	как будто	6	1
535	на второй	1	1
536	для определения	1	1
537	жизни в	5	1
538	к вопросам	1	1
539	есть только	1	1
540	противном случае	2	1
541	образом для	1	1
542	но если	1	1
543	они не	3	1
544	и понимания	3	1
545	и слушателю	1	1
546	все свойства	1	1
547	взаимодействие и	1	1
548	только внешней	1	1
549	при таком	2	1
550	на себя	5	1
551	от его	1	1
552	в воспринимающем	3	1
553	на ранних	1	1
554	зрения и	1	1
555	и внешней	1	1
556	и только	2	1
557	один и	1	1
558	так называемая	1	1
559	кругозором и	1	1
560	приходится признать	1	1
561	по своей	4	1
562	именно эта	2	1
563	в двух	1	1
564	полагать что	1	1
565	у которой	2	1
566	или иного	1	1
567	может и	1	1
568	и оно	2	1
569	друг друга	1	1
570	природой и	1	1
571	для этого	2	1
572	для обоих	2	1
573	если она	2	1
574	что ситуация	1	1
575	внутренней и	1	1
576	не всегда	2	1
577	на их	1	1
578	установку на	1	1
579	героического эпоса	1	1
580	не нужно	1	1
581	в одной	2	1
582	в целом	4	1
583	культуры в	1	1
584	себя в	4	1
585	крайней мере	1	1
586	а лишь	3	1
587	и становится	1	1
588	ее пределы	1	1
589	смысла то	1	1
590	или менее	2	1
591	и выражают	1	1
592	имеет дело	1	1
593	взятый в	1	1
594	вовсе не	1	1
595	сливаются в	2	1
596	в пространстве	1	1
597	на эту	1	1
598	тем более	3	1
599	по крайней	1	1
600	обращение к	1	1
601	что до	2	1
602	мы видели	3	1
603	перед нами	13	1
604	и рождается	1	1
605	ключ как	1	1
606	и другого	1	1
607	его место	1	1
608	всяком случае	3	1
609	не входят	1	1
610	высшей степени	2	1
611	не нуждаются	1	1
