N	2gram	Medvedev_V	OGranits
459	бы быть	1	1
460	что без	3	1
461	является не	4	1
462	вместе с	8	1
463	который в	2	1
464	и вместе	1	1
465	одна из	4	1
466	на эту	1	1
467	словесного искусства	1	1
468	другом месте	2	1
469	должна заняться	1	1
470	в которых	3	1
471	но не	2	1
472	и характер	1	1
473	с его	4	1
474	что до	1	1
475	ли не	2	1
476	при таком	1	1
477	на одном	1	1
478	себя и	1	1
479	оно может	1	1
480	по поводу	4	1
481	тех или	1	1
482	его роль	1	1
483	быть и	1	1
484	в то	6	1
485	в действительной	1	1
486	не средством	1	1
487	к двум	1	1
488	платон в	1	1
489	отнюдь не	4	1
490	и самый	1	1
491	не создает	1	1
492	комплексы и	1	1
493	только с	2	1
494	замысла и	4	1
495	этого материала	1	1
496	следует иметь	2	1
497	этот аппарат	1	1
498	полагая что	1	1
499	не знала	1	1
500	связанный с	1	1
501	именно этого	2	1
502	в системе	2	1
503	для этого	1	1
504	с ее	1	1
505	из него	1	1
506	художественного творчества	19	1
507	и это	1	1
508	этим самым	1	1
509	в едином	1	1
510	говорит следующее	4	1
511	в самой	1	1
512	в виде	1	1
513	собою и	2	1
514	только о	2	1
515	от него	1	1
516	например у	2	1
517	все произведение	2	1
518	связанная с	1	1
519	не должна	1	1
520	даже самые	1	1
521	говорит как	1	1
522	проявляются в	1	1
523	это обычно	1	1
524	мысли в	1	1
525	тем более	1	1
526	искусства в	1	1
527	формы и	2	1
528	в несколько	1	1
529	особенно часто	1	1
530	его можно	1	1
531	своего развития	1	1
532	его учеников	1	1
533	и особенно	1	1
534	еще не	2	1
535	в статье	4	1
536	отражается в	1	1
537	столь резко	2	1
