N	3gram	Vinokur_St	Tvorches
217	отметить что в	1	1
218	явным образом не	1	1
219	таким образом в	1	1
220	не должен быть	1	1
221	но все это	2	1
222	а в каком-то	1	1
223	я скажу что	1	1
224	тесно связан с	1	1
225	я не могу	2	1
226	и никогда не	1	1
227	это еще не	1	1
228	далеко не все	1	1
229	из письма к	1	1
230	в отношении к	1	1
231	то все же	1	1
232	в прямом смысле	2	1
233	ответ на этот	1	1
234	объясняется тем что	1	1
235	можно было бы	8	1
236	только потому что	2	1
237	и это не	1	1
238	начале xix века	1	1
239	в этом случае	3	1
240	же время с	1	1
241	у нас не	1	1
242	в этом его	1	1
243	в году писал	1	1
244	борис годунов и	1	1
245	что в нем	2	1
246	же как и	1	1
247	того же порядка	1	1
248	в котором все	1	1
249	суд народа над	1	1
250	я никогда не	1	1
251	в предисловии к	2	1
252	не только с	2	1
253	вопрос о том	4	1
254	занимает в творчестве	1	1
255	в виду что	1	1
256	ни в чем	1	1
257	на эту тему	4	1
258	ответ пушкина на	1	1
259	как и всякая	1	1
260	потому что они	1	1
