N	2gram	Propp_Morf	VelikijI
243	его если	1	1
244	реакция на	1	1
245	но вот	2	1
246	они нам	1	1
247	лишь как	1	1
248	и другое	1	1
249	как мы	8	1
250	ведет к	1	1
251	еще недостаточно	1	1
252	от неба	1	1
253	и до	1	1
254	лишь к	1	1
255	но прежде	1	1
256	и своего	1	1
257	дух в	1	1
258	же они	2	1
259	по мотивам	3	1
260	и приведены	1	1
261	царство и	1	1
262	царства и	1	1
263	на него	4	1
264	ни стало	1	1
265	еще и	1	1
266	будем говорить	1	1
267	теперь когда	1	1
268	за которым	2	1
269	лишь на	2	1
270	мы будем	3	1
271	ничего не	5	1
272	освобождению и	1	1
273	с ними	1	1
274	духа в	1	1
275	и очень	1	1
276	все же	9	1
277	идет по	2	1
278	если они	2	1
279	как в	5	1
280	в которых	2	1
281	находится в	1	1
282	по законам	1	1
283	роль в	2	1
284	им в	1	1
285	можно ли	1	1
286	себя и	2	1
287	еще к	1	1
288	и по	3	1
289	их на	2	1
290	и могут	1	1
291	к этому	4	1
292	в их	1	1
293	этой новой	1	1
294	со своей	1	1
295	этом нет	1	1
296	сама она	1	1
297	ли он	1	1
298	средство для	2	1
299	может и	1	1
300	для чего	1	1
301	есть то	1	1
302	говорят уже	1	1
303	таким же	1	1
304	новый лад	1	1
305	и царство	1	1
306	он был	1	1
307	по иным	1	1
308	религия как	1	1
309	в целом	5	1
310	и ее	5	1
311	вовсе не	6	1
312	но к	1	1
313	есть не	1	1
314	на составные	2	1
315	тогда мы	1	1
316	д и	2	1
317	и нет	1	1
318	бы в	2	1
319	к нему	3	1
320	а потом	2	1
