N	3gram	Bakhtin_fo	DiskursI
117	по сравнению с	3	1
118	игрой роли актером	1	1
119	в себя и	2	1
120	жизненной формы определенного	1	1
121	в частности на	1	1
122	для подглядывания и	1	1
123	здесь не только	1	1
124	во всех его	1	1
125	но и на	1	1
126	не было и	2	1
127	идеальный образ определенной	1	1
128	то что происходило	1	1
129	с игрой роли	1	1
130	мира в котором	1	1
131	еще не было	1	1
132	в самом деле	1	1
133	в котором он	1	1
134	историческое время в	1	1
135	для того чтобы	11	1
136	разносоставным в нем	1	1
137	есть точка соприкосновения	1	1
138	было и не	1	1
139	дошли до нас	1	1
140	актером хотя и	1	1
141	сказать что жанр	1	1
142	друг от друга	2	1
143	ним у них	1	1
144	в строгом смысле	2	1
145	иносказательном бытии всего	1	1
146	говорит о том	1	1
147	важную роль в	1	1
148	друг на друга	4	1
149	человеческой жизни не	1	1
150	формы определенного положения	1	1
151	для греческого романа	1	1
152	новый специфически построенный	1	1
153	и образ умершего	1	1
154	и для себя	2	1
155	до сих пор	4	1
156	приходит к выводу	1	1
157	в себе самом	1	1
158	времени оно не	1	1
159	за тридевять земель	1	1
160	здесь имеет место	1	1
161	самим собою в	1	1
162	прежде всего к	1	1
163	между тем как	1	1
164	возможно лишь в	1	1
165	и в повседневном	1	1
166	в одном ряду	1	1
167	никогда не бывает	1	1
168	по себе они	1	1
169	состоит именно в	1	1
170	и разносоставным в	1	1
171	его жизненного пути	1	1
172	с ним у	1	1
173	ядро и оболочка	1	1
174	время становления и	1	1
175	в таких произведениях	1	1
176	не могло быть	3	1
177	иное значение чем	1	1
178	и в самый	1	1
179	не только на	1	1
180	имеет отношение к	1	1
181	не может не	1	1
182	преступление и наказание	1	1
183	но в этом	2	1
184	в данном отношении	1	1
185	к данному положению	1	1
186	становления и роста	1	1
187	как раз и	2	1
188	к участию в	1	1
189	ни к какой	1	1
190	в связи с	12	1
191	и все прочие	1	1
192	и т.п в	1	1
193	идет об иносказательном	1	1
194	вовсе не является	2	1
195	но все же	3	1
196	в другом месте	2	1
197	замкнутых в себе	1	1
198	в нем нет	2	1
199	же напротив не	1	1
200	так и во	1	1
201	этих форм в	1	1
202	превращения и тождества	1	1
203	или во всяком	1	1
204	одном и том	1	1
205	и в различных	1	1
206	еще и в	1	1
207	с точкой зрения	1	1
208	уже одно это	1	1
209	и в этом	2	1
210	прежде всего на	1	1
211	мировоззрения отнюдь не	1	1
212	туда в качестве	1	1
213	требований предъявляемых к	1	1
214	жизни то есть	2	1
215	в зоне контакта	1	1
216	всегда строится на	1	1
217	как своего рода	1	1
218	событие в качестве	1	1
219	отца к сыну	1	1
220	вместе с тем	3	1
221	и том же	1	1
222	в основе этих	1	1
223	мотивах превращения и	1	1
224	имеет громадное значение	1	1
225	предъявляемых к данному	1	1
226	равно как и	4	1
227	отнюдь не предполагает	1	1
228	человека стал многослойным	1	1
229	оболочка внешнее и	1	1
230	хотя и есть	1	1
231	его таким образом	1	1
232	то есть все	1	1
233	человеческой жизни в	3	1
234	но она не	1	1
235	греческого романа в	1	1
236	об иносказательном бытии	1	1
237	образ сказочного человека	1	1
238	в это время	1	1
239	на второй план	1	1
240	в себе и	1	1
241	вплоть до его	1	1
242	и есть точка	1	1
243	совпадающем с игрой	1	1
244	от отца к	1	1
245	то что в	1	1
246	в самый момент	1	1
247	идеал и образ	1	1
248	требует для своей	1	1
249	с самим собою	4	1
250	и в них	1	1
251	быть или не	1	1
252	жизни но и	2	1
253	в последующие века	1	1
254	для себя я	1	1
255	и для того	1	1
256	немалую роль в	1	1
257	тем более что	2	1
258	раскрывается не в	1	1
259	связанных между собой	1	1
260	жизни в которых	1	1
261	бытия в его	1	1
262	истории этого жанра	1	1
263	образ умершего сливаются	1	1
264	образ человека проходящего	1	1
265	только в организации	1	1
266	почти так же	1	1
267	на самом деле	1	1
268	картина мира полемически	1	1
269	другой стороны в	1	1
270	романа еще не	1	1
271	специфически построенный образ	1	1
272	чем если бы	1	1
273	он вступает в	1	1
274	многослойным и разносоставным	1	1
275	что во всех	1	1
276	стал многослойным и	1	1
277	построенный образ человека	1	1
278	автора и читателей	1	1
279	жизни но в	1	1
280	до его мировоззрения	1	1
281	ее по существу	1	1
282	частной жизни и	2	1
283	в совершенно иные	1	1
284	данном случае мы	1	1
285	так и его	1	1
286	во всех этих	2	1
287	поэтому они не	1	1
288	именно в том	1	1
289	значительную роль в	1	1
290	бытии всего человека	1	1
291	в человеческом мире	1	1
292	строится на мотивах	1	1
293	в нем разделились	1	1
294	и до конца	2	1
295	в этом ряду	2	1
296	быть осуществлено только	1	1
297	не могут быть	1	1
298	в xvii веке	2	1
299	выходит за пределы	1	1
300	том что они	1	1
301	разделились ядро и	1	1
302	проходящего свой жизненный	1	1
303	человека проходящего свой	1	1
304	дело идет об	1	1
305	по исторической поэтике	1	1
306	а не за	1	1
307	и не могло	1	1
308	картины мира и	1	1
309	та или иная	1	1
310	до наших дней	1	1
311	внешнее и внутреннее	2	1
312	человека вплоть до	1	1
313	отличие от героев	1	1
314	образ человека стал	1	1
315	на мотивах превращения	1	1
316	поздней стадии развития	1	1
317	всего человека вплоть	1	1
318	из уст в	1	1
319	как и их	1	1
320	роли актером хотя	1	1
321	ее к себе	1	1
322	определенной жизненной формы	1	1
323	в виду что	2	1
324	к себе и	1	1
325	что было вначале	1	1
326	ни в чем	3	1
327	для того и	1	1
328	образ определенной жизненной	1	1
329	его мировоззрения отнюдь	1	1
330	громадное значение в	1	1
