N	2gram	Nazirov_Vr	Freidism
422	отражает и	1	1
423	обычно не	1	1
424	хотя и	1	1
425	а это	1	1
426	и раньше	1	1
427	не хочет	1	1
428	души и	1	1
429	в недрах	1	1
430	от сознания	2	1
431	далее в	1	1
432	из основателей	1	1
433	один пример	1	1
434	другие –	1	1
435	без всяких	1	1
436	же не	2	1
437	далее он	1	1
438	что к	2	1
439	влияния на	1	1
440	во внимание	1	1
441	на нее	1	1
442	о смерти	1	1
443	на характер	1	1
444	может в	1	1
445	как говорит	1	1
446	но я	1	1
447	человек в	1	1
448	человеком в	1	1
449	не дают	1	1
450	со взглядами	1	1
451	имеется в	1	1
452	служит для	1	1
453	в свете	1	1
454	пока не	1	1
455	и это	2	1
456	в сторону	1	1
457	до того	1	1
458	полагает что	1	1
459	– одна	1	1
460	нельзя не	1	1
461	тем более	2	1
462	не все	1	1
463	не был	1	1
464	время сна	1	1
465	жизнь и	1	1
466	же на	1	1
467	в русской	3	1
468	еще до	1	1
469	предположить что	1	1
470	это конечно	1	1
471	того в	1	1
472	развиваться в	1	1
473	первая часть	1	1
474	характерно для	1	1
475	образ по	1	1
476	связи с	3	1
477	молодой человек	1	1
478	некоторых его	1	1
479	на страницах	1	1
480	но при	1	1
481	чтобы он	3	1
482	что мог	1	1
483	он стал	1	1
484	не будет	1	1
485	но зато	1	1
486	не с	1	1
487	что эта	1	1
488	одно и	1	1
489	как он	1	1
490	в форме	1	1
491	себя на	1	1
492	в начале	6	1
493	еще в	1	1
494	далеко позади	1	1
495	ни разу	1	1
496	вот в	1	1
497	можно найти	1	1
498	как же	2	1
499	в предшествующей	1	1
500	вражды и	1	1
501	на свое	1	1
502	и т.д	1	1
503	у которого	1	1
504	года первая	1	1
505	и никогда	1	1
506	только по	1	1
507	– явление	1	1
508	презрения к	1	1
509	это дает	1	1
510	в первой	1	1
511	роль играет	1	1
512	и гораздо	1	1
513	же в	2	1
514	каком направлении	1	1
515	на то	3	1
516	отношения двух	1	1
517	же это	1	1
518	как ему	1	1
519	человека но	1	1
520	и самый	1	1
521	котором он	1	1
