N	2gram	Propp_Morf	Russkaja
222	с этим	14	2
223	его и	2	2
224	того или	1	2
225	совершенно не	1	2
226	мы можем	5	2
227	а с	2	2
228	больше чем	1	2
229	и более	2	2
230	в таких	3	2
231	в котором	1	2
232	ее он	1	2
233	мы уже	4	2
234	она не	2	2
235	при отсутствии	1	2
236	в течение	1	2
237	не существуют	1	2
238	во многих	1	2
239	и тогда	3	2
240	и тем	3	2
241	быть и	2	2
242	в частности	2	2
243	для нее	1	2
244	а не	11	2
245	но она	1	2
246	только на	1	2
247	есть и	4	2
248	в силу	1	2
249	точно так	2	2
250	и что	3	2
251	и тот	2	2
252	на основании	1	2
253	этого не	2	2
254	в начале	3	2
255	по отношению	7	2
256	целый ряд	3	2
257	даже не	3	2
258	и те	1	2
259	этот вопрос	4	2
260	состоит в	3	2
261	на это	1	2
262	настоящее время	3	2
263	друг другу	1	2
264	они принадлежат	1	2
265	приводят к	3	2
266	благодаря этому	3	2
267	этом и	1	2
268	но в	4	2
269	и есть	3	2
270	так что	1	2
271	если они	2	2
272	как будто	2	2
273	всех людей	1	2
274	в области	1	2
275	но это	6	2
276	во время	6	2
277	в настоящее	3	2
278	если только	1	2
279	не можем	1	2
280	и наконец	1	2
281	к нему	3	2
282	тем не	7	1
283	всего в	1	1
284	этого и	1	1
285	однако и	1	1
286	не вызывает	1	1
287	мы прежде	1	1
288	никак нельзя	1	1
289	как это	7	1
290	что его	4	1
291	то они	2	1
292	и многие	1	1
293	один из	7	1
294	за ним	1	1
295	друг к	2	1
296	ничем не	2	1
297	на эти	1	1
298	же и	1	1
299	они не	3	1
300	вообще не	2	1
301	одна не	1	1
302	себе представить	1	1
303	и материал	1	1
304	а по	3	1
305	те элементы	2	1
306	это будет	1	1
307	которые не	1	1
308	время и	1	1
309	отношению к	7	1
310	собой в	2	1
311	сделать эти	1	1
312	они имеют	1	1
313	других и	1	1
314	мы не	8	1
315	на ее	1	1
316	в состоянии	1	1
317	из таких	2	1
318	с этой	3	1
319	это не	6	1
320	он как	1	1
321	в применении	1	1
322	можно назвать	3	1
323	самых различных	2	1
324	даже в	1	1
325	если о	1	1
326	переносится в	1	1
327	ни было	2	1
328	а этой	1	1
329	уже знаем	1	1
330	бы на	1	1
331	чрезвычайно разнообразны	1	1
332	очевидно также	1	1
333	этом отношении	2	1
334	многие из	1	1
335	о себе	1	1
336	что при	3	1
337	в сущности	3	1
338	в ее	1	1
339	на ряду	1	1
340	что так	1	1
341	эти задачи	2	1
342	так и	10	1
343	следить за	1	1
344	привести к	1	1
345	указывается и	1	1
346	мало того	1	1
347	те же	1	1
348	стороны их	2	1
349	и за	2	1
350	и рядом	1	1
351	части одной	1	1
352	в полном	1	1
353	в тот	1	1
354	не являются	1	1
355	остановиться на	1	1
356	второй вид	1	1
357	не столько	1	1
358	с другими	2	1
359	силу и	1	1
360	но этого	1	1
361	борьбы с	1	1
362	постольку поскольку	1	1
363	быть достигнуто	1	1
364	наоборот это	1	1
365	но на	1	1
366	не на	2	1
367	именно по	1	1
368	церковь и	1	1
369	от своих	1	1
370	совершенно ясно	1	1
371	одним общим	1	1
372	а на	3	1
373	на каком	1	1
374	как же	3	1
375	что ни	2	1
376	по пути	1	1
377	материал для	1	1
378	он имеет	1	1
379	или не	3	1
380	здесь мы	3	1
381	на которых	1	1
382	в которой	3	1
383	от тех	1	1
384	и некоторые	1	1
385	в собственном	3	1
386	как видно	1	1
387	не случайны	1	1
388	наталкиваемся на	1	1
389	иногда соединяется	1	1
390	это положение	2	1
391	показать что	4	1
392	самостоятельно и	1	1
393	дело в	1	1
394	мысль о	1	1
395	из двух	3	1
396	оно есть	1	1
397	которое в	1	1
398	лишь постольку	1	1
399	что не	1	1
400	в обмен	3	1
401	они их	1	1
402	и другое	1	1
403	исходят из	2	1
404	а если	4	1
405	его жизнь	1	1
406	а то	3	1
407	и действительно	1	1
408	превращается в	2	1
409	к освобождению	1	1
410	здесь же	3	1
411	если он	2	1
412	исходить из	1	1
413	или другие	1	1
414	случае не	4	1
415	тем же	2	1
416	в связи	10	1
417	лишь с	2	1
418	с ними	1	1
419	этой цели	1	1
420	завело бы	1	1
421	но по	1	1
422	между прочим	1	1
423	к другу	2	1
424	при ближайшем	1	1
425	и просто	1	1
426	в которых	2	1
427	противном случае	1	1
428	роль в	2	1
429	не менее	7	1
430	особое значение	1	1
431	по своему	2	1
432	на все	1	1
433	бы не	1	1
434	этой новой	1	1
435	со своей	1	1
436	с своим	1	1
437	прочим и	1	1
438	как не	1	1
439	войти в	1	1
440	всего о	1	1
441	есть то	1	1
442	и это	1	1
443	обмен на	3	1
444	из одного	1	1
445	об этом	5	1
446	за другой	1	1
447	к созданию	1	1
448	и таким	2	1
449	так например	3	1
450	и у	3	1
451	вовсе не	6	1
452	могло бы	1	1
453	на другие	2	1
454	на первый	3	1
455	в одной	2	1
456	для решения	1	1
457	человека а	1	1
458	перед нами	14	1
459	вопроса о	3	1
460	бы в	2	1
461	всякому человеку	1	1
462	первый взгляд	3	1
463	причем эти	1	1
464	такое положение	1	1
465	к данной	1	1
466	если с	1	1
467	что эти	3	1
468	кроме тех	1	1
469	тем в	1	1
470	ко всему	1	1
471	это и	3	1
472	еще и	1	1
473	и хочет	1	1
474	но можно	1	1
475	может иметь	1	1
476	по количеству	1	1
477	можно сказать	2	1
478	но все	4	1
479	является результатом	2	1
480	но как	3	1
481	не является	4	1
482	и эти	1	1
483	наличности в	1	1
484	ряду с	1	1
485	бы к	1	1
486	в основе	2	1
487	бы показать	1	1
488	с самого	1	1
489	помощи которых	1	1
490	может создать	1	1
491	как та	1	1
492	не две	1	1
493	данный момент	1	1
494	в очень	2	1
495	тех же	4	1
496	применении к	1	1
497	может спасти	1	1
498	но ведь	1	1
499	свое место	1	1
500	нельзя было	2	1
501	он был	1	1
502	где есть	1	1
503	случае и	1	1
504	чему не	2	1
505	бывают и	1	1
506	она могла	1	1
507	говорить не	1	1
508	в свою	1	1
509	входит в	4	1
510	следует считаться	1	1
511	можно лишь	2	1
512	это то	1	1
513	также и	6	1
514	ту же	2	1
515	то придется	1	1
516	однако если	1	1
517	это его	1	1
518	какие же	1	1
519	не по	2	1
520	элементы для	1	1
521	быть не	1	1
522	нас слишком	1	1
523	а после	1	1
524	первый случай	1	1
525	и задача	1	1
526	не всегда	10	1
527	собой только	1	1
528	значение и	3	1
529	решить вопрос	2	1
530	имеет в	1	1
531	что касается	1	1
532	те или	1	1
533	только один	1	1
534	то все	1	1
535	на нем	3	1
536	или иных	1	1
537	и их	3	1
538	на некотором	1	1
539	не исключает	2	1
540	что эта	2	1
541	всех других	2	1
542	на его	5	1
543	в различных	2	1
544	и когда	2	1
545	для данного	1	1
546	что данный	1	1
547	также может	3	1
548	у кого	1	1
549	иметь в	1	1
550	задачи и	1	1
551	эта задача	1	1
552	что ее	1	1
553	неожиданно и	1	1
554	этих случаях	15	1
555	существовать и	1	1
556	это завело	1	1
557	которое будет	1	1
558	самого начала	1	1
559	свою очередь	1	1
560	а во	3	1
561	на свое	1	1
562	им в	1	1
563	их и	1	1
564	всего этого	1	1
565	могла бы	4	1
566	в данной	2	1
567	с ее	1	1
568	с другой	9	1
569	с большой	2	1
570	как мы	8	1
571	известной степени	1	1
572	из нее	1	1
573	по их	5	1
574	же самое	1	1
575	красоту и	1	1
576	может ли	1	1
577	к ней	3	1
578	без всякого	2	1
579	ее не	1	1
580	если мы	6	1
581	мог бы	1	1
582	могут быть	21	1
583	с большим	1	1
584	фактически не	1	1
585	слишком далеко	1	1
586	формы в	1	1
587	игру в	1	1
588	и все	1	1
589	образом как	1	1
590	играют в	2	1
591	на него	4	1
592	ход и	2	1
593	должны быть	2	1
594	особой формой	1	1
595	эту мысль	1	1
596	эти признаки	1	1
597	задачи а	1	1
598	теми же	1	1
599	на этот	2	1
600	он может	2	1
601	что о	2	1
602	такой же	1	1
603	сведения о	1	1
604	все виды	1	1
605	чаще всего	11	1
606	до известной	1	1
607	оно является	1	1
608	оно может	4	1
609	в создании	1	1
610	же может	2	1
611	к этому	4	1
612	тех или	1	1
613	в противном	1	1
614	только такое	1	1
615	оказывается что	1	1
616	для достижения	1	1
617	само собой	1	1
618	в отдельных	3	1
619	надо было	1	1
620	происходит при	1	1
621	может и	1	1
622	для чего	1	1
623	к своей	1	1
624	не удалось	1	1
625	точно также	1	1
626	же он	1	1
627	и сама	1	1
628	они могут	1	1
629	имеет свою	1	1
630	в один	3	1
631	дает ему	1	1
632	нет если	1	1
633	в лице	1	1
634	в одну	2	1
635	случае когда	1	1
636	гораздо труднее	1	1
637	есть не	1	1
638	где мы	1	1
639	иное как	2	1
640	людей в	1	1
641	его можно	1	1
