N	2gram	Nazirov_Vr	Tragedij
119	в записках	1	2
120	не был	1	2
121	с первого	1	2
122	не имеет	1	2
123	и я	1	2
124	права на	2	2
125	что этот	1	2
126	раз и	1	2
127	он был	3	2
128	потому что	1	2
129	и дети	2	2
130	отцы и	2	2
131	в рассказе	1	2
132	он не	3	2
133	для достоевского	1	2
134	в частности	1	2
135	из мертвого	1	2
136	и детей	4	2
137	но они	1	2
138	в это	2	2
139	точно так	1	2
140	в одном	1	2
141	в письмах	2	2
142	мертвого дома	1	2
143	по сей	1	2
144	отношение к	2	2
145	что князь	3	2
146	году в	2	2
147	до конца	1	2
148	в глазах	2	2
149	верховенского в	1	2
150	столь же	2	2
151	одна из	2	2
152	ставрогина он	3	2
153	с его	3	2
154	белых ночей	1	2
155	тут же	1	2
156	не мог	2	2
157	тем что	3	2
158	не просто	1	2
159	только о	1	2
160	и ее	2	2
161	никогда не	2	2
162	в известной	1	2
163	ничего не	1	2
164	друг друга	1	2
165	в той	2	1
166	в лицо	2	1
167	в особенности	1	1
168	все в	1	1
169	во всем	1	1
170	то в	1	1
171	с помощью	1	1
172	близок к	1	1
173	романа с	1	1
174	роман бесы	1	1
175	могут быть	1	1
176	впрочем он	1	1
177	только не	1	1
178	мы бы	1	1
179	к сожалению	1	1
180	сегодня мы	1	1
181	с последним	1	1
182	отчасти использовал	1	1
183	таким образом	2	1
184	по всем	1	1
185	сам же	1	1
186	период создания	1	1
187	на ранней	1	1
188	не знал	1	1
189	достоевского и	7	1
190	в петербурге	1	1
191	только что	1	1
192	героев романа	1	1
193	также что	1	1
194	того как	1	1
195	к этой	1	1
196	и верховенский	1	1
197	знать и	1	1
198	которой не	1	1
199	хочет сделать	1	1
200	его с	2	1
201	увидел что	1	1
202	к себе	2	1
203	из сибири	1	1
204	что уже	1	1
205	ресторане бореля	1	1
206	в твери	1	1
207	антинигилистических романов	1	1
208	в стиле	1	1
209	и далее	2	1
210	года с	1	1
211	в комментариях	1	1
212	что эта	1	1
213	т е	3	1
214	романа в	1	1
215	его ума	1	1
216	того что	1	1
217	тем не	1	1
218	в недрах	1	1
219	сравняться с	1	1
220	о нем	6	1
221	для нас	4	1
222	только достоевский	1	1
223	и достоевский	2	1
224	одному из	1	1
225	как он	1	1
226	достоевского к	3	1
227	роман в	1	1
228	же не	2	1
229	х годов	4	1
230	из хозяйки	1	1
231	на творчество	1	1
232	перед сном	1	1
233	в виду	4	1
234	иными словами	1	1
235	быть может	1	1
236	я очень	1	1
237	не социалист	1	1
238	и достоевским	1	1
239	третий раз	1	1
240	этом романе	1	1
241	в столицу	1	1
242	обращается в	1	1
243	молодого достоевского	2	1
244	за что	1	1
245	с нечаевым	1	1
246	не было	5	1
247	ко всем	1	1
248	в духе	1	1
249	но он	3	1
250	возникший в	1	1
251	этого не	1	1
252	долга и	1	1
253	над бесами	1	1
254	а также	2	1
255	сказал что	1	1
256	года а	1	1
257	в россии	5	1
258	их характеры	1	1
259	тот кто	1	1
260	заключается в	1	1
261	на нее	1	1
262	одним из	3	1
263	ненависти и	1	1
264	же хуже	1	1
265	верховенского с	1	1
266	не есть	1	1
267	именно в	1	1
268	в третий	1	1
269	представление о	1	1
270	да я	1	1
271	достоевского не	4	1
272	сходство с	1	1
273	гиперболизированный ситников	1	1
274	от злости	1	1
275	в связи	3	1
276	бедных людей	5	1
277	с такими	1	1
278	и своею	1	1
279	в своей	2	1
280	рядом с	2	1
281	вместе с	2	1
282	русского революционера	1	1
283	что ж	2	1
284	оказалось что	1	1
285	них он	1	1
286	хорошо знает	1	1
287	роль в	1	1
288	не менее	2	1
289	ввел в	1	1
290	еще к	1	1
291	и тонко	1	1
292	на стол	1	1
293	свое понимание	1	1
294	навсегда и	1	1
295	но у	1	1
296	это было	1	1
297	из черновиков	4	1
298	для публики	1	1
299	в чем	3	1
300	ли это	1	1
301	в момент	2	1
302	матери и	3	1
303	но мы	1	1
304	человеком и	1	1
305	и стал	2	1
306	тогда как	2	1
307	гораздо больше	1	1
308	года и	1	1
309	бы в	1	1
310	в черновиках	3	1
311	в них	2	1
312	на них	1	1
313	нашему мнению	1	1
314	и образ	1	1
315	при создании	2	1
316	во всех	1	1
317	а поскольку	1	1
318	во всяком	1	1
319	отцов и	4	1
320	это и	1	1
321	о себе	3	1
322	портрет и	1	1
323	чтоб я	1	1
324	но как	2	1
325	№ он	1	1
326	это как	1	1
327	в котором	6	1
328	ему в	1	1
329	возвращается к	1	1
330	не могли	1	1
331	эти строки	1	1
332	а ставрогин	1	1
333	ему нужно	1	1
334	роману отцы	1	1
335	он обратился	1	1
336	которой он	1	1
337	связи с	3	1
338	встречался с	1	1
339	к роману	1	1
340	образа петра	1	1
341	не любил	1	1
342	эти слова	3	1
343	чтобы он	3	1
344	достоевский и	8	1
345	одну из	1	1
346	но не	1	1
347	между тем	5	1
348	обратился к	1	1
349	в ней	4	1
350	iii князь	1	1
351	ранней стадии	1	1
352	в условиях	1	1
353	к своей	1	1
354	года во	1	1
355	он стал	1	1
356	тургеневскому роману	1	1
357	в развитии	1	1
358	и такую	1	1
359	над которым	1	1
360	никого не	1	1
361	а за	1	1
362	и их	1	1
363	очень хорошо	2	1
364	и ненависти	1	1
365	один раз	1	1
366	не могла	1	1
367	свой роман	1	1
368	это была	1	1
369	исповеди ставрогина	1	1
370	в форме	1	1
371	к смерти	1	1
372	а между	1	1
373	конечно в	1	1
374	себя на	1	1
375	романе бесы	2	1
376	доходит до	1	1
377	творчества достоевского	1	1
378	их отношения	1	1
379	что ее	1	1
380	в истории	4	1
381	по своей	1	1
382	человека с	2	1
383	стал смотреть	1	1
384	идиот и	1	1
385	вы не	1	1
386	в обоих	1	1
387	так он	1	1
388	человека и	1	1
389	самую суть	1	1
390	меня как	2	1
391	и т.д	1	1
392	у которого	1	1
393	опошленного нигилизма	1	1
394	годов в	1	1
395	до исступления	1	1
396	иисуса христа	1	1
397	это же	1	1
398	…> я	1	1
399	а достоевский	2	1
400	достоевский всегда	2	1
401	к ним	2	1
402	или вообще	1	1
403	в эпизоде	1	1
404	ее матери	1	1
405	имя его	1	1
406	у себя	1	1
407	достоевского этот	1	1
408	во многом	4	1
409	и о	3	1
410	ее не	1	1
411	наряду с	3	1
412	руку и	1	1
413	той же	1	1
414	петруша это	1	1
415	он сказал	1	1
416	только по	1	1
417	на пороге	1	1
418	из подполья	3	1
419	в высшей	1	1
420	из первых	1	1
421	и от	1	1
422	и есть	1	1
423	роль играет	1	1
424	с которым	2	1
425	образа князя	1	1
426	романа отцы	1	1
427	он использовал	3	1
428	на этот	1	1
429	никому не	1	1
430	всю жизнь	1	1
431	но я	1	1
432	году и	2	1
433	в период	2	1
434	а это	1	1
435	за год	2	1
436	м м	2	1
437	время он	2	1
438	в литературе	1	1
439	даже некоторые	1	1
440	в декабре	1	1
441	это в	2	1
442	я вижу	1	1
443	всяком случае	1	1
444	эту сцену	2	1
445	глаза в	1	1
446	конце концов	1	1
447	враждебное отношение	1	1
448	событий и	1	1
449	ее своей	1	1
450	ни разу	1	1
451	из высшей	1	1
452	составляет самую	1	1
453	декабре года	1	1
454	и наконец	1	1
455	некоторые черты	1	1
456	вплоть до	1	1
457	с улыбкой	1	1
458	время с	1	1
459	по нашему	3	1
460	чем у	1	1
461	поэтому он	1	1
462	высшей степени	1	1
