N	2gram	Trubetskoy	VrazhdaK
297	на первое	1	1
298	живет в	1	1
299	одну из	1	1
300	совсем не	1	1
301	так называемую	2	1
302	только как	1	1
303	не всегда	2	1
304	больше не	2	1
305	тех пор	2	1
306	к своей	1	1
307	позволяет нам	1	1
308	быть и	2	1
309	с помощью	1	1
310	и лишь	1	1
311	но зато	1	1
312	нужно было	1	1
313	целым рядом	1	1
314	отличается не	1	1
315	не могло	2	1
316	но они	1	1
317	и их	1	1
318	не с	2	1
319	всех этих	1	1
320	точно так	3	1
321	не могла	2	1
322	людей и	2	1
323	к смерти	1	1
324	вслед за	2	1
325	этот факт	2	1
326	русский народ	3	1
327	привела к	1	1
328	по своей	2	1
329	к людям	1	1
330	человека и	1	1
331	в каком	1	1
332	без труда	1	1
333	свою очередь	1	1
334	вся русская	1	1
335	и т.д	6	1
336	указания на	1	1
337	идет о	1	1
338	этот период	2	1
339	как известно	1	1
340	россии а	1	1
341	с другой	8	1
342	было бы	1	1
343	одним лишь	1	1
344	некоторое время	1	1
345	под руку	1	1
346	или вообще	1	1
347	свил себе	1	1
348	среди них	2	1
349	как на	8	1
350	не совсем	1	1
351	соответствии с	1	1
352	себя в	1	1
353	которых он	1	1
354	однако в	1	1
355	и никогда	1	1
356	затем в	1	1
357	той же	1	1
358	заключается в	1	1
359	могут быть	1	1
360	имя его	2	1
361	из первых	1	1
362	к которому	2	1
363	и раньше	1	1
364	и разрыв	1	1
365	и от	4	1
366	и есть	1	1
367	тем чтобы	5	1
368	во всей	1	1
369	в силу	5	1
370	на этот	4	1
371	по крайней	5	1
372	такой же	1	1
373	в уме	1	1
374	и дал	1	1
375	из этого	2	1
376	не стоит	1	1
377	от них	2	1
378	этом отношении	2	1
379	а следовательно	1	1
380	всяком случае	6	1
381	конце концов	3	1
382	друг друга	1	1
383	с ее	1	1
384	из него	2	1
385	бы в	1	1
386	того же	6	1
387	восходят к	1	1
388	рядом деталей	1	1
389	крайней мере	5	1
390	одного и	1	1
391	и наконец	2	1
392	ничего не	1	1
393	вплоть до	2	1
394	и чувств	1	1
395	и самый	1	1
396	к нему	7	1
397	видную роль	1	1
398	котором он	1	1
