N	3gram	Vinokur_St	Istorich
412	отношении что они	2	1
413	и черты его	1	1
414	в которых он	1	1
415	но уже без	1	1
416	работа никогда не	1	1
417	в высшей степени	1	1
418	которая была бы	1	1
419	но и он	1	1
420	том что к	1	1
421	это вовсе не	1	1
422	внимание только на	1	1
423	для нас особенно	1	1
424	в качестве мотивировки	1	1
425	то же время	5	1
426	никогда не было	1	1
427	в полном одиночестве	1	1
428	в значительной степени	2	1
429	отношению к своему	1	1
430	не говорится о	1	1
431	и в этом	4	1
432	показать что и	1	1
433	и дело что	1	1
434	и эти два	1	1
435	с нашей точки	1	1
436	во второй половине	1	1
437	что он делает	1	1
438	тому что в	2	1
439	на той же	1	1
440	ни один человек	1	1
441	того или иного	4	1
442	этот вопрос можно	1	1
443	совсем не трудно	1	1
444	что то что	1	1
445	при таком положении	2	1
446	это ничего не	1	1
447	уже и сейчас	1	1
448	так как по	1	1
449	таким образом этот	1	1
450	в какой-то степени	1	1
451	они их не	1	1
452	к концу жизни	1	1
453	в одно целое	1	1
454	академии наук в	1	1
455	он не сумел	1	1
456	в которой он	1	1
457	ту или иную	1	1
458	в такой форме	1	1
459	и не в	1	1
460	что у меня	1	1
461	в то же	5	1
462	же значение как	1	1
463	не говоря уже	2	1
464	кажется что в	1	1
465	что и у	1	1
466	заключается в том	4	1
467	с которыми он	2	1
468	тому времени когда	1	1
469	я не могу	2	1
470	всякий раз когда	1	1
471	вообще не существует	2	1
472	но в то	2	1
473	мысль о том	1	1
474	орудием в руках	1	1
475	это прежде всего	2	1
476	его и т	1	1
477	у меня в	2	1
478	всяком случае не	2	1
479	теперь ничего не	1	1
480	представление о том	1	1
481	и хотя это	1	1
482	а не самим	1	1
483	как это делает	1	1
484	не то что	1	1
485	всяком случае в	2	1
486	должен был бы	1	1
487	который судя по	1	1
488	в каких условиях	1	1
489	потому что они	1	1
490	но с другой	2	1
