N	2gram	Tiupa_Disk	Sovremen
108	на их	1	2
109	не могут	2	2
110	в новых	1	2
111	в виде	1	2
112	со всеми	1	2
113	свою очередь	3	2
114	первые два	1	2
115	и даже	4	2
116	как известно	1	2
117	самом деле	2	2
118	в которой	2	2
119	но все	2	2
120	некоторое время	1	2
121	к чему	2	2
122	необходимо отметить	1	2
123	же самое	2	2
124	тот или	2	2
125	как мы	2	2
126	развития в	1	2
127	тем же	1	2
128	и во	2	2
129	той же	2	2
130	о жизни	1	2
131	могут быть	5	2
132	в таком	1	2
133	в нашем	2	2
134	уже не	7	2
135	не знаем	1	2
136	и есть	2	2
137	и они	1	2
138	или иной	8	2
139	и именно	1	2
140	на этот	1	2
141	такой же	1	2
142	на этом	3	2
143	роль в	10	2
144	не менее	6	2
145	так сказать	3	2
146	приводит к	4	2
147	и по	2	2
148	времени и	5	2
149	в и	1	2
150	из одного	1	2
151	всяком случае	2	2
152	он должен	1	2
153	жизни но	2	1
154	во всех	6	1
155	которые в	1	1
156	совершенно иными	1	1
157	к которому	2	1
158	это и	2	1
159	его и	1	1
160	этом случае	3	1
161	в свое	3	1
162	и составляет	3	1
163	искать в	1	1
164	том случае	1	1
165	а потому	1	1
166	во втором	5	1
167	человека в	6	1
168	к различным	2	1
169	но как	2	1
170	то они	1	1
171	поэтому что	1	1
172	немного в	1	1
173	не является	5	1
174	в данном	9	1
175	до сих	1	1
176	он уже	1	1
177	и более	1	1
178	по преимуществу	2	1
179	в действительности	3	1
180	в такого	2	1
181	опирается на	2	1
182	все три	1	1
183	действия в	1	1
184	от его	1	1
185	предыдущей главе	1	1
186	в процессе	6	1
187	данном случае	6	1
188	не имеют	2	1
189	связи с	4	1
190	раз и	1	1
191	этот процесс	1	1
192	если в	2	1
193	на язык	1	1
194	указать на	3	1
195	должно быть	2	1
196	к области	2	1
197	это как	1	1
198	заключать в	1	1
199	в первый	1	1
200	его с	2	1
201	идет о	2	1
202	она не	1	1
203	на ее	2	1
204	стадии развития	2	1
205	одной стороны	12	1
206	и ни	1	1
207	на друга	1	1
208	но такая	1	1
209	мы имеем	4	1
210	быть в	1	1
211	в другом	5	1
212	не стремится	1	1
213	потом и	2	1
214	несмотря на	1	1
215	том как	1	1
216	не быть	1	1
217	в ней	2	1
218	друг на	1	1
219	человека как	1	1
220	обладает способностью	1	1
221	научной мысли	1	1
222	принципиального различия	1	1
223	хотя и	3	1
224	человек с	1	1
225	с другой	14	1
226	в этот	1	1
227	это уже	1	1
228	на которых	1	1
229	что вся	1	1
230	он не	4	1
231	себя самого	2	1
232	и т.п	18	1
233	не соответствует	1	1
234	развития и	1	1
235	не будет	1	1
236	что с	2	1
237	те же	1	1
238	между двумя	1	1
239	энтелехия не	1	1
240	вследствие этого	4	1
241	аналогии с	2	1
242	красоты в	1	1
243	в область	1	1
244	как у	1	1
245	и вся	1	1
246	поэтому в	2	1
247	совпадают с	2	1
248	только на	2	1
249	но они	3	1
250	и их	1	1
251	не приходится	2	1
252	для своего	3	1
253	на многочисленные	1	1
254	принципиальные различия	1	1
255	и при	1	1
256	в известном	1	1
257	на самом	1	1
258	одному и	1	1
259	поставленный вопрос	1	1
260	смысле можно	1	1
261	здесь в	4	1
262	что каждый	1	1
263	для них	1	1
264	системы а	1	1
265	из нескольких	1	1
266	и должно	2	1
267	xix века	1	1
268	ни в	7	1
269	но только	1	1
270	новое время	1	1
271	и от	2	1
272	в начале	2	1
273	его таким	1	1
274	этом направлении	1	1
275	по отношению	13	1
276	еще в	6	1
277	но отнюдь	2	1
278	утверждает что	1	1
279	значении в	1	1
280	стороны и	3	1
281	и само	2	1
282	и те	1	1
283	только в	9	1
284	позиции в	1	1
285	не способна	1	1
286	которая не	1	1
287	углом зрения	1	1
288	различия между	3	1
289	же время	9	1
290	и может	3	1
291	не случайно	2	1
292	которых она	1	1
293	выбора между	4	1
294	его в	1	1
295	собственно и	3	1
296	то она	2	1
297	в обоих	1	1
298	с понятием	2	1
299	отметить что	1	1
300	в большинстве	3	1
301	с человеком	3	1
302	в конечном	2	1
303	в своих	6	1
304	не было	9	1
305	в предыдущей	1	1
306	с его	9	1
307	ни изменить	1	1
308	один из	3	1
309	был прежде	1	1
310	не более	3	1
311	если бы	1	1
312	иного типа	1	1
313	и несколько	1	1
314	не знает	4	1
315	или в	2	1
316	под углом	1	1
317	заключает в	1	1
318	свою задачу	1	1
319	состояния в	1	1
320	а о	2	1
321	этого не	1	1
322	можно говорить	2	1
323	равно как	1	1
324	ни о	2	1
325	к одному	2	1
326	наших дней	2	1
327	их по	1	1
328	и еще	1	1
329	как их	2	1
330	что его	1	1
331	оно приобретает	1	1
332	как его	2	1
333	может ли	1	1
334	функций и	1	1
335	для каждого	1	1
336	дело в	3	1
337	крайней мере	3	1
338	известном смысле	1	1
339	сами по	2	1
340	одного из	5	1
341	в данной	3	1
342	же как	1	1
343	сказать что	4	1
344	быть только	1	1
345	это пока	1	1
346	почему и	1	1
347	жизни как	2	1
348	но для	2	1
349	именно в	5	1
350	и действительно	1	1
351	и до	2	1
352	представление о	1	1
353	конечном счете	2	1
354	это делает	1	1
355	на какое-нибудь	1	1
356	отношению к	13	1
357	одной из	4	1
358	же мере	1	1
359	теоретического познания	1	1
360	случае не	1	1
361	в своем	11	1
362	она и	1	1
363	необходимости и	1	1
364	по аналогии	2	1
365	этом смысле	1	1
366	может оказаться	1	1
367	в связи	1	1
368	начала мы	1	1
369	в какой	2	1
370	одни и	1	1
371	всей ситуации	1	1
372	между ними	1	1
373	цель и	1	1
374	такого случая	1	1
375	может стать	1	1
376	же в	1	1
377	произойти в	1	1
378	том что	27	1
379	обоих случаях	1	1
380	характерное для	1	1
381	до наших	1	1
382	в мире	9	1
383	и прежде	2	1
384	жизни в	4	1
385	но не	17	1
386	задача науки	1	1
387	так в	1	1
388	но если	1	1
389	они не	2	1
390	к концу	1	1
391	по себе	3	1
392	процесса и	1	1
393	он сам	2	1
394	базируется на	1	1
395	не имеет	1	1
396	со сцены	1	1
397	к этому	4	1
398	в такой	1	1
399	там где	1	1
400	нужды в	1	1
401	в то	8	1
402	функционируют как	1	1
403	и только	1	1
404	по своим	4	1
405	отказавшись от	1	1
406	другое дело	1	1
407	и следовательно	1	1
408	или нет	1	1
409	как целого	1	1
410	но это	3	1
411	независимо от	1	1
412	оно имеет	1	1
413	но уже	3	1
414	с ее	3	1
415	таким же	1	1
416	и это	3	1
417	точка зрения	3	1
418	того же	5	1
419	он осуществляет	1	1
420	читателя что	2	1
421	и развития	1	1
422	только о	2	1
423	должен быть	1	1
424	и его	4	1
425	жизни не	2	1
426	вовсе не	1	1
427	во внутреннем	1	1
428	присущие каждому	1	1
429	жизни где	1	1
430	о том	12	1
431	сих пор	1	1
432	и вообще	2	1
433	все перечисленные	1	1
434	мысли в	1	1
435	по крайней	3	1
436	жизненной практике	1	1
437	в новое	1	1
438	в основаниях	1	1
439	которая и	2	1
440	и нет	1	1
441	нам только	1	1
442	к другому	3	1
443	своего развития	1	1
444	к нему	1	1
445	никогда не	3	1
446	той или	6	1
447	на них	1	1
448	могли быть	1	1
449	свое время	3	1
450	а потом	2	1
