N	2gram	Tiupa_Lite	Sovremen
200	идет о	4	1
201	она не	1	1
202	не полно	1	1
203	ним и	1	1
204	что уже	1	1
205	одной стороны	8	1
206	как особого	1	1
207	только своей	1	1
208	и другую	1	1
209	мы имеем	2	1
210	и у	1	1
211	для наших	1	1
212	быть в	1	1
213	в другом	3	1
214	чем ее	1	1
215	несмотря на	3	1
216	в ней	4	1
217	которых он	1	1
218	из всех	1	1
219	ни было	2	1
220	на второй	2	1
221	положение в	1	1
222	с другой	11	1
223	обычно на	1	1
224	в этот	1	1
225	с ним	2	1
226	она уже	1	1
227	это уже	2	1
228	он не	4	1
229	себя самого	1	1
230	за собой	2	1
231	и т.п	14	1
232	ограничить свою	1	1
233	но тем	4	1
234	какой бы	1	1
235	между двумя	1	1
236	вследствие этого	1	1
237	те или	1	1
238	аналогии с	3	1
239	путь для	1	1
240	а затем	3	1
241	мы в	3	1
242	и вся	1	1
243	поэтому в	1	1
244	только на	3	1
245	но они	1	1
246	пока не	2	1
247	и всегда	2	1
248	элементов а	1	1
249	и соответственно	1	1
250	от общего	1	1
251	все что	3	1
252	обратном порядке	1	1
253	для своего	2	1
254	в известном	1	1
255	на самом	1	1
256	для них	2	1
257	можно было	3	1
258	xix века	6	1
259	но только	3	1
260	и от	1	1
261	в начале	4	1
262	по отношению	6	1
263	еще в	7	1
264	значении в	1	1
265	случая мы	1	1
266	стороны и	1	1
267	и само	3	1
268	а далее	1	1
269	и те	1	1
270	только в	8	1
271	которая не	2	1
272	все равно	1	1
273	бы два	1	1
274	же время	12	1
275	не случайно	5	1
276	свобода выбора	1	1
277	так же	1	1
278	его в	4	1
279	перед глазами	1	1
280	себе в	3	1
281	в большинстве	1	1
282	она продолжается	1	1
283	должен был	1	1
284	сравнительно с	1	1
285	в конечном	9	1
286	нашего столетия	4	1
287	в своих	5	1
288	не было	5	1
289	как например	1	1
290	с его	5	1
291	как будет	1	1
292	один из	7	1
293	силу и	1	1
294	на это	2	1
295	не более	2	1
296	если бы	1	1
297	оно вообще	1	1
298	не знает	3	1
299	или в	1	1
300	этого не	2	1
301	в обратном	1	1
302	ничего общего	2	1
303	образом если	1	1
304	к одному	1	1
305	без остатка	3	1
306	и еще	1	1
307	что его	3	1
308	в эту	1	1
309	же природы	1	1
310	так называемый	3	1
311	выбора не	1	1
312	мы говорим	1	1
313	дело в	3	1
314	крайней мере	2	1
315	держится на	1	1
316	одного из	4	1
317	о каком	1	1
318	же как	3	1
319	по существу	4	1
320	сказать что	1	1
321	и эта	1	1
322	системе и	1	1
323	в ту	1	1
324	жизни как	3	1
325	но для	1	1
326	xviii века	2	1
327	именно в	1	1
328	уже на	1	1
329	и до	1	1
330	конечном счете	8	1
331	это делает	1	1
332	мы это	1	1
333	при которой	1	1
334	стать действительностью	1	1
335	отношению к	4	1
336	одной из	2	1
337	более и	1	1
338	в своем	12	1
339	она и	1	1
340	по аналогии	3	1
341	мы ее	1	1
342	данного вида	1	1
343	может оказаться	1	1
344	в связи	4	1
345	в какой	2	1
346	между ними	1	1
347	во всей	1	1
348	в целый	1	1
349	может стать	1	1
350	у читателя	1	1
351	же в	6	1
352	том что	19	1
353	что такой	1	1
354	рядом с	1	1
355	в мире	9	1
356	и прежде	4	1
357	зрения для	1	1
358	на эту	1	1
359	жизни в	5	1
360	но не	8	1
361	так в	6	1
362	нельзя сказать	1	1
363	она по	1	1
364	здесь и	1	1
365	конце xix	1	1
366	они не	1	1
367	к концу	1	1
368	он сам	2	1
369	базируется на	1	1
370	не имеет	2	1
371	на какой	1	1
372	к этому	2	1
373	и сделал	1	1
374	в такой	1	1
375	все более	3	1
376	в то	12	1
377	и только	4	1
378	один и	1	1
379	многих его	1	1
380	в отдельных	1	1
381	это совершенно	1	1
382	только и	1	1
383	но это	2	1
384	но уже	2	1
385	и для	1	1
386	нас на	1	1
387	с ее	3	1
388	того же	5	1
389	все время	1	1
390	нет в	2	1
391	и если	1	1
392	должен быть	2	1
393	и его	7	1
394	его здесь	1	1
395	жизни не	2	1
396	и особенно	1	1
397	вовсе не	3	1
398	во внутреннем	1	1
399	жизни к	1	1
400	и свою	1	1
401	жизни где	1	1
402	о том	3	1
403	сих пор	1	1
404	есть не	2	1
405	все перечисленные	1	1
406	по крайней	2	1
407	и нет	4	1
408	к другому	1	1
409	человека и	2	1
410	к нему	1	1
411	никогда не	5	1
412	той или	1	1
413	могли быть	1	1
414	свое время	1	1
