N	2gram	Vinokur_St	Russkaja
176	из этих	7	3
177	для этого	2	3
178	всех этих	2	3
179	из них	11	3
180	того что	14	3
181	были бы	2	2
182	представить себе	1	2
183	на почве	2	2
184	не так	2	2
185	от него	1	2
186	вполне и	1	2
187	что с	4	2
188	именно на	1	2
189	для русской	2	2
190	за последнее	1	2
191	что такое	2	2
192	на совершенно	3	2
193	и вот	1	2
194	должна быть	3	2
195	время в	1	2
196	для себя	3	2
197	каждого отдельного	1	2
198	с самим	1	2
199	проявляется в	1	2
200	из всех	1	2
201	естественно что	2	2
202	для народа	1	2
203	в некоторых	3	2
204	для нас	7	2
205	видеть в	1	2
206	одному из	1	2
207	на которой	2	2
208	ни в	5	2
209	в результате	5	2
210	том и	1	2
211	в этих	5	2
212	у него	3	2
213	по себе	3	2
214	их не	1	2
215	чтобы в	1	2
216	и даже	8	2
217	если не	4	2
218	от друга	1	2
219	ее в	2	2
220	не о	2	2
221	а во-вторых	2	2
222	себя на	1	2
223	но совершенно	1	2
224	все эти	7	2
225	на себя	3	2
226	но для	3	2
227	том же	3	2
228	в таком	4	2
229	принадлежат к	1	2
230	отношения к	2	2
231	тому что	8	2
232	ему по	1	2
233	ясно что	10	2
234	не подлежит	2	2
235	так часто	1	2
236	их в	2	2
237	является не	4	2
238	и вместе	1	2
239	на эту	5	2
240	последнее время	1	2
241	отличается от	2	2
242	нисколько не	3	2
243	ведь в	1	2
244	так же	7	2
245	друг от	1	2
246	тогда как	1	2
247	в других	2	2
248	уже не	1	2
249	в меру	1	2
250	другом случае	1	2
251	работа по	1	2
252	с этим	6	2
253	его и	1	2
254	того или	4	2
255	совершенно не	7	2
256	мы можем	1	2
257	а с	6	2
258	за то	5	2
259	больше чем	3	2
260	и более	4	2
261	всю свою	1	2
262	в таких	1	2
263	в котором	11	2
264	в борьбе	1	2
265	даже и	2	2
266	она не	3	2
267	при отсутствии	1	2
268	в течение	7	2
269	но даже	1	2
270	это только	1	2
271	это разумеется	1	2
272	в ней	9	2
273	во многих	3	2
274	и тогда	2	2
275	и тем	3	2
276	быть и	2	2
277	в частности	6	2
278	а не	19	2
279	только на	1	2
280	отношении к	3	2
281	речь идет	6	2
282	и является	1	2
283	точно так	2	2
284	и что	8	2
285	не должен	2	2
286	чтобы она	1	2
287	время когда	1	2
288	и тот	1	2
289	на основании	2	2
290	в начале	5	2
291	факт что	6	2
292	по отношению	3	2
293	целый ряд	3	2
294	даже не	5	2
295	тем самым	2	2
296	и те	4	2
297	тот факт	5	2
298	этот вопрос	6	2
299	отметить что	4	2
300	дела не	1	2
301	на это	2	2
302	зависимость от	1	2
303	свою задачу	1	2
304	настоящее время	2	2
305	только с	4	2
306	бы его	1	2
307	этом и	2	2
308	в глазах	1	2
309	что только	2	2
310	и от	2	2
311	но в	16	2
312	и есть	1	2
313	по этому	5	2
314	место в	2	2
315	так что	8	2
316	самом себе	1	2
317	и о	4	2
318	согласиться с	1	2
319	как будто	5	2
320	бы ни	3	2
321	в области	16	2
322	это в	4	2
323	некоторых из	1	2
324	или иного	4	2
325	но это	9	2
326	во время	5	2
327	будет в	1	2
328	не просто	2	2
329	в настоящее	2	2
330	свое собственное	1	2
331	разумеется что	5	2
332	не к	2	2
333	к нему	2	2
334	всякого давления	1	1
335	когда он	1	1
336	тем не	4	1
337	при жизни	2	1
338	иначе говоря	1	1
339	ближе к	1	1
340	люди которые	3	1
341	том чем	1	1
342	связан с	3	1
343	однако и	2	1
344	все попытки	1	1
345	только не	2	1
346	сколько и	1	1
347	как это	6	1
348	что его	1	1
349	и заняться	2	1
350	эпохи не	3	1
351	еще одну	1	1
352	один из	1	1
353	и старая	1	1
354	для большинства	1	1
355	что у	8	1
356	фактом что	1	1
357	ясного и	1	1
358	и конечно	1	1
359	этому пути	1	1
360	хотелось бы	2	1
361	на эти	7	1
362	нет ни	3	1
363	же и	4	1
364	они не	2	1
365	вообще не	5	1
366	с существующими	1	1
367	то есть	2	1
368	на тех	1	1
369	себе представить	1	1
370	а по	1	1
371	которые не	3	1
372	нас не	3	1
373	которая в	1	1
374	время и	1	1
375	отношению к	3	1
376	том числе	3	1
377	которых мы	1	1
378	мы не	3	1
379	на ее	1	1
380	от которых	1	1
381	что значит	2	1
382	из таких	2	1
383	с этой	5	1
384	это не	8	1
385	можно спорить	1	1
386	в применении	3	1
387	можно назвать	3	1
388	даже в	5	1
389	то у	1	1
390	была бы	10	1
391	освободиться от	1	1
392	от которого	2	1
393	не для	3	1
394	ни было	1	1
395	бы на	1	1
396	упомянутой выше	1	1
397	человек с	1	1
398	в разных	1	1
399	на деле	1	1
400	а это	1	1
401	этом отношении	13	1
402	господствующей в	1	1
403	о себе	1	1
404	что при	3	1
405	в сущности	2	1
406	в ее	6	1
407	она стала	1	1
408	на ряду	1	1
409	это обстоятельство	1	1
410	что так	3	1
411	для борьбы	1	1
412	так и	15	1
413	он на	1	1
414	мало того	1	1
415	те же	1	1
416	причем все	2	1
417	действительно можно	1	1
418	и говорить	1	1
419	о которой	3	1
420	мы в	1	1
421	особых объяснений	1	1
422	и за	3	1
423	и рядом	1	1
424	неудивительно что	2	1
425	и всегда	2	1
426	в полном	1	1
427	не являются	3	1
428	остановиться на	1	1
429	не хочет	2	1
430	бы найти	1	1
431	не столько	6	1
432	чем для	1	1
433	россии никогда	1	1
434	собой разумеется	1	1
435	борьбы с	3	1
436	участию в	1	1
437	смысле этого	2	1
438	говорить что	1	1
439	чем должен	1	1
440	нетрудно было	1	1
441	котором она	1	1
442	но на	2	1
443	не на	3	1
444	к участию	1	1
445	тому же	2	1
446	там в	1	1
447	ставить в	1	1
448	целиком в	1	1
449	не была	2	1
450	а на	4	1
451	такого же	1	1
452	связь с	1	1
453	а там	1	1
454	на каком	1	1
455	что ни	2	1
456	по пути	1	1
457	материал для	6	1
458	в духе	2	1
459	он имеет	1	1
460	столько же	3	1
461	на которых	1	1
462	больше в	1	1
463	в которой	13	1
464	пребыванию в	1	1
465	а за	1	1
466	и некоторые	1	1
467	в свои	1	1
468	что к	1	1
469	с ней	1	1
470	от этих	1	1
471	что по	1	1
472	это положение	2	1
473	показать что	1	1
474	заключается в	5	1
475	русского языка	2	1
476	ближайшим образом	2	1
477	на свою	1	1
478	самостоятельно и	1	1
479	дело в	9	1
480	результате этого	1	1
481	мысль о	2	1
482	из двух	3	1
483	которое в	1	1
484	о своей	2	1
485	что не	3	1
486	когда речь	2	1
487	они их	1	1
488	в эпоху	3	1
489	с общим	1	1
490	и другое	1	1
491	а если	2	1
492	а то	3	1
493	отрицать что	1	1
494	вот это	1	1
495	и действительно	1	1
496	превращается в	2	1
497	представление о	5	1
498	очевидно что	1	1
499	народа это	1	1
500	здесь дело	2	1
501	если он	1	1
502	исходить из	1	1
503	бы все	3	1
504	или другие	1	1
505	более что	2	1
506	с одним	1	1
507	виде как	1	1
508	положение в	1	1
509	случае не	3	1
510	тем же	3	1
511	на другую	1	1
512	и без	4	1
513	в деле	3	1
514	мы теперь	1	1
515	похож на	1	1
516	к его	2	1
517	с ними	1	1
518	и внутренне	1	1
519	в праве	1	1
520	проблемы для	1	1
521	если и	1	1
522	же как	5	1
523	образцу на	1	1
524	и следовало	1	1
525	только то	1	1
526	между прочим	10	1
527	иначе и	2	1
528	в одно	1	1
529	есть самое	1	1
530	и просто	1	1
531	другом месте	2	1
532	при таком	2	1
533	в которых	5	1
534	есть только	2	1
535	которые являются	2	1
536	роль в	1	1
537	не менее	8	1
538	этого слова	2	1
539	перед собой	2	1
540	всех их	1	1
541	участвовать в	1	1
542	от этого	2	1
543	по своему	2	1
544	на все	2	1
545	этого вопроса	3	1
546	бы не	2	1
547	в истории	5	1
548	в такой	2	1
549	к какому	1	1
550	этого прежде	1	1
551	работа в	1	1
552	должно было	5	1
553	прочим и	1	1
554	состоящая в	1	1
555	как не	1	1
556	в свете	1	1
557	все обстоит	1	1
558	вследствие этого	1	1
559	на точку	2	1
560	что оба	2	1
561	и это	4	1
562	в сторону	2	1
563	а только	1	1
564	в гармонии	1	1
565	числе и	2	1
566	ради этой	1	1
567	об этом	9	1
568	должен быть	3	1
569	и стал	1	1
570	трудно видеть	1	1
571	и таким	1	1
572	так например	12	1
573	и у	2	1
574	вовсе не	24	1
575	представляется в	1	1
576	могло бы	3	1
577	и обратно	1	1
578	не трудно	4	1
579	в одной	3	1
580	тем более	4	1
581	по крайней	2	1
582	следует подчеркнуть	1	1
583	перед нами	1	1
584	связано с	1	1
585	казалось бы	1	1
586	культурного творчества	1	1
587	вопроса о	3	1
588	бы в	2	1
589	не был	1	1
590	на них	2	1
591	именно вследствие	1	1
592	образом при	1	1
593	которой на	1	1
594	чтобы сделать	2	1
595	является для	1	1
596	к данной	1	1
597	что эти	1	1
598	к одному	1	1
599	протестом против	1	1
600	наконец что	1	1
601	тем в	1	1
602	это и	5	1
603	дела от	1	1
604	еще и	5	1
605	и дело	2	1
606	нее так	1	1
607	наконец и	1	1
608	ни на	3	1
609	было не	3	1
610	и довольно	1	1
611	можно сказать	2	1
612	но все	9	1
613	тем у	2	1
614	является результатом	1	1
615	но как	1	1
616	особенно когда	1	1
617	всего необходимо	1	1
618	не является	5	1
619	и эти	2	1
620	ряду с	1	1
621	и других	1	1
622	в полной	1	1
623	в основе	4	1
624	каждая из	1	1
625	с самого	4	1
626	языка и	4	1
627	следовало бы	2	1
628	было а	1	1
629	язык и	1	1
630	его жизни	3	1
631	в очень	4	1
632	тех же	1	1
633	свои личные	1	1
634	применении к	3	1
635	сейчас не	1	1
636	той и	1	1
637	но ведь	8	1
638	усомниться в	1	1
639	нельзя было	1	1
640	или целиком	1	1
641	но которая	1	1
642	таким каким	1	1
643	действительно является	1	1
644	он был	5	1
645	случае и	2	1
646	принадлежит в	1	1
647	то и	1	1
648	доказать что	2	1
649	принципиально не	1	1
650	чем то	1	1
651	чтобы он	1	1
652	зрения в	2	1
653	входит в	1	1
654	ни один	2	1
655	но тогда	1	1
656	это то	1	1
657	также и	10	1
658	ту же	1	1
659	по сравнению	1	1
660	однако если	1	1
661	то нужно	2	1
662	это его	1	1
663	многих случаях	2	1
664	не отвечала	1	1
665	силе и	1	1
666	не по	5	1
667	но при	1	1
668	быть не	2	1
669	не быть	1	1
670	к новым	1	1
671	однако ни	2	1
672	этому и	1	1
673	а после	1	1
674	не должны	1	1
675	не всегда	2	1
676	и исторических	1	1
677	же у	1	1
678	характера в	1	1
679	относится не	1	1
680	же будет	1	1
681	в руках	2	1
682	борьбе против	1	1
683	существуют в	1	1
684	на чем	2	1
685	и теперь	2	1
686	что касается	4	1
687	те или	2	1
688	нею и	1	1
689	только один	1	1
690	этой статьи	2	1
691	то все	1	1
692	на нем	1	1
693	и вся	2	1
694	не могло	4	1
695	в истинности	2	1
696	и их	3	1
697	таким путем	2	1
698	что эта	5	1
699	на его	2	1
700	не дала	1	1
701	хотя в	2	1
702	видеть что	1	1
703	отказ от	1	1
704	не могла	2	1
705	и когда	1	1
706	эта последняя	1	1
707	на одну	1	1
708	но только	2	1
709	решения этого	1	1
710	борьба с	2	1
711	иметь в	2	1
712	это стремление	1	1
713	сомнению что	2	1
714	но дело	1	1
715	не следует	1	1
716	о самой	1	1
717	значительной степени	3	1
718	стороны и	1	1
719	является вполне	2	1
720	что такая	1	1
721	от своего	2	1
722	из нас	1	1
723	по своей	2	1
724	что когда	1	1
725	ведь на	1	1
726	борьбе за	1	1
727	самого начала	3	1
728	должны были	1	1
729	а во	3	1
730	всегда будет	2	1
731	которые существовали	1	1
732	в политическом	2	1
733	бы против	1	1
734	недавнего времени	2	1
735	им в	2	1
736	эти ошибки	1	1
737	их и	2	1
738	еще на	1	1
739	идет о	3	1
740	он еще	1	1
741	всегда и	1	1
742	могла бы	1	1
743	в данной	2	1
744	с другой	11	1
745	это же	1	1
746	с большой	1	1
747	как мы	1	1
748	в прошлом	1	1
749	и большинство	2	1
750	из нее	3	1
751	опять оказывается	1	1
752	по их	1	1
753	к ним	1	1
754	естественной но	1	1
755	к ней	1	1
756	явление в	1	1
757	основан на	1	1
758	без всякого	2	1
759	нет и	1	1
760	эти попытки	1	1
761	являются лишь	1	1
762	которых он	2	1
763	быть уверен	1	1
764	наука и	1	1
765	что во	3	1
766	у всех	1	1
767	если мы	1	1
768	что среди	1	1
769	крайней мере	2	1
770	тот кто	1	1
771	давления со	1	1
772	не верит	2	1
773	для всей	1	1
774	мог бы	1	1
775	в силе	1	1
776	он отстаивает	1	1
777	его личности	1	1
778	могут быть	5	1
779	не за	1	1
780	мечтать о	1	1
781	все-таки не	1	1
782	именно так	1	1
783	и все	3	1
784	в семью	1	1
785	условиях и	1	1
786	до конца	4	1
787	на него	3	1
788	к которому	4	1
789	должны быть	4	1
790	у некоторых	1	1
791	только при	1	1
792	в каждый	1	1
793	без того	1	1
794	в зависимости	2	1
795	образом в	1	1
796	столь же	5	1
797	не умеет	1	1
798	верить что	2	1
799	в общем	2	1
800	это делалось	1	1
801	на этот	5	1
802	никому не	1	1
803	что о	3	1
804	с реальными	1	1
805	исходит из	1	1
806	такой же	6	1
807	такую картину	1	1
808	нечего и	1	1
809	свидетельствуют о	2	1
810	яркое выражение	1	1
811	отправная точка	1	1
812	же мы	1	1
813	и проч	1	1
814	идет не	1	1
815	конкретно представить	1	1
816	выражение в	2	1
817	видно из	1	1
818	важно отметить	1	1
819	быть для	1	1
820	от них	1	1
821	к этому	4	1
822	оказывается что	1	1
823	случаев это	1	1
824	один общий	1	1
825	же это	3	1
826	само собой	1	1
827	для которых	3	1
828	в отдельных	2	1
829	бы это	2	1
830	что вся	1	1
831	для чего	1	1
832	к своей	1	1
833	у себя	1	1
834	событий и	1	1
835	точно также	1	1
836	а главное	1	1
837	был вполне	1	1
838	сам а	1	1
839	от степени	2	1
840	разницей что	1	1
841	точка зрения	1	1
842	того же	4	1
843	нетрудно заметить	1	1
844	в один	1	1
845	он с	1	1
846	в лице	1	1
847	в одну	1	1
848	уверен в	1	1
849	такой вид	1	1
850	найти в	1	1
851	что на	3	1
852	никак не	1	1
853	сомнений в	3	1
