N	2gram	Nazirov_Vr	Dialekti
459	ли он	1	2
460	не знали	1	2
461	возникает вопрос	1	2
462	входя в	1	2
463	совпадает с	1	2
464	это то	1	2
465	и образы	2	2
466	а о	1	2
467	у человека	1	2
468	я хотел	3	2
469	в обоих	1	2
470	же только	1	2
471	ее не	1	2
472	только при	1	2
473	не лучше	1	2
474	из него	1	2
475	бы его	1	2
476	был в	1	2
477	об их	2	2
478	как к	1	2
479	дает нам	1	2
480	и уж	1	2
481	он как	1	2
482	его и	2	2
483	что только	1	2
484	раз в	3	2
485	с которым	2	2
486	на нее	1	2
487	только два	1	2
488	не стоит	1	2
489	хорошо знает	1	2
490	ему не	1	2
491	ко мне	2	2
492	в стиле	1	2
493	человека в	3	2
494	выше и	1	2
495	– одна	1	2
496	в нашей	2	2
497	еще в	1	2
498	я покажу	1	2
499	на это	2	2
500	всего то	1	2
501	во многом	4	2
502	только по	1	2
503	и начинается	1	2
504	сердце и	1	2
505	в целом	1	2
506	тою же	1	1
507	заметим что	1	1
508	быть иначе	1	1
509	какая правда	1	1
510	вот она	1	1
511	этой аксиомы	1	1
512	одному из	1	1
513	говорилось в	1	1
514	сходство между	1	1
515	россии в	2	1
516	далее я	1	1
517	он далеко	1	1
518	людей а	1	1
519	у людей	1	1
520	которых наши	1	1
521	этого в	1	1
522	приближаемся к	1	1
523	можно объяснить	1	1
524	между прочим	1	1
525	не помогут	1	1
526	новая форма	1	1
527	давно уже	3	1
528	правда в	1	1
529	в молодости	1	1
530	похож на	1	1
531	равно не	1	1
532	начинается с	1	1
533	вижу что	1	1
534	привела к	1	1
535	нам уже	1	1
536	дома и	1	1
537	конечно гораздо	1	1
538	гораздо больше	1	1
539	при полном	1	1
540	это опять	1	1
541	нам не	1	1
542	почему собственно	1	1
543	руки его	1	1
544	важно и	1	1
545	вне его	1	1
546	которой он	1	1
547	и конечное	1	1
548	нем в	1	1
549	все свои	1	1
550	сложности и	1	1
551	что первая	1	1
552	впрочем тут	1	1
553	к своей	1	1
554	над которым	1	1
555	из своего	1	1
556	и выражение	1	1
557	что ее	1	1
558	у себя	1	1
559	этот человек	2	1
560	за него	1	1
561	так не	1	1
562	при виде	1	1
563	однажды в	1	1
564	а следовательно	1	1
565	вопрос и	1	1
566	в подобных	1	1
567	вот после	1	1
568	идет пока	1	1
569	человека к	1	1
570	один пример	1	1
571	собой в	1	1
572	что тип	1	1
573	к себе	2	1
574	наказания а	1	1
575	образ по	1	1
576	в недрах	1	1
577	чем у	1	1
578	это слово	1	1
579	несколько минут	1	1
580	вы только	1	1
581	христа и	1	1
582	крестьян и	1	1
583	и страшно	1	1
584	а за	1	1
585	общего ни	1	1
586	что за	1	1
587	о смерти	1	1
588	и всего	1	1
589	как говорит	1	1
590	– т	1	1
591	особенно резко	1	1
592	имеет никаких	1	1
593	несравненно более	1	1
594	всего он	1	1
595	эта была	1	1
596	одном из	1	1
597	и перед	1	1
598	что никто	1	1
599	и тонко	1	1
600	в эту	2	1
601	сказал он	2	1
602	с очень	1	1
603	и руки	1	1
604	меня но	2	1
605	выражение в	1	1
606	того в	1	1
607	действие в	1	1
608	ли не	1	1
609	чтобы он	3	1
610	мы приближаемся	1	1
611	только об	1	1
612	человека как	1	1
613	он стал	1	1
614	в развитии	1	1
615	его почти	1	1
616	того же	1	1
617	проникнуть в	1	1
618	же возникает	1	1
619	на свое	1	1
620	от вас	1	1
621	и никогда	1	1
622	нападает на	1	1
623	и общественную	1	1
624	он сказал	1	1
625	сам в	1	1
626	имя и	1	1
627	отражение и	1	1
628	же с	1	1
629	другой не	1	1
630	из-за этого	1	1
631	на место	2	1
632	и никому	1	1
633	пришел к	2	1
634	это во	1	1
635	приближается к	1	1
636	он весьма	1	1
637	всего была	1	1
638	пор мы	1	1
639	любил и	1	1
640	она появилась	1	1
641	от нас	1	1
642	глубине души	1	1
643	ней ничего	1	1
644	о которой	2	1
645	и холодным	1	1
646	факты их	1	1
647	это была	1	1
648	лет тому	1	1
649	перед ними	1	1
650	а отношение	1	1
651	за что	1	1
652	предполагать что	1	1
653	как при	1	1
654	из литературы	1	1
655	в романе	6	1
656	таинственного и	1	1
657	не знал	1	1
658	влияния на	1	1
659	бесы в	2	1
660	правда не	1	1
661	нас интересует	1	1
662	ему и	1	1
663	них он	1	1
664	развивать свои	1	1
665	из которого	1	1
666	в известном	2	1
667	во сне	1	1
668	и позитивно	1	1
669	могли быть	2	1
670	важно как	1	1
671	истории человечества	1	1
672	я ее	1	1
673	до исступления	1	1
674	и относительной	1	1
675	на основе	2	1
676	и лишь	1	1
677	не могло	1	1
678	к своим	1	1
679	очень хорошо	2	1
680	он хочет	1	1
681	тогда как	2	1
682	так он	1	1
683	каждый из	1	1
684	через него	1	1
685	жизнь только	1	1
686	которых он	1	1
687	разрушила эту	1	1
688	начиная с	2	1
689	как тот	1	1
690	до конца	1	1
691	увидел что	1	1
692	и раньше	1	1
693	согласен что	1	1
694	– этого	1	1
695	том же	2	1
696	года и	1	1
697	на губах	1	1
698	материал и	1	1
699	другой раз	1	1
700	указанием на	1	1
701	прямо в	1	1
702	высшей степени	1	1
703	близок к	1	1
704	попадает в	1	1
705	короче говоря	1	1
706	ему в	1	1
707	пользу и	1	1
708	и кончая	1	1
709	веру в	1	1
710	не будем	1	1
711	бороться против	1	1
712	в литературе	1	1
713	романе достоевского	1	1
714	никуда не	1	1
715	имел в	3	1
716	без внимания	1	1
717	эта попытка	1	1
718	имя не	1	1
719	столь же	2	1
720	что к	2	1
721	а также	2	1
722	в ту	1	1
723	этот раз	1	1
724	и своею	1	1
725	за одну	1	1
726	намеком на	1	1
727	что пишет	1	1
728	что тот	1	1
729	наконец характер	1	1
730	не все	1	1
731	еще до	1	1
732	то пожалуйста	1	1
733	свете этой	1	1
734	такие же	1	1
735	может идти	1	1
736	одну из	1	1
737	перейдя в	1	1
738	чтобы потом	1	1
739	что образ	1	1
740	к смерти	1	1
741	конечно в	1	1
742	этот факт	1	1
743	человека с	2	1
744	что из	1	1
745	и явно	1	1
746	не хотел	1	1
747	вот ее	1	1
748	силу которой	1	1
749	вам это	1	1
750	о совпадении	1	1
751	тем чтобы	1	1
752	никому не	1	1
753	что о	1	1
754	в другую	1	1
755	в эти	2	1
756	это в	2	1
757	которых не	1	1
758	теперь это	1	1
759	событий и	1	1
760	ни разу	1	1
761	нетрудно заметить	1	1
