N	3gram	Nazirov_Tv	StatiiOP
189	в соответствии с	7	1
190	котором говорилось выше	1	1
191	в каждом из	1	1
192	по себе не	1	1
193	времени в первой	1	1
194	и не мог	1	1
195	том что я	1	1
196	скромное место в	1	1
197	потому что не	1	1
198	это означало бы	1	1
199	является одним из	3	1
200	важную роль в	1	1
201	имел в виду	1	1
202	это вовсе не	1	1
203	только то что	1	1
204	это значит что	1	1
205	того времени как	1	1
206	мысль о возможности	1	1
207	за царя ирода	1	1
208	к графине с	1	1
209	никогда не было	2	1
210	не то что	1	1
211	ли доказывать что	1	1
212	и не может	2	1
213	пришел к выводу	1	1
214	была для него	1	1
215	своих героев и	1	1
216	в основу сюжета	1	1
217	в известной статье	1	1
218	о чем и	1	1
219	т д все	1	1
220	и потому что	1	1
221	заслуживает особого внимания	1	1
222	в эти годы	1	1
223	сразу же после	1	1
224	прежде всего его	1	1
225	не мог не	1	1
226	к вопросу о	1	1
227	со всеми его	1	1
228	в стихах о	1	1
229	то это означало	2	1
230	в году он	2	1
231	ту или иную	1	1
232	исторического процесса в	1	1
233	они забывали что	1	1
234	было бы говорить	1	1
235	в медном всаднике	1	1
236	в этой борьбе	1	1
237	нельзя молиться за	1	1
238	связи с его	1	1
239	том же году	2	1
240	говорить о том	1	1
241	в стихах и	1	1
242	от которых можно	1	1
243	в отказе от	1	1
244	не может жить	1	1
245	еще более резко	1	1
246	не должен быть	1	1
247	я скажу что	1	1
248	тесно связан с	1	1
249	каких бы то	1	1
250	не означает что	2	1
251	это еще не	1	1
252	но уже в	1	1
253	после его смерти	1	1
254	именно в этом	1	1
255	его биографии и	1	1
256	то все же	1	1
257	не заметить что	1	1
258	ответ на этот	1	1
259	не дает никакого	1	1
260	xix века в	1	1
261	тем хуже для	1	1
262	это уже не	2	1
263	при всей их	1	1
264	д все это	1	1
265	в поле зрения	1	1
266	же время с	1	1
267	и что в	1	1
268	же как и	1	1
269	не могут быть	2	1
270	протяжении всего этого	1	1
271	и все же	3	1
272	того же порядка	1	1
273	в котором все	1	1
274	великий писатель в	1	1
275	в году в	3	1
276	суд народа над	1	1
277	по возвращении в	1	1
278	я никогда не	1	1
279	и в ряде	1	1
280	в виду что	1	1
281	ни в чем	1	1
282	ответ пушкина на	1	1
283	нам кажется что	1	1
284	в году писал	1	1
