N	2gram	Berdyaev_N	Dialekti
580	вступить в	1	1
581	всемирной истории	2	1
582	чтобы эти	1	1
583	веры не	1	1
584	приближаемся к	2	1
585	давно уже	1	1
586	и творчества	2	1
587	показал что	1	1
588	духа в	2	1
589	привела к	1	1
590	символы а	1	1
591	бытия вот	1	1
592	нужно считать	1	1
593	час тоски	2	1
594	гораздо больше	1	1
595	хаос но	1	1
596	началом нового	1	1
597	гуманизм как	1	1
598	нас и	1	1
599	силы и	2	1
600	пустоте и	1	1
601	направленные к	1	1
602	все свои	1	1
603	средневековье не	1	1
604	что вся	1	1
605	и трудно	1	1
606	формальной логики	1	1
607	может еще	1	1
608	в прошлом	3	1
609	о природе	1	1
610	бога и	3	1
611	иному принципу	1	1
612	кончается и	1	1
613	и культуры	2	1
614	том чтобы	2	1
615	неба и	1	1
616	уже никакой	2	1
617	культуру и	1	1
618	глубины и	2	1
619	нельзя указать	1	1
620	бог не	1	1
621	и явления	1	1
622	жизни религия	1	1
623	но сама	1	1
624	смысле как	1	1
625	зачем же	1	1
626	социальные и	1	1
627	не заинтересована	1	1
628	и весь	2	1
629	заинтересована в	1	1
630	с ужасом	1	1
631	него как	1	1
632	возвращение к	3	1
633	жить в	1	1
634	не останется	1	1
635	которое хотело	1	1
636	и процесс	1	1
637	к себе	1	1
638	понимают и	1	1
639	сторона жизни	1	1
640	который можно	1	1
641	философской мысли	1	1
642	в недрах	1	1
643	как того	1	1
644	и воли	1	1
645	этот мир	2	1
646	и через	1	1
647	каком-то новом	1	1
648	они будут	1	1
649	тоски невыразимой	1	1
650	чего он	1	1
651	к достижению	1	1
652	в будущем	2	1
653	и тьмой	1	1
654	даже это	1	1
655	xviii века	2	1
656	не хотела	1	1
657	смысле и	1	1
658	на поверхности	1	1
659	лишь на	1	1
660	чего оно	1	1
661	и дух	1	1
662	сознание должно	1	1
663	времени которое	1	1
664	времени что	1	1
665	и такое	1	1
666	в эту	1	1
667	не атом	1	1
668	до которых	1	1
669	культуры религия	1	1
670	искусство не	1	1
671	но можно	1	1
672	не человек	2	1
673	нового адама	1	1
674	есть признак	1	1
675	нет уже	1	1
676	что само	1	1
677	и философы	1	1
678	уже говорил	1	1
679	понят как	2	1
680	в наше	3	1
681	рационалистическая и	1	1
682	мы приближаемся	1	1
683	характерны для	1	1
684	потребностей и	2	1
685	который есть	1	1
686	мира так	1	1
687	это совсем	2	1
688	совсем нельзя	1	1
689	того же	1	1
690	в нее	1	1
691	символична в	1	1
692	в боге	1	1
693	в новое	3	1
694	была уже	1	1
695	и извне	1	1
696	но знаем	1	1
697	значение и	1	1
698	в бытие	1	1
699	не утверждение	1	1
700	но внутри	1	1
701	вера в	1	1
702	слоя с	1	1
703	часто совершенно	1	1
704	всех сторон	4	1
705	них не	1	1
706	и энергии	1	1
707	революцию не	1	1
708	он переходит	1	1
709	на место	1	1
710	из глубины	2	1
711	речи о	1	1
712	что будущее	1	1
713	фиктивным а	1	1
714	луны он	1	1
715	лишь по	1	1
716	имя но	1	1
717	не верят	1	1
718	не хочу	1	1
719	более глубоком	1	1
720	к тем	1	1
721	вождя и	1	1
722	переходит в	1	1
723	в час	4	1
724	несомненный факт	1	1
725	во власти	1	1
726	знаем все	1	1
727	привело к	1	1
728	самой жизни	2	1
729	истории в	5	1
730	характер и	1	1
731	и привел	1	1
732	природе но	1	1
733	для них	1	1
734	это была	1	1
735	перед ними	1	1
736	и вполне	1	1
737	том и	2	1
738	под этим	1	1
739	менее чем	1	1
740	до этого	1	1
741	в миру	1	1
742	есть лишь	4	1
743	временному и	1	1
744	есть соединение	1	1
745	нельзя уже	2	1
746	всей жизнью	1	1
747	времени не	1	1
748	тему и	1	1
749	истории что	1	1
750	личность человека	1	1
751	не знал	2	1
752	ни иудея	1	1
753	воспринимаются как	1	1
754	приводит к	1	1
755	в известном	1	1
756	душа когда	1	1
757	что вообще	1	1
758	есть вопрос	1	1
759	лишь те	1	1
760	что новое	1	1
761	нем ничего	1	1
762	не хотите	1	1
763	с старой	2	1
764	истории человечества	1	1
765	эта символическая	1	1
766	христианство и	1	1
767	можно лишь	1	1
768	в покое	1	1
769	и воля	1	1
770	вечности но	1	1
771	времени его	1	1
772	в новой	7	1
773	народов и	1	1
774	и нового	1	1
775	к своим	1	1
776	в которую	1	1
777	вступает в	1	1
778	одна сторона	1	1
779	реакция в	1	1
780	духа как	1	1
781	от других	1	1
782	всего мира	1	1
783	держится не	1	1
784	стихии и	1	1
785	в обществе	2	1
786	основанная на	1	1
787	например во	1	1
788	будет уже	2	1
789	нашей жизни	1	1
790	это показывает	1	1
791	в отличие	1	1
792	переход от	1	1
793	он в	1	1
794	должны стать	1	1
795	возможно было	1	1
796	легче чем	1	1
797	мира но	1	1
798	день не	1	1
799	же мере	1	1
800	глубже чем	1	1
801	история так	1	1
802	видят в	1	1
803	понять смысл	1	1
804	этих терминов	1	1
805	настоящего и	1	1
806	верят в	1	1
807	не верит	1	1
808	пора перестать	1	1
809	обратиться к	1	1
810	мыслить как	1	1
811	высшей степени	6	1
812	и обнажается	1	1
813	для бога	1	1
814	окончательно и	1	1
815	определяющей силой	1	1
816	то они	1	1
817	капиталистическая европа	1	1
818	в старых	1	1
819	значение в	1	1
820	есть такой	1	1
821	нам предстоит	1	1
822	ее судьбы	1	1
823	до последних	1	1
824	от мира	1	1
825	эпохи в	1	1
826	быть отнесены	1	1
827	этот конец	1	1
828	церковь как	1	1
829	переход к	2	1
830	духа есть	1	1
831	час ночи	1	1
832	она совсем	1	1
833	очень долго	1	1
834	конечно есть	1	1
835	слова а	1	1
836	а на	1	1
837	жизни это	1	1
838	и совсем	1	1
839	в свои	2	1
840	отрицание и	1	1
841	а также	1	1
842	считают себя	1	1
843	себя а	1	1
844	менее всего	1	1
845	он видел	1	1
846	что сами	1	1
847	нет надобности	1	1
848	божьего и	1	1
849	к новому	7	1
850	оказывается совершенно	1	1
851	природу и	1	1
852	не та	1	1
853	оснований думать	1	1
854	будет играть	3	1
855	нет у	1	1
856	делается в	1	1
857	должно стать	2	1
858	нельзя мыслить	1	1
859	был ли	1	1
860	все категории	2	1
861	должна играть	1	1
862	другим же	1	1
863	в соприкосновение	1	1
864	этой системы	1	1
865	оно может	1	1
866	к одному	1	1
867	еще до	2	1
868	и хочет	1	1
869	средним векам	1	1
870	со всех	4	1
871	начинается в	1	1
872	и человека	1	1
873	а к	1	1
874	стремиться к	2	1
875	идеями и	1	1
876	становится все	1	1
877	борьбы за	1	1
878	применить к	1	1
879	будущее и	1	1
880	случае если	1	1
881	жизни для	1	1
882	жизненность и	1	1
883	может идти	1	1
884	одну из	1	1
885	вся жизнь	1	1
886	единого центра	1	1
887	то нет	1	1
888	когда само	1	1
889	ли это?	1	1
890	а по	1	1
891	уединение и	1	1
892	могли не	1	1
893	не через	1	1
894	что образ	1	1
895	и ночи	2	1
896	истории но	1	1
897	во вне	2	1
898	и общество	2	1
899	зависимость от	1	1
900	не хотел	1	1
901	люди не	2	1
902	явление в	1	1
903	дневного света	1	1
904	и нами	1	1
905	дня и	3	1
906	времена которые	1	1
907	всей нашей	1	1
908	как часто	1	1
909	нужно отнести	1	1
910	том случае	1	1
911	его формальной	1	1
912	все более	1	1
913	в эти	1	1
914	человек не	1	1
915	которых не	2	1
916	она могла	1	1
917	и скоро	1	1
918	основе их	1	1
919	жизнью и	1	1
920	к идее	1	1
921	для другого	1	1
922	никто ни	1	1
