N	2gram	Berdyaev_V	Myshleni
172	мы будем	1	11
173	не по	1	11
174	что на	1	11
175	мы увидим	1	11
176	вот почему	2	11
177	в конце	3	11
178	есть не	1	11
179	вслед за	2	10
180	каким образом	1	10
181	у нас	1	10
182	и которые	1	10
183	речь идет	1	10
184	к жизни	1	10
185	вместо того	2	10
186	если не	3	10
187	потребность в	1	10
188	по пути	5	9
189	и до	1	9
190	что уже	1	9
191	оно не	3	9
192	не с	2	9
193	говорить о	4	9
194	мы в	1	9
195	хотя и	5	9
196	переход к	1	9
197	но с	1	9
198	на которых	1	8
199	уже и	1	8
200	все равно	2	8
201	связь с	1	8
202	себе и	1	8
203	и тогда	2	8
204	что я	3	8
205	что не	4	8
206	в разных	1	7
207	и сам	2	7
208	слова с	1	7
209	на него	1	7
210	его и	2	7
211	у них	1	7
212	ничего кроме	1	7
213	это в	1	7
214	которая в	1	7
215	за ним	3	7
216	в жизни	3	7
217	не существует	1	7
218	до того	2	7
219	и вместе	1	7
220	его с	1	7
221	должна быть	3	7
222	с ними	1	7
223	не имеют	1	7
224	ничем не	1	7
225	слова не	1	7
226	это слово	1	7
227	он говорит	1	7
228	уже не	2	6
229	раз и	1	6
230	что их	2	6
231	всего в	2	6
232	и мы	3	6
233	в двух	1	6
234	в словах	1	6
235	бы и	3	6
236	нет и	2	6
237	или даже	1	6
238	и вообще	1	6
239	по законам	1	6
240	что было	2	6
241	говорит о	1	6
242	его на	1	6
243	одна из	2	6
244	в тот	1	6
245	к чему	3	6
246	с которым	1	6
247	и который	1	6
248	еще и	1	6
249	роль в	1	6
250	хотели бы	1	6
251	раз навсегда	2	6
252	из всего	1	5
253	им в	1	5
254	не хотим	1	5
255	в противоположность	1	5
256	в вопросе	3	5
257	к ним	1	5
258	пути и	1	5
259	идет по	1	5
260	ведет к	1	5
261	с такой	1	5
262	для них	2	5
263	под этим	2	5
264	что во	3	5
265	ее на	1	5
266	он делает	1	5
267	менее всего	1	5
268	же что	1	5
269	от него	2	5
270	самого себя	2	5
271	есть прежде	1	5
272	бы все	1	5
273	в старой	2	5
274	когда в	2	5
275	в новом	1	5
276	не просто	1	5
277	и столь	1	5
278	после того	1	5
279	чем у	1	5
280	это как	1	5
281	вообще в	1	5
282	в форме	2	5
283	основанное на	1	5
284	не для	1	5
285	а потому	1	5
286	о которой	1	5
287	видим что	1	5
288	мы хотим	4	5
289	чтобы сделать	2	5
290	человека к	1	5
291	конце концов	1	5
292	вот что	1	4
293	уже на	2	4
294	есть то	1	4
295	на пути	1	4
296	конечно не	2	4
297	можно ли	1	4
298	к ее	1	4
299	бы то	1	4
300	почему в	2	4
301	не было	3	4
302	и говорит	1	4
303	быть может	1	4
304	а потом	1	4
305	мы указывали	1	4
306	если оно	1	4
307	оторванное от	1	4
308	что есть	5	4
309	который он	1	4
310	в роли	1	4
311	и вот	1	4
312	может ли	1	4
313	на нее	1	4
314	нет у	4	4
315	и могут	1	4
316	и я	4	4
317	вопросе о	2	4
318	есть и	1	4
319	и своего	1	4
320	от этих	2	4
321	в понимании	1	4
322	стороны в	1	4
323	и самое	1	4
324	в одно	1	4
325	то это	3	4
326	первые слова	1	4
327	превращается в	3	4
328	и остается	1	4
329	по которым	2	4
330	его не	2	4
331	основной вопрос	1	4
332	себя и	1	4
333	этому же	1	4
334	и если	1	4
335	образом по	1	4
336	в новых	1	4
337	к высшему	1	4
338	и эта	1	4
339	общественной жизни	1	4
340	нельзя не	1	4
341	составные части	1	4
342	ее от	1	4
343	жизни и	3	4
344	не к	2	4
345	о мире	1	3
346	и именно	1	3
347	у человека	1	3
348	в прошлом	2	3
349	и новые	2	3
350	он так	1	3
351	сущности и	1	3
352	эта новая	1	3
353	от них	1	3
354	они будут	4	3
355	как можно	1	3
356	мы это	2	3
357	этих трех	3	3
358	не были	1	3
359	и хотя	1	3
360	но прежде	1	3
361	как возможно	1	3
362	не так	2	3
363	целое и	1	3
364	еще с	1	3
365	и будет	3	3
366	да и	2	3
367	которого не	1	3
368	и теперь	2	3
369	тогда как	1	3
370	много общего	1	3
371	основана на	1	3
372	это еще	4	3
373	за которым	1	3
374	этой новой	1	3
375	не создает	2	3
376	к личности	4	3
377	нас и	3	3
378	что всякий	1	3
379	и всегда	1	3
380	их на	1	3
381	может и	1	3
382	себя но	1	3
383	не надо	1	3
384	другом но	1	3
385	которой они	2	3
386	всегда в	1	3
387	живет в	1	3
388	теперь в	1	3
389	и внешней	1	3
390	и можно	1	3
391	смысле и	1	3
392	но к	1	3
393	то ни	1	3
394	для человека	2	3
395	это ни	1	3
396	это факт	1	3
397	и менее	1	3
398	человек с	1	3
399	к нам	2	3
400	ли он	1	3
401	слова для	1	3
402	указать на	1	3
403	слова которое	1	3
404	только это	1	3
405	с признанием	1	3
406	сделать это	1	3
407	в первый	3	3
408	от которого	3	3
409	со словами	1	3
410	эта попытка	1	3
411	по смыслу	1	3
412	мира и	1	3
413	что тот	1	3
414	за то	3	3
415	а к	2	3
416	конечно в	1	3
417	это все	2	3
418	в образах	1	2
419	же и	1	2
420	это основной	1	2
421	о временном	1	2
422	него в	1	2
423	нет еще	2	2
424	и самые	1	2
425	людей с	1	2
426	я вижу	1	2
427	ее к	1	2
428	и сделали	1	2
429	человека не	1	2
430	он был	1	2
431	у самого	1	2
432	не всегда	1	2
433	по закону	1	2
434	и идеи	1	2
435	мы скажем	1	2
436	в теоретическом	1	2
437	говорит все	1	2
438	от всякой	1	2
439	а есть	2	2
440	есть еще	1	2
441	наконец не	1	2
442	на себя	5	2
443	нем но	1	2
444	лишь на	1	2
445	свое место	1	2
446	не будет	2	2
447	других людей	1	2
448	вот в	1	2
449	над ним	1	2
450	более чем	2	2
451	его личности	1	2
452	бы ни	1	2
453	который был	1	2
454	для чего	1	2
455	и ведет	1	2
456	если б	1	2
457	и против	3	2
458	с внутренним	1	2
459	более глубокое	1	2
460	и они	3	2
461	и так	1	2
462	природе в	1	2
463	и т	2	2
464	будет так	1	2
465	это самое	1	2
466	нет ничего	3	2
467	это дело	2	2
468	только мы	1	2
469	этом пути	1	2
470	на два	1	2
471	есть путь	1	2
472	и уже	1	2
473	в которую	1	2
474	это имеет	1	2
475	к полному	1	2
476	людей что	2	2
477	бы это	1	2
478	но она	1	2
479	лишь как	1	2
480	на путь	1	2
481	места в	1	2
482	но я	1	2
483	и слишком	1	2
484	это тот	1	2
485	к человеческой	1	2
486	и очень	1	2
487	он всегда	1	2
488	говорят что	1	2
489	их не	1	2
490	о судьбе	1	2
491	перестает быть	1	2
492	природы в	1	2
493	действии и	1	2
494	напоминает о	1	2
495	на этих	2	2
496	будем говорить	1	2
497	бы сделать	1	2
498	так много	2	2
499	в мире	5	2
500	в другие	1	2
501	на составные	1	2
502	и нам	1	2
503	вся история	1	2
504	в руки	1	2
505	когда я	2	2
506	личности и	3	2
507	их и	1	2
508	и никогда	2	2
509	что лишь	1	2
510	свое особое	1	2
511	над ними	2	2
512	они и	2	2
513	и свою	1	2
514	она с	1	2
515	своей сущности	1	2
516	пути в	1	2
517	ставит в	1	2
518	во власть	1	2
519	и навсегда	1	2
520	себя с	1	2
521	но вот	1	2
522	этому пути	2	2
523	как не	3	2
524	хотел бы	1	2
525	ли они	1	2
526	лишено всякого	1	2
527	путь которым	2	2
528	о своем	1	2
529	себя от	1	2
530	тогда мы	1	2
531	с самыми	1	2
532	им и	1	2
533	тогда это	1	2
534	в будущем	1	2
535	что от	2	2
536	смысла от	1	2
537	не быть	1	2
538	тем чтобы	1	2
539	от необходимости	1	1
540	и люди	2	1
541	задача которая	1	1
542	оторванную от	1	1
543	что истина	2	1
544	эта идея	1	1
545	в нашу	1	1
546	истинного и	1	1
547	бы вынести	1	1
548	в духе	2	1
549	людей а	1	1
550	образование в	1	1
551	и полное	1	1
552	у людей	2	1
553	где можно	1	1
554	конечная цель	1	1
555	а ты	1	1
556	связанность и	1	1
557	мир и	2	1
558	слово от	1	1
559	освобождается от	1	1
560	сошел с	1	1
561	заботу о	1	1
562	и должна	1	1
563	обратился к	1	1
564	идти по	1	1
565	но может	1	1
566	пока они	1	1
567	мы все	1	1
568	есть продукт	1	1
569	людей и	2	1
570	а между	2	1
571	есть знак	1	1
572	от своей	2	1
573	никогда на	1	1
574	любви к	1	1
575	которого они	1	1
576	ее но	1	1
577	думаю что	1	1
578	так не	2	1
579	в атмосфере	1	1
580	стало возможным	2	1
581	этом первом	1	1
582	не будут	1	1
583	истории человечества	3	1
584	крайней мере	1	1
585	жизни с	1	1
586	есть один	1	1
587	для раскрытия	1	1
588	их же	1	1
589	тысячи лет	1	1
590	первый раз	3	1
591	сознания или	1	1
592	но от	1	1
593	и последнее	2	1
594	можно признать	1	1
595	к миру	1	1
596	те что	1	1
597	человек и	1	1
598	их от	3	1
599	и которую	1	1
600	во главе	2	1
601	личность как	2	1
602	и мир	1	1
603	из первого	3	1
604	должно иметь	1	1
605	должен привести	1	1
606	же ты	3	1
607	миру и	1	1
608	сознания от	2	1
609	на внешнем	1	1
610	взятого в	1	1
611	когда нужно	1	1
612	смысле нельзя	1	1
613	же пути	1	1
614	чему же	1	1
615	не ощущает	1	1
616	которое предлагалось	1	1
617	и чем	1	1
618	не случайно	1	1
619	мире и	1	1
620	ими ибо	1	1
621	так ли	1	1
622	если за	1	1
623	ней мы	1	1
624	влечение к	1	1
625	в земной	2	1
626	свое здание	1	1
627	всякого смысла	1	1
628	или всех	1	1
629	его во	3	1
630	что нет	1	1
631	было сказать	1	1
632	разум в	1	1
633	бесспорный и	1	1
634	только несколько	1	1
635	лишь к	1	1
636	остается не	1	1
637	жизни в	1	1
638	этом нет	1	1
639	себя только	1	1
640	и было	1	1
641	я был	1	1
642	другая его	1	1
643	только слово	1	1
644	его связь	1	1
645	далее и	1	1
646	своей целью	1	1
647	закономерности и	1	1
648	в мир	1	1
649	для окончательного	1	1
650	вещах о	1	1
651	как сама	1	1
652	его если	1	1
653	должна иметь	1	1
654	имеет своим	1	1
655	жизнь как	1	1
656	в глазах	1	1
657	в недостаточной	1	1
658	небом и	1	1
659	по иным	1	1
660	жизни не	1	1
661	я переживаю	1	1
662	тоже не	1	1
663	для всякого	1	1
664	и новой	1	1
665	его системы	1	1
666	них и	1	1
667	в силах	4	1
668	истины и	1	1
669	в русском	1	1
670	по словам	1	1
671	со своей	1	1
672	одно целое	1	1
673	третье и	2	1
674	непонятным как	1	1
675	чтобы овладеть	2	1
676	животные которые	1	1
677	слишком высоко	1	1
678	по мотивам	1	1
679	против того	1	1
680	те которые	2	1
681	заключается что	1	1
682	бытия и	1	1
683	и переживаний	1	1
684	свободы по	1	1
685	покоятся на	1	1
686	не нужна	3	1
687	духе его	1	1
688	не хотел	2	1
689	избежать этой	1	1
690	что человек	1	1
691	которое может	1	1
692	почему мы	1	1
693	имеет никакой	1	1
694	в общественной	1	1
695	давно уже	2	1
696	к конечному	1	1
697	в последнем	2	1
698	ни для	1	1
699	для их	2	1
700	еще к	1	1
701	иногда может	1	1
702	было не	1	1
703	с родным	1	1
704	на части	1	1
705	не имею	1	1
706	даже что	1	1
707	всего что	1	1
708	я думаю	2	1
709	ней и	1	1
710	тем кто	2	1
711	от смысла	1	1
712	в свободном	1	1
713	с именем	1	1
714	только законы	1	1
715	и свободу	1	1
716	так говорит	1	1
717	решить проблему	2	1
718	сливаться с	1	1
719	в массе	1	1
720	самой жизни	1	1
721	к человеку	1	1
722	это образование	1	1
723	образ в	1	1
724	и за	2	1
725	истина и	1	1
726	за эти	1	1
727	они в	3	1
728	и современная	1	1
729	в третьем	1	1
730	мы взяли	2	1
731	о возможности	1	1
732	на разных	1	1
733	в изображении	1	1
734	по видимости	2	1
735	и вновь	1	1
736	себя мы	1	1
737	без смысла	2	1
738	теперь и	1	1
739	ли что	1	1
740	о проблеме	1	1
741	не был	1	1
742	на вершине	1	1
743	слышим от	1	1
744	их к	1	1
745	но нет	1	1
746	самом элементарном	1	1
747	от высшего	2	1
748	этих словах	1	1
749	единственный путь	1	1
750	его миром	1	1
751	так хорошо	1	1
752	сознания так	1	1
753	истинные слова	1	1
754	ко всякому	1	1
755	превращаются в	2	1
756	же упрек	1	1
757	в окончательном	1	1
758	и сильных	3	1
759	вот по	2	1
760	свободного и	1	1
761	что сделал	1	1
762	от этой	1	1
763	указывали уже	1	1
764	никогда еще	2	1
765	отказ от	1	1
766	в трех	1	1
767	и ложь	1	1
768	оно ни	1	1
769	не знающего	1	1
770	происхождения и	1	1
771	существует и	1	1
772	уж конечно	2	1
773	выше самого	1	1
774	субъективные состояния	1	1
775	по крайней	1	1
776	будет с	1	1
777	что теперь	2	1
778	где есть	1	1
779	их сознания	1	1
780	земли и	2	1
781	это бытие	1	1
782	сознании и	1	1
783	сказываются в	1	1
784	человеческого общества	1	1
785	которую рисует	1	1
786	нам и	1	1
787	как искать	1	1
788	путь этот	1	1
789	не того	1	1
790	т д	2	1
791	в едином	1	1
792	я говорю	2	1
793	это случилось	1	1
794	жизни от	1	1
795	и высшего	1	1
796	истину что	1	1
797	тут не	1	1
798	есть уже	2	1
799	происхождении и	2	1
800	наших дней	1	1
801	существует как	1	1
802	царство и	1	1
803	во имя	32	1
804	так часто	1	1
805	основанной на	1	1
806	конечно это	1	1
807	искать в	1	1
808	человека в	1	1
809	соединение в	2	1
810	освобождения от	2	1
811	раскрытия смысла	1	1
812	сходятся и	1	1
813	и великого	1	1
814	обнаруживает неспособность	1	1
815	и единый	1	1
816	и всех	1	1
817	но теперь	2	1
818	всякого содержания	1	1
819	что путь	1	1
820	и своем	1	1
821	тех которые	3	1
822	мы слышим	2	1
823	передано в	1	1
824	связать себя	1	1
825	нас это	1	1
826	времени по	1	1
827	которой так	1	1
