N	2gram	Nazirov_Tr	Vvedenie
140	понятно что	1	3
141	при этом	3	3
142	что это	5	3
143	говорит о	2	3
144	не как	1	3
145	связи с	1	3
146	и сам	3	3
147	а также	1	3
148	в конце	3	3
149	вообще не	1	3
150	вряд ли	2	3
151	как в	3	3
152	русский язык	1	3
153	чем же	1	3
154	бы и	2	3
155	все эти	3	3
156	и есть	1	3
157	сливается с	1	3
158	что даже	1	3
159	на этом	1	3
160	в другом	1	3
161	в ней	1	3
162	вот почему	1	3
163	времени в	2	3
164	в частности	2	3
165	об отношении	1	3
166	только на	1	3
167	в этой	4	3
168	так же	4	3
169	или как	1	3
170	отношение к	2	3
171	наряду с	1	3
172	ответа на	1	3
173	на нее	1	3
174	только по	1	3
175	до конца	2	3
176	в своем	3	3
177	что она	2	3
178	одна из	2	3
179	как будто	3	3
180	он сам	7	3
181	нуждается в	1	3
182	что уже	1	3
183	в известной	2	3
184	к нему	3	3
185	никогда не	2	3
186	во всем	1	2
187	так и	5	2
188	что оно	1	2
189	после того	1	2
190	впечатление на	1	2
191	знать и	1	2
192	должна быть	1	2
193	и должно	1	2
194	и далее	1	2
195	несмотря на	5	2
196	это уже	2	2
197	он и	2	2
198	сам по	1	2
199	а затем	1	2
200	не столько	1	2
201	говорит он	1	2
202	не было	1	2
203	этого не	1	2
204	и с	7	2
205	наших дней	1	2
206	виде в	1	2
207	например в	1	2
208	тому что	1	2
209	в связи	1	2
210	рядом с	1	2
211	оказалось что	1	2
212	и при	1	2
213	но уже	1	2
214	могло бы	1	2
215	в дальнейшем	5	2
216	во всех	1	2
217	сам же	1	2
218	и потому	1	2
219	но как	1	2
220	не могли	1	2
221	это понятие	1	2
222	на свои	1	2
223	ничего не	2	2
224	чтобы он	1	2
225	по самой	1	2
226	в отношениях	1	2
227	еще раз	2	2
228	уже было	1	2
229	не мог	2	2
230	именно на	1	2
231	точно так	2	2
232	в форме	1	2
233	а между	1	2
234	факт что	1	2
235	и до	2	2
236	свое значение	1	2
237	тогда как	1	2
238	это может	1	2
239	в обоих	1	2
240	литературы и	1	2
241	известной мере	1	2
242	может ли	1	2
243	как искусство	1	2
244	самой своей	1	2
245	к числу	1	2
246	мог бы	3	2
247	и др	1	2
248	значение и	1	2
249	должно быть	3	2
250	к проблемам	1	2
251	все время	1	2
252	с помощью	1	2
253	что именно	1	2
254	заявляет что	1	2
255	это в	1	2
256	на котором	1	2
257	этого слова	1	2
258	но это	4	2
259	конце концов	1	2
260	это сказывается	1	2
261	бы в	1	2
262	и совершенно	1	2
263	только о	2	2
264	не к	1	2
265	не выдерживает	1	1
266	все в	1	1
267	он очень	1	1
268	хотя сам	1	1
269	то в	1	1
270	утверждать что	1	1
271	человеческой личности	2	1
272	взгляд на	1	1
273	мы видим	1	1
274	и прямо	1	1
275	в настоящем	1	1
276	обратно в	1	1
277	достоевского в	3	1
278	народа не	1	1
279	что идет	1	1
280	в момент	1	1
281	также что	1	1
282	известно что	1	1
283	какой она	1	1
284	им как	1	1
285	именно так	1	1
286	от природы	1	1
287	но еще	1	1
288	так он	1	1
289	для него	3	1
290	то для	1	1
291	но от	1	1
292	входят в	1	1
293	а это	1	1
294	с ним	3	1
295	они только	1	1
296	что при	1	1
297	становится искусством	1	1
298	по слову	1	1
299	в литературе	1	1
300	деятельность не	1	1
301	для нас	1	1
302	и за	2	1
303	слова в	1	1
304	и о	1	1
305	на одной	1	1
306	точности соответствует	1	1
307	превратиться в	1	1
308	в русском	2	1
309	как своего	1	1
310	у него	6	1
311	по словам	2	1
312	связан и	1	1
313	не принимали	1	1
314	нас от	1	1
315	чтобы превратить	1	1
316	вопрос об	1	1
317	что все	2	1
318	этим объясняется	2	1
319	как же	2	1
320	в духе	1	1
321	но он	1	1
322	не удалась	1	1
323	он рассматривает	1	1
324	идеи а	1	1
325	только за	1	1
326	в россии	1	1
327	и судьбы	1	1
328	и все	4	1
329	иными словами	1	1
330	во взглядах	1	1
331	из самых	2	1
332	жизни своей	1	1
333	еще в	2	1
334	есть в	1	1
335	в эпоху	1	1
336	нет он	1	1
337	и эта	1	1
338	о жизни	2	1
339	представление о	1	1
340	в таком	2	1
341	это выражение	1	1
342	я и	1	1
343	если он	1	1
344	состоит из	2	1
345	встречается в	1	1
346	с ними	1	1
347	было до	1	1
348	самой действительности	1	1
349	обоих случаях	1	1
350	всю эту	1	1
351	создает и	1	1
352	был первым	1	1
353	перед собой	1	1
354	была и	1	1
355	второй части	1	1
356	и могут	1	1
357	и я	2	1
358	в новой	1	1
359	в такой	1	1
360	между собой	1	1
361	любви и	2	1
362	это было	1	1
363	это хорошо	1	1
364	этот образ	4	1
365	выходящее за	1	1
366	он вполне	1	1
367	не знать	1	1
368	ли это	1	1
369	общем смысле	1	1
370	а своеобразный	1	1
371	теперь и	2	1
372	всю ее	1	1
373	по поводу	2	1
374	с первого	2	1
375	на них	1	1
376	по вопросу	1	1
377	жизнь и	3	1
378	что эти	2	1
379	говорится о	1	1
380	то вряд	1	1
381	перестает быть	1	1
382	ко всему	1	1
383	это и	1	1
384	и дело	1	1
385	к речи	1	1
386	совершенно не	1	1
387	материалом для	1	1
388	в противовес	1	1
389	а к	1	1
390	значение только	1	1
391	с самого	1	1
392	на нечто	1	1
393	что этот	2	1
394	отправлялся от	1	1
395	эта связь	1	1
396	ответом на	1	1
397	это как	1	1
398	случае и	1	1
399	не любил	1	1
400	связь и	1	1
401	общеизвестно что	1	1
402	так сказать	1	1
403	под заглавием	1	1
404	этой идеи	1	1
405	нашел в	1	1
406	одну из	1	1
407	быть не	1	1
408	и критики	1	1
409	не быть	1	1
410	и должна	1	1
411	объясняется и	1	1
412	больше в	1	1
413	из себя	1	1
414	вполне ясно	1	1
415	не раз	1	1
416	в которой	1	1
417	имеет целью	1	1
418	лишь в	1	1
419	лишь на	1	1
420	только один	1	1
421	в какой-то	1	1
422	находился под	1	1
423	превратился в	1	1
424	к области	2	1
425	не могла	1	1
426	за пределы	1	1
427	говорит что	2	1
428	повествованием о	1	1
429	истории по	1	1
430	впечатление что	2	1
431	романа достоевского	2	1
432	в xix	1	1
433	он есть	1	1
434	и всегда	1	1
435	человека и	1	1
436	самого начала	1	1
437	вывод этот	1	1
438	должны были	1	1
439	знает что	2	1
440	всего что	1	1
441	сохраняет свое	1	1
442	в каких	1	1
443	имеющая целью	1	1
444	того кто	1	1
445	но теперь	1	1
446	могло быть	1	1
447	был прав	1	1
448	ли есть	1	1
449	именно такого	1	1
450	в точности	1	1
451	он в	1	1
452	на деле	1	1
453	на две	1	1
454	к ним	1	1
455	ее не	1	1
456	речи в	1	1
457	в ходе	2	1
458	первостепенное значение	1	1
459	виде и	1	1
460	в самое	1	1
461	в высшей	1	1
462	для разработки	1	1
463	с особой	1	1
464	не значит	1	1
465	что тут	1	1
466	говорил что	1	1
467	и от	1	1
468	когда идет	1	1
469	русской литературы	2	1
470	что без	1	1
471	очевидно для	1	1
472	он был	2	1
473	на всем	2	1
474	и новые	1	1
475	враждебное отношение	1	1
476	идей и	1	1
477	если можно	1	1
478	чтобы не	1	1
479	в самой	1	1
480	и особенно	1	1
481	что на	1	1
482	почти не	1	1
483	эту тему	1	1
484	с каким	1	1
485	обратиться к	1	1
486	судя по	1	1
487	исследования в	1	1
