N	2gram	Propp_Isto	Poddanst
154	был и	1	1
155	не есть	3	1
156	выражены в	1	1
157	находятся в	1	1
158	и то	4	1
159	но как	2	1
160	выступает в	1	1
161	мы можем	10	1
162	перед тем	1	1
163	и эти	5	1
164	на этой	2	1
165	мы видим	15	1
166	в данном	7	1
167	только к	1	1
168	с его	1	1
169	за то	1	1
170	существует но	1	1
171	никакого сомнения	2	1
172	и более	3	1
173	те же	2	1
174	вместе с	12	1
175	и здесь	8	1
176	в жертву	1	1
177	выражена в	1	1
178	и на	7	1
179	в самом	1	1
180	вопрос о	4	1
181	и очень	2	1
182	не означает	1	1
183	они не	4	1
184	является и	3	1
185	в исторической	3	1
186	она должна	1	1
187	восходит к	1	1
188	что происходит	1	1
189	в момент	1	1
190	это в	2	1
191	только что	3	1
192	такова же	1	1
193	два явления	1	1
194	также что	2	1
195	бы она	2	1
196	к этой	2	1
197	вся лесная	1	1
198	переходит в	4	1
199	в основном	1	1
200	отчасти и	1	1
201	она не	4	1
202	уже в	1	1
203	должна быть	2	1
204	качестве исторической	1	1
205	них самих	1	1
206	связана с	4	1
207	только как	1	1
208	мы знаем	11	1
209	живет в	8	1
210	ему на	1	1
211	она всегда	2	1
212	некоторые ее	1	1
213	по всему	2	1
214	на основе	1	1
215	многих случаях	1	1
216	представляет собой	6	1
217	в отдельности	3	1
218	и должна	1	1
219	из всех	1	1
220	во многих	2	1
221	в определенном	1	1
222	что это	4	1
223	могут дать	1	1
224	в русских	5	1
225	есть у	2	1
226	вот как	2	1
227	что при	3	1
228	не были	1	1
229	и уже	2	1
230	с которой	1	1
231	и никому	1	1
232	пр есть	1	1
233	из этих	5	1
234	жить и	1	1
235	именно на	2	1
236	не как	1	1
237	и другие	6	1
238	что дело	2	1
239	а затем	6	1
240	только на	2	1
241	где он	2	1
242	и через	1	1
243	и этим	1	1
244	глаза на	1	1
245	не с	2	1
246	что эта	2	1
247	всего мы	1	1
248	может оказаться	1	1
249	одна сторона	1	1
250	в других	6	1
251	и при	2	1
252	и что	6	1
253	ощущается как	1	1
254	в различных	1	1
255	не могла	3	1
256	связь между	2	1
257	при существовании	2	1
258	что и	17	1
259	кто не	1	1
260	тем и	1	1
261	или его	2	1
262	другой стороны	10	1
263	с того	5	1
264	есть некоторая	1	1
265	в мир	1	1
266	касается не	1	1
267	на заре	1	1
268	нет никакого	1	1
269	бы что	2	1
270	к жизни	2	1
271	выражается в	2	1
272	далеко не	3	1
273	только то	1	1
274	в современной	2	1
275	в этих	18	1
276	не вполне	7	1
277	них и	1	1
278	в ином	6	1
279	так же	16	1
280	человека с	2	1
281	также и	1	1
282	как она	2	1
283	его в	7	1
284	в церковь	1	1
285	знаем что	9	1
286	над ним	1	1
287	каждый из	1	1
288	в большинстве	2	1
289	и наоборот	2	1
290	все же	13	1
291	можно дать	1	1
292	в борьбе	1	1
293	к обожествлению	1	1
294	всего что	1	1
295	но на	1	1
296	что его	2	1
297	того кто	1	1
298	в которой	1	1
299	идти в	1	1
300	не очень	1	1
301	должен быть	1	1
302	в этой	7	1
303	в наших	2	1
304	к ним	1	1
305	из нее	1	1
306	что по	2	1
307	и где	1	1
308	на нее	4	1
309	себя в	2	1
310	исторической действительности	2	1
311	ней и	1	1
312	видим в	3	1
313	же как	8	1
314	на себя	5	1
315	она может	2	1
316	а она	3	1
317	что не	3	1
318	наука и	1	1
319	мы и	1	1
320	в эпоху	1	1
321	но для	2	1
322	в каком	1	1
323	к небу	1	1
324	но есть	3	1
325	что есть	1	1
326	ведет к	2	1
327	богов и	1	1
328	возможно что	7	1
329	любовь и	1	1
330	если он	2	1
331	более что	1	1
332	эти черты	2	1
333	и другим	1	1
334	характер этого	1	1
335	находится в	4	1
336	представляют собой	5	1
337	ясно что	2	1
338	эти явления	1	1
339	с собой	4	1
340	имеет к	1	1
341	в чистоте	1	1
342	века но	1	1
343	как и	9	1
344	входят в	1	1
345	также в	2	1
346	в некотором	3	1
347	многих других	2	1
348	чем другие	1	1
349	того света	1	1
350	случаях когда	2	1
351	к миру	1	1
352	мире в	2	1
353	большинстве случаев	3	1
354	в сборнике	1	1
355	е к	2	1
356	глубоко в	1	1
357	одновременно и	1	1
358	чтобы дать	1	1
359	все еще	7	1
360	на то	4	1
361	на фоне	1	1
362	которые были	1	1
363	в поиски	1	1
364	и по	6	1
365	и я	1	1
366	там где	8	1
367	индия и	2	1
368	в эти	1	1
369	т д	30	1
370	тех пор	1	1
371	он живет	3	1
372	так будет	1	1
373	века в	1	1
374	и только	6	1
375	это сделать	1	1
376	поиски и	1	1
377	что именно	1	1
378	друг с	2	1
379	где уже	1	1
380	в и	1	1
381	суждения об	1	1
382	казалось бы	2	1
383	всяком случае	2	1
384	в иной	2	1
385	в свете	6	1
386	нисколько не	1	1
387	не будут	1	1
388	не все	7	1
389	сравнению с	2	1
390	друг друга	6	1
391	в себя	3	1
392	в это	1	1
393	для этого	1	1
394	с ее	2	1
395	с другом	2	1
396	не просто	4	1
397	он был	1	1
398	хозяйственной и	1	1
399	не имеет	3	1
400	есть и	7	1
401	за тем	1	1
402	смысл этого	1	1
403	одно из	2	1
404	везде и	1	1
405	и ее	3	1
406	тем чтобы	1	1
407	явление и	1	1
408	с американскими	1	1
409	особенно в	2	1
410	относиться к	1	1
411	к более	2	1
412	бы это	1	1
413	связаны с	1	1
414	совершенно ясно	2	1
415	из этой	2	1
416	бы нас	1	1
417	и быть	1	1
418	никогда не	9	1
419	еще не	15	1
420	в человеческих	1	1
