N	2gram	Nazirov_Tv	formyVre
220	роман в	1	6
221	именно в	6	6
222	уже на	1	6
223	с тем	1	6
224	только для	2	6
225	на первый	1	6
226	о том	9	6
227	с помощью	1	6
228	сказать что	3	6
229	в основу	1	6
230	входят в	1	6
231	во всей	2	6
232	в разрезе	1	6
233	в качестве	2	6
234	xviii века	2	6
235	в таком	4	6
236	и героини	1	6
237	ту же	4	6
238	одной стороны	1	6
239	а как	2	6
240	в сюжете	2	6
241	и ее	1	6
242	в сущности	1	6
243	в отношении	1	6
244	мы видим	3	6
245	не могут	2	6
246	в которых	3	6
247	не является	3	6
248	смерти и	1	6
249	автора и	1	6
250	слова и	1	6
251	литературы в	1	6
252	имеем в	1	6
253	нет и	1	6
254	значение имеет	1	6
255	одной из	7	6
256	все они	1	6
257	мы не	3	6
258	мы находим	2	6
259	но эта	3	6
260	в эпоху	1	6
261	особенно в	3	6
262	в начале	2	6
263	по вертикали	1	6
264	пространства и	2	6
265	есть не	2	6
266	событий и	2	6
267	более того	2	6
268	мы и	1	5
269	с этой	4	5
270	о чем	1	5
271	одно из	1	5
272	тем что	2	5
273	в своей	8	5
274	было и	1	5
275	во все	1	5
276	хотя бы	5	5
277	только на	2	5
278	всего этого	1	5
279	искусстве и	1	5
280	главных героев	2	5
281	что все	4	5
282	точка зрения	2	5
283	по преимуществу	4	5
284	и через	4	5
285	xix века	13	5
286	с другими	1	5
287	как его	1	5
288	человек в	1	5
289	романа мы	1	5
290	в смысле	1	5
291	той или	1	5
292	так что	4	5
293	и является	1	5
294	в этой	7	5
295	протяжении всего	2	5
296	и от	8	5
297	в него	2	5
298	мире и	1	5
299	был бы	3	5
300	что они	3	5
301	романа и	4	5
302	не на	1	5
303	с ними	3	5
304	далеко не	3	5
305	не имеет	2	5
306	да и	1	5
307	не имеют	4	5
308	и уже	1	5
309	чем не	1	5
310	той же	4	5
311	романа но	1	5
312	мы имеем	1	5
313	не без	1	5
314	но на	1	5
315	в движение	1	5
316	или в	2	5
317	места в	1	5
318	общества и	1	5
319	об этом	4	5
320	и ни	1	5
321	вальтера скотта	1	5
322	стороны и	1	5
323	числе и	1	5
324	бы он	1	5
325	и только	2	5
326	мы наблюдаем	2	4
327	от него	2	4
328	же и	2	4
329	только что	2	4
330	даже в	4	4
331	а затем	5	4
332	не являются	1	4
333	другой стороны	2	4
334	по себе	2	4
335	в своих	8	4
336	равно как	1	4
337	из самых	1	4
338	или на	1	4
339	в одно	2	4
340	у достоевского	51	4
341	жизни на	1	4
342	и смерти	1	4
343	и со	2	4
344	при всей	1	4
345	европейского романа	1	4
346	в данном	2	4
347	он был	2	4
348	в другом	1	4
349	людей и	2	4
350	по отношению	3	4
351	и те	1	4
352	в глаза	2	4
353	на ней	2	4
354	друг на	1	4
355	вопросу о	1	4
356	жизни как	1	4
357	не был	4	4
358	жизни с	2	4
359	для раскрытия	1	4
360	жизни так	1	4
361	проявляется в	1	4
362	иного рода	1	4
363	к жизни	4	4
364	весь мир	1	4
365	чем в	1	4
366	эпизоде с	1	4
367	что не	5	4
368	о которых	1	4
369	к вопросу	1	4
370	в чем	4	4
371	на площади	2	4
372	дана в	1	4
373	времени но	1	4
374	совсем не	1	4
375	в быту	2	4
376	за ними	1	4
377	в историческом	1	4
378	в один	3	4
379	и вот	2	4
380	оно было	1	4
381	эту жизнь	1	4
382	его но	1	4
383	для них	2	4
384	их и	1	4
385	что он	11	4
386	отчасти и	2	4
387	вследствие этого	1	4
388	авантюрного романа	1	4
389	перед нами	3	4
390	это и	4	4
391	и более	2	4
392	сливается с	4	4
393	на друга	1	4
394	времени на	3	4
395	же самое	1	4
396	принадлежит к	1	4
397	человек был	1	4
398	под знаком	1	4
399	всяком случае	2	4
400	друг друга	2	4
401	с исключительной	1	4
402	связан с	4	4
403	находятся в	1	4
404	и события	1	4
405	и было	1	4
406	как у	3	4
407	у нас	2	4
408	все равно	1	4
409	века и	1	4
410	всего романа	2	4
411	как она	2	4
412	так в	1	4
413	со своей	1	4
414	на его	4	4
415	в одной	5	4
416	тем более	1	4
417	мы должны	1	4
418	как он	1	4
419	же что	1	4
420	с большой	5	4
421	в тексте	1	4
422	и о	2	4
423	романе мы	1	4
424	включает в	1	4
425	в лице	4	4
426	человеческой природы	1	4
427	и имеет	1	3
428	всей жизни	1	3
429	тому что	2	3
430	из всех	5	3
431	это значит	1	3
432	время не	2	3
433	нас в	1	3
434	дается в	1	3
435	в день	1	3
436	по мере	2	3
437	их не	1	3
438	можно говорить	1	3
439	жизни или	1	3
440	жизнь в	2	3
441	из нее	1	3
442	в соответствии	7	3
443	другом месте	1	3
444	в более	1	3
445	герой в	3	3
446	в точном	1	3
447	но мы	1	3
448	всякого рода	2	3
449	и отчасти	3	3
450	не могли	2	3
451	которой он	2	3
452	между вещами	2	3
453	вот почему	3	3
454	характер в	2	3
455	ее по	2	3
456	самого начала	3	3
457	и еще	2	3
458	за другом	1	3
459	как на	1	3
460	еще нет	1	3
461	все время	3	3
462	этот образ	1	3
463	не мог	3	3
464	человек не	1	3
465	внимание на	1	3
466	проблемы времени	1	3
467	же как	3	3
468	на земле	4	3
469	одна из	5	3
470	и жизнь	1	3
471	в двух	2	3
472	человек здесь	1	3
473	я был	1	3
474	связь с	3	3
475	для развития	1	3
476	на этом	1	3
477	xvii века	1	3
478	как это	2	3
479	других людей	2	3
480	но только	3	3
481	и детей	1	3
482	литературы и	1	3
483	и несколько	1	3
484	поэтому здесь	1	3
485	главным образом	1	3
486	и есть	2	3
487	если они	1	3
488	на ранних	2	3
489	его к	2	3
490	и самый	1	3
491	и здесь	2	3
492	этой проблемы	2	3
493	жизни а	1	3
494	кризис и	1	3
495	это уже	7	3
496	единства времени	1	3
497	сами по	2	3
498	если не	4	3
499	почти всегда	1	3
500	и событий	1	3
501	произведения в	1	3
502	более глубокой	1	3
503	в прямом	2	3
504	главный герой	1	3
505	очень важный	1	3
506	он хочет	1	3
507	подхода к	3	3
508	по разным	1	3
509	бы не	1	3
510	по самому	2	3
511	том как	1	3
512	нет в	1	3
513	развития человечества	2	3
514	времени он	3	3
515	ни к	2	3
516	романа то	1	3
517	его и	2	3
518	бы и	1	3
519	и между	1	3
520	в течение	1	3
521	в свою	8	3
522	наконец в	1	3
523	не быть	1	3
524	характер не	1	3
525	в образах	2	3
526	ряд с	1	3
527	на землю	2	3
528	целый ряд	1	3
529	через него	2	3
530	он весь	1	3
531	в творчестве	10	3
532	событий в	2	3
533	пародия на	1	3
534	если мы	1	3
535	искусство и	1	3
536	но это	10	3
537	в трагедии	1	3
538	жизни не	2	3
539	точку зрения	1	3
540	человека но	3	3
541	нет ни	3	3
542	в первый	1	3
543	связи между	1	3
544	он как	1	3
545	одна и	1	3
546	как нечто	1	3
547	вовсе нет	1	3
548	однако не	1	3
549	а на	1	3
550	в таких	2	3
551	от всех	2	3
552	в другую	1	3
553	дело в	4	3
554	в литературу	2	3
555	в сферу	2	3
556	не похож	2	3
557	есть только	1	3
558	по своему	1	3
559	не столько	4	3
560	это было	1	3
561	ему как	1	3
562	при виде	1	3
563	ряда в	1	3
564	друг за	1	3
565	и эти	1	3
566	преимущественно в	1	3
567	с самого	3	3
568	он ни	3	3
569	человек из	1	3
570	романе не	1	3
571	она не	2	3
572	но при	1	3
573	надо было	2	3
574	как уже	2	3
575	но она	2	3
576	реальное время	1	3
577	самое время	2	3
578	при всем	1	3
579	и время	2	3
580	времени с	1	3
581	к ней	3	3
582	можно сказать	2	3
583	всеми его	1	3
584	вплоть до	2	3
585	все более	2	3
586	времени а	2	3
587	что на	3	3
588	образов и	1	3
589	не к	2	3
590	они имеют	2	2
591	человек может	2	2
592	ее основных	1	2
593	следуют друг	1	2
594	и лишь	2	2
595	чего не	1	2
596	и мотивы	1	2
597	он всегда	2	2
598	на огонь	1	2
599	этот момент	2	2
600	жить и	1	2
601	и рядом	2	2
602	представлений о	2	2
603	исторического процесса	1	2
604	о времени	4	2
605	ясно что	1	2
606	с собой	1	2
607	приходит к	4	2
608	всей ее	1	2
609	природа человека	2	2
610	вопрос об	1	2
611	мыслится как	1	2
612	в средневековой	2	2
613	в духе	6	2
614	на мир	1	2
615	человека для	1	2
616	представление о	9	2
617	золотом веке	1	2
618	начинается с	1	2
619	переплетается с	1	2
620	выход из	1	2
621	этой метаморфозы	1	2
622	весь роман	2	2
623	раскрытия характера	1	2
624	отличается от	1	2
625	разные стороны	1	2
626	о будущем	1	2
627	как только	1	2
628	всего они	1	2
629	перестает быть	1	2
630	природы в	1	2
631	он изображает	1	2
632	так начинается	1	2
633	героя или	1	2
634	переходит в	2	2
635	было в	2	2
636	в действительной	1	2
637	не боится	1	2
638	имеет в	2	2
639	и место	1	2
640	из жизни	3	2
641	времени во	1	2
642	другом в	2	2
643	к своей	1	2
644	из себя	2	2
645	особое место	3	2
646	говорить о	1	2
647	связь между	1	2
648	и должно	2	2
649	отметить что	1	2
650	времени его	1	2
651	до того	1	2
652	свою очередь	2	2
653	но этот	2	2
654	реализация метафоры	1	2
655	бога и	3	2
656	чувства времени	3	2
657	жизни то	1	2
658	играют в	1	2
659	как я	1	2
660	автора мы	1	2
661	нигде не	1	2
662	все без	1	2
663	причем в	2	2
664	в каждом	4	2
665	это прежде	3	2
666	на могиле	1	2
667	он сам	8	2
668	от них	1	2
669	тут же	1	2
670	однако эти	2	2
671	а мы	1	2
672	лишь один	1	2
673	их жизни	1	2
674	быта и	1	2
675	к нему	1	2
676	он имел	1	2
677	то в	2	2
678	не зная	1	2
679	ее и	2	2
680	за свой	1	2
681	разрезе одного	1	2
682	что у	5	2
683	по природе	6	2
684	человеку не	1	2
685	и всей	1	2
686	собой в	2	2
687	что уже	1	2
688	от достоевского	1	2
689	на этих	2	2
690	ранних стадиях	3	2
691	после этого	1	2
692	картине мира	1	2
693	стремится к	3	2
694	лежит в	1	2
695	тому же	2	2
696	видит в	1	2
697	и притом	2	2
698	в разные	1	2
699	в несколько	1	2
700	и некоторые	1	2
701	как по	2	2
702	всех его	1	2
703	на себя	2	2
704	дальнейшем мы	1	2
705	человек по	4	2
706	о смерти	1	2
707	времени как	4	2
708	человек и	2	2
709	я не	5	2
710	лишь на	1	2
711	и она	1	2
712	себя как	2	2
713	между прочим	1	2
714	одном из	2	2
715	но когда	2	2
716	по традиционной	1	2
717	случайностей и	2	2
718	связанный с	1	2
719	а только	1	2
720	каждом из	1	2
721	романа наконец	1	2
722	могло бы	1	2
723	на другой	1	2
724	того в	1	2
725	для создания	1	2
726	одну и	1	2
727	вообще в	1	2
728	в париже	1	2
729	него есть	2	2
730	когда я	2	2
731	исключительное значение	1	2
732	лишь что	1	2
733	личности и	2	2
734	процесса в	4	2
735	время обладает	1	2
736	если же	1	2
737	вырваться из	2	2
738	и та	2	2
739	хотя в	1	2
740	и роман	1	2
741	себя на	1	2
742	выражается в	1	2
743	и сам	5	2
744	этот вопрос	4	2
745	должны были	1	2
746	и пространство	1	2
747	меняется и	1	2
748	целом и	1	2
749	другой день	1	2
750	контакт с	1	2
751	с людьми	1	2
752	между людьми	3	2
753	культуры и	2	2
754	его как	2	2
755	бы его	1	2
756	но нет	1	2
757	о его	1	2
758	всех сторон	1	2
759	в полном	1	2
760	проблема времени	3	2
761	далее идут	1	2
762	значит что	3	2
763	времени имеет	1	2
764	в философии	2	2
765	и особенно	1	2
766	мы видели	1	2
767	можно только	1	2
768	сплошь и	1	2
769	только я	1	2
770	выборгской стороне	1	2
771	образом и	1	2
772	и против	2	2
773	достоевского в	19	2
774	никого не	1	2
775	если в	3	2
776	он только	1	2
777	его с	1	2
778	живет в	3	2
779	и стиль	1	2
780	героя в	4	2
781	и мотивов	1	2
782	была бы	2	2
783	человек с	2	2
784	литературе нового	1	2
785	в действии	2	2
786	в область	4	2
787	от этой	1	2
788	он действует	1	2
789	утверждает что	1	2
790	сложность и	1	2
791	себе не	3	2
792	их нужно	1	2
793	его образ	1	2
794	там же	11	2
795	всего нужно	1	2
796	от их	1	2
797	сюжета и	1	2
798	самом деле	4	2
799	самим собой	4	2
800	в жертву	1	2
801	мы говорим	1	2
802	о своей	1	2
803	этот тип	2	2
804	времени не	1	2
805	не знал	2	2
806	героев в	2	2
807	в мистическом	1	2
808	данном случае	2	2
809	о котором	2	2
810	этот мотив	1	2
811	бросается в	1	2
812	в поэзии	1	2
813	то он	1	2
814	и всему	1	2
815	он же	2	2
816	со всех	1	2
817	то и	1	2
818	важно подчеркнуть	1	2
819	и поэтому	2	2
820	и биографии	1	2
821	но лишь	1	2
822	и тогда	2	2
823	у гроба	2	2
824	с большей	1	2
825	отношении к	2	2
826	от других	2	2
827	нет никакой	1	2
828	в мир	2	2
829	более и	1	2
830	мировой литературе	1	2
831	одного момента	1	2
832	действия и	3	2
833	в обществе	1	2
834	вне его	1	2
835	ней по	1	2
836	не совсем	1	2
837	соответствии с	7	2
838	и стал	1	2
839	отметим лишь	1	2
840	начиная с	2	2
841	за пределами	1	2
842	и стиля	1	2
843	героев это	1	2
844	этого слова	1	2
845	но если	4	2
846	в плане	4	2
847	в мировой	1	2
848	идей и	2	2
849	контакта с	1	2
850	случая в	1	2
851	естественном состоянии	1	2
852	сочетается в	1	2
853	в другое	1	2
854	в метафорическом	1	2
855	на выборгской	1	2
856	произведения как	1	2
857	сам он	1	2
858	который может	1	2
859	времени это	2	2
860	для всего	1	2
861	себя самого	1	2
862	в вечности	2	2
863	день и	1	2
864	где он	2	2
865	в честь	2	2
866	новый тип	1	2
867	руссо и	2	2
868	себя в	3	2
869	имел в	1	2
870	в бытовом	1	2
871	по этому	1	2
872	в русском	1	2
873	особое значение	2	2
874	не существует	3	2
875	непосредственно в	1	2
876	ведь это	1	2
877	образом в	1	2
878	реальной действительности	1	2
879	жизни это	1	2
880	в будущее	1	2
881	о жизни	4	2
882	что их	1	2
883	в стороне	2	2
884	гоголя и	2	2
885	лежит на	1	2
886	но по	1	2
887	или даже	2	2
888	является не	1	2
889	не столь	1	2
890	этом романе	2	2
891	но уже	2	2
892	должен быть	1	2
893	очень важную	1	2
894	человека не	1	2
895	мир с	2	2
896	и снова	1	2
897	такие же	1	2
898	в бытовой	6	2
899	характера в	2	2
900	автора к	1	2
901	его не	1	2
902	одну из	1	2
903	в искусстве	3	2
904	не о	1	2
905	частности в	1	2
906	еще в	3	2
907	в xix	3	2
908	время они	1	2
909	человека с	2	2
910	от жизни	2	2
911	с человеком	1	2
912	эпохи и	1	2
913	него и	1	2
914	у вальтера	1	2
915	со своими	2	2
916	во многом	8	2
917	роман и	2	2
918	сказать в	1	2
919	в браке	1	2
920	частности с	1	2
921	язык в	1	2
922	все другие	1	2
923	само собой	1	2
924	быть названы	1	2
925	в буржуазном	1	2
926	важную роль	2	2
927	идеологическим содержанием	1	2
928	виду что	1	2
929	в человеке	4	2
930	под свое	1	1
931	его характеру	1	1
932	из многих	1	1
933	в настоящем	2	1
934	бога в	1	1
935	еще раз	1	1
936	мира отсюда	1	1
937	эдгара по	1	1
938	более не	4	1
939	на эти	2	1
940	характер однако	1	1
941	к маленькому	1	1
942	в момент	5	1
943	русской литературе	4	1
944	чем оно	1	1
945	себя по	1	1
946	как носитель	1	1
947	самого себя	1	1
948	героя от	1	1
949	которая в	1	1
950	и люди	1	1
951	очень много	1	1
952	античной мифологии	1	1
953	вечности все	1	1
954	его болезни	1	1
955	площади и	2	1
956	романе а	1	1
957	в финале	4	1
958	под ним	1	1
959	эта идея	2	1
960	глаза и	1	1
961	формы в	1	1
962	он видит	3	1
963	был и	1	1
964	жизни есть	1	1
965	тем как	1	1
966	и прошлым	1	1
967	социальной и	1	1
968	четкостью и	1	1
969	и высшей	2	1
970	его поступки	1	1
971	что человек	3	1
972	всем и	1	1
973	него в	2	1
974	сквозь призму	1	1
975	непосредственным источником	1	1
976	живут в	1	1
977	в кровь	1	1
978	здесь необходимо	1	1
979	них совершенно	1	1
980	с исторической	1	1
981	но что	1	1
982	физического облика	1	1
983	у пушкина	5	1
984	и необходимости	2	1
985	человека человека	1	1
986	люди и	1	1
987	катастрофа и	1	1
988	или во	1	1
989	романное время	4	1
990	и проблема	1	1
991	в первом	3	1
992	раскрывает перед	1	1
993	второй план	1	1
994	именно и	1	1
995	дело обстояло	1	1
996	это тот	1	1
997	относится и	1	1
998	их приключения	1	1
999	образа была	1	1
1000	при первой	1	1
1001	участвует в	1	1
1002	зато в	1	1
1003	что весь	1	1
1004	в построении	1	1
1005	почти ничего	1	1
1006	из всего	1	1
1007	конечном счете	4	1
1008	блага и	1	1
1009	аспект времени	1	1
1010	высокое и	1	1
1011	если он	4	1
1012	и паоло	1	1
1013	мира это	1	1
1014	форме в	1	1
1015	характер за	1	1
1016	к самому	1	1
1017	большой силой	3	1
1018	только через	2	1
1019	и внутренне	1	1
1020	что по	1	1
1021	в бою	1	1
1022	позиция автора	1	1
1023	н толстого	1	1
1024	одновременно и	2	1
1025	борьбе и	1	1
1026	стремления к	2	1
1027	прошлого в	1	1
1028	на эту	4	1
1029	проблемы но	1	1
1030	дома и	1	1
1031	его все	1	1
1032	не вполне	1	1
1033	улицы и	1	1
1034	не менее	8	1
1035	же напротив	1	1
1036	мы только	1	1
1037	один ряд	1	1
1038	из петербурга	1	1
1039	через три	1	1
1040	его личной	1	1
1041	он по	1	1
1042	в обстановке	1	1
1043	использовал в	1	1
1044	связанного с	2	1
1045	так например	3	1
1046	победу над	1	1
1047	этот быт	1	1
1048	и несравненно	1	1
1049	время с	1	1
1050	в кн	4	1
1051	первый взгляд	1	1
1052	настоящее и	1	1
1053	действительности в	2	1
1054	в аду	1	1
1055	с остальным	1	1
1056	к этой	1	1
1057	мире не	1	1
1058	философском плане	1	1
1059	больше чем	2	1
1060	темы и	1	1
1061	что этот	2	1
1062	петербурга в	1	1
1063	этой почве	1	1
1064	показано в	1	1
1065	эта связь	1	1
1066	нас и	1	1
1067	буря и	1	1
1068	не чувствует	1	1
1069	в цикле	1	1
1070	еще живого	1	1
1071	один день	1	1
1072	представления о	1	1
1073	ее у	1	1
1074	в моменты	1	1
1075	мифологии в	1	1
1076	люди на	1	1
1077	нам по	1	1
1078	сущность человека	1	1
1079	отрыве от	1	1
1080	миф о	1	1
1081	как частного	1	1
1082	вопроса об	1	1
1083	же у	2	1
1084	в руках	1	1
1085	поэтому мы	1	1
1086	развития что	1	1
1087	не встречается	1	1
1088	их объективного	1	1
1089	в апологии	1	1
1090	одновременно он	1	1
1091	души то	1	1
1092	желудка и	1	1
1093	диккенса и	1	1
1094	тогда же	1	1
1095	и значение	1	1
1096	попытка раскрыть	1	1
1097	превращается в	2	1
1098	борьбой с	1	1
1099	сил в	1	1
1100	что еще	1	1
1101	рассказывает о	3	1
1102	в применении	1	1
1103	от своей	1	1
1104	и психологии	1	1
1105	глубину и	1	1
1106	же его	1	1
1107	жизнь во	1	1
1108	когда время	1	1
1109	так мы	2	1
1110	характерной для	1	1
1111	самим героем	1	1
1112	в карты	1	1
1113	с другим	3	1
1114	в не	1	1
1115	обычно происходят	1	1
1116	на самоубийство	2	1
1117	лишь частично	1	1
1118	и любви	1	1
1119	новый мир	1	1
1120	среди них	1	1
1121	совершенно ясна	1	1
1122	выйти на	1	1
1123	я с	1	1
1124	мифов и	1	1
1125	него не	1	1
1126	для всей	1	1
1127	ключ к	1	1
1128	как правило	3	1
1129	важнейшие эпизоды	1	1
1130	идей все	1	1
1131	обычно предполагают	1	1
1132	гораздо существеннее	1	1
1133	построении образов	1	1
1134	на него	2	1
1135	характера служит	1	1
1136	это отношение	1	1
1137	есть по	1	1
1138	и вдруг	1	1
1139	романа становится	2	1
1140	сюжете и	1	1
1141	л н	1	1
1142	который в	4	1
1143	воли и	3	1
1144	поступков и	2	1
1145	без которой	1	1
1146	всегда включает	1	1
1147	мире без	1	1
1148	к этим	1	1
1149	появляется герой	1	1
1150	для этой	2	1
1151	не просто	1	1
1152	к языку	1	1
1153	восходят к	1	1
1154	ни даже	1	1
1155	что происходило	1	1
1156	едва ли	2	1
1157	и жили	1	1
1158	вся эта	1	1
1159	от ее	2	1
1160	гораздо более	2	1
1161	же невозможно	1	1
1162	себе самом	1	1
1163	время для	1	1
1164	бы то	1	1
1165	момент как	1	1
1166	при котором	1	1
1167	реально и	1	1
1168	говорит о	3	1
1169	первой встрече	1	1
1170	к герою	1	1
1171	иные и	1	1
1172	не противоречит	2	1
1173	персидские письма	1	1
1174	происходило в	1	1
1175	поскольку в	1	1
1176	а наоборот	1	1
1177	к человеку	3	1
1178	и среди	2	1
1179	как средство	1	1
1180	конкретное и	1	1
1181	его характером	1	1
1182	на том	2	1
1183	есть одно	1	1
1184	такого рода	1	1
1185	не лежит	1	1
1186	есть у	1	1
1187	первый раз	1	1
1188	мы знаем	2	1
1189	героини и	1	1
1190	начала и	1	1
1191	героев которые	1	1
1192	над полем	1	1
1193	я как	1	1
1194	объясняется тем	1	1
1195	элементов и	1	1
1196	нем и	2	1
1197	к которому	3	1
1198	и силой	1	1
1199	однако этот	4	1
1200	с народом	2	1
1201	изоляцию героя	1	1
1202	души и	2	1
1203	на поверхность	1	1
1204	тем не	2	1
1205	связанный со	1	1
1206	и легенд	1	1
1207	и за	1	1
1208	в естественном	1	1
1209	всегда является	1	1
1210	не обладает	1	1
1211	бодлера в	1	1
1212	бы что	1	1
1213	совмещается с	1	1
1214	мировоззрения и	2	1
1215	может жить	1	1
1216	и человек	3	1
1217	свободы и	2	1
1218	с раскрытием	1	1
1219	в самые	1	1
1220	в конечном	4	1
1221	франчески и	1	1
1222	воспринимается как	1	1
1223	мировой литературы	1	1
1224	живет и	1	1
1225	и лишена	1	1
1226	о золотом	1	1
1227	человек а	1	1
1228	это мы	1	1
1229	одним из	6	1
1230	времени у	4	1
1231	наконец не	1	1
1232	жизни очень	1	1
1233	возвращается к	1	1
1234	и хорошо	1	1
1235	и ужасов	1	1
1236	и всю	1	1
1237	братья карамазовы	2	1
1238	я и	3	1
1239	в атмосфере	1	1
1240	но само	1	1
1241	целом ряде	1	1
1242	как говорит	1	1
1243	учение о	1	1
1244	настоящим и	1	1
1245	в изображении	2	1
1246	без него	1	1
1247	будущего все	1	1
1248	так на	1	1
1249	и перед	1	1
1250	четыре раза	1	1
1251	человеке и	1	1
1252	смутное ощущение	1	1
1253	во главе	2	1
1254	литературы с	1	1
1255	сделать его	1	1
1256	и сверх	1	1
1257	второй части	2	1
1258	человеческой природе	1	1
1259	он вовсе	1	1
1260	свой счет	1	1
1261	века в	1	1
1262	черт был	1	1
1263	больше всего	1	1
1264	греховной жизни	1	1
1265	ведь в	1	1
1266	метафоры и	1	1
1267	и обновление	1	1
1268	в эту	1	1
1269	на себе	1	1
1270	что как	2	1
1271	действительности и	3	1
1272	в противоречии	1	1
1273	и крайне	1	1
1274	жизни такой	1	1
1275	по поводу	1	1
1276	город и	1	1
1277	не вводит	1	1
1278	и мир	3	1
1279	глубокой и	1	1
1280	в русской	5	1
1281	и литературные	1	1
1282	на вечное	1	1
1283	человек как	3	1
1284	вошел в	1	1
1285	опираясь на	3	1
1286	от себя	1	1
1287	не то	2	1
1288	в москву	1	1
1289	от героев	1	1
1290	его судьбу	1	1
1291	он дал	1	1
1292	с народной	1	1
1293	свои права	1	1
1294	в устах	2	1
1295	действия в	1	1
1296	они же	1	1
1297	в целях	2	1
1298	человека он	1	1
1299	успеха в	1	1
1300	большой четкостью	1	1
1301	буржуазном обществе	1	1
