N	2gram	Vinokur_Ku	SlovoVZh
528	целого которое	1	1
529	к тому	8	1
530	же взгляда	1	1
531	так называемую	1	1
532	смысл слова	1	1
533	с так	1	1
534	что можно	4	1
535	наблюдений над	1	1
536	с таким	1	1
537	в организации	1	1
538	что здесь	1	1
539	ведь это	1	1
540	само слово	1	1
541	приходят к	1	1
542	его форма	1	1
543	которая находит	2	1
544	и мы	2	1
545	не нуждается	1	1
546	только об	1	1
547	как мы	2	1
548	это мы	1	1
549	что она	5	1
550	по аналогии	1	1
551	являются лишь	1	1
552	и о	3	1
553	слова с	2	1
554	на который	2	1
555	показать что	2	1
556	и тому	1	1
557	менее всего	1	1
558	позицию по	1	1
559	как его	1	1
560	что для	3	1
561	и вне	1	1
562	с первого	2	1
563	если мы	5	1
564	или о	2	1
565	тем же	2	1
566	него не	1	1
567	моментов в	1	1
568	бьют мимо	1	1
569	наряду с	2	1
570	но есть	2	1
571	особенно ясно	1	1
572	представлять себе	1	1
573	и во	1	1
574	именно в	7	1
575	и таким	1	1
576	только одна	1	1
577	уже на	3	1
578	ней еще	1	1
579	языке мы	1	1
580	конечном счете	2	1
581	слов в	5	1
582	которое было	2	1
583	с большим	4	1
584	к другим	1	1
585	в таком	3	1
586	но прежде	1	1
587	формы в	2	1
588	следующим образом	1	1
589	например в	5	1
590	речь и	1	1
591	что я	4	1
592	форм которые	1	1
593	само собою	1	1
594	тот же	7	1
595	и связи	1	1
596	положение в	1	1
597	за пределами	1	1
598	к которому	3	1
599	лингвистическими средствами	1	1
600	характер и	2	1
601	слово не	1	1
602	и без	2	1
603	других областей	1	1
604	стиля и	1	1
605	отношения в	1	1
606	что все	6	1
607	как о	2	1
608	то она	2	1
609	себе не	1	1
610	столь же	2	1
611	том же	3	1
612	берет на	1	1
613	в общем	4	1
614	своеобразие это	1	1
615	есть в	6	1
616	же как	3	1
617	или даже	2	1
618	разговорного языка	1	1
619	исходит из	2	1
620	всем тем	1	1
621	в переводе	1	1
622	деле это	1	1
623	рядом с	7	1
624	этот конфликт	2	1
625	из его	1	1
626	жизни за	1	1
627	момент в	1	1
628	при чтении	1	1
629	науке о	1	1
630	то из	1	1
631	же социальную	1	1
632	слишком мало	1	1
633	можно усвоить	1	1
634	в слове	3	1
635	живет и	5	1
636	деле в	1	1
637	как будто	2	1
638	весь этот	1	1
639	на второй	1	1
640	слова делает	1	1
641	жизни в	1	1
642	что именно	2	1
643	к вопросам	1	1
644	есть только	1	1
645	противном случае	2	1
646	образом для	1	1
647	своих методов	1	1
648	дальше и	1	1
649	жива еще	1	1
650	не находится	3	1
651	учреждения и	2	1
652	тем это	1	1
653	но если	2	1
654	они не	4	1
655	и понимания	1	1
656	своих специфических	1	1
657	в словах	1	1
658	на себя	3	1
659	ли из	1	1
660	наравне с	1	1
661	данной социальной	1	1
662	слова как	5	1
663	тех или	1	1
664	все более	2	1
665	и только	2	1
666	явлениями и	1	1
667	речи с	2	1
668	с юридическим	1	1
669	так называемая	2	1
670	ситуации так	1	1
671	себе по	1	1
672	на этих	1	1
673	в двух	1	1
674	убедиться в	1	1
675	или иного	5	1
676	может и	2	1
677	важное значение	1	1
678	в эти	1	1
679	лучшем случае	1	1
680	но уже	6	1
681	для этой	2	1
682	первого же	2	1
683	себе как	1	1
684	к вопросу	4	1
685	для этого	6	1
686	не из	1	1
687	себе и	3	1
688	грамматическое выражение	1	1
689	легче всего	1	1
690	в смысле	2	1
691	не всегда	4	1
692	на их	1	1
693	слов и	2	1
694	чтобы не	1	1
695	является то	1	1
696	не нужно	1	1
697	из этой	1	1
698	в одной	1	1
699	становится только	1	1
700	в целом	5	1
701	ничего общего	2	1
702	в лице	1	1
703	культуры в	1	1
704	себя в	1	1
705	крайней мере	11	1
706	а лишь	1	1
707	и становится	3	1
708	или менее	3	1
709	имеет дело	1	1
710	вовсе не	18	1
711	думать что	1	1
712	не то	1	1
713	я и	1	1
714	гораздо больше	1	1
715	на эту	2	1
716	тем более	2	1
717	по крайней	11	1
718	и лингвистической	1	1
719	формы как	1	1
720	свой смысл	1	1
721	не найдем	1	1
722	мы видели	3	1
723	перед нами	4	1
724	не имеющих	1	1
725	речи а	3	1
726	конечно только	1	1
727	который и	1	1
728	всяком случае	8	1
729	работу по	1	1
730	не входят	1	1
731	которые в	2	1
732	только для	3	1
733	на них	1	1
734	метафоры в	1	1
735	где ее	1	1
736	можно только	1	1
737	понять эту	1	1
