N	3gram	Losev_Vlad	Formalny
135	и то же	1	1
136	сообщение о том	1	1
137	а кроме того	1	1
138	время и в	1	1
139	что он был	1	1
140	случае не может	1	1
141	уже потому что	1	1
142	к этой цели	1	1
143	мы знаем что	2	1
144	время может быть	1	1
145	и в конце	2	1
146	чего бы то	1	1
147	л н толстого	2	1
148	духовной атмосферы в	1	1
149	но в данном	1	1
150	с этой стороны	1	1
151	три года в	1	1
152	всех не только	1	1
153	это конечно не	2	1
154	это нисколько не	2	1
155	в то что	1	1
156	в конце жизни	1	1
157	в этой области	1	1
158	и вместе с	1	1
159	в россии и	1	1
160	что в этом	1	1
161	в чем не	1	1
162	это было в	1	1
163	и никогда не	1	1
164	по себе не	1	1
165	до тех пор	2	1
166	а с другой	1	1
167	и в нем	1	1
168	том чтобы установить	1	1
169	есть не что	1	1
170	может быть названа	1	1
171	что же это	1	1
172	он в своем	1	1
173	не может не	1	1
174	нужно прибавить что	2	1
175	в целом и	1	1
176	но как раз	1	1
177	по этому поводу	2	1
178	так как он	2	1
179	то мы можем	1	1
180	и в его	2	1
181	на минуту не	1	1
182	он не был	1	1
183	для нас важно	1	1
184	нет никаких оснований	1	1
185	было бы с	1	1
186	по существу это	1	1
187	со своей стороны	1	1
188	не было на	1	1
189	а также и	2	1
190	но из этого	1	1
191	и тем не	1	1
192	за то что	2	1
193	он пишет в	1	1
194	чуть ли не	1	1
195	но он не	1	1
196	и форму его	1	1
197	к ней как	1	1
198	прежде всего на	1	1
199	и только в	1	1
200	но и здесь	1	1
201	на то что	6	1
202	ни в каком	1	1
203	и в связи	1	1
204	как к своему	1	1
205	в этом же	2	1
206	каждый из этих	1	1
207	строго говоря в	1	1
208	не имеет никакого	2	1
209	и в особенности	1	1
210	он уже не	2	1
211	о том что	9	1
212	они ничего не	1	1
213	друг друга не	1	1
214	по крайней мере	1	1
215	лицом к лицу	1	1
216	раз он и	1	1
217	и без того	1	1
218	что он уже	1	1
219	он был в	1	1
220	выходя за пределы	1	1
221	а следовательно и	1	1
222	во всем своем	1	1
223	можно сказать что	3	1
224	факт когда он	1	1
225	и той же	1	1
226	с ним на	1	1
227	но и все	1	1
228	в то время	6	1
229	не столько с	1	1
230	хотя и не	2	1
231	в данную историческую	1	1
232	не было бы	1	1
233	кроме того в	1	1
234	у них совершенно	1	1
235	не что иное	2	1
236	содержание и форму	1	1
237	что иное как	2	1
238	одно и то	1	1
239	и совсем не	1	1
240	из этих элементов	1	1
241	того чтобы стать	1	1
242	одной и той	1	1
243	заключается в том	1	1
244	так и его	1	1
245	до конца и	1	1
246	никакого отношения к	3	1
247	но тем не	1	1
248	и в свою	1	1
249	этом отношении он	1	1
250	науке и философии	1	1
251	и что в	1	1
252	что касается до	1	1
253	этом не было	2	1
254	мы перешли к	1	1
255	по этому вопросу	1	1
256	и в литературе	1	1
257	одной плоскости с	1	1
258	место в этом	1	1
259	от нее и	1	1
260	и тогда как	1	1
261	мы знаем в	1	1
262	это и есть	1	1
263	не в результате	1	1
264	между прочим и	2	1
265	до конца однако	1	1
266	ум в г	1	1
267	его отношение к	1	1
268	и как это	1	1
269	несколько слов о	1	1
