N	3gram	Vinokur_St	Analitik
166	в том случае	1	1
167	иного из этих	1	1
168	еще и до	1	1
169	в прижизненных изданиях	2	1
170	и не могла	1	1
171	на точку зрения	2	1
172	можно судить по	1	1
173	следует подчеркнуть что	1	1
174	оно не является	1	1
175	той же мере	1	1
176	его выражению не	1	1
177	с этой стороны	1	1
178	во времена пушкина	4	1
179	в отношении к	1	1
180	прежде всего к	1	1
181	в конце концов	2	1
182	в то что	1	1
183	всяком случае не	2	1
184	и вместе с	1	1
185	не так уж	1	1
186	и таким образом	1	1
187	поставить под сомнение	1	1
188	но он и	1	1
189	как она была	1	1
190	этого слова он	1	1
191	таким образом в	1	1
192	ставит себе целью	4	1
193	пушкина в этом	1	1
194	каждом из этих	1	1
195	виде в каком	2	1
196	можно сказать не	1	1
197	это слово в	1	1
198	или иначе в	1	1
199	и та и	1	1
200	и тем же	2	1
201	что в этом	1	1
202	на этот раз	2	1
203	с тех пор	1	1
204	гораздо ближе к	1	1
205	только то что	1	1
206	например во всех	1	1
207	во всех прочих	1	1
208	том смысле что	2	1
209	имея в виду	1	1
210	и в том	3	1
211	ведь это не	1	1
212	и в тексте	1	1
213	в повестях по	3	1
214	произведение не только	1	1
215	с другой и	1	1
216	могло бы показаться	1	1
217	и эти два	1	1
218	не только по	1	1
219	по поводу того	1	1
220	внимание на то	1	1
221	той точки зрения	1	1
222	в одном из	4	1
223	но он не	1	1
224	вольному воля а	1	1
225	является не только	1	1
226	вместе с тем	2	1
227	в самом тексте	2	1
228	а в начале	1	1
229	что то что	1	1
230	есть люди которые	1	1
231	и далее в	1	1
232	которая в его	1	1
233	к тому времени	2	1
234	он не только	2	1
235	в том смысле	4	1
236	может быть ни	1	1
237	но дело в	1	1
238	в какой-то степени	1	1
239	главы евгения онегина	2	1
240	сколько в том	1	1
241	по возвращении в	1	1
242	именно вследствие этого	1	1
243	ту или иную	1	1
244	тот факт что	5	1
245	точно так же	2	1
246	к одному из	1	1
247	к выводу что	1	1
248	но как бы	1	1
249	в стилистическом отношении	1	1
250	сказать что в	3	1
251	только в том	3	1
252	да и в	3	1
253	в то время	2	1
254	при этом и	1	1
255	как к чему-то	1	1
256	не столько с	1	1
257	жизни и смерти	1	1
258	она ни была	1	1
259	вопрос о том	4	1
260	по его собственному	1	1
261	в тексте барышни-крестьянки	1	1
262	относится не только	1	1
263	в царском селе	1	1
264	с которыми он	2	1
265	на самом деле	7	1
266	что же до	1	1
267	я не могу	2	1
268	одним и тем	2	1
269	далеко не все	1	1
270	как могло бы	1	1
271	ответ на этот	1	1
272	как раз в	4	1
273	по меньшей мере	3	1
274	еще не означает	1	1
275	однако и в	1	1
276	или лучше сказать	2	1
277	также и в	1	1
278	в результате которой	1	1
279	как бы ни	2	1
280	вне всякого сомнения	2	1
281	в этом месте	2	1
282	у меня в	2	1
283	не хотелось бы	2	1
284	в этом его	1	1
285	разумеется вовсе не	1	1
286	в первую очередь	2	1
287	же как и	1	1
288	по его выражению	1	1
289	же время оно	1	1
290	так и в	5	1
291	во второй половине	1	1
292	должна была бы	4	1
293	а вовсе не	1	1
294	из того же	1	1
295	другой стороны и	1	1
296	я никогда не	1	1
297	а в тех	1	1
298	между прочим и	1	1
299	том числе и	2	1
300	обратить внимание на	3	1
301	что и в	4	1
302	истинный смысл этого	1	1
303	после того как	5	1
304	самом деле не	1	1
305	по тем или	1	1
306	но с другой	2	1
