N	2gram	Nazirov_Tr	EvropaiE
234	исходит из	1	1
235	рядом с	1	1
236	тому что	1	1
237	xx века	1	1
238	в связи	1	1
239	завершения в	1	1
240	лишь на	1	1
241	с ними	1	1
242	с такими	1	1
243	все эти	3	1
244	на земле	1	1
245	все же	5	1
246	при таком	1	1
247	этого слова	1	1
248	и т	1	1
249	одно из	1	1
250	перед собой	1	1
251	в такой	1	1
252	если можно	1	1
253	в двух	1	1
254	по самой	1	1
255	и это	2	1
256	играть в	1	1
257	но все-таки	1	1
258	об этом	4	1
259	тогда как	1	1
260	уже не	2	1
261	отметим что	1	1
262	всем его	1	1
263	к жизни	5	1
264	людей в	1	1
265	бы сказали	1	1
266	не менее	1	1
267	может жить	1	1
268	а к	1	1
269	не сводится	1	1
270	возвращается к	1	1
271	отличие от	2	1
272	на этом	1	1
273	силы и	1	1
274	наивность этого	1	1
275	то и	2	1
276	связь и	1	1
277	всего этого	1	1
278	природе вещей	1	1
279	ту же	1	1
280	вместо того	1	1
281	этом мире	1	1
282	не быть	1	1
283	с совершенно	1	1
284	времени в	2	1
285	в отношениях	1	1
286	когда в	1	1
287	в новой	1	1
288	из себя	1	1
289	не исключено	1	1
290	если так	1	1
291	ii с	1	1
292	значение для	1	1
293	но они	2	1
294	и их	1	1
295	другим в	2	1
296	что эта	1	1
297	за свои	1	1
298	при самом	1	1
299	к области	2	1
300	связь между	1	1
301	xix век	1	1
302	за пределы	1	1
303	и детей	2	1
304	еще в	2	1
305	и до	2	1
306	даже не	1	1
307	к проблемам	1	1
308	чтобы не	1	1
309	свое значение	1	1
310	это может	1	1
311	в обоих	1	1
312	литературы и	1	1
313	но этот	1	1
314	в каких	1	1
315	лишь в	1	1
316	значение и	1	1
317	в отличие	2	1
318	он в	1	1
319	и должна	1	1
320	той же	1	1
321	мы бы	1	1
322	и ее	2	1
323	считает что	1	1
324	быть в	1	1
325	x и	2	1
326	в переводе	1	1
327	с собой	1	1
328	не значит	1	1
329	с которым	1	1
330	вплоть до	1	1
331	мы отнюдь	1	1
332	и о	1	1
333	который в	2	1
334	одна из	2	1
335	с его	2	1
336	и его	6	1
337	что даже	1	1
338	это в	1	1
339	исключено что	1	1
340	в нем	4	1
341	но это	4	1
342	мира против	1	1
343	грубость и	1	1
344	с ее	3	1
345	обратиться к	1	1
346	в самой	1	1
347	жизнью и	2	1
348	на ту	1	1
