N	2gram	Tiupa_Anal	Tragedij
327	автор в	1	1
328	лишь на	3	1
329	встречается в	1	1
330	с ними	2	1
331	с отцом	1	1
332	есть в	2	1
333	на земле	1	1
334	сливается с	1	1
335	в своей	12	1
336	у алексея	1	1
337	рядом с	1	1
338	вместе с	3	1
339	жизни ее	1	1
340	на этом	2	1
341	при таком	1	1
342	создает и	1	1
343	жизни в	4	1
344	был первым	1	1
345	роль в	5	1
346	не менее	9	1
347	и т	1	1
348	так сказать	2	1
349	не тип	1	1
350	второй части	1	1
351	она хочет	1	1
352	бы не	1	1
353	в такой	1	1
354	полноте и	2	1
355	со своей	8	1
356	между собой	1	1
357	незадолго до	1	1
358	роли в	6	1
359	глаза ее	1	1
360	в иной	2	1
361	мефистофель в	1	1
362	это было	2	1
363	но уже	1	1
364	романе в	1	1
365	цветов и	1	1
366	в стихах	2	1
367	героя и	7	1
368	в чем	2	1
369	в момент	3	1
370	однако есть	1	1
371	тогда как	37	1
372	могло бы	1	1
373	в сцене	2	1
374	не смог	1	1
375	года и	1	1
376	случае как	1	1
377	бы в	1	1
378	в них	4	1
379	на них	1	1
380	во всех	4	1
381	а поскольку	1	1
382	к одному	2	1
383	во всяком	6	1
384	и потому	3	1
385	это и	4	1
386	и дело	1	1
387	о себе	4	1
388	совершенно не	3	1
389	чтоб я	1	1
390	что имя	1	1
391	к счастью	2	1
392	но как	4	1
393	более чем	2	1
394	друг перед	1	1
395	он же	2	1
396	не является	5	1
397	в противовес	2	1
398	же я	1	1
399	ему в	1	1
400	не сводится	1	1
401	не могли	1	1
402	как нечто	1	1
403	всегда с	1	1
404	даже отчасти	1	1
405	же во	1	1
406	восходит к	4	1
407	карамазова в	1	1
408	применении к	1	1
409	которой он	1	1
410	на свои	1	1
411	связи с	1	1
412	бросился к	1	1
413	его а	1	1
414	есть необходимость	1	1
415	к роману	1	1
416	с творческой	1	1
417	в становлении	2	1
418	не любил	1	1
419	хотя бы	1	1
420	она не	3	1
421	на мысль	1	1
422	собой как	1	1
423	распространяется на	1	1
424	частности своего	1	1
425	того чтобы	1	1
426	и если	2	1
427	эта похвальба	1	1
428	одну из	3	1
429	но не	13	1
430	в другом	3	1
431	природе своей	4	1
432	дистанции между	1	1
433	этом мире	1	1
434	силе и	1	1
435	между тем	8	1
436	представляет собой	7	1
437	в ней	2	1
438	обстоит дело	1	1
439	мы узнаем	1	1
440	самом деле	2	1
441	уже было	2	1
442	этой связи	1	1
443	это по	3	1
444	в которой	1	1
445	лишь в	9	1
446	этот сын	1	1
447	а не	16	1
448	а за	1	1
449	а по	1	1
450	значение для	1	1
451	только на	1	1
452	и их	3	1
453	от литературных	1	1
454	свою жизнь	4	1
455	есть и	1	1
456	его речи	2	1
457	не могла	2	1
458	связь между	1	1
459	можно было	2	1
460	в форме	2	1
461	за пределы	3	1
462	к смерти	1	1
463	а между	1	1
464	но только	1	1
465	тем и	1	1
466	факт что	1	1
467	и хотя	1	1
468	доходит до	1	1
469	в смерти	1	1
470	б это	1	1
471	слова были	1	1
472	в истории	1	1
473	рассказывает о	1	1
474	по своей	5	1
475	он есть	1	1
476	еще недавно	1	1
477	человека с	2	1
478	вы не	1	1
479	словами следует	1	1
480	борьбе за	2	1
481	где мы	1	1
482	человека и	2	1
483	отметить что	1	1
484	на всю	1	1
485	или как	1	1
486	должны были	1	1
487	жизни на	1	1
488	это его	1	1
489	перед ним	2	1
490	волосы и	1	1
491	на новую	1	1
492	и т.д	3	1
493	евангелии от	1	1
494	полагал что	1	1
495	всего этого	1	1
496	с другим	1	1
497	того кто	1	1
498	известной степени	3	1
499	ли есть	1	1
500	я в	15	1
501	именно такого	3	1
502	дистанция между	3	1
503	никогда в	2	1
504	к ним	1	1
505	возвращения из	2	1
506	и еще	1	1
507	но без	2	1
508	в эпизоде	7	1
509	открывается в	1	1
510	ту сторону	1	1
511	в книге	1	1
512	к ней	1	1
513	между отцом	1	1
514	как мы	4	1
515	не для	2	1
516	и особенно	1	1
517	на две	3	1
518	и о	1	1
519	как некое	1	1
520	ее не	1	1
521	родного дома	1	1
522	где на	1	1
523	его как	3	1
524	на уровне	2	1
525	образы и	1	1
526	эстетическая позиция	1	1
527	над собою	1	1
528	и служит	1	1
529	роман и	1	1
530	той же	7	1
531	и др	1	1
532	не моральный	1	1
533	с литературными	1	1
534	только по	2	1
535	характерно что	2	1
536	обратимся к	2	1
537	быть в	1	1
538	из первых	1	1
539	во времена	1	1
540	за два	1	1
541	слова в	2	1
542	сравним с	1	1
543	и от	3	1
544	и есть	1	1
545	же слова	1	1
546	от маленькой	1	1
547	с которым	1	1
548	в голову	1	1
549	в общем	4	1
550	на этот	1	1
551	и беспокойство	1	1
552	они сами	1	1
553	всегда оказывается	1	1
554	исходит из	2	1
555	пришел в	1	1
556	из трех	2	1
557	но я	1	1
558	пушкина и	3	1
559	своей и	1	1
560	этого слова	3	1
561	например в	2	1
562	себя а	1	1
563	право на	1	1
564	последняя фраза	1	1
565	за год	1	1
566	но если	1	1
567	о своих	3	1
568	в литературе	3	1
569	и по	3	1
570	нуждается в	2	1
571	перед читателем	1	1
572	ни за	1	1
573	в и	1	1
574	стороне его	1	1
575	ее содержание	1	1
576	всяком случае	6	1
577	теперь уже	1	1
578	конце концов	1	1
579	на поиски	1	1
580	распадается на	1	1
581	к ее	2	1
582	за себя	1	1
583	с простодушным	1	1
584	и наконец	1	1
585	что на	3	1
586	вплоть до	5	1
587	перед другом	1	1
588	время с	1	1
589	по нашему	3	1
590	чем у	1	1
591	намек на	1	1
592	судя по	2	1
