N	2gram	Savitsky_P	NovoeSre
107	одна из	2	2
108	стремление к	1	2
109	в природе	1	2
110	но не	3	2
111	в то	7	2
112	том что	4	2
113	не будут	1	2
114	так же	1	2
115	xix век	2	2
116	и это	2	2
117	в смысле	6	2
118	но для	1	2
119	себя в	1	2
120	но в	9	2
121	мысли и	1	2
122	не к	2	2
123	к более	1	2
124	связаны с	1	2
125	вопрос об	1	1
126	и греческой	1	1
127	и мир	1	1
128	в самом	1	1
129	нет ничего	1	1
130	они являются	1	1
131	от нее	1	1
132	века как	1	1
133	эпоху нашу	1	1
134	о тайнах	1	1
135	был и	1	1
136	эту эпоху	1	1
137	мира нового	2	1
138	и быть	1	1
139	и государства	1	1
140	как ни	1	1
141	и более	1	1
142	в котором	4	1
143	по природе	1	1
144	по преимуществу	1	1
145	пр в	1	1
146	есть признак	1	1
147	в статье	2	1
148	церковной иерархии	1	1
149	отличие от	1	1
150	мир в	1	1
151	они не	1	1
152	из них	2	1
153	она должна	1	1
154	все еще	1	1
155	также что	1	1
156	который не	1	1
157	переходит в	1	1
158	и ныне	1	1
159	народной стихии	1	1
160	уже в	1	1
161	может идти	1	1
162	в значительной	2	1
163	есть прежде	1	1
164	из этих	1	1
165	во всяком	1	1
166	от европы	2	1
167	том числе	2	1
168	и национальные	1	1
169	но также	4	1
170	для того	3	1
171	вопросу о	1	1
172	что истина	1	1
173	ушла от	1	1
174	хозяйства и	2	1
175	последние годы	1	1
176	и жизненной	1	1
177	христианского мира	1	1
178	духа есть	1	1
179	было бы	6	1
180	мы должны	4	1
181	философской мысли	1	1
182	сочетаться с	1	1
183	в формах	1	1
184	в недрах	2	1
185	культуры на	1	1
186	от истины	1	1
187	в его	2	1
188	и личности	1	1
189	от этой	1	1
190	и вся	1	1
191	и через	1	1
192	духовная почва	1	1
193	бытия как	1	1
194	в которую	2	1
195	говорить о	2	1
196	не с	1	1
197	во времена	1	1
198	одна сторона	1	1
199	не были	1	1
200	есть и	1	1
201	верим в	1	1
202	и духовные	1	1
203	для них	2	1
204	с богом	1	1
205	экономический материализм	1	1
206	не столько	2	1
207	и целиком	1	1
208	сельского хозяйства	1	1
209	еще в	1	1
210	в мир	1	1
211	коммунистической партии	1	1
212	иная форма	1	1
213	нет никакого	1	1
214	духовную жизнь	2	1
215	с собой	1	1
216	весь мир	1	1
217	и такое	1	1
218	только в	7	1
219	в xix	2	1
220	творчества и	2	1
221	в большинстве	1	1
222	извращенной форме	1	1
223	было и	1	1
224	их не	1	1
225	партии в	1	1
226	россию и	1	1
227	сами по	3	1
228	всего что	1	1
229	есть проблема	1	1
230	в которой	1	1
231	заключает в	2	1
232	в этой	1	1
233	числе и	1	1
234	к чему	2	1
235	а также	4	1
236	и еще	1	1
237	что его	1	1
238	и техники	1	1
239	европу и	1	1
240	как на	2	1
241	россия в	3	1
242	в отличие	1	1
243	считают себя	1	1
244	на нее	1	1
245	возможно что	1	1
246	оно есть	1	1
247	переход от	2	1
248	нужно помнить	2	1
249	ней и	1	1
250	о русском	1	1
251	из всех	1	1
252	что не	1	1
253	русский народ	2	1
254	россии и	4	1
255	социализма в	1	1
256	к этой	1	1
257	жизни народа	1	1
258	мира но	1	1
259	на заре	1	1
260	или иная	1	1
261	эти черты	1	1
262	в своем	4	1
263	давно уже	1	1
264	в последние	2	1
265	и иерархии	1	1
266	россии в	5	1
267	на себя	1	1
268	известном смысле	1	1
269	в силу	2	1
270	и очень	1	1
271	большинстве случаев	1	1
272	мысли но	1	1
273	не та	1	1
274	что мы	3	1
275	эпоха когда	1	1
276	в этих	1	1
277	до которых	1	1
278	по себе	4	1
279	в области	11	1
280	россию от	1	1
281	духовной и	1	1
282	так будет	1	1
283	и только	1	1
284	всяком случае	1	1
285	та или	1	1
286	друг друга	1	1
287	в эти	1	1
288	приобщается к	1	1
289	распадается на	1	1
290	в это	1	1
291	истины от	1	1
292	в известном	1	1
293	во времени	1	1
294	в каком	1	1
295	формах и	1	1
296	и скоро	1	1
297	в эту	2	1
298	у в	1	1
299	и особенно	1	1
300	в извращенной	1	1
301	в существе	1	1
302	но до	1	1
303	востока и	1	1
304	мира с	2	1
305	обратиться к	1	1
306	чтобы понять	1	1
