N	2gram	Bakhtin_KF	EvropaiE
181	будет ли	2	2
182	его на	2	2
183	и тут	1	2
184	и рядом	1	2
185	в содержании	1	2
186	расположены в	1	2
187	ценность в	1	2
188	в этих	1	2
189	жизни мира	2	2
190	но с	1	2
191	могут стать	2	2
192	в своих	4	2
193	при условии	2	2
194	если бы	8	2
195	или в	1	2
196	и с	1	2
197	и можно	1	2
198	и все	9	2
199	и эта	2	2
200	в не	1	2
201	другой и	1	2
202	на месте	1	2
203	нужно думать	1	2
204	относятся к	1	2
205	стороны в	3	2
206	в какой	1	2
207	имеет место	1	2
208	вместе с	1	2
209	и как	2	2
210	как не	1	2
211	помнить что	1	2
212	не есть	22	2
213	в мире	8	2
214	как оно	2	2
215	между собой	1	2
216	между ними	1	2
217	поскольку он	3	2
218	не нужно	2	2
219	бы совершенно	1	2
220	в эту	1	2
221	и таким	1	2
222	а именно	1	2
223	к той	1	2
224	культурного творчества	1	2
225	только одно	1	2
226	что эти	1	2
227	ко всему	5	2
228	но как	5	2
229	все другие	1	2
230	только к	1	2
231	и других	2	2
232	в котором	24	2
233	более чем	1	2
234	оставить в	1	2
235	она не	2	2
236	в значительной	1	2
237	на основе	7	2
238	он не	6	2
239	мы должны	1	2
240	кажется что	2	2
241	и теперь	1	2
242	к такой	1	2
243	а не	17	2
244	и та	3	2
245	в одном	5	2
246	отношений между	1	2
247	в истории	1	2
248	каких бы	1	2
249	по своей	1	2
250	а в	5	2
251	в большинстве	1	2
252	а тем	1	2
253	в этой	2	2
254	культуры и	5	2
255	и каждая	1	2
256	главным образом	1	2
257	за вычетом	6	2
258	мог бы	1	2
259	могут быть	3	2
260	ее от	2	2
261	того мира	1	2
262	что все	1	2
263	во всей	4	2
264	же в	1	2
265	жизни и	8	2
266	такой же	1	2
267	культуры с	1	2
268	культуры как	1	2
269	ведь и	1	2
270	мира не	3	2
271	поскольку она	2	2
272	не можем	1	2
273	и наконец	1	2
274	но поскольку	1	2
275	не к	1	2
276	прочим и	1	2
277	к нему	12	2
278	в оценке	1	1
279	жизни но	3	1
280	ближе к	3	1
281	во всем	7	1
282	значит ли	1	1
283	мире и	1	1
284	положения и	3	1
285	находятся в	1	1
286	действительно ли	2	1
287	все что	1	1
288	ее и	6	1
289	здесь на	1	1
290	к единому	3	1
291	один из	2	1
292	человеческой жизни	1	1
293	та же	3	1
294	не выходит	1	1
295	религии и	1	1
296	она и	1	1
297	мир в	12	1
298	место при	1	1
299	как таковой	1	1
300	как с	1	1
301	может не	2	1
302	права и	1	1
303	и было	1	1
304	и всей	1	1
305	но из	1	1
306	действительно имеют	1	1
307	должно быть	6	1
308	имеют в	1	1
309	его построения	1	1
310	за исключением	1	1
311	был бы	3	1
312	в жизни	2	1
313	для себя	7	1
314	том же	1	1
315	дело с	2	1
316	иную эпоху	1	1
317	и факта	1	1
318	факта но	1	1
319	при этом	4	1
320	и культура	1	1
321	принципу не	1	1
322	должно происходить	1	1
323	для него	13	1
324	следует что	1	1
325	с ним	5	1
326	тем как	3	1
327	выйти в	2	1
328	но сама	1	1
329	не как	4	1
330	в принципе	2	1
331	времени можно	1	1
332	суждения не	1	1
333	а затем	1	1
334	поэтому в	1	1
335	расширение в	1	1
336	не являются	1	1
337	к выводу	1	1
338	нами в	2	1
339	это есть	2	1
340	смысле этого	1	1
341	облекать в	1	1
342	в определении	1	1
343	весь мир	2	1
344	в третьем	1	1
345	что между	1	1
346	различия между	1	1
347	творчества и	1	1
348	связь с	1	1
349	оно не	2	1
350	не было	8	1
351	если не	2	1
352	о возможности	1	1
353	и будущего	1	1
354	отказаться от	2	1
355	живет и	1	1
356	не о	2	1
357	но все	6	1
358	имеет для	1	1
359	с ней	1	1
360	будет тем	1	1
361	и где	1	1
362	что за	2	1
363	можно быть	1	1
364	мысль о	1	1
365	по отношению	26	1
366	которые как	1	1
367	что не	3	1
368	как его	4	1
369	в ту	2	1
370	значения как	1	1
371	она является	1	1
372	исходит из	1	1
373	не делает	1	1
374	и будет	1	1
375	сводится к	2	1
376	только путем	1	1
377	но само	1	1
378	бы признать	1	1
379	рядом с	3	1
380	тому что	2	1
381	в корне	3	1
382	и поскольку	1	1
383	конечно не	7	1
384	к действительному	1	1
385	определяется как	1	1
386	в последнем	1	1
387	вышла из	1	1
388	с ними	4	1
389	в соответствии	2	1
390	всегда в	1	1
391	для каждого	1	1
392	если и	1	1
393	но нельзя	1	1
394	в определенной	2	1
395	все эти	11	1
396	себя как	2	1
397	поскольку же	1	1
398	все же	5	1
399	при таком	1	1
400	есть только	1	1
401	противном случае	1	1
402	том смысле	1	1
403	именно при	1	1
404	этого слова	2	1
405	одно из	1	1
406	один и	3	1
407	его жизни	3	1
408	может дать	3	1
409	который не	1	1
410	войти в	3	1
411	эта последняя	1	1
412	и это	12	1
413	был не	1	1
414	играть в	1	1
415	об этом	1	1
416	связанная с	1	1
417	жизни вообще	1	1
418	ценности как	2	1
419	уже не	7	1
420	в одной	1	1
421	всем его	3	1
422	а для	2	1
423	что конечно	1	1
424	некоторым образом	1	1
425	эти положения	1	1
426	в индивидуальном	1	1
427	основных чертах	1	1
428	но его	1	1
429	нет ничего	1	1
430	не менее	3	1
431	конечно это	1	1
432	признать что	1	1
433	том случае	1	1
434	homo sapiens	3	1
435	где этот	2	1
436	от себя	10	1
437	может жить	1	1
438	области и	3	1
439	а к	1	1
440	в основе	5	1
441	осуществляется в	1	1
442	переходит в	1	1
443	близости к	1	1
444	зависит от	1	1
445	что мы	1	1
446	на этом	1	1
447	значит что	1	1
448	когда мы	1	1
449	разобщенности и	1	1
450	бы только	1	1
451	освободиться от	1	1
452	как одно	1	1
453	собой столь	1	1
454	в лучшем	1	1
455	в основных	1	1
456	все остальные	2	1
457	и разнообразие	1	1
458	всего этого	1	1
459	не переходит	1	1
460	относится к	1	1
461	всех великих	1	1
462	и иных	1	1
463	ту же	1	1
464	не способны	1	1
465	вместо того	1	1
466	этом мире	2	1
467	другой в	1	1
468	не быть	3	1
469	из их	1	1
470	а через	1	1
471	в этот	1	1
472	культуры можно	1	1
473	ни была	1	1
474	из себя	11	1
475	слова и	1	1
476	быть и	3	1
477	положений и	1	1
478	только тогда	1	1
479	для нее	9	1
480	можно конечно	1	1
481	значение для	1	1
482	должны быть	1	1
483	и их	6	1
484	в которую	1	1
485	говорить о	2	1
486	что эта	2	1
487	на его	1	1
488	при такой	1	1
489	и когда	2	1
490	связь между	1	1
491	ценности и	4	1
492	этого факта	1	1
493	его понимает	1	1
494	входит в	4	1
495	разных точек	1	1
496	и до	1	1
497	характерной чертой	1	1
498	значительной степени	1	1
499	и затем	1	1
500	от своей	5	1
501	чтобы не	2	1
502	этих случаях	1	1
503	к которой	2	1
504	это может	1	1
505	это различие	1	1
506	только это	2	1
507	жизни только	1	1
508	любви к	1	1
509	или иное	2	1
510	всем другим	3	1
511	мы здесь	3	1
512	пространства и	2	1
513	бы по	1	1
514	но этот	2	1
515	в каких	1	1
516	сомнения что	1	1
517	лишь в	8	1
518	этого мира	3	1
519	нем и	3	1
520	обрести свое	1	1
521	соответствии с	2	1
522	к двум	1	1
523	и должна	3	1
524	нужно помнить	1	1
525	она может	1	1
526	и тот	3	1
527	той же	1	1
528	и утверждается	1	1
529	и культуры	1	1
530	и ее	2	1
531	своеобразный мир	1	1
532	это можно	2	1
533	такая же	1	1
534	условия и	1	1
535	быть в	4	1
536	что может	1	1
537	тот же	3	1
538	относиться к	1	1
539	мы обозначаем	1	1
540	оказались бы	1	1
541	в нашем	1	1
542	с собой	1	1
543	не значит	6	1
544	здесь говорим	1	1
545	выход в	2	1
546	культуры по	1	1
547	эту мысль	1	1
548	мы будем	1	1
549	котором мы	3	1
550	с которым	1	1
551	занимают в	1	1
552	в сознании	2	1
553	его для	1	1
554	это что	1	1
555	жизни эти	1	1
556	разность в	1	1
557	же будет	1	1
558	бытия и	10	1
559	который по	1	1
560	ней в	1	1
561	и о	1	1
562	имеют дело	1	1
563	лежащие на	1	1
564	одна из	1	1
565	даже более	1	1
566	включает в	2	1
567	по количеству	1	1
568	с его	2	1
569	и его	18	1
570	центра и	1	1
571	оно может	1	1
572	его к	2	1
573	чем та	1	1
574	в противном	1	1
575	момент во	1	1
576	это в	1	1
577	отдельных областей	1	1
578	в нем	32	1
579	но это	6	1
580	от того	3	1
581	если мы	1	1
582	лучшем случае	1	1
583	для этого	2	1
584	с ее	2	1
585	всех этих	3	1
586	для всего	1	1
587	ним они	1	1
588	то или	2	1
589	случае когда	1	1
590	одного и	2	1
591	в чисто	1	1
592	жизнью и	1	1
593	с разных	1	1
594	человечества но	1	1
595	смысле принципиально	1	1
596	как некоторый	1	1
597	вне ее	4	1
598	своего развития	1	1
599	гораздо более	2	1
