N	2gram	Propp_Isto	PoTuStor
468	повторять и	1	1
469	тому как	3	1
470	многих случаях	1	1
471	в каких	1	1
472	это только	2	1
473	в ней	3	1
474	у меня	5	1
475	еще одно	1	1
476	человека как	1	1
477	мы узнаем	1	1
478	сыном в	1	1
479	не всегда	7	1
480	очень широко	1	1
481	здесь она	1	1
482	в руках	1	1
483	от всех	1	1
484	когда он	2	1
485	нам что	1	1
486	один шаг	1	1
487	жизнь с	1	1
488	и входит	1	1
489	новых и	1	1
490	а не	13	1
491	к тем	2	1
492	всей этой	1	1
493	и стали	1	1
494	увидим что	2	1
495	эта сторона	2	1
496	ни один	2	1
497	должны быть	1	1
498	имеем в	6	1
499	в человеческом	2	1
500	и та	1	1
501	хотя в	1	1
502	и что	6	1
503	как он	1	1
504	и об	1	1
505	для человека	1	1
506	план выдвигается	1	1
507	совершенно так	4	1
508	так чтобы	1	1
509	где же	2	1
510	говоря о	1	1
511	в нашей	1	1
512	на другой	3	1
513	в особом	3	1
514	не следует	2	1
515	к чему	2	1
516	уже и	1	1
517	можно ли	3	1
518	от того	3	1
519	но вместе	1	1
520	это может	1	1
521	человека и	1	1
522	на всю	1	1
523	как один	1	1
524	рождение человека	1	1
525	очень мало	1	1
526	а во	1	1
527	мы здесь	7	1
528	входить в	1	1
529	вопрос можно	1	1
530	в мифах	2	1
531	на это	4	1
532	с другой	10	1
533	это же	1	1
534	некоторое время	4	1
535	ничего общего	1	1
536	слияния представлений	1	1
537	что же	2	1
538	как на	1	1
539	на свет	1	1
540	потом в	2	1
541	весь тот	1	1
542	же самое	1	1
543	вступают в	4	1
544	каждого из	1	1
545	что здесь	8	1
546	в эту	1	1
547	в точности	4	1
548	выходит из	1	1
549	без всякого	1	1
550	заметить что	2	1
551	не совсем	5	1
552	которой можно	1	1
553	наконец что	1	1
554	однако в	1	1
555	общего с	1	1
556	она может	2	1
557	наука и	1	1
558	главным образом	3	1
559	и самого	1	1
560	поздно в	1	1
561	по которой	2	1
562	приводящая к	1	1
563	правда все	1	1
564	друг другу	2	1
565	той же	3	1
566	только одна	3	1
567	что есть	1	1
568	которые в	1	1
569	свою противоположность	1	1
570	но нет	1	1
571	бы он	1	1
572	о его	2	1
573	именно так	3	1
574	что я	2	1
575	он даже	1	1
576	нам важен	1	1
577	под названием	1	1
578	во многих	2	1
579	может оказаться	1	1
580	только при	1	1
581	как я	1	1
582	главный материал	1	1
583	действительно не	1	1
584	мы сейчас	2	1
585	думая что	1	1
586	все время	2	1
587	материал в	1	1
588	же в	6	1
589	что она	8	1
590	не сразу	2	1
591	по-видимому в	1	1
592	и прежде	1	1
593	каждое из	1	1
594	одна из	2	1
595	с сыном	1	1
596	же мы	2	1
597	здесь имеем	2	1
598	формы и	1	1
599	право на	2	1
600	этот момент	1	1
601	по поводу	1	1
602	на место	1	1
603	его к	5	1
604	всем мире	3	1
605	полового созревания	1	1
606	не осталось	1	1
607	сказать о	1	1
608	это просто	1	1
609	словесное выражение	1	1
610	друг с	2	1
611	человек не	1	1
612	это в	2	1
613	это уже	3	1
614	эти два	3	1
615	или при	1	1
616	не будут	1	1
617	что иное	6	1
618	обращение с	1	1
619	он действительно	1	1
620	мы должны	9	1
621	есть ли	4	1
622	из него	3	1
623	надо искать	1	1
624	к ее	1	1
625	что такие	1	1
626	не случайно	2	1
627	мы еще	3	1
628	дело обстоит	1	1
629	тела и	1	1
630	себя в	2	1
631	тот же	2	1
632	ничего не	12	1
633	можно указать	2	1
634	иное как	6	1
635	о ней	2	1
636	смерти как	1	1
637	из этой	2	1
638	к нему	12	1
639	видим и	1	1
640	это желание	1	1
641	женской линии	2	1
