N	2gram	Tiupa_Vved	Poddanst
414	в и	1	1
415	она оказывается	1	1
416	всяком случае	3	1
417	о котором	5	1
418	бы мы	2	1
419	не все	2	1
420	сравнению с	1	1
421	когда в	2	1
422	друг друга	1	1
423	распадается на	1	1
424	для этого	2	1
425	с ее	3	1
426	в известном	1	1
427	во времени	2	1
428	гораздо более	1	1
429	не просто	2	1
430	он был	1	1
431	не имеет	3	1
432	и особенно	1	1
433	или менее	2	1
434	пути к	1	1
435	и ее	2	1
436	применительно к	2	1
437	отличаться от	2	1
438	что жизнь	1	1
439	есть знак	1	1
440	в бытии	3	1
441	особенно в	3	1
442	собой его	1	1
443	связаны с	1	1
444	обратиться к	2	1
445	сознания к	1	1
446	никогда не	6	1
447	к истокам	2	1
448	еще не	8	1
