N	2gram	Berdyaev_N	Marksizm
116	одной стороны	2	6
117	с одной	2	6
118	с другими	1	6
119	не есть	3	6
120	всяком случае	1	6
121	должны быть	1	6
122	с ее	5	6
123	должна быть	3	6
124	смысле слова	3	6
125	зависимости от	1	6
126	не имеют	2	6
127	он и	1	6
128	все это	5	6
129	вопрос о	3	6
130	мы должны	1	6
131	из этих	1	6
132	не к	2	6
133	в виду	1	5
134	не менее	4	5
135	связано с	1	5
136	как на	1	5
137	от того	1	5
138	себя в	2	5
139	по преимуществу	1	5
140	должно быть	4	5
141	что такое	3	5
142	xix века	5	5
143	все время	2	5
144	от этого	1	5
145	лишь для	1	5
146	жизни в	3	5
147	и у	1	5
148	в конце	1	5
149	для себя	1	5
150	вместе с	2	5
151	связана с	2	5
152	хотя и	2	5
153	формы и	2	5
154	в более	1	5
155	значение в	1	5
156	но не	2	5
157	менее всего	1	5
158	к одному	1	5
159	она не	3	5
160	совершается в	1	5
161	и к	5	4
162	же и	1	4
163	в них	4	4
164	но все	1	4
165	тем что	1	4
166	нем нет	2	4
167	говорит что	1	4
168	в зависимости	1	4
169	к ее	3	4
170	из них	1	4
171	него как	1	4
172	что все	2	4
173	не знает	6	4
174	в которой	1	4
175	что она	2	4
176	но для	2	4
177	но ведь	1	4
178	стремится к	3	4
179	и особенно	1	4
180	от нее	1	4
181	лишь там	1	4
182	не могут	1	4
183	можно назвать	2	4
184	нет ничего	1	4
185	и до	1	4
186	переход от	1	4
187	нет и	2	4
188	уже в	1	4
189	это и	2	4
190	можно сказать	1	4
191	пр в	1	4
192	может идти	1	4
193	в каких	1	4
194	жизни и	8	4
195	в области	1	4
196	нуждается в	1	4
197	они являются	1	3
198	в нашу	2	3
199	с тем	3	3
200	роль в	2	3
201	в этот	1	3
202	говорить о	1	3
203	значительной степени	1	3
204	с ним	1	3
205	на протяжении	2	3
206	к себе	1	3
207	в социальной	1	3
208	чтобы понять	1	3
209	ли это	2	3
210	как это	2	3
211	по своей	1	3
212	значение и	1	3
213	и есть	10	3
214	речи о	1	3
215	социальной жизни	1	3
216	вступить в	1	3
217	и этот	1	3
218	не на	1	3
219	можно было	2	3
220	еще в	1	3
221	приводит к	1	3
222	ни к	2	3
223	то он	1	3
224	потому что	4	3
225	в мир	1	3
226	он может	1	3
227	но если	1	3
228	но это	6	3
229	они не	1	3
230	свидетельствует о	1	3
231	том числе	1	3
232	с их	2	3
233	на нее	1	3
234	есть только	1	3
235	к единству	1	3
236	должен быть	5	3
237	мысли в	2	3
238	связаны с	2	3
239	к жизни	3	3
240	на них	1	3
241	человека в	1	3
242	как ни	1	3
243	в значительной	1	3
244	эти формы	3	3
245	а по	1	3
246	не с	1	3
247	числе и	1	3
248	все более	1	3
249	и только	1	3
250	становится в	1	3
251	во всем	1	2
252	для всех	1	2
253	возможно лишь	1	2
254	вообще не	1	2
255	к этой	1	2
256	т.е к	1	2
257	есть прежде	1	2
258	вопросу о	1	2
259	из всех	1	2
260	это значит	1	2
261	на смену	1	2
262	в духе	3	2
263	к более	2	2
264	превращается в	1	2
265	в жизни	5	2
266	той социальной	1	2
267	их в	1	2
268	всего они	1	2
269	перестает быть	4	2
270	во все	1	2
271	она могла	1	2
272	добро и	1	2
273	привела к	1	2
274	в прошлом	3	2
275	к ним	3	2
276	же так	1	2
277	в атмосфере	1	2
278	что само	1	2
279	распадается на	1	2
280	этой системы	1	2
281	и во	1	2
282	неизбежно должна	1	2
283	и весь	2	2
284	значение все	1	2
285	приблизиться к	1	2
286	в состоянии	1	2
287	быть в	2	2
288	в недрах	1	2
289	каждого человека	2	2
290	для них	1	2
291	но он	1	2
292	что его	1	2
293	они сами	1	2
294	же как	2	2
295	для решения	1	2
296	должно было	2	2
297	себе и	1	2
298	в чем	1	2
299	всех своих	1	2
300	и мир	1	2
301	но можно	1	2
302	бы к	1	2
303	эти слова	1	2
304	совсем не	12	2
305	более всего	1	2
306	характерны для	1	2
307	возможен лишь	1	2
308	не могла	2	2
309	этом смысле	2	2
310	в нее	1	2
311	в новое	3	2
312	когда мы	2	2
313	культуры и	7	2
314	всех сторон	4	2
315	не значит	3	2
316	во время	1	2
317	все в	1	2
318	в судьбах	2	2
319	оно не	1	2
320	сами по	1	2
321	есть лишь	4	2
322	времени не	1	2
323	себя и	1	2
324	нет в	1	2
325	лишь те	1	2
326	он также	1	2
327	что мы	1	2
328	быть не	1	2
329	и вся	1	2
330	к своим	1	2
331	вступает в	1	2
332	осознавать себя	1	2
333	по всем	1	2
334	к лицу	3	2
335	или к	1	2
336	же стороны	1	2
337	нет ни	1	2
338	борьба и	2	2
339	зависит от	2	2
340	лицом к	3	2
341	в эпоху	9	2
342	есть в	2	2
343	мира и	2	2
344	политической жизни	1	2
345	это было	3	2
346	со всех	4	2
347	в эти	1	2
348	стремиться к	2	2
349	одну из	1	2
350	не по	1	2
351	есть и	1	2
352	нового времени	12	2
353	явление в	1	2
354	оно должно	1	2
355	общества и	2	2
356	понимают и	1	2
357	мир не	1	1
358	более не	2	1
359	для рассудка	1	1
360	было так	1	1
361	философии и	1	1
362	в центре	2	1
363	и очень	1	1
364	идеология в	1	1
365	народов и	1	1
366	и имеет	1	1
367	или нет	1	1
368	о формах	1	1
369	не хочет	1	1
370	из ее	2	1
371	с собой	1	1
372	имеет никакой	1	1
373	истина есть	1	1
374	новое время	4	1
375	мы живем	5	1
376	ни одна	2	1
377	равно как	2	1
378	истину или	1	1
379	только для	1	1
380	в природе	2	1
381	и истории	1	1
382	логики и	1	1
383	и нет	1	1
384	жизни все	2	1
385	не могли	2	1
386	то это	1	1
387	нас и	1	1
388	и ныне	1	1
389	познания и	2	1
390	может принадлежать	1	1
391	процесс в	1	1
392	но во	1	1
393	не всегда	1	1
394	из их	1	1
395	их не	1	1
396	что вся	1	1
397	может еще	1	1
398	всего как	1	1
399	и когда	1	1
400	людей и	1	1
401	оно существует	1	1
402	но также	1	1
403	замкнутости и	1	1
404	в политической	1	1
405	и еще	1	1
406	новый мир	1	1
407	быть понята	1	1
408	жизни как	2	1
409	в основу	1	1
410	к которому	1	1
411	мы конечно	1	1
412	уже никакой	2	1
413	противоположного характера	1	1
414	и внешними	1	1
415	глубины и	2	1
416	мыслителей и	1	1
417	нем не	1	1
418	времени а	1	1
419	так долго	1	1
420	франции и	1	1
421	проходит через	1	1
422	бытия а	1	1
423	ближе к	1	1
424	жизни совершенно	1	1
425	свою энергию	1	1
426	внутреннего единства	1	1
427	и мы	4	1
428	по природе	1	1
429	не останется	1	1
430	такого рода	2	1
431	протяжении всей	1	1
432	процесс возникновения	1	1
433	не должна	1	1
434	сильнее и	2	1
435	человека во	2	1
436	и через	1	1
437	если есть	1	1
438	или не	1	1
439	к чему	1	1
440	она создает	1	1
441	другой же	1	1
442	на себя	1	1
443	быть только	1	1
444	индивидуализм есть	1	1
445	xviii века	2	1
446	на заре	1	1
447	имеют никакого	1	1
448	характер и	1	1
449	я не	2	1
450	в мире	3	1
451	уже давно	1	1
452	применить к	1	1
453	связанный с	1	1
454	к вопросу	1	1
455	xix век	2	1
456	в эту	1	1
457	недрах этой	1	1
458	нам предстоит	1	1
459	до которых	1	1
460	вопроса о	1	1
461	совершенно неверна	1	1
462	и быть	1	1
463	нет уже	1	1
464	во франции	1	1
465	не означает	3	1
466	личность в	2	1
467	в наше	3	1
468	природе своей	1	1
469	он находится	1	1
470	не стоят	1	1
471	сочетаться с	1	1
472	должно идти	1	1
473	на нем	1	1
474	совершенно так	1	1
475	других людей	1	1
476	себя на	1	1
477	сами эти	1	1
478	он признал	1	1
479	в древних	1	1
480	и другая	1	1
481	центр тяжести	2	1
482	истории и	9	1
483	два пути	1	1
484	он в	1	1
485	мысли как	1	1
486	но нет	1	1
487	эпохи в	1	1
488	процессы в	1	1
489	вполне возможно	1	1
490	в силу	1	1
491	на место	1	1
492	значит что	4	1
493	он создает	1	1
494	для чего	2	1
495	пути ее	1	1
496	наше время	4	1
497	лишь по	1	1
498	в статье	1	1
499	истории к	4	1
500	существования и	1	1
501	также что	1	1
502	переходит в	1	1
503	погружается в	1	1
504	на ее	1	1
505	и должно	2	1
506	на иной	1	1
507	и из	1	1
508	нашего времени	2	1
509	самой жизни	2	1
510	истории в	5	1
511	от этой	1	1
512	мы в	1	1
513	человека не	1	1
514	нет никакого	1	1
515	подобно тому	3	1
516	перед ними	1	1
517	или ложь	1	1
518	в переходе	1	1
519	она становится	1	1
520	творчества и	1	1
521	возникнуть лишь	1	1
522	особого рода	1	1
523	внутри и	1	1
524	так называемый	1	1
525	в россии	3	1
526	мы говорим	2	1
527	то время	1	1
528	лишь к	1	1
529	выходит за	1	1
530	для сознания	1	1
531	самая постановка	1	1
532	мыслей и	1	1
533	он есть	1	1
534	бы сказать	1	1
535	в известном	1	1
536	будут преобладать	1	1
537	и было	2	1
538	к созданию	2	1
539	которую она	2	1
540	эпоху и	1	1
541	но оно	1	1
542	все они	2	1
543	и второстепенным	1	1
544	кризисов и	1	1
545	мы переходим	1	1
546	слова все	1	1
547	бог и	1	1
548	и заключается	2	1
549	можно лишь	1	1
550	истории но	1	1
551	философии жизни	1	1
552	и процесс	1	1
553	значение для	1	1
554	и нового	1	1
555	в которую	1	1
556	в это	1	1
557	мир и	2	1
558	времени и	2	1
559	в обществе	2	1
560	например во	1	1
561	принадлежит уже	1	1
562	мы отлично	1	1
563	смысле и	1	1
564	неба и	1	1
565	только одна	1	1
566	в образе	1	1
567	их место	1	1
568	в каком-то	1	1
569	во времени	1	1
570	будет преобладать	1	1
571	жизни не	3	1
572	формы к	1	1
573	всякое значение	2	1
574	во внешних	1	1
575	менее чем	1	1
576	общества его	1	1
577	тоже не	1	1
578	новые формы	1	1
579	ничем не	1	1
580	сам себя	1	1
581	пришли к	1	1
582	ее на	1	1
583	предметного содержания	1	1
584	протекает и	1	1
585	и зло	1	1
586	совершающееся в	1	1
587	которому не	2	1
588	в формы	1	1
589	не способен	1	1
590	к ночи	1	1
591	исторического пути	1	1
592	слова а	1	1
593	от своих	1	1
594	а на	1	1
595	века и	2	1
596	отказаться от	1	1
597	нет для	1	1
598	жизни это	1	1
599	этого не	1	1
600	все ее	1	1
601	творчества не	1	1
602	и начинается	2	1
603	в силах	1	1
604	по существу	2	1
605	уже будет	1	1
606	чтобы быть	1	1
607	тогда начинается	1	1
608	не та	1	1
609	перестать быть	1	1
610	становится все	1	1
611	и религии	1	1
612	и бытия	1	1
613	по своему	4	1
614	ней нет	1	1
615	все категории	2	1
616	факт в	1	1
617	ему не	1	1
618	людей в	1	1
619	общественной жизни	6	1
620	может иметь	1	1
621	бытия как	1	1
622	и мысли	1	1
623	творческий процесс	1	1
624	переходе от	2	1
625	жизни для	1	1
626	эпоху может	1	1
627	и труда	1	1
628	тому как	3	1
629	истории а	2	1
630	в философском	1	1
631	к тем	1	1
632	но она	2	1
633	в человеческом	1	1
634	совершенно невозможно	1	1
635	в покое	1	1
636	и жизни	1	1
637	своей основе	1	1
638	человека и	3	1
639	хочет и	1	1
640	и всех	1	1
641	человеческого общества	1	1
642	к ней	1	1
643	того времени	1	1
644	эту мысль	1	1
645	бытия и	1	1
646	всей нашей	1	1
647	к новому	7	1
648	как будто	2	1
649	все другие	1	1
650	в новой	7	1
651	и быстро	3	1
652	вперед а	1	1
653	ведь и	2	1
654	для этого	2	1
655	содержанию а	1	1
656	эпохи и	4	1
657	к богу	2	1
658	жизнью и	1	1
659	героя но	1	1
660	этого конечно	1	1
