N	2gram	Medvedev_U	Problemy
402	такое понимание	1	1
403	и строится	1	1
404	нем но	1	1
405	точном смысле	1	1
406	смысле и	1	1
407	для поэзии	2	1
408	первый план	1	1
409	художественном произведении	2	1
410	место и	1	1
411	вопроса о	2	1
412	автора уже	1	1
413	с новой	1	1
414	бы уж	1	1
415	проблем связанных	1	1
416	сюда же	1	1
417	основного художественного	1	1
418	только материал	1	1
419	не приходится	2	1
420	тут мы	1	1
421	даже не	1	1
422	литературы и	2	1
423	но тут	1	1
424	его форма	1	1
425	но прежде	1	1
426	что только	1	1
427	одной стороны	1	1
428	приходится признать	2	1
429	существенно нового	1	1
430	вообще во	1	1
431	не делает	1	1
432	так всегда	1	1
433	в частности	3	1
434	к лицу	1	1
435	психики и	1	1
436	прием и	2	1
437	произведение а	2	1
438	с каждым	1	1
439	смысле можно	1	1
440	определения которые	1	1
441	очень легко	1	1
442	и форм	1	1
443	так или	1	1
444	где же	1	1
445	целого но	1	1
446	является одним	1	1
447	оно перестает	1	1
448	же остается	1	1
449	же ведь	1	1
450	пока для	1	1
451	о котором	1	1
452	в известном	1	1
453	на своем	1	1
454	для читателя	1	1
455	думает о	1	1
456	пушкина но	1	1
457	появляется уже	1	1
458	которых слово	1	1
459	поступка в	1	1
460	вообще по	1	1
461	вот почему	7	1
462	что мы	2	1
463	относится к	1	1
464	во мне	1	1
465	художественных произведений	2	1
466	в отдельности	1	1
467	мыслей о	1	1
468	метода а	1	1
469	и независимо	1	1
470	в итоге	2	1
471	стилистических приемов	5	1
472	своей работе	1	1
473	у других	1	1
474	органического единства	1	1
475	связанных с	1	1
476	имеем в	1	1
477	впервые в	1	1
478	новых приемов	1	1
479	к следующему	1	1
480	только при	1	1
481	но если	1	1
482	является только	1	1
483	именно этот	1	1
484	выражением духа	1	1
485	или просто	1	1
486	находятся в	1	1
487	что ему	1	1
488	все элементы	1	1
489	даны не	1	1
490	без них	1	1
491	этих слов	1	1
492	он становится	1	1
493	мы имеем	1	1
494	полагаем что	1	1
495	к голому	2	1
496	ее нельзя	2	1
497	а о	2	1
498	или иначе	1	1
499	материал как	2	1
500	выводам и	1	1
501	противном случае	2	1
502	без этого	1	1
503	по его	1	1
504	само художественное	2	1
505	форма в	1	1
506	литературного жанра	1	1
507	но положение	1	1
508	тем более	1	1
509	бы это	1	1
510	он прежде	1	1
511	как всякая	1	1
512	а где	1	1
513	весь и	1	1
514	не имеется	1	1
515	в искусстве	6	1
516	отказ от	1	1
517	к области	2	1
518	у кого	1	1
519	возникает проблема	1	1
520	воспринимает не	1	1
521	к изучению	1	1
522	впечатление которое	1	1
523	нас самих	1	1
524	формальные функции	1	1
525	дело конечно	2	1
526	в области	3	1
527	тех или	2	1
528	художественное творчество	1	1
529	слагается из	1	1
530	степени и	1	1
