N	2gram	Medvedev_F	Morfolog
235	по функциям	1	3
236	это было	3	3
237	вопроса о	2	3
238	том случае	2	3
239	то ни	5	3
240	совсем не	2	3
241	если бы	8	3
242	друг друга	4	3
243	и тем	3	3
244	не в	16	3
245	в которой	5	3
246	на нем	1	3
247	и их	13	3
248	в пределах	13	3
249	пр и	4	3
250	в большинстве	6	3
251	значение и	4	3
252	в этой	10	3
253	к ней	3	3
254	приводит к	4	3
255	но есть	2	3
256	не значит	1	3
257	мы будем	1	3
258	же в	4	3
259	можно будет	2	3
260	на то	2	3
261	и его	27	3
262	и по	3	3
263	и только	5	3
264	можно указать	1	3
265	не так	4	2
266	от него	2	2
267	является в	2	2
268	и этот	2	2
269	мы постараемся	1	2
270	как таковой	8	2
271	те элементы	1	2
272	если он	4	2
273	должна быть	11	2
274	и становятся	1	2
275	вопросу о	1	2
276	не с	2	2
277	потому не	1	2
278	формах в	1	2
279	не меняет	1	2
280	лишь на	1	2
281	не на	3	2
282	но такое	1	2
283	иначе чем	1	2
284	оно не	6	2
285	как они	4	2
286	в своих	3	2
287	более или	7	2
288	с этого	1	2
289	это положение	2	2
290	в россии	4	2
291	и задачи	1	2
292	например в	1	2
293	мы получаем	1	2
294	с тем	11	2
295	в в	2	2
296	их в	2	2
297	вряд ли	2	2
298	не имеет	2	2
299	углом зрения	1	2
300	за ней	2	2
301	в итоге	1	2
302	роль в	2	2
303	поставить вопрос	2	2
304	в каком	1	2
305	к другому	2	2
306	а а	1	2
307	не входит	2	2
308	нашу задачу	1	2
309	у нее	1	2
310	но оно	1	2
311	во всяком	6	2
312	его и	2	2
313	можно сказать	2	2
314	в данном	2	2
315	в основе	7	2
316	и более	4	2
317	же функции	1	2
318	в круг	1	2
319	такую же	1	2
320	но здесь	1	2
321	историческое изучение	1	2
322	это делается	1	2
323	одной стороны	5	2
324	и иных	2	2
325	в другом	2	2
326	другу и	1	2
327	в каких	1	2
328	касается только	1	2
329	том как	1	2
330	особое место	2	2
331	и больше	1	2
332	увидим что	1	2
333	что многие	1	2
334	в одном	2	2
335	в различных	2	2
336	от других	2	2
337	основные элементы	1	2
338	превращается в	2	2
339	при определении	1	2
340	то как	1	2
341	не что	1	2
342	тогда как	1	2
343	в обоих	1	2
344	вот как	3	2
345	например на	1	2
346	мотив и	1	2
347	что же	6	2
348	или вообще	1	2
349	без всякого	1	2
350	носит характер	1	2
351	в данной	1	2
352	же происходит	3	2
353	тем же	3	2
354	же они	2	2
355	одной из	2	2
356	из первых	1	2
357	материала к	1	2
358	на этот	1	2
359	он может	1	2
360	момент в	1	2
361	который в	1	2
362	что именно	2	2
363	а вовсе	2	2
364	всяком случае	6	2
365	следует еще	1	2
366	чем это	1	2
367	себя в	1	2
368	или другой	2	2
369	для него	9	2
370	образом лишь	1	2
371	как определенный	1	2
372	ничем не	4	2
373	как такового	8	2
374	что иное	1	2
375	может не	1	2
376	данном случае	2	2
377	в основу	2	2
378	и заставляет	1	2
379	с одной	5	2
380	нашей работы	3	2
381	ни к	1	2
382	ни было	2	2
383	этом отношении	7	2
384	для нас	1	2
385	все это	11	2
386	с другими	11	2
387	пока нет	1	2
388	пр то	1	2
389	чем в	1	2
390	эти функции	2	2
391	иногда и	1	2
392	не знает	1	2
393	этого не	1	2
394	как таковая	2	2
395	в другую	1	2
396	одним из	1	2
397	этого нельзя	1	2
398	вообще не	1	2
399	очень много	1	2
400	представляют собою	1	2
401	же оно	1	2
402	лишь с	1	2
403	у него	1	2
404	не от	3	2
405	перейти к	3	2
406	по своему	1	2
407	к вопросу	2	2
408	в чем	2	2
409	или менее	7	2
410	бы в	6	2
411	без всякой	3	2
412	вопрос не	1	2
413	а с	1	2
414	наука о	1	2
415	случае если	1	2
416	и даже	7	2
417	как особая	1	2
418	она не	8	2
419	чтобы овладеть	1	2
420	нет но	1	2
421	ту же	1	2
422	не по	4	2
423	быть и	5	2
424	эти формы	2	2
425	в частности	4	2
426	из этих	4	2
427	должны быть	6	2
428	что эта	2	2
429	сюда относятся	1	2
430	тем и	2	2
431	что некоторые	1	2
432	в нее	1	2
433	ли этот	1	2
434	ни одной	2	2
435	как их	4	2
436	из его	2	2
437	вопрос в	1	2
438	этим же	1	2
439	помощи которой	1	2
440	что о	2	2
441	если они	1	2
442	их на	2	2
443	не определяет	1	2
444	других случаях	1	2
445	если она	2	2
446	но они	1	2
447	иное как	1	2
448	совершается в	2	2
449	во второй	3	2
450	в той	3	1
451	от изучения	1	1
452	в особенности	7	1
453	должно исходить	1	1
454	во всем	3	1
455	какого бы	1	1
456	нет а	1	1
457	они имеют	1	1
458	однако и	3	1
459	и может	6	1
460	этот материал	1	1
461	одном месте	1	1
462	мы ценим	1	1
463	для всех	2	1
464	до сих	7	1
465	от материала	1	1
466	законы и	1	1
467	всего в	5	1
468	можно говорить	2	1
469	даны в	1	1
470	и детализации	1	1
471	состава и	1	1
472	в постановке	1	1
473	и на	10	1
474	на эти	1	1
475	первого вопроса	1	1
476	же и	2	1
477	как с	2	1
478	известной и	1	1
479	если материал	1	1
480	же законы	1	1
481	уходит из	1	1
482	и материал	1	1
483	на западе	4	1
484	его из	3	1
485	и направлено	1	1
486	за исключением	3	1
487	которые он	1	1
488	зрения их	2	1
489	его с	5	1
490	до него	1	1
491	на ее	1	1
492	совершенно очевидно	1	1
493	с такой	1	1
494	на первом	1	1
495	или иных	1	1
496	более широкой	1	1
497	приводит в	1	1
498	в применении	4	1
499	при этом	14	1
500	даже в	2	1
501	если о	1	1
502	уже знаем	1	1
503	это значит	1	1
504	всей совокупности	1	1
505	в нашу	1	1
506	по принципу	2	1
507	тем как	1	1
508	уже говорить	1	1
509	связанное с	1	1
510	ни стало	4	1
511	в другой	2	1
512	те же	1	1
513	но ведь	4	1
514	быть заменено	1	1
515	по-видимому не	1	1
516	быть поняты	3	1
517	остановиться на	2	1
518	всего возникает	1	1
519	с известной	1	1
520	к определению	1	1
521	сюжет но	1	1
522	основная задача	3	1
523	не столько	5	1
524	борьбы с	3	1
525	структурных особенностей	1	1
526	и создает	2	1
527	совершенно иное	1	1
528	он лишь	1	1
529	функции в	2	1
530	под этим	1	1
531	единого принципа	1	1
532	это определение	1	1
533	со всеми	3	1
534	одним общим	1	1
535	в них	4	1
536	быть разработаны	1	1
537	чтобы в	1	1
538	положения в	2	1
539	если не	1	1
540	где же	1	1
541	о необходимости	2	1
542	этой точки	1	1
543	во что	3	1
544	вместо того	1	1
545	извне а	1	1
546	конечно и	1	1
547	на свой	1	1
548	от одного	2	1
549	именно и	1	1
550	образом во	1	1
551	и с	17	1
552	некоторые другие	1	1
553	равно как	2	1
554	следовательно в	1	1
555	данного понятия	1	1
556	каким образом	1	1
557	точность в	1	1
558	и все	9	1
559	одновременно с	2	1
560	из самых	1	1
561	еще в	2	1
562	весь этот	1	1
563	ведь для	1	1
564	она является	2	1
565	именно в	12	1
566	так там	1	1
567	ведет к	1	1
568	и действительно	2	1
569	лишь к	1	1
570	к разработке	1	1
571	исходить из	4	1
572	том или	1	1
573	отношения к	6	1
574	также не	1	1
575	к таким	1	1
576	эти явления	2	1
577	к самым	1	1
578	ухо к	1	1
579	как не	1	1
580	с ними	1	1
581	самая постановка	1	1
582	духа в	1	1
583	и очень	1	1
584	в точном	1	1
585	а именно	3	1
586	это время	1	1
587	даже просто	2	1
588	в своей	16	1
589	одновременно и	1	1
590	стремления к	1	1
591	и просто	1	1
592	на эту	1	1
593	дело идет	6	1
594	отнесены к	1	1
595	это бывает	1	1
596	прошлого века	1	1
597	и были	1	1
598	бы не	1	1
599	этим в	1	1
600	функций в	2	1
601	прочим и	1	1
602	могут как	1	1
603	е на	1	1
604	от форм	2	1
605	важное значение	1	1
606	влияния на	3	1
607	характерна для	1	1
608	плохо если	1	1
609	становится особенно	1	1
610	в это	1	1
611	которая не	1	1
612	свою собственную	1	1
613	на своем	3	1
614	нет в	2	1
615	ничего общего	2	1
616	здесь нет	1	1
617	к созданию	1	1
618	содержания но	2	1
619	от различных	2	1
620	и нет	1	1
621	не прав	2	1
622	основанный на	1	1
623	этому же	1	1
624	все они	1	1
625	три основные	2	1
626	как один	2	1
627	тем в	1	1
628	помощью этого	1	1
629	значения для	1	1
630	иногда очень	1	1
631	совершенно не	5	1
632	функцию в	1	1
633	его перед	1	1
634	во все	2	1
635	этот прием	2	1
636	к этой	4	1
637	всего и	1	1
638	собственно говоря	1	1
639	к ученикам	1	1
640	в котором	2	1
641	которые мы	1	1
642	отказываться от	1	1
643	типа все	1	1
644	как целое	1	1
645	сюжет или	1	1
646	что никаких	1	1
647	по тем	1	1
648	применении к	4	1
649	разнообразны и	1	1
650	она могла	1	1
651	говорить не	2	1
652	в свою	8	1
653	некоторое целое	1	1
654	бы по	1	1
655	случаев очень	1	1
656	так чтобы	1	1
657	имеют отношение	1	1
658	лежат в	1	1
659	не должно	1	1
660	это все	1	1
661	быть дано	1	1
662	в отдельности	1	1
663	явления и	2	1
664	создает новые	1	1
665	формы его	1	1
666	он является	2	1
667	только как	3	1
668	же методами	1	1
669	оно является	1	1
670	а через	1	1
671	в этот	2	1
672	тех пор	1	1
673	характер они	2	1
674	находится еще	1	1
675	с трудом	1	1
676	к своей	1	1
677	как эта	1	1
678	с помощью	13	1
679	может войти	2	1
680	для нее	2	1
681	между двумя	3	1
682	именно на	4	1
683	оно так	1	1
684	она начинает	1	1
685	значение для	2	1
686	только на	8	1
687	первом и	1	1
688	вступает в	2	1
689	же относятся	1	1
690	правда и	1	1
691	значения мы	1	1
692	которых она	1	1
693	которую он	1	1
694	далее если	1	1
695	и была	1	1
696	задачи и	7	1
697	укладываются в	1	1
698	не будет	2	1
699	в б	1	1
700	ни были	2	1
701	и до	8	1
702	более и	3	1
703	быть ограничен	1	1
704	что существуют	1	1
705	и те	2	1
706	не вполне	1	1
707	же время	13	1
708	при анализе	1	1
709	материала по	1	1
710	самого начала	2	1
711	свою очередь	6	1
712	наука не	1	1
713	поняты без	1	1
714	всего этого	6	1
715	предполагает уже	2	1
716	с другим	1	1
717	и а	1	1
718	известной степени	4	1
719	обычно совершенно	1	1
720	на те	1	1
721	так то	1	1
722	имеются уже	1	1
723	как на	5	1
724	и там	1	1
725	зрения более	1	1
726	свои законы	1	1
727	он в	3	1
728	отношение к	4	1
729	не как	7	1
730	к основным	2	1
731	к следующему	1	1
732	мог бы	1	1
733	они должны	2	1
734	а сам	2	1
735	дают никаких	1	1
736	лишь о	2	1
737	путь от	1	1
738	эти вопросы	2	1
739	с этими	2	1
740	наоборот это	1	1
741	ли можно	1	1
742	то она	1	1
743	формы от	1	1
744	бы сказать	1	1
745	материал в	1	1
746	е они	1	1
747	то во	1	1
748	форм их	1	1
749	деле в	1	1
750	до известной	3	1
751	что говорит	1	1
752	его место	2	1
753	в следующих	1	1
754	в противном	2	1
755	по происхождению	1	1
756	сама она	1	1
757	в первой	2	1
758	материал и	2	1
759	в эти	1	1
760	многие из	1	1
761	ее своей	1	1
762	она есть	2	1
763	а для	1	1
764	только о	1	1
765	или вовсе	1	1
766	в ее	10	1
767	своего труда	1	1
768	характерно что	2	1
769	быть проверен	1	1
770	герой является	1	1
771	не то	3	1
772	дать более	1	1
773	действительно в	1	1
774	богатства и	1	1
775	правильно но	1	1
776	два круга	2	1
777	высшей степени	4	1
778	непосредственно с	1	1
779	каковы будут	1	1
780	формы не	1	1
781	обстоит не	1	1
782	как к	5	1
783	переходим к	1	1
784	дает нам	1	1
785	проблемы проблемы	1	1
786	и то	1	1
787	форм и	7	1
788	не зная	1	1
789	постольку поскольку	1	1
790	в себе	4	1
791	и многие	2	1
792	ему в	1	1
793	то оно	1	1
794	существу и	1	1
795	исторического изучения	2	1
796	этой области	1	1
797	во всей	4	1
798	указать на	2	1
799	должно быть	13	1
800	время и	2	1
801	в первый	5	1
802	и вот	2	1
803	выделить это	1	1
804	сколько в	1	1
805	эти величины	1	1
806	следует сказать	1	1
807	в его	30	1
808	при таких	2	1
809	увидим дальше	2	1
810	материала и	7	1
811	е все	1	1
812	сравнить с	1	1
813	на что	1	1
814	сущности вовсе	1	1
815	и цели	1	1
816	есть но	1	1
817	методах изучения	1	1
818	первой в	1	1
819	из моментов	1	1
820	определить в	1	1
821	а ведь	1	1
822	и формула	1	1
823	изучать не	1	1
824	находится в	1	1
825	две основные	1	1
826	как раз	8	1
827	в формах	4	1
828	о нем	1	1
829	и сама	1	1
830	и определение	1	1
831	и новое	1	1
832	на которой	1	1
833	что каждый	2	1
834	же не	1	1
835	чем же	3	1
836	что качество	1	1
837	слова а	1	1
838	таком случае	1	1
839	будут эти	1	1
840	в их	16	1
841	зрения его	1	1
842	всеми другими	1	1
843	такое изучение	1	1
844	специфические законы	1	1
845	работы и	1	1
846	пр чем	1	1
847	место занимают	1	1
848	в г	1	1
849	на каком	1	1
850	и притом	2	1
851	зависеть от	1	1
852	сама создает	1	1
853	как фактор	1	1
854	дальнейшему развитию	1	1
855	материал для	1	1
856	о возможности	1	1
857	или иной	1	1
858	от тех	2	1
859	и некоторые	1	1
860	они представляют	1	1
861	первых и	1	1
862	самые разнообразные	1	1
863	за этим	1	1
864	и где	1	1
865	в виду	2	1
866	трудности но	1	1
867	но эта	2	1
868	дело в	1	1
869	исторической действительности	1	1
870	и начинается	1	1
871	принципа в	1	1
872	лишь постольку	2	1
873	говорить лишь	1	1
874	что не	4	1
875	как его	3	1
876	он непосредственно	1	1
877	и другое	1	1
878	и хорошо	2	1
879	непосредственно как	2	1
880	точном смысле	1	1
881	и всю	2	1
882	для исследователя	1	1
883	в таком	2	1
884	теми или	1	1
885	бы быть	3	1
886	литературе и	2	1
887	как условный	1	1
888	будет зависеть	1	1
889	между ними	3	1
890	очень большое	1	1
891	этой цели	1	1
892	эти две	1	1
893	не есть	4	1
894	между прочим	1	1
895	не дают	2	1
896	в мире	4	1
897	ее поэтому	1	1
898	для лучшего	1	1
899	так в	3	1
900	противном случае	2	1
901	в ряду	2	1
902	на одном	1	1
903	на все	3	1
904	и со	3	1
905	со своей	1	1
906	без рассмотрения	1	1
907	больше всего	1	1
908	только и	7	1
909	нисколько не	2	1
910	бы мы	1	1
911	все подобные	1	1
912	как каким	1	1
913	лишь для	3	1
914	войти в	2	1
915	же касается	1	1
916	иногда не	1	1
917	пока не	1	1
918	точек зрения	1	1
919	и это	4	1
920	явление мы	1	1
921	из одного	1	1
922	вследствие чего	1	1
923	и развития	2	1
924	пришлось бы	1	1
925	в эту	3	1
926	могло бы	2	1
927	сих пор	7	1
928	этим определить	1	1
929	к истории	2	1
930	метод и	3	1
931	той или	1	1
932	людей в	1	1
933	ad hoc	1	1
934	этих двух	2	1
935	что основные	1	1
936	в русской	1	1
937	пр все	2	1
938	в каждом	3	1
939	читателя в	1	1
940	также связана	1	1
941	быть во	1	1
942	того или	6	1
943	о себе	1	1
944	разница между	1	1
945	и хочет	1	1
946	может иметь	1	1
947	из воды	2	1
948	и эти	1	1
949	что от	1	1
950	бы к	1	1
951	таким же	2	1
952	с самого	2	1
953	возвращается к	1	1
954	другом под	1	1
955	часто встречается	1	1
956	отличие от	2	1
957	в предисловии	3	1
958	она должна	3	1
959	может совершаться	1	1
960	дана в	2	1
961	для самых	1	1
962	в основных	1	1
963	принципов и	2	1
964	все остальные	2	1
965	так называемой	1	1
966	функции которые	1	1
967	две формы	1	1
968	и ни	2	1
969	одну из	1	1
970	важен как	1	1
971	а от	2	1
972	говорить только	1	1
973	но он	2	1
974	не исчерпывают	1	1
975	обстоит дело	1	1
976	определить ее	2	1
977	так что	2	1
978	и художественный	1	1
979	и разновидности	1	1
980	это по	1	1
981	самый объект	1	1
982	кажется что	1	1
983	все основные	1	1
984	существу вовсе	1	1
985	одним словом	8	1
986	что касается	1	1
987	как объект	1	1
988	к тем	1	1
989	его не	2	1
990	но она	1	1
991	реакции на	1	1
992	не приходится	4	1
993	как он	2	1
994	кто же	1	1
995	не дает	3	1
996	иметь в	1	1
997	это наиболее	1	1
998	является одним	1	1
999	же он	1	1
1000	это то	1	1
1001	его жизнь	1	1
1002	они пришли	1	1
1003	лишь как	7	1
1004	к которой	1	1
1005	что бы	6	1
1006	из важнейших	2	1
1007	можно утверждать	1	1
1008	думать что	4	1
1009	и всякая	2	1
1010	или иное	2	1
1011	элементы и	1	1
1012	чем является	1	1
1013	если только	1	1
1014	может лежать	2	1
1015	и несколько	1	1
1016	привести в	1	1
1017	образом они	1	1
1018	целом и	4	1
1019	могут изучаться	1	1
1020	мы их	2	1
1021	каком материале	1	1
1022	работы мы	1	1
1023	в систему	5	1
1024	друг другу	2	1
1025	и каждый	1	1
1026	изучения и	3	1
1027	оказывает никакого	1	1
1028	которые в	1	1
1029	все содержание	2	1
1030	особые приемы	1	1
1031	материала в	4	1
1032	и способ	1	1
1033	каждое новое	1	1
1034	задача в	1	1
1035	быть выражено	1	1
1036	действительно не	1	1
1037	эти признаки	1	1
1038	другого нет	1	1
1039	то их	1	1
1040	в силу	1	1
1041	и художественной	2	1
1042	чувства их	1	1
1043	такой же	2	1
1044	этого и	1	1
1045	из этого	2	1
1046	при изучении	1	1
1047	в создании	2	1
1048	нового направления	6	1
1049	в области	6	1
1050	его к	1	1
1051	кроме тех	1	1
1052	один и	1	1
1053	тех или	1	1
1054	не имеющий	1	1
1055	все более	4	1
1056	формы он	1	1
1057	но кроме	1	1
1058	развитие и	1	1
1059	это совершенно	1	1
1060	надо было	1	1
1061	быть названы	1	1
1062	может и	2	1
1063	вне этих	2	1
1064	ведь и	1	1
1065	в высшей	4	1
1066	не удалось	1	1
1067	задачи не	1	1
1068	в него	2	1
1069	только одну	1	1
1070	с ее	7	1
1071	всех этих	6	1
1072	е он	1	1
1073	он был	1	1
1074	этому вопросу	1	1
1075	дело обстоит	2	1
1076	из этой	2	1
1077	и совершенно	2	1
1078	здесь по-видимому	2	1
1079	в лице	2	1
1080	не можем	3	1
1081	их отношении	1	1
1082	и наконец	7	1
1083	мы условно	1	1
1084	функции но	1	1
1085	есть не	1	1
1086	многие другие	1	1
1087	а н	3	1
1088	которая служит	1	1
1089	слушателя и	1	1
1090	здесь этот	1	1
