N	2gram	Bakhtin_KF	RusskieA
200	разные стороны	1	3
201	от этого	2	3
202	и такие	1	3
203	только как	4	3
204	не имеем	3	3
205	в различных	1	3
206	по отношению	26	3
207	что ее	1	3
208	до того	1	3
209	свою очередь	1	3
210	но ни	2	3
211	находится в	1	3
212	что все	1	3
213	точки зрения	13	3
214	что именно	1	3
215	для этой	3	3
216	вся эта	2	3
217	никогда не	5	3
218	ее и	6	3
219	содержится в	1	3
220	хотя и	1	3
221	в ее	17	3
222	и через	1	3
223	или не	1	3
224	в которой	1	3
225	большинстве случаев	1	3
226	в области	2	3
227	и это	12	3
228	много и	1	3
229	в эту	1	3
230	сих пор	1	3
231	но можно	4	3
232	совсем не	2	3
233	можно сделать	1	3
234	в форме	1	3
235	мы здесь	3	3
236	нечто вроде	2	3
237	ней в	1	3
238	его к	2	3
239	всех этих	3	3
240	чтобы не	2	3
241	любви и	1	3
242	до сих	1	3
243	то есть	1	3
244	живет в	1	3
245	из которых	2	3
246	к выводу	1	3
247	сводится к	2	3
248	независимо от	3	3
249	если бы	8	3
250	их и	1	3
251	в своей	11	3
252	относятся к	1	3
253	жизни в	5	3
254	смерти и	1	3
255	так чтобы	1	3
256	с точки	10	3
257	с которой	1	3
258	нет и	3	3
259	и во	1	3
260	здесь не	3	3
261	и то	2	3
262	только по	2	3
263	и этим	3	3
264	это и	3	3
265	же не	1	3
266	которые как	1	3
267	на все	1	3
268	в одной	1	3
269	жизнь и	2	3
270	быть и	3	3
271	когда он	1	3
272	думать что	2	3
273	в большинстве	1	3
274	отношению к	22	3
275	место в	6	3
276	на то	1	3
277	и его	18	3
278	это в	1	3
279	слова в	2	3
280	не к	1	3
281	от него	3	2
282	место при	1	2
283	христа в	1	2
284	под ним	2	2
285	тем как	3	2
286	не как	4	2
287	его от	1	2
288	имеем не	1	2
289	по себе	2	2
290	в духе	1	2
291	ни одна	2	2
292	из нее	2	2
293	равно как	1	2
294	если он	1	2
295	в момент	3	2
296	но мы	1	2
297	можно сказать	1	2
298	во все	1	2
299	раз и	2	2
300	время от	1	2
301	и должна	3	2
302	с нашим	1	2
303	говорить о	2	2
304	и когда	2	2
305	людей и	3	2
306	этим не	2	2
307	как оно	2	2
308	себе в	1	2
309	с другим	4	2
310	пока еще	1	2
311	в нашем	1	2
312	в противном	1	2
313	к этим	1	2
314	эта же	1	2
315	все в	1	2
316	мы видим	1	2
317	и он	1	2
318	собой и	1	2
319	не противоречит	1	2
320	землю и	1	2
321	и всей	1	2
322	должно быть	6	2
323	время и	5	2
324	смысле в	2	2
325	и за	2	2
326	или иную	1	2
327	что между	1	2
328	ее от	2	2
329	быть только	8	2
330	как его	4	2
331	между ними	1	2
332	между прочим	1	2
333	место и	2	2
334	следовательно и	1	2
335	был не	1	2
336	в чем	4	2
337	могло бы	4	2
338	в каждом	3	2
339	мы можем	1	2
340	и даже	1	2
341	только с	3	2
342	не дает	3	2
343	ту же	1	2
344	не отличаются	1	2
345	он не	6	2
346	общего не	2	2
347	и тем	3	2
348	что эта	2	2
349	ни одно	5	2
350	а всех	1	2
351	когда мы	1	2
352	его как	5	2
353	это приводит	1	2
354	но нет	2	2
355	в себе	21	2
356	не значит	6	2
357	образом в	1	2
358	значит что	1	2
359	в него	2	2
360	не случайно	1	2
361	в один	1	2
362	и затем	1	2
363	в жизни	2	2
364	оно не	2	2
365	не более	1	2
366	самом деле	3	2
367	отличаются от	1	2
368	показать что	1	2
369	вокруг него	2	2
370	если это	1	2
371	и начало	1	2
372	и действительно	6	2
373	имеем здесь	1	2
374	как не	1	2
375	и так	1	2
376	себя и	5	2
377	при всех	1	2
378	нет в	4	2
379	обряд как	1	2
380	совершенно не	7	2
381	не является	1	2
382	можно установить	1	2
383	вытекает из	2	2
384	ясно и	3	2
385	не имеют	1	2
386	на некоторых	1	2
387	относится к	1	2
388	ее до	2	2
389	быть не	2	2
390	не это	1	2
391	и теперь	1	2
392	не могло	1	2
393	он есть	1	2
394	через него	1	2
395	который по	1	2
396	с его	2	2
397	подойти к	1	2
398	он должен	1	2
399	что есть	2	2
400	но оно	1	2
401	или просто	1	2
402	смерть и	1	2
403	обе стороны	1	2
404	что ему	1	2
405	только одно	1	2
406	они не	1	2
407	предположение что	1	2
408	для него	13	2
409	день и	1	2
410	здесь в	1	2
411	основана на	1	2
412	но эта	6	2
413	дело в	2	2
414	чтобы быть	2	2
415	в стороне	1	2
416	должен быть	7	2
417	а он	1	2
418	особенно в	1	2
419	что эти	1	2
420	ко всему	5	2
421	может иметь	2	2
422	а как	2	2
423	ту или	1	2
424	другой в	1	2
425	и всех	2	2
426	отношение к	6	2
427	а через	1	2
428	в ту	2	2
429	дело здесь	2	2
430	и наконец	1	2
431	себе несколько	1	1
432	в самом	1	1
433	религии и	1	1
434	и очень	1	1
435	еще более	2	1
436	только что	1	1
437	и имеет	1	1
438	случае мы	2	1
439	и другую	1	1
440	нечто подобное	1	1
441	только этот	1	1
442	из всех	1	1
443	этот момент	7	1
444	или нет	1	1
445	о каком-то	1	1
446	него в	1	1
447	не являются	1	1
448	в первом	1	1
449	жизнь в	1	1
450	в некотором	3	1
451	форму и	1	1
452	выражено в	1	1
453	вся его	1	1
454	места и	4	1
455	и должен	2	1
456	его на	2	1
457	при различных	1	1
458	не единственное	1	1
459	и вокруг	2	1
460	всегда в	1	1
461	здесь дело	1	1
462	одновременно и	1	1
463	другого два	1	1
464	может дать	3	1
465	в иной	1	1
466	себя не	3	1
467	мир и	1	1
468	всему что	1	1
469	и смерти	2	1
470	и того	2	1
471	одного и	2	1
472	другими и	1	1
473	уже давно	1	1
474	это с	1	1
475	в религии	1	1
476	книге о	1	1
477	не непосредственно	1	1
478	в час	3	1
479	которой он	2	1
480	число таких	1	1
481	хотя бы	5	1
482	но ему	1	1
483	выходит из	1	1
484	все свои	1	1
485	в другом	3	1
486	из жизни	1	1
487	из их	1	1
488	здесь ее	2	1
489	и неясно	1	1
490	а мои	1	1
491	из себя	11	1
492	поэтому мы	1	1
493	но может	1	1
494	может служить	1	1
495	за собой	1	1
496	превращается в	1	1
497	значительной степени	1	1
498	не я	3	1
499	всего этого	1	1
500	но этот	2	1
501	автора его	2	1
502	быть признан	1	1
503	жизни как	5	1
504	ее как	2	1
505	а только	1	1
506	такая же	1	1
507	не момент	1	1
508	на которого	1	1
509	согласиться с	1	1
510	где под	1	1
511	глядит в	1	1
512	быть правильно	1	1
513	она может	1	1
514	были в	1	1
515	жизни рождение	1	1
516	не мог	1	1
517	того же	1	1
518	но там	1	1
519	случае когда	1	1
520	едва ли	2	1
521	гораздо более	2	1
522	ближе к	3	1
523	на почве	1	1
524	и оба	1	1
525	него как	1	1
526	и мы	2	1
527	вообще а	1	1
528	даже к	1	1
529	притом не	1	1
530	что уже	1	1
531	а тот	1	1
532	первые три	1	1
533	для которой	3	1
534	и цели	1	1
535	религии в	1	1
536	и связанных	1	1
537	и сама	1	1
538	это слово	1	1
539	они будут	1	1
540	не от	1	1
541	весь мир	2	1
542	в третьем	1	1
543	не была	1	1
544	является и	1	1
545	в результате	1	1
546	не знает	5	1
547	не о	2	1
548	что за	2	1
549	свой смысл	1	1
550	что не	3	1
551	но для	3	1
552	и своего	1	1
553	не есть	22	1
554	рядом с	3	1
555	два мира	1	1
556	представляется нам	1	1
557	себе и	3	1
558	точек зрения	1	1
559	и мир	2	1
560	остается в	1	1
561	смысл и	6	1
562	из первого	1	1
563	которой и	1	1
564	ему в	2	1
565	приводит его	1	1
566	а следовательно	3	1
567	такому же	1	1
568	все остальные	2	1
569	эти слова	1	1
570	так называемые	1	1
571	и чтобы	1	1
572	к любви	1	1
573	не будет	2	1
574	и смысла	1	1
575	здесь на	1	1
576	к такой	1	1
577	на нем	2	1
578	должны быть	1	1
579	всех других	2	1
580	и та	3	1
581	при такой	1	1
582	и некоторое	1	1
583	жизни основы	1	1
584	по своей	1	1
585	не касается	1	1
586	не путем	1	1
587	не раз	1	1
588	могла бы	4	1
589	и каждый	1	1
590	только так	1	1
591	о его	1	1
592	в первой	1	1
593	и есть	10	1
594	с которым	1	1
595	всю жизнь	1	1
596	бы ни	1	1
597	еще менее	1	1
598	и живут	1	1
599	смысл в	3	1
600	время вместе	1	1
601	себя но	1	1
602	можно только	1	1
603	всем другим	3	1
604	к такому	1	1
605	всех отношениях	2	1
606	ее а	1	1
607	во втором	1	1
608	образом и	1	1
609	от до	1	1
610	случая когда	1	1
611	тенденция в	1	1
612	безотносительно к	1	1
613	переходит в	1	1
614	должна быть	4	1
615	оно могло	1	1
616	был бы	3	1
617	для себя	7	1
618	оно было	1	1
619	и менее	1	1
620	освободиться от	1	1
621	впрочем в	1	1
622	и куда	1	1
623	имеет с	1	1
624	ни в	12	1
625	однако он	1	1
626	это дерево	1	1
627	это есть	2	1
628	смысла в	2	1
629	него нет	1	1
630	нас от	1	1
631	со всеми	2	1
632	дать в	1	1
633	поэтому и	1	1
634	если не	2	1
635	лет она	1	1
636	умирают и	1	1
637	а изображение	1	1
638	до этого	1	1
639	от своего	1	1
640	ни о	1	1
641	смысла и	2	1
642	месте и	1	1
643	за волосы	1	1
644	значения как	1	1
645	нет он	1	1
646	на месте	1	1
647	как о	1	1
648	может стать	1	1
649	быть понято	1	1
650	для каждого	1	1
651	которые могут	1	1
652	в современной	3	1
653	которого является	1	1
654	с собою	1	1
655	и просто	2	1
656	правда не	1	1
657	есть на	2	1
658	только себя	1	1
659	зависимости от	1	1
660	со стороны	8	1
661	всей своей	2	1
662	здесь нет	3	1
663	говорят об	1	1
664	включая и	1	1
665	где ее	1	1
666	человека и	3	1
667	ни на	1	1
668	что мы	1	1
669	совершенно иной	1	1
670	место это	1	1
671	представление что	1	1
672	совпадает с	1	1
673	но здесь	3	1
674	нет даже	1	1
675	в значительной	1	1
676	на том	1	1
677	неясным остается	1	1
678	это только	2	1
679	эта картина	1	1
680	есть тем	1	1
681	смысл который	1	1
682	отношении к	2	1
683	нет она	1	1
684	иной мир	1	1
685	не потому	2	1
686	в истории	1	1
687	и находит	1	1
688	себя от	1	1
689	в каком	4	1
690	а во	1	1
691	и будущее	2	1
692	таким путем	1	1
693	это позволяет	1	1
694	в данной	1	1
695	ее не	1	1
696	акт и	4	1
697	тем же	1	1
698	мог бы	1	1
699	одной из	1	1
700	что я	5	1
701	нас важно	2	1
702	только при	1	1
703	дня как	1	1
704	в сознании	2	1
705	он может	2	1
706	здесь и	1	1
707	мышление в	1	1
708	момент приобщения	1	1
709	месте в	1	1
710	с него	1	1
711	оторванное от	1	1
712	как раз	1	1
713	уже с	1	1
714	и иначе	1	1
715	ничем не	1	1
716	мир в	12	1
717	основе своей	2	1
718	может не	2	1
719	и было	1	1
720	за которую	1	1
721	зависит от	1	1
722	второй половине	1	1
723	можно в	1	1
724	что значит	2	1
725	одна и	2	1
726	определить в	2	1
727	а это	2	1
728	она будет	1	1
729	он и	2	1
730	но где	1	1
731	и новое	1	1
732	в литературе	1	1
733	о нем	4	1
734	и одна	1	1
735	видеть в	1	1
736	это хорошо	1	1
737	имеет смысла	1	1
738	смысле этого	1	1
739	но с	1	1
740	следующие строки	1	1
741	оно употребляется	1	1
742	как этот	1	1
743	и где	1	1
744	и эта	2	1
745	все силы	1	1
746	где эти	1	1
747	более что	1	1
748	когда будут	1	1
749	можно выразить	1	1
750	при таком	1	1
751	противном случае	1	1
752	остановимся на	1	1
753	и оно	1	1
754	это было	2	1
755	особенность ее	1	1
756	и таким	1	1
757	признание и	1	1
758	было ни	1	1
759	как все	1	1
760	быть лучше	1	1
761	ко мне	6	1
762	сказать только	1	1
763	того или	3	1
764	все другие	1	1
765	и эти	2	1
766	области и	3	1
767	чем эта	1	1
768	же с	2	1
769	на один	1	1
770	которую мы	1	1
771	с основной	1	1
772	не могу	3	1
773	ни один	1	1
774	и ни	3	1
775	также и	1	1
776	такова концепция	1	1
777	не по	4	1
778	чем ближе	1	1
779	во второй	1	1
780	и может	3	1
781	а по	2	1
782	и говорят	1	1
783	но такое	1	1
784	говоря о	1	1
785	стороны его	1	1
786	не следует	2	1
787	том кто	1	1
788	пр и	1	1
789	от того	3	1
790	к которой	2	1
791	или как	2	1
792	и полной	1	1
793	еще на	1	1
794	жизни это	1	1
795	как из	1	1
796	единстве и	3	1
797	но эту	1	1
798	же на	1	1
799	и время	2	1
800	же самое	1	1
801	все следующие	1	1
802	что подобные	1	1
803	содержанием и	1	1
804	их а	1	1
805	о каких	1	1
806	темно и	1	1
807	и необходимое	1	1
808	от времени	1	1
809	к пониманию	1	1
810	жизни и	8	1
811	говорить об	1	1
812	нуждается в	1	1
813	оставить в	1	1
814	все для	1	1
815	в мышлении	1	1
816	несовместимы с	1	1
817	и совершенно	3	1
818	и иные	1	1
