N	2gram	Losev_Prob	Tragedij
357	сознательно и	1	1
358	но мы	1	1
359	человеком и	1	1
360	однако есть	1	1
361	и стал	1	1
362	а он	1	1
363	смысл этого	1	1
364	при его	1	1
365	он злобно	1	1
366	могло бы	3	1
367	не понимая	1	1
368	гораздо больше	2	1
369	всю ее	1	1
370	бы в	3	1
371	только он	2	1
372	в них	6	1
373	на них	1	1
374	и образ	6	1
375	во всех	4	1
376	а поскольку	1	1
377	без конца	1	1
378	на свете	2	1
379	который он	1	1
380	бы сказали	1	1
381	к одному	1	1
382	говорится о	1	1
383	такие слова	1	1
384	во всяком	14	1
385	они подчеркивают	1	1
386	и потому	13	1
387	понятно что	1	1
388	это и	11	1
389	и дело	1	1
390	рода символическим	1	1
391	о себе	2	1
392	совершенно не	7	1
393	я скажу	1	1
394	никакой роли	1	1
395	но как	6	1
396	чем же	7	1
397	не является	19	1
398	за то	1	1
399	а к	2	1
400	это как	1	1
401	того самого	1	1
402	в котором	3	1
403	виду не	1	1
404	ему в	1	1
405	не могли	2	1
406	целесообразностью без	2	1
407	как нечто	9	1
408	и начинает	1	1
409	это понятие	3	1
410	же во	1	1
411	которой он	1	1
412	эта связь	1	1
413	связи с	10	1
414	образа петра	1	1
415	как тип	1	1
416	для ее	3	1
417	хотя бы	6	1
418	она не	3	1
419	эти слова	2	1
420	этом мы	3	1
421	собой как	1	1
422	стихах и	1	1
423	значение этого	2	1
424	того чтобы	4	1
425	и если	11	1
426	символическое значение	1	1
427	от самого	2	1
428	но не	6	1
429	в другом	4	1
430	в каких	1	1
431	необходимо подчеркнуть	2	1
432	быть не	1	1
433	в ней	12	1
434	в быту	1	1
435	обстоит дело	1	1
436	славилась своей	1	1
437	в отношениях	1	1
438	высокое но	1	1
439	в условиях	7	1
440	само это	1	1
441	характеры и	1	1
442	и чтобы	1	1
443	самом деле	6	1
444	из себя	5	1
445	о совершенно	1	1
446	в которой	3	1
447	лишь в	1	1
448	но может	1	1
449	в эпилоге	2	1
450	не понимает	2	1
451	об отношении	1	1
452	а не	28	1
453	только на	6	1
454	в шутку	1	1
455	очень хорошо	1	1
456	есть и	2	1
457	чтобы она	1	1
458	связь между	1	1
459	можно было	7	1
460	вещами и	1	1
461	за пределы	6	1
462	бы что-то	1	1
463	но только	10	1
464	конечно в	1	1
465	факт что	1	1
466	и хотя	3	1
467	даже не	3	1
468	доходит до	2	1
469	вольно или	1	1
470	не вполне	3	1
471	друга и	2	1
472	в истории	4	1
473	даже самый	1	1
474	по своей	1	1
475	он есть	2	1
476	ту же	1	1
477	чего же	4	1
478	свое значение	3	1
479	вы не	1	1
480	человека и	1	1
481	говорили что	3	1
482	отметить что	1	1
483	на всю	1	1
484	или как	4	1
485	литературы и	2	1
486	на смерть	1	1
487	должны были	1	1
488	жизни на	1	1
489	скажет что	5	1
490	у которого	1	1
491	всего этого	2	1
492	всего что	1	1
493	но этот	2	1
494	к символизации	1	1
495	значение и	7	1
496	это же	4	1
497	именно такого	1	1
498	или вообще	1	1
499	и еще	2	1
500	может ли	2	1
501	он в	3	1
502	к ней	2	1
503	понятие в	1	1
504	как мы	12	1
505	со своими	1	1
506	самой своей	1	1
507	и особенно	3	1
508	что тут	4	1
509	идея в	1	1
510	и о	8	1
511	как некое	1	1
512	в голове	1	1
513	речи в	2	1
514	его как	3	1
515	образы и	6	1
516	той же	2	1
517	и др	1	1
518	но несмотря	1	1
519	по сравнению	3	1
520	виде и	3	1
521	только по	1	1
522	именно так	4	1
523	быть в	2	1
524	не значит	3	1
525	тебе и	1	1
526	слова в	1	1
527	на русский	1	1
528	и от	11	1
529	и есть	9	1
530	с которым	1	1
531	входят в	1	1
532	в голову	2	1
533	все время	2	1
534	у лермонтова	2	1
535	и художественной	2	1
536	на этот	4	1
537	они сами	1	1
538	нами на	1	1
539	из трех	2	1
540	что без	3	1
541	но я	1	1
542	пушкина и	3	1
543	этого слова	5	1
544	например в	1	1
545	что именно	3	1
546	без которой	1	1
547	уже чисто	1	1
548	а это	6	1
549	но если	12	1
550	самого этого	2	1
551	в литературе	3	1
552	в области	2	1
553	и по	3	1
554	и эта	1	1
555	нуждается в	1	1
556	человек не	1	1
557	это в	2	1
558	всяком случае	8	1
559	на котором	2	1
560	ничего подобного	1	1
561	для чего	3	1
562	конце концов	4	1
563	насилия и	1	1
564	к ее	1	1
565	чтобы не	2	1
566	за себя	2	1
567	за дело	1	1
568	он с	1	1
569	сама и	1	1
570	за счет	2	1
571	и наконец	2	1
572	что на	2	1
573	вплоть до	3	1
574	говорит не	1	1
575	с улыбкой	1	1
576	с каким	1	1
577	не к	2	1
