N	2gram	Ircho_Kome	PoTuStor
129	сводится к	1	2
130	у него	10	2
131	не на	3	2
132	не могут	2	2
133	со всеми	2	2
134	в душе	1	2
135	в них	6	2
136	а на	3	2
137	и других	1	2
138	все то	1	2
139	не знает	7	2
140	всех его	1	2
141	не нуждается	1	2
142	что не	5	2
143	и действительно	1	2
144	конечном счете	3	2
145	здесь же	1	2
146	в жизни	1	2
147	можно назвать	1	2
148	как и	10	2
149	что он	15	2
150	же как	1	2
151	в своей	6	2
152	и так	1	2
153	связанные с	1	2
154	меньше всего	5	2
155	как с	1	2
156	по своему	3	2
157	себя и	2	2
158	войти в	2	2
159	знаем что	1	2
160	не менее	9	2
161	в каком	1	2
162	во сне	1	2
163	путь к	1	2
164	и таким	1	2
165	на первый	1	2
166	не удается	1	2
167	на них	3	2
168	с этим	5	2
169	при всей	2	2
170	к этому	11	2
171	моей жизни	1	2
172	между собой	5	2
173	что мы	4	2
174	это нечто	1	2
175	мы уже	1	2
176	да еще	3	2
177	все остальные	2	2
178	из этих	2	2
179	на друга	1	2
180	на два	1	2
181	современной ему	1	2
182	а может	1	2
183	в этот	1	2
184	он не	11	2
185	в развитии	3	2
186	с помощью	4	2
187	в частности	4	2
188	не будет	2	2
189	и лишь	1	2
190	и вся	1	2
191	говорить о	6	2
192	за пределы	3	2
193	в начале	5	2
194	в мир	1	2
195	в пределах	3	2
196	как не	2	2
197	так же	8	2
198	друг на	1	2
199	было бы	7	2
200	таким путем	2	2
201	человеческого поведения	1	2
202	к ним	5	2
203	нет и	4	2
204	и о	3	2
205	если мы	2	2
206	находится в	1	2
207	что на	1	2
208	о том	21	2
209	в голову	2	2
210	можем сказать	1	2
211	один из	6	2
212	и по	3	2
213	с ним	10	2
214	нет никаких	2	2
215	и для	7	2
216	для этого	3	2
217	того же	9	2
218	можем теперь	1	2
219	то же	14	2
220	не можем	1	2
221	за счет	1	2
222	образов и	1	2
223	никогда не	5	2
224	быть даже	1	1
225	для самого	1	1
226	эдипа и	3	1
227	к сожалению	2	1
228	остановиться подробнее	1	1
229	во всем	2	1
230	бы то	3	1
231	об их	1	1
232	несколько слов	1	1
233	по мнению	2	1
234	от нее	5	1
235	события и	1	1
236	дает нам	1	1
237	представляет себе	1	1
238	что они	3	1
239	одних и	1	1
240	в другой	5	1
241	заметим что	1	1
242	образом и	2	1
243	или к	2	1
244	мнению не	1	1
245	в центре	2	1
246	которая была	1	1
247	первый и	1	1
248	и здесь	11	1
249	не позволяет	4	1
250	образов в	1	1
251	древнего грека	1	1
252	к их	2	1
253	отцу и	1	1
254	самым существенным	1	1
255	мир в	1	1
256	его мнению	2	1
257	же и	2	1
258	друга в	1	1
259	различие между	1	1
260	в момент	1	1
261	помним что	1	1
262	только что	11	1
263	на вопрос	5	1
264	не слишком	5	1
265	и дать	2	1
266	и того	1	1
267	чем на	1	1
268	с одной	5	1
269	уже в	3	1
270	на ее	4	1
271	здесь начинается	1	1
272	во власти	1	1
273	при объяснении	1	1
274	мог бы	1	1
275	в состоянии	1	1
276	не будем	1	1
277	дело с	4	1
278	мы имеем	4	1
279	еще более	4	1
280	любовь к	4	1
281	несмотря на	7	1
282	этой же	1	1
283	его за	3	1
284	нас здесь	1	1
285	следует что	3	1
286	на своей	2	1
287	хотя и	6	1
288	этом отношении	2	1
289	с тем	6	1
290	в ужас	1	1
291	что при	1	1
292	в сущности	3	1
293	только не	1	1
294	никакому сомнению	1	1
295	как раз	9	1
296	в некоторых	1	1
297	времени не	2	1
298	говорит о	2	1
299	о нем	1	1
300	ее ухода	1	1
301	что только	1	1
302	очень плохо	1	1
303	в качестве	4	1
304	задолго до	1	1
305	интерес к	1	1
306	и всегда	1	1
307	нас в	1	1
308	не являются	1	1
309	ребенка не	1	1
310	мы сталкиваемся	1	1
311	согласии с	2	1
312	у нас	1	1
313	здесь в	2	1
314	для них	1	1
315	это касается	1	1
316	другую и	1	1
317	в виду	3	1
318	я не	4	1
319	его собственный	1	1
320	подобно тому	1	1
321	ему удастся	2	1
322	в русском	1	1
323	что между	2	1
324	можно было	3	1
325	действия но	2	1
326	полном согласии	1	1
327	разу не	3	1
328	в своих	4	1
329	на желание	1	1
330	связи с	5	1
331	не ясно	2	1
332	в угол	1	1
333	нам в	1	1
334	этой точки	1	1
335	на этот	6	1
336	этим ненависть	1	1
337	не более	1	1
338	если бы	18	1
339	столь же	5	1
340	в конкретной	1	1
341	и сам	11	1
342	от своего	2	1
343	с ней	1	1
344	жизнь в	1	1
345	что его	10	1
346	на волю	2	1
347	в сознании	1	1
348	любовь и	2	1
349	дело в	1	1
350	что угодно	1	1
351	и столь	1	1
352	но не	9	1
353	эти две	1	1
354	и эта	2	1
355	быть только	1	1
356	как его	4	1
357	ведь она	1	1
358	в эпоху	2	1
359	и начало	1	1
360	из того	3	1
361	а то	1	1
362	вещей и	2	1
363	времени и	2	1
364	в конце	14	1
365	войдя в	2	1
366	пор еще	1	1
367	в связи	4	1
368	как видим	2	1
369	заботы о	1	1
370	очень важный	1	1
371	похож на	2	1
372	этого на	1	1
373	было до	1	1
374	что по	2	1
375	в главном	1	1
376	сталкиваемся с	1	1
377	в мире	2	1
378	все же	9	1
379	все сплошь	1	1
380	при таком	1	1
381	жизни в	1	1
382	почти во	1	1
383	в следующем	1	1
384	как ее	2	1
385	от этого	1	1
386	приводит к	4	1
387	не имеет	6	1
388	и со	2	1
389	остановимся на	1	1
390	и жизнь	2	1
391	его жизни	2	1
392	по его	2	1
393	он является	1	1
394	за ней	2	1
395	зависимости от	1	1
396	в себя	1	1
397	это было	1	1
398	до поры	1	1
399	роль в	3	1
400	со стороны	16	1
401	пока не	2	1
402	на его	5	1
403	с другом	3	1
404	в смысле	2	1
405	на своем	1	1
406	который до	1	1
407	но если	3	1
408	могут показаться	1	1
409	вовсе не	6	1
410	нам из	1	1
411	к тому	11	1
412	чем бы	1	1
413	не входит	1	1
414	жизни мы	1	1
415	на одном	1	1
416	а для	2	1
417	не был	2	1
418	однако не	1	1
419	свое время	1	1
420	а потом	1	1
421	первый взгляд	1	1
422	этих двух	2	1
423	что эти	1	1
424	сам же	2	1
425	нет ничего	4	1
426	ли они	1	1
427	не давая	1	1
428	ко всему	1	1
429	и тех	1	1
430	предположить что	1	1
431	принимают за	1	1
432	достаточно для	1	1
433	его и	3	1
434	человека в	4	1
435	и снова	2	1
436	он был	6	1
437	а с	2	1
438	того в	3	1
439	первый план	1	1
440	же с	1	1
441	она же	1	1
442	план в	1	1
443	значение так	1	1
444	не он	3	1
445	и такие	1	1
446	вопрос о	2	1
447	жизни когда	1	1
448	к врачу	1	1
449	вернемся к	1	1
450	дать себя	1	1
451	достаточно назвать	1	1
452	они становятся	1	1
453	два момента	1	1
454	мы увидим	1	1
455	отсюда и	1	1
456	в самых	1	1
457	то и	1	1
458	она не	3	1
459	близко к	1	1
460	в течение	3	1
461	в свою	12	1
462	входит в	1	1
463	его не	3	1
464	наконец в	1	1
465	но даже	1	1
466	того чтобы	9	1
467	одной стороны	4	1
468	не дает	5	1
469	в другом	2	1
470	то ни	4	1
471	для того	9	1
472	тому как	1	1
473	это только	1	1
474	в материальном	1	1
475	быть не	1	1
476	к новым	1	1
477	в ней	7	1
478	скрывать от	1	1
479	у меня	5	1
480	еще одно	2	1
481	человека как	1	1
482	с совершенно	1	1
483	утверждают что	1	1
484	в отношениях	2	1
485	мы узнаем	1	1
486	довести до	1	1
487	не всегда	2	1
488	человека который	3	1
489	человека все	1	1
490	является его	2	1
491	жизненной мудрости	1	1
492	в руках	3	1
493	от всех	1	1
494	когда он	5	1
495	в образах	1	1
496	один шаг	2	1
497	у порога	1	1
498	с ужасом	1	1
499	одним словом	1	1
500	всего на	1	1
501	а не	5	1
502	увидим что	1	1
503	ни один	1	1
504	ухода за	1	1
505	имеем в	2	1
506	в которую	1	1
507	и та	1	1
508	хотя в	3	1
509	и что	8	1
510	близкое к	1	1
511	как он	5	1
512	и об	1	1
513	же что	1	1
514	для человека	2	1
515	конечно в	2	1
516	ни одно	3	1
517	в нашей	1	1
518	еще в	1	1
519	не следует	2	1
520	только когда	1	1
521	взгляда на	1	1
522	о действительно	1	1
523	ни разу	3	1
524	от того	2	1
525	но вместе	1	1
526	из одного	1	1
527	это может	1	1
528	первого и	1	1
529	человека и	2	1
530	жизнь во	1	1
531	его отношение	1	1
532	бы по	2	1
533	деле мы	1	1
534	важно только	1	1
535	на это	3	1
536	с другой	5	1
537	всех трех	2	1
538	сходство положения	1	1
539	это же	1	1
540	на которые	3	1
541	известной степени	2	1
542	нем и	1	1
543	некоторое время	1	1
544	слов о	1	1
545	отца с	1	1
546	и объясняется	1	1
547	ничего общего	1	1
548	я в	1	1
549	же на	1	1
550	что же	2	1
551	как на	1	1
552	так называемого	1	1
553	и еще	4	1
554	же самое	3	1
555	каждого из	3	1
556	среди них	1	1
557	что здесь	2	1
558	в эту	1	1
559	выходит из	3	1
560	правда он	3	1
561	без всякого	2	1
562	не совсем	3	1
563	ее не	1	1
564	однако в	5	1
565	общего с	2	1
566	что для	7	1
567	в уже	2	1
568	главным образом	2	1
569	для всей	2	1
570	друг другу	3	1
571	семейных отношений	1	1
572	той же	2	1
573	большой дороге	1	1
574	откуда у	2	1
575	которые в	1	1
576	но нет	2	1
577	для нашего	1	1
578	бы он	3	1
579	о его	4	1
580	этом и	1	1
581	характерен для	1	1
582	что я	5	1
583	поры до	1	1
584	основа всего	1	1
585	в высшей	2	1
586	в нашем	1	1
587	с этими	1	1
588	под названием	3	1
589	лучше всего	1	1
590	в известной	3	1
591	только здесь	1	1
592	думая что	1	1
593	предположение о	1	1
594	с которым	3	1
595	все время	3	1
596	в духе	1	1
597	на большой	1	1
598	память о	2	1
599	же в	3	1
600	что она	10	1
601	в атмосфере	1	1
602	по-видимому в	1	1
603	себя с	1	1
604	с сыном	1	1
605	любви к	5	1
606	иным как	1	1
607	каком направлении	1	1
608	в свой	2	1
609	формы и	1	1
610	право на	1	1
611	прямо противоположных	1	1
612	этот момент	1	1
613	бы ни	1	1
614	не лучше	1	1
615	по поводу	1	1
616	его к	1	1
617	их на	1	1
618	сказать о	1	1
619	друг с	3	1
620	человек не	1	1
621	это в	2	1
622	сводится в	1	1
623	к этим	1	1
624	не хозяин	1	1
625	мы должны	1	1
626	но так	1	1
627	не случайно	3	1
628	до времени	1	1
629	мы еще	1	1
630	внутреннего мира	1	1
631	себя в	3	1
632	его современников	1	1
633	и особенно	2	1
634	точку зрения	1	1
635	мало общего	1	1
636	одного и	1	1
637	тот же	11	1
638	вообще нет	1	1
639	ничего не	6	1
640	было с	1	1
641	ii у	1	1
642	о ней	2	1
643	из этой	2	1
644	намек на	1	1
645	к нему	8	1
646	высшей степени	2	1
