N	2gram	Bakhtin_sl	VelikijI
227	эта идея	1	1
228	что всякий	1	1
229	человеком как	1	1
230	все новые	1	1
231	не всегда	1	1
232	в разных	3	1
233	людей как	1	1
234	от всякой	3	1
235	о чем	1	1
236	в ее	2	1
237	и тем	3	1
238	и уже	1	1
239	души и	1	1
240	говорит о	1	1
241	нашего времени	1	1
242	как это	3	1
243	избежать этой	1	1
244	чем у	1	1
245	оно ни	1	1
246	есть еще	1	1
247	от этой	3	1
248	мы все	2	1
249	свой предмет	3	1
250	более глубокое	1	1
251	не преодолевается	1	1
252	не были	3	1
253	есть и	1	1
254	если нет	1	1
255	слова не	5	1
256	в одном	4	1
257	у нас	2	1
258	на пути	1	1
259	о своем	1	1
260	в этой	1	1
261	мира с	1	1
262	потребность в	1	1
263	это слово	1	1
264	в результате	4	1
265	в виду	2	1
266	другой стороны	5	1
267	слова с	3	1
268	его по	1	1
269	но что	1	1
270	в русском	1	1
271	у него	5	1
272	них и	3	1
273	в новых	2	1
274	так же	2	1
275	в виде	4	1
276	себя от	2	1
277	не была	3	1
278	не был	2	1
279	их не	1	1
280	но с	1	1
281	и всех	1	1
282	карамазова и	1	1
283	формах в	2	1
284	в общественной	1	1
285	всего что	1	1
286	и остается	3	1
287	утверждению в	1	1
288	с другой	8	1
289	на разных	1	1
290	конечно в	2	1
291	в которой	4	1
292	но все	2	1
293	вот что	1	1
294	и с	10	1
295	как мог	1	1
296	наших дней	2	1
297	о мире	1	1
298	к ним	2	1
299	жизнь в	2	1
300	и говорит	1	1
301	отношение к	8	1
302	ко всем	1	1
303	известном смысле	2	1
304	места в	1	1
305	эти силы	1	1
306	то и	1	1
307	с достоинством	1	1
308	и полное	1	1
309	или даже	5	1
310	в понимании	3	1
311	и ложь	1	1
312	всех формах	1	1
313	лишь как	3	1
314	никогда и	1	1
315	как мы	15	1
316	и до	2	1
317	лишь к	1	1
318	в процессе	14	1
319	но прежде	1	1
320	в последних	1	1
321	смысле и	1	1
322	сущности и	2	1
323	на него	1	1
324	власти одного	1	1
325	в своем	9	1
326	действии и	1	1
327	человек и	13	1
328	это очень	1	1
329	его нужно	2	1
330	его на	2	1
331	был в	1	1
332	ставит в	1	1
333	не единым	1	1
334	и от	5	1
335	лишь на	3	1
336	него то	2	1
337	их сознания	1	1
338	ничего не	5	1
339	свое и	1	1
340	от слова	1	1
341	с ними	8	1
342	нас это	1	1
343	всегда в	3	1
344	им и	1	1
345	к миру	1	1
346	в сознании	3	1
347	к высшему	1	1
348	по крайней	1	1
349	в атмосфере	2	1
350	и так	1	1
351	вместе с	3	1
352	все же	10	1
353	и освобождения	1	1
354	в одно	2	1
355	своей и	1	1
356	если они	1	1
357	и которые	2	1
358	переход к	1	1
359	как в	18	1
360	этого слова	2	1
361	в которых	1	1
362	жизни в	2	1
363	находится в	1	1
364	значение в	2	1
365	день в	1	1
366	роль в	4	1
367	сделать его	1	1
368	света в	2	1
369	бы ни	3	1
370	себя и	2	1
371	ограниченности и	1	1
372	а его	2	1
373	и по	3	1
374	человеке и	3	1
375	и могут	1	1
376	менее всего	3	1
377	и эта	2	1
378	достоинство в	1	1
379	к этому	3	1
380	в их	6	1
381	с которым	4	1
382	какие бы	1	1
383	сама она	1	1
384	ли он	4	1
385	в двух	2	1
386	мира и	4	1
387	может и	1	1
388	его есть	1	1
389	зависимости от	4	1
390	и критическое	1	1
391	себя не	1	1
392	и авторитет	1	1
393	в известном	2	1
394	людям и	1	1
395	для раскрытия	1	1
396	таким же	1	1
397	не просто	2	1
398	своим словом	4	1
399	он был	1	1
400	к полному	1	1
401	в едином	2	1
402	совсем как	1	1
403	слияние с	1	1
404	в целом	3	1
405	крайней мере	1	1
406	слова очень	1	1
407	сделать это	1	1
408	и ее	3	1
409	вовсе не	16	1
410	людей с	1	1
411	есть не	2	1
412	игру с	1	1
413	в речах	3	1
414	авторитета и	1	1
415	смысле на	2	1
416	и нет	3	1
417	бы в	1	1
418	к нему	7	1
419	слово от	1	1
420	от них	1	1
421	же за	1	1
