N	2gram	Tiupa_Narr	VelikijI
144	но не	7	2
145	у людей	1	2
146	тем что	1	2
147	тот кто	2	2
148	быть личностью	2	2
149	могут быть	1	2
150	значения и	2	2
151	не имел	2	2
152	с тем	1	2
153	давно уже	2	2
154	и т	3	2
155	одна из	5	2
156	его к	1	2
157	не могут	1	2
158	т д	1	2
159	да и	5	2
160	том что	15	2
161	когда в	4	2
162	мир и	2	2
163	но мы	1	2
164	в себя	3	2
165	уже не	11	2
166	почему оно	1	2
167	мира в	4	2
168	людей есть	1	2
169	не к	4	2
170	людей не	1	2
171	я был	1	1
172	с радостью	1	1
173	о личности	2	1
174	жизни но	3	1
175	в новом	1	1
176	с которыми	1	1
177	в самом	8	1
178	во всем	1	1
179	бы то	1	1
180	могли бы	1	1
181	связь с	1	1
182	то есть	15	1
183	его личности	1	1
184	слышим и	1	1
185	было не	1	1
186	только себя	1	1
187	а потому	2	1
188	человека в	2	1
189	но как	3	1
190	это одна	1	1
191	и быть	1	1
192	на котором	1	1
193	любви и	1	1
194	человеческой жизни	3	1
195	речь идет	3	1
196	и столь	2	1
197	тоже не	1	1
198	если за	1	1
199	он говорит	1	1
200	будто бы	2	1
201	и на	5	1
202	ничем не	1	1
203	вопрос о	1	1
204	жизни без	1	1
205	на этом	1	1
206	может быть	24	1
207	хоть и	1	1
208	они не	3	1
209	важный для	1	1
210	к человеку	1	1
211	и было	1	1
212	раз и	2	1
213	если в	2	1
214	теперь его	1	1
215	о вечном	1	1
216	лет назад	1	1
217	указать на	1	1
218	того как	1	1
219	которая в	2	1
220	слово это	2	1
221	и уж	1	1
222	мы увидим	1	1
223	и вообще	1	1
224	личность не	3	1
225	в роли	2	1
226	и вот	2	1
227	она не	2	1
228	там он	1	1
229	но она	1	1
230	уже в	1	1
231	человеческого бытия	2	1
232	которое может	2	1
233	для себя	3	1
234	красоте и	1	1
235	у них	1	1
236	бога это	1	1
237	с этой	3	1
238	то же	12	1
239	живет в	1	1
240	есть знак	1	1
241	по сравнению	1	1
242	то ни	1	1
243	для того	4	1
244	сложное и	1	1
245	это только	1	1
246	не по	5	1
247	образ и	1	1
248	можно признать	1	1
249	освободиться от	2	1
250	не для	1	1
251	человеком как	1	1
252	эта новая	1	1
253	что это	4	1
254	не всегда	4	1
255	сознания так	1	1
256	с внутренним	1	1
257	в глазах	7	1
258	о чем	6	1
259	тайны и	1	1
260	их жизни	1	1
261	в ее	4	1
262	и тем	9	1
263	абсолютной ценности	1	1
264	и уже	4	1
265	если б	1	1
266	говорит о	3	1
267	нашего времени	1	1
268	как это	7	1
269	как сам	1	1
270	не понимает	1	1
271	истории в	8	1
272	чем у	1	1
273	искать в	1	1
274	я вижу	1	1
275	что человек	1	1
276	в человеке	2	1
277	в одном	5	1
278	у нас	4	1
279	нового времени	2	1
280	церкви и	2	1
281	о своем	2	1
282	в этой	8	1
283	есть продукт	1	1
284	со словами	3	1
285	в результате	4	1
286	в виду	2	1
287	другой стороны	2	1
288	слова с	1	1
289	роковым образом	1	1
290	нет никакого	1	1
291	на людей	1	1
292	я не	5	1
293	но что	1	1
294	как можно	2	1
295	у него	13	1
296	по словам	2	1
297	из нас	3	1
298	не существует	3	1
299	ведет не	1	1
300	так же	2	1
301	в виде	2	1
302	тогда как	23	1
303	над ним	1	1
304	в я	1	1
305	не была	1	1
306	их не	1	1
307	в будущем	1	1
308	но с	1	1
309	в своих	2	1
310	тайной и	1	1
311	в противоположность	1	1
312	себя за	1	1
313	любви по	1	1
314	в разные	1	1
315	с другой	6	1
316	на которых	1	1
317	начальным и	1	1
318	на разных	1	1
319	конечно в	1	1
320	в которой	2	1
321	но все	1	1
322	идти в	1	1
323	я в	7	1
324	и с	3	1
325	к ним	2	1
326	смерть никогда	1	1
327	в лице	1	1
328	сознания не	1	1
329	не знающего	1	1
330	и опять	2	1
331	людей а	1	1
332	отношение к	2	1
333	на нее	2	1
334	смысл бытия	1	1
335	было для	1	1
336	известном смысле	4	1
337	важное для	1	1
338	последний из	1	1
339	бытия и	1	1
340	себя с	1	1
341	то и	3	1
342	или даже	3	1
343	в бытии	1	1
344	должна иметь	1	1
345	как мы	3	1
346	ведет к	3	1
347	и до	1	1
348	лишь к	1	1
349	бы от	1	1
350	любви в	1	1
351	в процессе	2	1
352	и своего	1	1
353	у человека	1	1
354	в последних	1	1
355	на него	4	1
356	в своем	7	1
357	меня в	1	1
358	присутствует в	1	1
359	человек и	2	1
360	его на	1	1
361	еще и	1	1
362	к жизни	3	1
363	и от	3	1
364	нам и	1	1
365	за которым	2	1
366	лишь на	1	1
367	быть может	1	1
368	думать о	1	1
369	мы будем	1	1
370	как она	2	1
371	ничего не	8	1
372	с ними	5	1
373	жизнь свою	1	1
374	над смертью	1	1
375	к миру	2	1
376	в сознании	6	1
377	по крайней	1	1
378	в третьем	4	1
379	в сердце	2	1
380	о которой	3	1
381	природы и	1	1
382	последних словах	1	1
383	и так	1	1
384	вместе с	3	1
385	все же	10	1
386	идет по	2	1
387	если они	1	1
388	мировой истории	1	1
389	переход к	1	1
390	он осуществляет	1	1
391	как в	9	1
392	жизни человечества	1	1
393	в которых	1	1
394	жизни в	7	1
395	значение в	1	1
396	роль в	4	1
397	им в	1	1
398	можно ли	1	1
399	бы ни	1	1
400	а его	3	1
401	и по	3	1
402	к этому	2	1
403	небе и	1	1
404	человека есть	2	1
405	в их	1	1
406	со своей	3	1
407	с которым	1	1
408	даже смерть	1	1
409	и внешней	1	1
410	отказавшись от	1	1
411	счастья и	1	1
412	ли он	2	1
413	так легко	1	1
414	проявляется как	1	1
415	не будут	1	1
416	в двух	2	1
417	сравнению с	1	1
418	мира и	2	1
419	как близок	1	1
420	зависимости от	3	1
421	поскольку он	1	1
422	себя мы	1	1
423	бытия в	2	1
424	себя не	1	1
425	ни для	1	1
426	которого не	1	1
427	в известном	4	1
428	к ее	3	1
429	себе и	2	1
430	не просто	2	1
431	он был	1	1
432	не случайно	2	1
433	в едином	2	1
434	последние дни	1	1
435	бытия на	1	1
436	в целом	5	1
437	им не	1	1
438	по смыслу	1	1
439	крайней мере	1	1
440	жизни не	1	1
441	теперь и	2	1
442	это он	2	1
443	и ее	3	1
444	вовсе не	2	1
445	ничего нельзя	1	1
446	что на	4	1
447	жизни с	1	1
448	в искусстве	1	1
449	и нет	1	1
450	бы в	2	1
451	человеческую жизнь	1	1
452	себя но	2	1
453	к нему	5	1
454	и смерти	1	1
455	а потом	2	1
