N	2gram	Tiupa_Teor	EvropaiC
376	которой я	1	1
377	в другой	1	1
378	обе стороны	1	1
379	в состав	6	1
380	для всех	2	1
381	мы видим	1	1
382	в более	1	1
383	произведение и	1	1
384	один из	2	1
385	вступить в	1	1
386	собой и	1	1
387	это делает	2	1
388	за ним	1	1
389	отношении оказывается	1	1
390	она и	1	1
391	чужой психики	1	1
392	же и	1	1
393	различие между	1	1
394	не во	1	1
395	и свою	1	1
396	но из	1	1
397	если в	2	1
398	то я	1	1
399	свидетельствует о	1	1
400	ее на	1	1
401	рассказ о	2	1
402	зависит от	1	1
403	и пр	1	1
404	несколько иной	1	1
405	том числе	3	1
406	ним и	1	1
407	время в	1	1
408	случае мы	1	1
409	у каждого	1	1
410	без исключения	4	1
411	говорит а	1	1
412	была бы	3	1
413	а у	1	1
414	не своей	1	1
415	за пределами	5	1
416	в своей	8	1
417	он и	2	1
418	строго говоря	2	1
419	в ее	6	1
420	никак не	1	1
421	не требует	1	1
422	ибо без	1	1
423	в принципе	7	1
424	что такое	2	1
425	ее в	2	1
426	в область	1	1
427	окружающей его	2	1
428	с не	1	1
429	и сама	1	1
430	может показаться	1	1
431	в качестве	33	1
432	именно те	1	1
433	я во	2	1
434	не принять	1	1
435	одному из	1	1
436	же явления	1	1
437	у а	1	1
438	своею и	1	1
439	в прошлом	1	1
440	на которой	1	1
441	из своих	1	1
442	что каждый	2	1
443	и другими	1	1
444	особенно если	1	1
445	с другими	6	1
446	в широком	1	1
447	должно будет	1	1
448	его сознании	1	1
449	должен не	1	1
450	общий признак	1	1
451	быть может	1	1
452	усматривая в	2	1
453	противоречие с	1	1
454	себе никаких	1	1
455	к жизни	2	1
456	этот глубоко	1	1
457	в отношении	4	1
458	когда же	1	1
459	и развития	1	1
460	от своих	1	1
461	в центре	1	1
462	а на	3	1
463	мыслится как	5	1
464	или для	1	1
465	в зависимости	1	1
466	что составляет	1	1
467	и притом	3	1
468	этой точки	2	1
469	по пути	4	1
470	отказаться от	1	1
471	здесь мы	2	1
472	или иной	7	1
473	в первом	2	1
474	внутренне не	1	1
475	с такими	1	1
476	с ней	1	1
477	этом не	1	1
478	является одним	1	1
479	самые разнообразные	1	1
480	во многих	1	1
481	каждой новой	1	1
482	дело в	2	1
483	мысль о	1	1
484	себя а	1	1
485	на себя	2	1
486	тем что	1	1
487	культуры чем	1	1
488	этого я	1	1
489	из всего	1	1
490	предполагает как	1	1
491	или иная	1	1
492	я и	2	1
493	принадлежат к	1	1
494	том или	1	1
495	например в	3	1
496	отношения к	4	1
497	в равной	3	1
498	и другим	1	1
499	случае не	2	1
500	и должен	1	1
501	борющихся сторон	1	1
502	ценностей и	1	1
503	с ума	1	1
504	как быть	1	1
505	тому назад	1	1
506	долгое время	1	1
507	и как	3	1
508	психики но	1	1
509	но он	4	1
510	к его	3	1
511	а именно	3	1
512	рядом с	1	1
513	свое самобытное	1	1
514	над тем	1	1
515	жизни ее	1	1
516	как в	5	1
517	жизни в	2	1
518	жизнью в	1	1
519	так в	4	1
520	к своему	2	1
521	от этого	1	1
522	приводит к	6	1
523	или ином	1	1
524	и со	1	1
525	смертью в	1	1
526	и я	1	1
527	бы не	1	1
528	может рассматриваться	1	1
529	по признаку	1	1
530	да и	1	1
531	более сложные	1	1
532	у одного	2	1
533	собою в	2	1
534	именно эта	1	1
535	это было	2	1
536	роль в	3	1
537	со стороны	6	1
538	или их	1	1
539	на его	1	1
540	вследствие этой	2	1
541	себе и	1	1
542	на их	1	1
543	всей своей	2	1
544	мира в	3	1
545	частной жизни	2	1
546	художественное произведение	3	1
547	это имеет	1	1
548	можно строить	1	1
549	уже не	6	1
550	вопрос что	2	1
551	по крайней	1	1
552	все их	1	1
553	перед нами	3	1
554	и другого	1	1
555	связаны с	1	1
556	от таких	1	1
557	мы к	1	1
558	ближайшие к	1	1
559	первый взгляд	1	1
560	иметь в	1	1
561	стоит и	1	1
562	к одному	2	1
563	остается в	1	1
564	в каждом	1	1
565	истинный смысл	1	1
566	речь в	1	1
567	тем в	2	1
568	следует признать	2	1
569	только лишь	2	1
570	это и	2	1
571	еще и	2	1
572	не является	5	1
573	культуры не	1	1
574	что от	1	1
575	только к	1	1
576	две стороны	1	1
577	же я	1	1
578	вытекает из	2	1
579	жизни он	1	1
580	на задний	1	1
581	своей собственной	1	1
582	единое целое	2	1
583	смотря на	1	1
584	роли в	5	1
585	и даже	2	1
586	в лучшем	1	1
587	и заключается	1	1
588	чистом виде	1	1
589	в уме	1	1
590	та или	1	1
591	что этому	1	1
592	стоит в	1	1
593	но кто	1	1
594	всегда может	1	1
595	и вот	3	1
596	зрения в	1	1
597	в значительной	2	1
598	входит в	4	1
599	на котором	2	1
600	только такие	1	1
601	некий общий	1	1
602	имеются и	2	1
603	что входит	1	1
604	совсем не	1	1
605	не будучи	1	1
606	по этой	1	1
607	нельзя не	1	1
608	не быть	1	1
609	вмещает в	1	1
610	части и	1	1
611	является именно	1	1
612	людьми поэтому	1	1
613	а после	1	1
614	двух других	1	1
615	из его	1	1
616	из перечисленных	2	1
617	ценностей или	1	1
618	и весьма	2	1
619	просто не	1	1
620	единство и	1	1
621	и помимо	1	1
622	точно и	1	1
623	это по	1	1
624	кажется что	1	1
625	в развитии	1	1
626	от всех	2	1
627	с которой	1	1
628	к такой	2	1
629	только на	2	1
630	а во-вторых	1	1
631	жизни если	1	1
632	вступает в	2	1
633	одно и	2	1
634	точно так	1	1
635	такого что	1	1
636	в различных	1	1
637	не могла	1	1
638	это была	1	1
639	и наиболее	1	1
640	на основании	1	1
641	тем и	1	1
642	скачка в	1	1
643	говоря о	3	1
644	им уже	1	1
645	даже при	1	1
646	к нашим	1	1
647	для своей	1	1
648	и жизни	1	1
649	а только	4	1
650	из нас	1	1
651	это необходимо	1	1
652	можно было	1	1
653	еще один	1	1
654	сторону его	1	1
655	позиции и	1	1
656	не случайно	5	1
657	на новую	1	1
658	в чистом	1	1
659	же самое	1	1
660	всего что	1	1
661	этом у	1	1
662	себя свою	1	1
663	делает его	2	1
664	над собою	1	1
665	состоит в	22	1
666	не по	1	1
667	на которые	1	1
668	вытекающей из	1	1
669	на одну	1	1
670	его природы	1	1
671	задний план	1	1
672	числе и	2	1
673	из виду	2	1
674	выше положений	1	1
675	весьма сложного	1	1
676	тот или	3	1
677	как человек	1	1
678	он в	1	1
679	а а	5	1
680	произведения в	1	1
681	еще нет	1	1
682	своей стороны	1	1
683	ее не	1	1
684	однако в	7	1
685	двух различных	1	1
686	по которым	1	1
687	его создателя	1	1
688	при котором	2	1
689	могут быть	5	1
690	которую в	1	1
691	на второй	2	1
692	данного произведения	1	1
693	и возникает	1	1
694	этом и	1	1
695	оно стало	1	1
696	всех сторон	1	1
697	но именно	1	1
698	до конца	1	1
699	к которому	3	1
700	с нею	1	1
701	в узком	3	1
702	к пониманию	1	1
703	исходит из	1	1
704	чаще всего	1	1
705	не ее	1	1
706	с его	6	1
707	сказать что	4	1
708	бы ни	1	1
709	в данный	2	1
710	не внешним	1	1
711	себе еще	1	1
712	сомневаться не	1	1
713	русском языке	1	1
714	не имело	1	1
715	жизни постоянно	1	1
716	отрешиться от	1	1
717	к этим	1	1
718	самые различные	1	1
719	лучшем случае	1	1
720	а не	14	1
721	большей степени	1	1
722	крайними пределами	1	1
723	если она	1	1
724	в культуре	3	1
725	каждого из	1	1
726	крайней мере	1	1
727	с сожалением	1	1
728	здесь не	2	1
729	и тем	5	1
730	есть не	1	1
731	есть как	2	1
732	иное как	1	1
733	друг другу	1	1
734	на них	1	1
735	его можно	1	1
736	своего развития	1	1
737	к каким	1	1
738	другими людьми	1	1
