N	2gram	Savitsky_E	UchenyiS
177	указаниями на	1	1
178	одной стороны	8	1
179	именно к	2	1
180	относится к	1	1
181	находит себе	1	1
182	время не	1	1
183	или по	2	1
184	культурная ценность	3	1
185	но также	2	1
186	тому чтобы	2	1
187	что по	1	1
188	же в	2	1
189	в ней	4	1
190	но по	2	1
191	мыслей о	1	1
192	в порядке	2	1
193	даже не	1	1
194	и прежде	3	1
195	это значит	2	1
196	он называет	1	1
197	в этот	1	1
198	значительной мере	1	1
199	для тех	1	1
200	на то	6	1
201	построения он	1	1
202	но если	5	1
203	в большей	1	1
204	бы ни	3	1
205	не значит	1	1
206	несомненно представляет	1	1
207	в которых	3	1
208	большей или	1	1
209	так и	10	1
210	своей совокупности	1	1
211	что с	1	1
212	друг с	3	1
213	это в	1	1
214	ее в	3	1
215	поэзии и	1	1
216	в современном	1	1
217	отнюдь не	9	1
218	находящихся в	1	1
219	находятся в	1	1
220	в качестве	14	1
221	о котором	1	1
222	в нем	1	1
223	он не	2	1
224	последние годы	3	1
225	независимо от	4	1
226	всего лишь	3	1
227	поскольку он	2	1
228	лучше и	1	1
229	все что	1	1
230	на его	1	1
231	есть ли	2	1
232	и что	2	1
233	в известном	3	1
234	они относятся	1	1
235	одно из	1	1
236	что для	1	1
237	и единственно	1	1
238	признание что	1	1
239	и это	1	1
240	значительный сдвиг	1	1
241	с одной	8	1
242	с другом	3	1
243	на своем	3	1
244	за пределы	1	1
245	должно быть	1	1
246	что при	1	1
247	об этом	1	1
248	и искусства	1	1
249	само по	4	1
250	к которой	1	1
251	или менее	1	1
252	к созданию	1	1
253	подходят к	1	1
254	в пределах	25	1
255	тот же	1	1
256	уже не	1	1
257	ценность в	2	1
258	у других	1	1
259	о том	3	1
260	далеко не	2	1
261	тем более	4	1
262	к проблемам	1	1
263	того что	7	1
264	друг другу	1	1
265	вне пределов	1	1
266	в котором	2	1
267	бы в	2	1
268	в виде	5	1
269	той же	1	1
270	никогда не	3	1
