N	2gram	Losev_Prob	UchenyiS
326	и так	2	1
327	отдельности и	1	1
328	язык в	1	1
329	и независимо	2	1
330	это значит	4	1
331	место и	1	1
332	этот анализ	1	1
333	оно является	1	1
334	а это	5	1
335	получаем от	1	1
336	единства и	1	1
337	связанные с	1	1
338	значительной мере	2	1
339	в период	1	1
340	не вполне	4	1
341	уже много	1	1
342	на то	12	1
343	он и	8	1
344	одно замечание	1	1
345	но если	6	1
346	это же	1	1
347	не значит	4	1
348	сам по	7	1
349	только для	3	1
350	без этого	1	1
351	не столь	2	1
352	в которых	4	1
353	была у	1	1
354	к этому	1	1
355	так и	17	1
356	это то	4	1
357	к проблеме	1	1
358	о нем	3	1
359	что с	2	1
360	ничуть не	1	1
361	сам автор	1	1
362	из которых	2	1
363	это в	3	1
364	ее в	2	1
365	отнюдь не	15	1
366	о которой	1	1
367	на значение	2	1
368	находятся в	2	1
369	и вся	1	1
370	часто бывает	2	1
371	ее существование	1	1
372	в качестве	3	1
373	о котором	4	1
374	в нем	14	1
375	ничего подобного	2	1
376	именно этот	1	1
377	он не	5	1
378	содержания и	2	1
379	независимо от	2	1
380	поскольку он	2	1
381	все что	2	1
382	и слово	1	1
383	концов не	1	1
384	произведения а	1	1
385	если нет	2	1
386	на его	2	1
387	есть ли	2	1
388	и что	21	1
389	в известном	1	1
390	они относятся	2	1
391	одно из	2	1
392	что для	4	1
393	и это	13	1
394	с одной	4	1
395	которых она	1	1
396	ли является	1	1
397	он был	2	1
398	закон и	3	1
399	и всякого	1	1
400	в первую	1	1
401	данное время	2	1
402	за пределы	6	1
403	и делает	3	1
404	имеет свою	1	1
405	должно быть	3	1
406	случае он	1	1
407	что при	2	1
408	об этом	10	1
409	не обладает	1	1
410	не ставит	1	1
411	определяет собою	1	1
412	точно и	1	1
413	является одним	1	1
414	правда не	1	1
415	уж тем	6	1
416	в виду	10	1
417	всего если	1	1
418	и искусства	5	1
419	само по	1	1
420	к которой	1	1
421	или менее	7	1
422	есть слово	1	1
423	в пределах	2	1
424	нужно будет	1	1
425	тот же	4	1
426	уже не	9	1
427	о том	25	1
428	не то	4	1
429	по его	3	1
430	далеко не	9	1
431	тем более	13	1
432	того что	18	1
433	в понятии	2	1
434	друг другу	2	1
435	он пытается	1	1
436	но такое	2	1
437	бы это	1	1
438	слово как	1	1
439	в котором	5	1
440	у пушкина	2	1
441	не существует	12	1
442	бы в	3	1
443	в виде	20	1
444	искусства не	1	1
445	если у	1	1
446	той же	2	1
447	никогда не	8	1
