N	2gram	Savitsky_E	Komedia
531	даже при	2	2
532	и поскольку	1	2
533	этом смысле	3	2
534	для каждого	1	2
535	не означает	2	2
536	жизни в	3	2
537	ли он	1	2
538	о котором	1	2
539	именно поэтому	1	2
540	в известном	3	2
541	внимание что	1	2
542	ожидать чтобы	1	2
543	в положении	1	2
544	в современном	1	2
545	слова и	1	2
546	в которую	1	2
547	отношении к	15	2
548	и наиболее	2	2
549	на примере	1	2
550	и до	1	2
551	в каком	4	2
552	известной степени	3	2
553	этого времени	1	2
554	о соотношении	1	2
555	который по	1	2
556	во втором	2	2
557	в свой	1	2
558	но это	1	2
559	в ту	1	2
560	об их	1	2
561	именно к	2	2
562	дает нам	1	2
563	одних и	1	2
564	в свое	1	2
565	представленная в	1	2
566	мир в	1	2
567	пока что	1	2
568	для него	1	2
569	того что	7	2
570	ее в	3	2
571	в полном	1	2
572	то мы	1	2
573	бы и	3	2
574	которые как	1	2
575	за тем	2	2
576	понимать как	1	2
577	в стороне	3	2
578	случаях когда	2	2
579	все эти	1	2
580	эти две	1	2
581	при таком	1	2
582	что между	1	2
583	и со	3	2
584	войти в	1	2
585	и целые	1	2
586	что тот	1	2
587	его к	1	2
588	что эти	2	2
589	но его	1	2
590	и только	3	2
591	как же	2	2
592	которые они	2	2
593	имеет в	2	2
594	частности в	2	2
595	с ней	1	2
596	тем самым	5	2
597	впоследствии к	1	2
598	как не	2	2
599	бы по	1	2
600	свою пользу	1	2
601	помнить что	2	2
602	себе не	3	2
603	в случае	2	2
604	в новой	1	2
605	других случаях	1	2
606	они являются	1	1
607	бы столь	1	1
608	пределах одного	1	1
609	является в	1	1
610	тем меньше	2	1
611	в изучении	1	1
612	жизни тех	1	1
613	их из	2	1
614	которые не	1	1
615	по нынешним	1	1
616	всех случаях	3	1
617	в применении	3	1
618	эта идея	1	1
619	очевидно также	1	1
620	которые лежат	1	1
621	в разных	1	1
622	кроме того	1	1
623	в некоторых	2	1
624	в современности	6	1
625	по общему	3	1
626	с более	3	1
627	это имело	1	1
628	ни столь	2	1
629	время не	1	1
630	за всех	1	1
631	народ и	3	1
632	расположены в	2	1
633	а причем	1	1
634	в рамки	1	1
635	как было	3	1
636	стороне от	1	1
637	на такой	1	1
638	мысль о	1	1
639	но нельзя	1	1
640	она является	1	1
641	при том	1	1
642	другом без	1	1
643	то окажется	2	1
644	много раз	1	1
645	мы получаем	1	1
646	развития но	1	1
647	как более	1	1
648	стороны в	2	1
649	в последнем	1	1
650	более молодых	1	1
651	имел ли	1	1
652	такого признания	1	1
653	как таковой	1	1
654	а именно	2	1
655	чтобы ее	1	1
656	отрекается от	1	1
657	большей или	1	1
658	по своим	3	1
659	этого периода	1	1
660	которое не	1	1
661	по нашим	1	1
662	как обычно	1	1
663	разнице в	1	1
664	и современную	1	1
665	время с	1	1
666	ставить вопрос	1	1
667	с до	1	1
668	и отчасти	2	1
669	ответить на	1	1
670	же кто	1	1
671	в данном	3	1
672	значение только	2	1
673	тем с	1	1
674	применении к	3	1
675	случаи когда	1	1
676	мы увидим	1	1
677	действительности как	1	1
678	например через	1	1
679	в новом	1	1
680	говорить не	1	1
681	входит в	1	1
682	до него	1	1
683	но даже	4	1
684	но этот	1	1
685	они все-таки	1	1
686	являются не	1	1
687	совершенно очевидно	2	1
688	из их	1	1
689	для нее	1	1
690	положений и	1	1
691	он считает	1	1
692	увидим что	1	1
693	что люди	1	1
694	образом из	1	1
695	аналогий в	1	1
696	они относятся	1	1
697	не обязательно	1	1
698	значительной степени	1	1
699	известного нам	1	1
700	отметить что	3	1
701	то его	1	1
702	другие не	1	1
703	всегда и	1	1
704	некоторое время	1	1
705	о всех	1	1
706	то наше	1	1
707	заметить что	2	1
708	протеста против	1	1
709	та часть	1	1
710	это что	1	1
711	тот что	1	1
712	в данной	3	1
713	исходит из	1	1
714	можем сказать	2	1
715	или уже	1	1
716	именно с	1	1
717	к установлению	1	1
718	связанное с	1	1
719	не представляется	1	1
720	но так	1	1
721	в элладу	2	1
722	эту же	1	1
723	образом ко	1	1
724	но сама	1	1
725	и неизвестно	1	1
726	свое собственное	1	1
727	которую они	1	1
728	для союзников	1	1
729	ее и	1	1
730	следует отметить	2	1
731	того обстоятельства	1	1
732	сейчас в	1	1
733	течение которого	1	1
734	поскольку в	1	1
735	исключения и	1	1
736	на такую	1	1
737	действию в	1	1
738	страны и	3	1
739	ее собственного	1	1
740	от природы	1	1
741	вполне понятно	1	1
742	внимание на	1	1
743	время в	3	1
744	общение с	1	1
745	до эпохи	1	1
746	получает в	1	1
747	быть в	1	1
748	но поскольку	2	1
749	обстояло дело	1	1
750	что при	1	1
751	глаза на	1	1
752	полной мере	1	1
753	наше внимание	2	1
754	в третьем	1	1
755	можно рассматривать	1	1
756	являются в	1	1
757	то она	1	1
758	отцов и	1	1
759	во всей	2	1
760	бы только	1	1
761	следует с	1	1
762	и некоторые	3	1
763	ее от	2	1
764	связывается с	1	1
765	то не	2	1
766	значение так	1	1
767	или хотя	2	1
768	этого можно	1	1
769	где к	1	1
770	призыв к	1	1
771	следует добавить	1	1
772	не кто	1	1
773	следует понимать	1	1
774	себя как	1	1
775	оказалась в	1	1
776	свой счет	1	1
777	защиты и	1	1
778	как продолжение	1	1
779	если ему	1	1
780	рассчитывать на	1	1
781	в сторону	2	1
782	или из	1	1
783	условия и	1	1
784	что как	1	1
785	он сам	2	1
786	той или	4	1
787	силой которая	1	1
788	же направлении	1	1
789	могли бы	1	1
790	мы же	1	1
791	же все	1	1
792	но как	2	1
793	участию в	2	1
794	начало в	2	1
795	более на	1	1
796	не сводится	1	1
797	составных частей	1	1
798	что само	1	1
799	в исторической	1	1
800	что нет	1	1
801	море как	1	1
802	значительно более	1	1
803	перикла и	1	1
804	и необходимость	1	1
805	видимо не	1	1
806	оснований для	1	1
807	и художественным	1	1
808	с традициями	1	1
809	бы они	1	1
810	здесь на	1	1
811	от которых	1	1
812	в идеологическом	2	1
813	имеет для	1	1
814	то нельзя	2	1
815	и затем	1	1
816	это может	1	1
817	благодаря своей	1	1
818	мы здесь	1	1
819	такой выход	1	1
820	этот период	1	1
821	значение и	1	1
822	а тем	2	1
823	нем и	1	1
824	или меньшей	1	1
825	ли для	1	1
826	так называемый	1	1
827	из составных	1	1
828	та в	1	1
829	культуры и	2	1
830	что во	1	1
831	экономического развития	2	1
832	которое мы	1	1
833	мы будем	1	1
834	сущности к	1	1
835	в противном	1	1
836	которое имеет	1	1
837	ибо в	1	1
838	там где	3	1
839	или иного	4	1
840	одного и	1	1
841	и сами	1	1
842	с полной	1	1
843	не исключено	1	1
844	нет ли	1	1
845	в содержании	2	1
846	усиливается тем	1	1
847	в столь	1	1
848	и этот	2	1
849	как с	1	1
850	время для	1	1
851	то есть	6	1
852	из более	1	1
853	на западе	1	1
854	во власти	2	1
855	делается попытка	1	1
856	к сфере	1	1
857	и далее	1	1
858	освободиться от	1	1
859	не находим	1	1
860	и служат	1	1
861	душе и	1	1
862	населения и	2	1
863	перешло к	1	1
864	находятся в	1	1
865	представим себе	1	1
866	экономическое состояние	1	1
867	придает ей	1	1
868	подходит к	2	1
869	другую и	1	1
870	них то	1	1
871	из новой	3	1
872	стран и	1	1
873	вышла из	1	1
874	вместо того	1	1
875	находим у	1	1
876	с таким	1	1
877	когда дело	1	1
878	себя с	1	1
879	с еще	1	1
880	суровые и	1	1
881	и будет	1	1
882	можно назвать	1	1
883	к которым	5	1
884	относятся к	2	1
885	нереальными и	1	1
886	обрывается на	1	1
887	к какому	1	1
888	становится ясным	1	1
889	может не	1	1
890	данном случае	2	1
891	обращенный к	1	1
892	более близкие	1	1
893	эта последняя	1	1
894	возникает вопрос	1	1
895	суждений о	1	1
896	на своем	3	1
897	в любой	1	1
898	к той	2	1
899	к природе	2	1
900	к какой	1	1
901	возможность чтобы	1	1
902	призывов к	2	1
903	близости к	1	1
904	бы с	1	1
905	язык и	1	1
906	до настоящего	1	1
907	в значительной	2	1
908	на основе	2	1
909	своему характеру	2	1
910	можно усмотреть	1	1
911	рассматривать как	1	1
912	указанной в	1	1
913	окажется что	2	1
914	с большой	2	1
915	народа и	1	1
916	значение для	1	1
917	света в	1	1
918	силы в	2	1
919	от других	1	1
920	если этот	2	1
921	той социальной	1	1
922	в совершенно	1	1
923	теперь не	1	1
924	при помощи	2	1
925	в силе	1	1
926	связанной с	1	1
927	выше и	1	1
928	о таких	1	1
929	области идеологии	1	1
930	и быта	1	1
931	к двум	1	1
932	первые в	1	1
933	только одна	1	1
934	начиная с	2	1
935	бы от	2	1
936	аттику и	1	1
937	не находятся	1	1
938	еще большее	1	1
939	маска и	1	1
940	в северной	2	1
941	этого слова	1	1
942	всего к	2	1
943	другу их	1	1
944	будь то	1	1
945	этого же	1	1
946	для этих	2	1
947	культурной жизни	4	1
948	нельзя сказать	1	1
949	не из	3	1
950	в год	2	1
951	сожалению не	1	1
952	его можно	1	1
953	обратиться к	1	1
954	жизни но	1	1
955	до г	3	1
956	было у	1	1
957	что автор	1	1
958	значение в	1	1
959	выходит за	1	1
960	любой из	1	1
961	различие между	1	1
962	дальнейшее развитие	1	1
963	и того	2	1
964	в угоду	1	1
965	для всякого	1	1
966	одна и	2	1
967	тому чтобы	2	1
968	значение имеют	1	1
969	культуры в	4	1
970	будет ли	2	1
971	находились в	1	1
972	имеет значения	1	1
973	если даже	1	1
974	богатство и	1	1
975	смысле этого	1	1
976	с так	1	1
977	не допускает	1	1
978	в русском	1	1
979	различия между	1	1
980	в ином	1	1
981	различию между	1	1
982	на юге	1	1
983	дело в	3	1
984	та же	1	1
985	иными словами	4	1
986	же по	1	1
987	насколько можно	1	1
988	некоторых случаях	1	1
989	же нет	1	1
990	и другое	1	1
991	другой и	2	1
992	в собственных	1	1
993	и продолжает	1	1
994	закрывать глаза	1	1
995	в сферу	2	1
996	в ряде	1	1
997	который вздумал	1	1
998	из положения	1	1
999	долгое время	2	1
1000	если и	1	1
1001	имеется в	1	1
1002	противном случае	1	1
1003	мира и	3	1
1004	в такой	1	1
1005	качестве примера	1	1
1006	та или	1	1
1007	уже знакомые	1	1
1008	по самой	1	1
1009	бы совершенно	2	1
1010	которое занимают	1	1
1011	этого качества	1	1
1012	которая как	1	1
1013	интересующей нас	1	1
1014	случай в	1	1
1015	конечно это	1	1
1016	того или	4	1
1017	чтобы тот	1	1
1018	приближающейся к	1	1
1019	только к	2	1
1020	в полной	4	1
1021	действительности но	1	1
1022	потребность в	3	1
1023	случае если	1	1
1024	и насколько	1	1
1025	в приемах	1	1
1026	о положении	2	1
1027	также и	7	1
1028	о возможности	1	1
1029	с совершенно	1	1
1030	это случается	1	1
1031	мы должны	2	1
1032	быть и	1	1
1033	почти всей	1	1
1034	у народа	1	1
1035	в характере	1	1
1036	можно конечно	1	1
1037	и детей	1	1
1038	в прошлом	3	1
1039	viii и	1	1
1040	этот факт	3	1
1041	кажется не	1	1
1042	знаем к	1	1
1043	x в	3	1
1044	думать что	8	1
1045	как то	1	1
1046	ли этот	1	1
1047	другой в	1	1
1048	их будет	1	1
1049	именно тогда	2	1
1050	как их	2	1
1051	но совершенно	1	1
1052	на уровне	2	1
1053	само по	4	1
1054	во многом	2	1
1055	именно та	1	1
1056	начале xx	1	1
1057	можно сказать	4	1
1058	мы бы	1	1
1059	как тот	1	1
1060	собой значение	1	1
1061	эту мысль	1	1
1062	к участию	1	1
1063	в чисто	1	1
1064	занимают в	1	1
1065	или иной	4	1
1066	ряде случаев	1	1
1067	же будет	1	1
1068	войной и	1	1
1069	крайнего предела	1	1
1070	происходит в	2	1
1071	и прежде	3	1
1072	получает за	1	1
1073	том случае	1	1
1074	отражение в	1	1
1075	их на	1	1
1076	ведь и	2	1
1077	лучшем случае	1	1
1078	призывы к	1	1
1079	и призыв	1	1
1080	подтверждение в	1	1
1081	не можем	2	1
1082	и наконец	2	1
1083	интересно отметить	1	1
