N	2gram	Savitsky_E	SlovoVZh
330	к тому	8	1
331	к некоторому	1	1
332	нем и	1	1
333	именно и	1	1
334	в свои	2	1
335	с так	1	1
336	наблюдений над	1	1
337	и можно	2	1
338	с таким	1	1
339	области идеологии	1	1
340	так называемый	1	1
341	и мы	3	1
342	его для	1	1
343	как мы	5	1
344	это мы	1	1
345	бытия и	1	1
346	и о	1	1
347	этого содержания	1	1
348	как его	1	1
349	что для	1	1
350	если мы	1	1
351	на одну	2	1
352	него не	1	1
353	и эта	2	1
354	наряду с	2	1
355	и во	2	1
356	именно в	4	1
357	и таким	2	1
358	только одна	1	1
359	и всего	1	1
360	нужно думать	2	1
361	они должны	1	1
362	то время	1	1
363	или хотя	2	1
364	не можем	2	1
365	в таком	3	1
366	например в	1	1
367	тот же	1	1
368	относятся к	2	1
369	к которому	1	1
370	время не	1	1
371	оно всегда	1	1
372	других областей	1	1
373	что все	2	1
374	то она	1	1
375	себе не	3	1
376	столь же	5	1
377	том же	1	1
378	в общем	3	1
379	есть в	2	1
380	же как	5	1
381	исходит из	1	1
382	в переводе	1	1
383	в порядке	2	1
384	рядом с	1	1
385	и прежде	3	1
386	живет и	1	1
387	как будто	2	1
388	жизни в	3	1
389	есть только	1	1
390	противном случае	1	1
391	но если	5	1
392	при таком	1	1
393	на себя	3	1
394	ли из	1	1
395	и дальнейшее	1	1
396	и характером	1	1
397	тех или	1	1
398	все более	9	1
399	и только	3	1
400	один и	1	1
401	если этот	2	1
402	по своей	2	1
403	в двух	1	1
404	или иного	4	1
405	лучшем случае	1	1
406	физические и	1	1
407	для этого	1	1
408	и химические	1	1
409	не из	3	1
410	в смысле	9	1
411	определяется в	1	1
412	образом к	1	1
413	чтобы не	1	1
414	за вычетом	2	1
415	не нужно	2	1
416	притом с	1	1
417	в одной	1	1
418	нам кажется	7	1
419	культуры в	4	1
420	или менее	1	1
421	вовсе не	6	1
422	думать что	8	1
423	начинает стремиться	1	1
424	тем более	4	1
425	мы видели	3	1
426	быть обязательно	1	1
427	включает в	1	1
428	политики так	1	1
429	одну доску	1	1
430	вне ее	1	1
431	всяком случае	3	1
432	лицо и	1	1
433	которые в	1	1
434	пределах этого	1	1
435	на них	2	1
