N	2gram	Medvedev_V	Sovremen
336	это делает	3	1
337	при которой	1	1
338	его значения	1	1
339	благодаря этому	1	1
340	каждый актер	1	1
341	и чисто	1	1
342	обратимся к	1	1
343	этого развития	1	1
344	отношению к	7	1
345	одной из	2	1
346	бы все	1	1
347	от общей	1	1
348	вот к	1	1
349	в своем	8	1
350	хотим сказать	1	1
351	тем легче	1	1
352	по аналогии	1	1
353	но ведь	1	1
354	естественнонаучного исследования	1	1
355	этом смысле	1	1
356	в связи	4	1
357	в какой	1	1
358	работы в	1	1
359	между ними	3	1
360	необходимо для	1	1
361	во всей	2	1
362	природы не	1	1
363	же в	7	1
364	это что	1	1
365	том что	8	1
366	на эту	1	1
367	но не	2	1
368	нет нужды	1	1
369	но этим	1	1
370	они не	2	1
371	по себе	2	1
372	процесса и	1	1
373	явлений и	3	1
374	он сам	2	1
375	в следующих	1	1
376	оно может	1	1
377	не имеет	1	1
378	их на	1	1
379	к этому	9	1
380	и значит	2	1
381	в то	6	1
382	многих его	1	1
383	значит что	2	1
384	по его	2	1
385	является только	1	1
386	этой области	3	1
387	как целого	3	1
388	нет никаких	2	1
389	но это	1	1
390	на различные	1	1
391	и для	2	1
392	есть то	1	1
393	что свои	1	1
394	с ее	1	1
395	для их	1	1
396	и это	1	1
397	и если	1	1
398	только о	2	1
399	должен быть	4	1
400	и его	6	1
401	чем отличается	1	1
402	жизни не	1	1
403	и особенно	1	1
404	вовсе не	3	1
405	целого и	1	1
406	жизни к	1	1
407	и свою	1	1
408	о том	10	1
409	сих пор	2	1
410	в заключение	1	1
411	ним или	1	1
412	мысли в	1	1
413	по крайней	2	1
414	образом на	1	1
415	выражение таким	1	1
416	в новое	1	1
417	наконец все	1	1
418	от различных	2	1
419	зрения и	1	1
420	своего развития	1	1
421	человека и	3	1
422	никогда не	5	1
423	той или	1	1
