N	2gram	Tiupa_Vved	Otkroven
141	жизни в	5	2
142	по себе	2	2
143	достоевского но	1	2
144	не имеет	3	2
145	о любви	4	2
146	к этому	3	2
147	сразу же	1	2
148	том что	16	2
149	и для	8	2
150	в ее	1	2
151	своей жизни	3	2
152	но в	14	2
153	и нет	1	2
154	чтобы сделать	1	1
155	ближе к	3	1
156	во всем	1	1
157	к одному	2	1
158	человеку но	1	1
159	братьев карамазовых	1	1
160	во всяком	3	1
161	и человеческого	1	1
162	не так	1	1
163	ни к	3	1
164	видели в	1	1
165	его и	1	1
166	совершенно не	2	1
167	смерть и	1	1
168	в потоке	1	1
169	а потому	1	1
170	то он	2	1
171	к счастью	1	1
172	ее и	2	1
173	лишь к	1	1
174	но оно	1	1
175	для его	1	1
176	еще одну	1	1
177	а с	4	1
178	не существует	3	1
179	в центре	4	1
180	романы толстого	1	1
181	и всякий	1	1
182	один из	3	1
183	в котором	11	1
184	и здесь	2	1
185	та же	1	1
186	по природе	2	1
187	после которого	1	1
188	и состоит	1	1
189	я верю	1	1
190	мир в	1	1
191	любой из	1	1
192	которых в	2	1
193	бытия но	2	1
194	знаменательно что	1	1
195	человека не	1	1
196	он выступает	1	1
197	в пределе	1	1
198	но о	2	1
199	того как	1	1
200	к одной	2	1
201	жизни а	1	1
202	который всегда	1	1
203	образом их	1	1
204	его с	2	1
205	том как	4	1
206	должна быть	3	1
207	мы не	6	1
208	не могу	2	1
209	по-другому в	1	1
210	есть у	1	1
211	связана с	1	1
212	и остаются	1	1
213	еще более	2	1
214	к катастрофе	1	1
215	также и	6	1
216	но не	9	1
217	по сравнению	1	1
218	это все	1	1
219	природе своей	2	1
220	из жизни	3	1
221	не по	4	1
222	представляет собой	18	1
223	образ и	1	1
224	с какой	1	1
225	быть не	4	1
226	был бы	1	1
227	в ней	5	1
228	из всех	1	1
229	это часто	1	1
230	с каким-то	1	1
231	человека как	1	1
232	самому себе	1	1
233	он видит	1	1
234	что это	2	1
235	речи и	1	1
236	этом отношении	7	1
237	к любви	1	1
238	может служить	4	1
239	всяком случае	3	1
240	он и	2	1
241	о чем	4	1
242	сознания в	4	1
243	в сущности	3	1
244	действующих лиц	2	1
245	из которой	2	1
246	а ее	1	1
247	она стала	1	1
248	кажется что	1	1
249	и прекрасного	1	1
250	в частности	19	1
251	говорит о	1	1
252	как это	2	1
253	о нем	1	1
254	между двумя	5	1
255	и откровения	2	1
256	проникновения в	2	1
257	чем у	1	1
258	с утра	1	1
259	чего не	1	1
260	как у	3	1
261	распадается на	1	1
262	со стороны	15	1
263	и через	2	1
264	в которую	1	1
265	в науке	1	1
266	не с	4	1
267	отношении к	1	1
268	до вечера	1	1
269	за собой	1	1
270	и ему	1	1
271	старца зосимы	1	1
272	и что	2	1
273	в одном	5	1
274	на самом	5	1
275	они в	1	1
276	у нас	4	1
277	в отношении	1	1
278	можно было	2	1
279	с сего	1	1
280	людей и	1	1
281	же не	1	1
282	бы и	4	1
283	заключает в	4	1
284	и это	2	1
285	мира по	1	1
286	в строгом	2	1
287	и до	1	1
288	с их	2	1
289	на людей	1	1
290	искать ключ	1	1
291	утра до	1	1
292	не вполне	4	1
293	проникнуть в	1	1
294	иначе чем	1	1
295	по своей	4	1
296	связанная с	1	1
297	с кем	1	1
298	которая была	1	1
299	в них	4	1
300	у нее	4	1
301	в форме	1	1
302	связь с	1	1
303	было и	2	1
304	видно что	2	1
305	в иных	1	1
306	тайна природы	2	1
307	не случайно	1	1
308	и даже	3	1
309	в глаза	1	1
310	произвола и	1	1
311	если бы	10	1
312	самом деле	6	1
313	исходит от	1	1
314	и более	5	1
315	самим собой	1	1
316	с ними	2	1
317	к чему	1	1
318	истории и	1	1
319	и сам	2	1
320	и можно	1	1
321	людей а	1	1
322	будто бы	3	1
323	в виду	3	1
324	в силу	2	1
325	самом начале	1	1
326	на этот	2	1
327	права на	1	1
328	дело в	1	1
329	главное в	1	1
330	стремится к	1	1
331	в мир	1	1
332	своего сознания	1	1
333	в эпоху	1	1
334	отношения к	1	1
335	тем же	1	1
336	жизни как	2	1
337	ключ к	2	1
338	от которой	1	1
339	заключается в	2	1
340	ведет к	2	1
341	начиная с	3	1
342	та самая	1	1
343	он говорит	1	1
344	бы он	1	1
345	души за	1	1
346	в конце	3	1
347	указывает на	2	1
348	в процессе	1	1
349	например в	2	1
350	в жизни	7	1
351	между этими	1	1
352	природной жизни	1	1
353	в пределы	1	1
354	полно не	1	1
355	в корне	1	1
356	характер и	1	1
357	с той	1	1
358	и без	1	1
359	и как	2	1
360	то в	1	1
361	в голову	2	1
362	к его	5	1
363	в человеческой	1	1
364	человек в	4	1
365	в сознании	5	1
366	духа в	1	1
367	что она	2	1
368	а именно	3	1
369	жизни и	8	1
370	одна из	5	1
371	которая представляется	1	1
372	в мире	9	1
373	в разных	2	1
374	одном из	1	1
375	и прежде	1	1
376	который в	5	1
377	того ни	1	1
378	интрига романа	1	1
379	как в	8	1
380	как будто	6	1
381	в совершенно	1	1
382	речь о	1	1
383	на то	3	1
384	говорят о	2	1
385	скрыта от	1	1
386	того чтоб	1	1
387	интереса к	1	1
388	и я	1	1
389	есть на	1	1
390	нуждается в	1	1
391	да и	3	1
392	его жизни	1	1
393	в новом	1	1
394	сравнению с	1	1
395	интерес к	1	1
396	но это	4	1
397	и после	2	1
398	природой и	1	1
399	мир и	1	1
400	которого не	1	1
401	из него	2	1
402	человеке так	1	1
403	лишь один	1	1
404	чем и	2	1
405	толстого как	1	1
406	героя из	1	1
407	любви и	2	1
408	говорит с	1	1
409	она и	1	1
410	само по	1	1
411	к которой	2	1
412	жизни не	2	1
413	было не	2	1
414	из них	1	1
415	свои собственные	1	1
416	вовсе не	1	1
417	что как	1	1
418	это так	1	1
419	уже не	7	1
420	в одной	2	1
421	указать на	1	1
422	изнутри а	1	1
423	с того	3	1
424	мировой истории	2	1
425	особенно в	3	1
426	мира в	8	1
427	со всеми	1	1
428	бы в	4	1
429	а что	1	1
