N	2gram	Savitsky_E	NovoeSre
338	так как	7	1
339	к которому	1	1
340	в своем	14	1
341	той социальной	1	1
342	будущее принадлежит	1	1
343	в последние	6	1
344	эту мысль	1	1
345	лишь на	1	1
346	долгое время	2	1
347	нас к	2	1
348	россии в	4	1
349	время нужно	1	1
350	на себя	3	1
351	известном смысле	3	1
352	в силу	2	1
353	такое разнообразие	1	1
354	большинстве случаев	3	1
355	изменение ее	1	1
356	культура древнего	1	1
357	борьбы за	1	1
358	что мы	1	1
359	культурах и	1	1
360	в этих	2	1
361	к расширению	1	1
362	к состоянию	1	1
363	том смысле	1	1
364	перед лицом	1	1
365	но если	5	1
366	перед собой	1	1
367	по себе	4	1
368	в человечестве	1	1
369	оно может	1	1
370	в области	11	1
371	и другая	2	1
372	перешла от	1	1
373	в такой	1	1
374	все более	9	1
375	все другие	2	1
376	с ним	1	1
377	к вере	1	1
378	и только	3	1
379	что само	1	1
380	есть только	1	1
381	ли он	1	1
382	оставить в	2	1
383	к той	2	1
384	всяком случае	3	1
385	речи о	1	1
386	настоящего и	1	1
387	та или	1	1
388	культурной и	1	1
389	в другие	1	1
390	с большей	1	1
391	того же	3	1
392	в предчувствии	1	1
393	в известном	3	1
394	мира не	2	1
395	характерным для	1	1
396	в каком	4	1
397	степени общим	1	1
398	моря и	3	1
399	если взять	1	1
400	отказаться от	1	1
401	и его	1	1
402	в эту	2	1
403	не ко	1	1
404	в существе	2	1
405	одного и	1	1
406	но сама	1	1
407	жизнью и	1	1
408	которые они	2	1
409	римской империи	1	1
410	связано с	3	1
411	востока и	2	1
412	от этого	5	1
413	обратиться к	1	1
414	к нему	2	1
415	на них	2	1
416	людей в	1	1
