N	2gram	Vinokur_Ku	Tvorches
705	это еще	1	2
706	же в	5	2
707	кириллов и	1	2
708	все более	2	2
709	может и	2	2
710	конце концов	3	2
711	но для	4	2
712	есть не	2	2
713	это указание	1	1
714	что было	2	1
715	они являются	1	1
716	и учение	1	1
717	и составляет	1	1
718	в роде	2	1
719	тем меньше	2	1
720	в возможности	3	1
721	же ли	1	1
722	мы и	1	1
723	а когда	1	1
724	которые не	1	1
725	к этой	3	1
726	сколько к	1	1
727	можно встретить	2	1
728	это лишь	1	1
729	в применении	1	1
730	любовь к	2	1
731	вопросу о	4	1
732	а вот	1	1
733	на второй	1	1
734	формы в	2	1
735	одно общее	1	1
736	достоевского здесь	1	1
737	литературы а	1	1
738	же мысль	1	1
739	тем как	1	1
740	или нет	1	1
741	встретить и	1	1
742	литература и	1	1
743	она стала	2	1
744	и осторожной	1	1
745	но тем	1	1
746	вышла в	1	1
747	и двух	1	1
748	внутренней форме	1	1
749	всем и	1	1
750	нас в	1	1
751	не хочет	2	1
752	но смысл	1	1
753	одно из	3	1
754	может нас	1	1
755	здесь необходимо	1	1
756	именем и	2	1
757	нами в	1	1
758	чтобы на	1	1
759	злобой дня	1	1
760	отношений в	3	1
761	русским языком	2	1
762	вопрос об	1	1
763	характере этого	1	1
764	их не	1	1
765	стороне от	1	1
766	мы были	1	1
767	но все	5	1
768	можно говорить	4	1
769	значения в	2	1
770	мне кажется	2	1
771	и обновление	1	1
772	эта книга	1	1
773	из самых	1	1
774	большей частью	1	1
775	уже на	3	1
776	говорят о	1	1
777	том или	1	1
778	более и	1	1
779	не сказано	1	1
780	действия а	1	1
781	сказывается и	1	1
782	я могу	1	1
783	т i	1	1
784	цитату из	1	1
785	в собственном	2	1
786	выход из	2	1
787	мысли о	1	1
788	о внутренней	1	1
789	по определению	1	1
790	подлинный смысл	1	1
791	его все	1	1
792	что еще	1	1
793	и русский	2	1
794	случайно и	1	1
795	одной темой	1	1
796	организации этих	1	1
797	он является	1	1
798	поскольку он	1	1
799	на точку	1	1
800	речь идет	4	1
801	матери и	1	1
802	в письме	1	1
803	смысл этого	2	1
804	как только	2	1
805	подлинное содержание	1	1
806	их для	1	1
807	относиться к	1	1
808	а вместе	1	1
809	в среду	1	1
810	на философию	1	1
811	перестает быть	1	1
812	и научная	1	1
813	и последнего	1	1
814	как справедливо	1	1
815	на этой	4	1
816	в противовес	3	1
817	в центр	1	1
818	века на	1	1
819	факта что	1	1
820	к другой	1	1
821	первым и	1	1
822	можно считать	2	1
823	и такие	1	1
824	этой почве	2	1
825	вопрос о	11	1
826	прерывается вдруг	1	1
827	то этот	1	1
828	применении к	1	1
829	раз и	1	1
830	русское слово	1	1
831	имеет право	1	1
832	даже и	5	1
833	некоторого рода	1	1
834	всего этого	1	1
835	и свое	3	1
836	не должен	1	1
837	одной стороны	2	1
838	только эта	1	1
839	не имею	1	1
840	можно пойти	1	1
841	построения в	1	1
842	из достоевского	1	1
843	уже о	2	1
844	таким же	1	1
845	с помощью	12	1
846	если так	1	1
847	но может	1	1
848	об отношении	1	1
849	но они	1	1
850	с проблемой	2	1
851	русской действительности	1	1
852	видеть что	3	1
853	в различных	1	1
854	связь между	1	1
855	имеют смысл	1	1
856	предисловии к	1	1
857	было то	1	1
858	и значение	2	1
859	укладываются в	1	1
860	его основное	1	1
861	начале xix	1	1
862	истории по	1	1
863	в смысле	2	1
864	и те	1	1
865	относит к	1	1
866	можно ли	6	1
867	не что	2	1
868	с вечным	1	1
869	на практике	3	1
870	даже с	1	1
871	с законами	1	1
872	является как	1	1
873	в иерусалим	1	1
874	себе в	3	1
875	до того	2	1
876	и длинный	1	1
877	характеры в	1	1
878	всего что	2	1
879	мало чем	1	1
880	то чтобы	1	1
881	к ним	2	1
882	отношения и	2	1
883	среди них	1	1
884	вообще и	2	1
885	родной язык	1	1
886	дает нам	1	1
887	ее но	1	1
888	тезис о	1	1
889	него не	1	1
890	мы говорим	4	1
891	том чтобы	9	1
892	над этим	1	1
893	а сам	1	1
894	о тех	1	1
895	а только	10	1
896	быть в	2	1
897	к средствам	1	1
898	в нашем	8	1
899	как я	2	1
900	как от	1	1
901	есть по	1	1
902	или очень	1	1
903	есть только	1	1
904	исходит из	2	1
905	теории и	1	1
906	в атмосфере	2	1
907	не писать	1	1
908	от них	1	1
909	но интересно	1	1
910	для всего	1	1
911	что само	2	1
912	нет никаких	1	1
913	и фактически	1	1
914	весьма серьезно	1	1
915	новый тип	2	1
916	оппозиция в	1	1
917	к языку	6	1
918	это своего	1	1
919	сознательно стремился	1	1
920	это объяснение	1	1
921	к решению	1	1
922	свое собственное	1	1
923	вся эта	2	1
924	своего развития	1	1
925	и впечатления	1	1
926	все мы	1	1
927	бы то	1	1
928	она имеет	1	1
929	д все	1	1
930	и оба	1	1
931	только не	1	1
932	п эта	1	1
933	все его	1	1
934	никогда бы	1	1
935	мы как	1	1
936	к их	1	1
937	же роль	1	1
938	хотелось бы	2	1
939	человеку не	1	1
940	что иное	2	1
941	не исчерпывается	1	1
942	после чего	2	1
943	на пороге	1	1
944	как средство	1	1
945	вообще а	2	1
946	меры в	1	1
947	и вместе	1	1
948	такого рода	1	1
949	имеет тот	1	1
950	смысле в	1	1
951	не теряет	1	1
952	такой писатель	1	1
953	ни было	1	1
954	традиция в	1	1
955	школы с	1	1
956	от среды	1	1
957	т е	54	1
958	в недрах	1	1
959	науки в	1	1
960	лучше чем	1	1
961	что такое	8	1
962	не понимают	1	1
963	с твердым	1	1
964	и развитие	1	1
965	бы что	1	1
966	совмещается с	1	1
967	не хватает	1	1
968	как можно	2	1
969	чем в	3	1
970	как же	1	1
971	русской речи	5	1
972	крестьян и	1	1
973	о возможности	2	1
974	такое понимание	1	1
975	живет и	5	1
976	и некоторые	1	1
977	как результат	1	1
978	именно здесь	1	1
979	сквозь эту	1	1
980	и говорит	2	1
981	будто бы	3	1
982	что за	3	1
983	цитаты из	1	1
984	это мы	1	1
985	следует рассматривать	1	1
986	кроме своих	1	1
987	в день	2	1
988	говорить лишь	2	1
989	с представлением	1	1
990	бы самым	1	1
991	из уст	1	1
992	и хорошо	1	1
993	государства и	1	1
994	отправной пункт	2	1
995	ссылки на	1	1
996	как говорит	1	1
997	характер и	2	1
998	учение о	4	1
999	лишь на	1	1
1000	между ними	2	1
1001	думать о	1	1
1002	ищет в	1	1
1003	большинстве случаев	3	1
1004	такие же	2	1
1005	видим мы	1	1
1006	письме к	2	1
1007	объясняется отчасти	1	1
1008	о которых	2	1
1009	больше всего	3	1
1010	в последнем	2	1
1011	же касается	4	1
1012	в первые	1	1
1013	к вопросу	4	1
1014	связанным с	1	1
1015	себе и	3	1
1016	к мысли	1	1
1017	что слово	6	1
1018	полагает что	1	1
1019	теперь и	1	1
1020	на себе	10	1
1021	что их	2	1
1022	могло бы	1	1
1023	под влиянием	3	1
1024	в других	1	1
1025	совершенно прав	1	1
1026	в противоречии	2	1
1027	чтобы его	1	1
1028	вопроса о	7	1
1029	за годы	1	1
1030	той или	1	1
1031	и чего	1	1
1032	я был	1	1
1033	чтобы мы	2	1
1034	вероятно это	1	1
1035	так я	1	1
1036	указывающий на	1	1
1037	все чаще	2	1
1038	необходимое условие	1	1
1039	сознаться что	1	1
1040	но можно	2	1
1041	не самый	1	1
1042	без обычного	1	1
1043	о происхождении	1	1
1044	мы можем	2	1
1045	от себя	3	1
1046	находит свое	1	1
1047	сознания а	1	1
1048	есть признак	1	1
1049	догадки о	1	1
1050	он дал	1	1
1051	к слову	2	1
1052	в мысль	1	1
1053	не составляет	2	1
1054	в сокращении	2	1
1055	действие в	2	1
1056	случаев в	1	1
1057	себя все	1	1
1058	как единство	1	1
1059	в структуре	3	1
1060	доказывать что	1	1
1061	всего лишь	3	1
1062	лишь что	1	1
1063	конкретного действия	1	1
1064	то ни	2	1
1065	многих случаях	1	1
1066	с какой	1	1
1067	на правах	2	1
1068	и правильное	2	1
1069	или же	3	1
1070	речи и	8	1
1071	в случае	2	1
1072	в ответ	1	1
1073	идеальное начало	1	1
1074	в развитии	1	1
1075	своего времени	2	1
1076	от которых	1	1
1077	в идеологическом	1	1
1078	что эта	1	1
1079	один раз	1	1
1080	вспомним что	1	1
1081	можно было	14	1
1082	что николай	1	1
1083	в форме	3	1
1084	смешно и	1	1
1085	потребность в	3	1
1086	почти всегда	3	1
1087	который мы	2	1
1088	и цельным	1	1
1089	бы уже	2	1
1090	положение нуждается	1	1
1091	стиля и	1	1
1092	особого внимания	1	1
1093	что смысл	1	1
1094	то во	1	1
1095	резких и	1	1
1096	также и	7	1
1097	в семье	1	1
1098	совершенно справедливо	2	1
1099	должны были	1	1
1100	или иное	2	1
1101	поучителен в	1	1
1102	в иных	3	1
1103	она была	1	1
1104	читать и	1	1
1105	не раз	3	1
1106	основных законов	1	1
1107	в школе	1	1
1108	на некоторые	1	1
1109	совершенно новый	1	1
1110	до первого	1	1
1111	почему же	1	1
1112	вторая часть	1	1
1113	кириллов в	1	1
1114	возможно что	1	1
1115	конца и	1	1
1116	это вовсе	1	1
1117	общего с	2	1
1118	главным образом	3	1
1119	несколько иллюстраций	1	1
1120	но нет	1	1
1121	так уж	1	1
1122	что только	2	1
1123	вопрос этот	3	1
1124	особое внимание	1	1
1125	деле это	1	1
1126	если они	1	1
1127	повседневной жизни	1	1
1128	он справедливо	1	1
1129	за год	2	1
1130	на место	1	1
1131	очень редко	1	1
1132	сказать о	1	1
1133	является его	1	1
1134	или иного	5	1
1135	записывает в	1	1
1136	от октября	1	1
1137	чтобы не	1	1
1138	смысле или	1	1
1139	русской классической	1	1
1140	чем обычно	1	1
1141	одного и	2	1
1142	еще одно	3	1
1143	не даром	1	1
1144	мы определяем	1	1
1145	с неба	1	1
1146	можно только	1	1
1147	на месте	2	1
1148	в особенности	6	1
1149	к сожалению	2	1
1150	на жизнь	1	1
1151	вело к	1	1
1152	это неверно	1	1
1153	большой степени	1	1
1154	однако и	2	1
1155	роль играют	1	1
1156	в анализе	1	1
1157	в судьбы	1	1
1158	и возможно	1	1
1159	том смысле	2	1
1160	порою даже	1	1
1161	явно не	1	1
1162	я уже	2	1
1163	на той	1	1
1164	и этот	1	1
1165	его собственное	1	1
1166	время я	1	1
1167	это выражение	1	1
1168	нашей эпохи	1	1
1169	с и	1	1
1170	представлению о	1	1
1171	говорил пушкин	1	1
1172	резко отличен	1	1
1173	вот его	1	1
1174	теперь в	1	1
1175	литературы как	1	1
1176	выражения мысли	2	1
1177	в средство	1	1
1178	мы получаем	2	1
1179	возникли в	1	1
1180	стоит обратить	1	1
1181	бы говорить	2	1
1182	и наглядно	2	1
1183	никак не	5	1
1184	же невозможно	1	1
1185	выше было	1	1
1186	по адресу	1	1
1187	и средство	1	1
1188	истории в	1	1
1189	поэтому в	1	1
1190	разного рода	1	1
1191	его но	1	1
1192	к действию	2	1
1193	не принял	3	1
1194	и послужило	1	1
1195	случае гораздо	1	1
1196	это есть	2	1
1197	внутренней необходимостью	1	1
1198	том и	3	1
1199	не на	4	1
1200	я считаю	1	1
1201	находит и	1	1
1202	и первый	1	1
1203	как идея	1	1
1204	оно не	5	1
1205	с некоторыми	1	1
1206	и элементарного	1	1
1207	собой и	1	1
1208	есть лишь	3	1
1209	образом если	2	1
1210	в наших	1	1
1211	в моем	1	1
1212	это положение	2	1
1213	тех кого	1	1
1214	не художественной	1	1
1215	учения о	1	1
1216	не люблю	1	1
1217	но вот	3	1
1218	обращается к	1	1
1219	но никогда	1	1
1220	о первой	1	1
1221	присутствует в	1	1
1222	который на	1	1
1223	как не	4	1
1224	уже совсем	1	1
1225	к нам	1	1
1226	это чувство	1	1
1227	ноябрь года	1	1
1228	и так	1	1
1229	и просто	1	1
1230	связанные с	3	1
1231	хочет быть	1	1
1232	это само	1	1
1233	бы перевести	1	1
1234	в словах	1	1
1235	и подлинное	1	1
1236	себя и	1	1
1237	и другая	1	1
1238	нас интересует	1	1
1239	словами уже	1	1
1240	значение при	1	1
1241	писатель не	1	1
1242	в историческом	1	1
1243	если можно	1	1
1244	именно поэтому	2	1
1245	все другие	1	1
1246	нимало не	1	1
1247	не своим	1	1
1248	нет в	2	1
1249	ничего общего	2	1
1250	что вообще	1	1
1251	сейчас же	1	1
1252	не оказалось	1	1
1253	из области	4	1
1254	в любой	1	1
1255	я говорю	1	1
1256	который и	1	1
1257	все они	1	1
1258	ассоциации и	1	1
1259	его пожалуй	1	1
1260	упомянуто что	1	1
1261	еще и	7	1
1262	образом первая	1	1
1263	бы и	6	1
1264	и должны	1	1
1265	сущности уже	1	1
1266	признается в	1	1
1267	а если	5	1
1268	языка и	16	1
1269	язык и	1	1
1270	когда мы	3	1
1271	это понятие	1	1
1272	этой теме	1	1
1273	если б	2	1
1274	тех же	2	1
1275	из элементов	1	1
1276	более чем	1	1
1277	заметок о	1	1
1278	то и	4	1
1279	не знаю	2	1
1280	на основе	2	1
1281	и высоко	1	1
1282	том как	3	1
1283	и содержание	1	1
1284	с а	1	1
1285	из его	1	1
1286	слова и	8	1
1287	фраза из	3	1
1288	в середине	1	1
1289	развития и	1	1
1290	факты из	1	1
1291	время есть	1	1
1292	всего на	1	1
1293	для меня	1	1
1294	не носит	1	1
1295	сочетании с	1	1
1296	новый оттенок	1	1
1297	народ в	1	1
1298	внимания на	1	1
1299	у других	1	1
1300	целый ряд	8	1
1301	случае с	1	1
1302	не без	1	1
1303	не заметил	1	1
1304	знаем что	3	1
1305	еще один	3	1
1306	литературы в	1	1
1307	было и	1	1
