N	2gram	Losev_Dial	Poddanst
142	не нужно	2	2
143	по характеру	1	2
144	из них	4	2
145	но к	1	2
146	есть не	11	2
147	тем более	5	2
148	есть в	4	2
149	что из	1	2
150	переход от	1	2
151	не к	1	2
152	бы ни	1	2
153	иного и	1	1
154	поскольку не	1	1
155	бесконечное количество	1	1
156	что было	2	1
157	этих двух	1	1
158	и мир	1	1
159	были бы	2	1
160	настоящее и	2	1
161	представить себе	1	1
162	нет ничего	14	1
163	поскольку она	1	1
164	как к	2	1
165	от нее	3	1
166	во всяком	5	1
167	и тех	2	1
168	ни к	3	1
169	не есть	95	1
170	о личности	5	1
171	собственном смысле	1	1
172	находятся в	1	1
173	и то	7	1
174	время есть	3	1
175	знание в	1	1
176	мир с	1	1
177	но как	3	1
178	ибо только	1	1
179	бы и	2	1
180	история и	6	1
181	чтобы это	2	1
182	мы можем	3	1
183	и эти	2	1
184	мы видим	4	1
185	в данном	6	1
186	только к	3	1
187	с его	7	1
188	за то	1	1
189	что оно	9	1
190	очень и	1	1
191	существует но	2	1
192	и более	1	1
193	можно говорить	2	1
194	те же	1	1
195	вместе с	3	1
196	и здесь	3	1
197	по природе	1	1
198	в жертву	2	1
199	пр в	2	1
200	есть признак	1	1
201	вечности и	3	1
202	до тех	1	1
203	и на	6	1
204	уяснить себе	1	1
205	отличие от	2	1
206	в самом	9	1
207	мир в	3	1
208	вопрос о	9	1
209	и очень	1	1
210	он пришел	1	1
211	они не	3	1
212	может не	4	1
213	она должна	3	1
214	она вообще	1	1
215	на свои	3	1
216	только что	7	1
217	мысль и	1	1
218	в философии	1	1
219	гласит что	2	1
220	они являются	1	1
221	в психологии	1	1
222	говорили об	1	1
223	душа и	1	1
224	к этой	2	1
225	исходить из	1	1
226	мира к	1	1
227	с и	1	1
228	что каждая	1	1
229	и который	1	1
230	исторического бытия	1	1
231	что бога	1	1
232	себе слой	1	1
233	она не	10	1
234	должна быть	11	1
235	пор пока	1	1
236	чем то	1	1
237	наших глазах	1	1
238	эти ценности	1	1
239	более или	1	1
240	применении к	1	1
241	ними как	1	1
242	есть прежде	4	1
243	связана с	1	1
244	только как	7	1
245	не верить	1	1
246	того чтобы	1	1
247	мы знаем	3	1
248	равным образом	1	1
249	ему на	1	1
250	она всегда	4	1
251	европа в	1	1
252	в применении	1	1
253	только мы	3	1
254	в древней	2	1
255	есть для	1	1
256	этом мире	1	1
257	бытия не	1	1
258	есть утверждение	1	1
259	рассматривать с	1	1
260	но до	1	1
261	которая хотя	1	1
262	мира но	1	1
263	во многих	1	1
264	того чем	1	1
265	и наше	1	1
266	что это	20	1
267	не более	1	1
268	задача –	1	1
269	конечно и	2	1
270	одно и	6	1
271	знаем и	1	1
272	ни на	5	1
273	духа есть	1	1
274	философской мысли	1	1
275	думается что	1	1
276	которого невозможно	1	1
277	вот как	2	1
278	пусть в	2	1
279	и уже	5	1
280	ли или	1	1
281	неотъемлемой ее	1	1
282	с которой	2	1
283	как высшее	1	1
284	науке и	1	1
285	откровения и	1	1
286	из этих	5	1
287	сфер и	1	1
288	идеи и	2	1
289	что если	5	1
290	что с	2	1
291	как таковые	2	1
292	и личности	3	1
293	именно на	1	1
294	не как	1	1
295	только один	1	1
296	об отношении	1	1
297	от этой	1	1
298	и вся	1	1
299	что уже	3	1
300	мы все	1	1
301	только на	8	1
302	и через	1	1
303	бытия как	1	1
304	и этим	3	1
305	не с	1	1
306	обе эти	1	1
307	что эта	2	1
308	полноты и	1	1
309	не об	1	1
310	в других	1	1
311	и при	4	1
312	и что	21	1
313	науки и	2	1
314	не могла	1	1
315	при существовании	1	1
316	чем говорить	2	1
317	на основании	3	1
318	что и	8	1
319	и веры	1	1
320	кто не	1	1
321	ценности и	1	1
322	есть с	1	1
323	мы хотим	2	1
324	или его	1	1
325	другой стороны	4	1
326	веры в	2	1
327	как ни	1	1
328	от церкви	1	1
329	нет никакого	10	1
330	идеи в	2	1
331	этом смысле	1	1
332	это значит?	2	1
333	весь мир	3	1
334	пространство в	1	1
335	далеко не	1	1
336	только то	2	1
337	об идее	1	1
338	и знать	2	1
339	в этих	3	1
340	не вполне	2	1
341	них и	1	1
342	что все	16	1
343	в истории	7	1
344	как оно	1	1
345	упреков в	1	1
346	в историческом	1	1
347	не являясь	2	1
348	для самой	1	1
349	в ином	1	1
350	так же	7	1
351	также и	6	1
352	его в	2	1
353	бы из	1	1
354	знаем что	1	1
355	вопрос об	3	1
356	каждый из	1	1
357	который не	2	1
358	их не	3	1
359	д не	3	1
360	все же	4	1
361	при виде	1	1
362	христа и	1	1
363	и притом	10	1
364	чтобы в	1	1
365	идет речь	4	1
366	бога не	2	1
367	как таковую	3	1
368	если представить	1	1
369	всего что	1	1
370	но на	2	1
371	и питаются	1	1
372	что его	5	1
373	того кто	4	1
374	в результате	7	1
375	сфера где	1	1
376	и слова	1	1
377	воля и	1	1
378	в которой	1	1
379	от тех	1	1
380	идти в	1	1
381	и будущее	1	1
382	такова история	1	1
383	не поможет	1	1
384	это такое	1	1
385	должен быть	1	1
386	в этой	3	1
387	или иным	1	1
388	нужно говорить	1	1
389	к ним	1	1
390	прежде чем	2	1
391	самосознание и	1	1
392	и еще	1	1
393	религия есть	8	1
394	из нее	2	1
395	плоть в	1	1
396	– все	4	1
397	тот или	2	1
398	в отличие	1	1
399	и где	2	1
400	по преимуществу	2	1
401	– по	1	1
402	считают себя	1	1
403	и которая	1	1
404	история не	2	1
405	себя в	3	1
406	из двух	4	1
407	само по	8	1
408	оно есть	4	1
409	ней и	1	1
410	других же	1	1
411	видим в	1	1
412	же как	4	1
413	в реальной	1	1
414	результат этого	1	1
415	на себя	3	1
416	а она	3	1
417	культуры и	2	1
418	что не	8	1
419	наука и	2	1
420	мы и	4	1
421	если мы	5	1
422	та или	4	1
423	но для	3	1
424	именно о	3	1
425	в каком	9	1
426	может идти	1	1
427	но есть	1	1
428	что есть	6	1
429	ведет к	1	1
430	в язычестве	1	1
431	судить по	1	1
432	мы попали	1	1
433	могут стать	1	1
434	возможно что	1	1
435	чувство и	2	1
436	зрения можно	1	1
437	смысле не	4	1
438	или иная	3	1
439	если он	2	1
440	в позднем	1	1
441	в сферу	4	1
442	каком смысле	5	1
443	тогда когда	9	1
444	находится в	2	1
445	силы они	1	1
446	давно уже	1	1
447	мира а	1	1
448	ясно что	16	1
449	без того	3	1
450	место в	2	1
451	как и	14	1
452	входят в	1	1
453	в некотором	1	1
454	и само	3	1
455	мы отнюдь	2	1
456	или иной	4	1
457	в собственном	3	1
458	к миру	1	1
459	по одному	3	1
460	и именно	1	1
461	о выходе	1	1
462	есть та	1	1
463	и часть	1	1
464	веры и	4	1
465	из чего	2	1
466	одновременно и	1	1
467	и такое	1	1
468	говорить об	2	1
469	все еще	2	1
470	иной раз	3	1
471	до которых	1	1
472	на то	5	1
473	бы эти	1	1
474	для философии	2	1
475	своего существования	1	1
476	ли не	1	1
477	и по	2	1
478	в природе	5	1
479	и я	3	1
480	личности не	1	1
481	там где	1	1
482	в эти	1	1
483	т д	38	1
484	тех пор	3	1
485	и жизнь	1	1
486	или что	1	1
487	и только	6	1
488	что именно	10	1
489	как одна	1	1
490	казалось бы	1	1
491	теорий и	1	1
492	всяком случае	3	1
493	в свете	3	1
494	нисколько не	4	1
495	творения и	1	1
496	о котором	4	1
497	бы мы	1	1
498	сущности а	1	1
499	сравнению с	1	1
500	реальное и	2	1
501	в условиях	2	1
502	духа с	2	1
503	он будет	3	1
504	друг друга	3	1
505	в себя	4	1
506	в движении	1	1
507	в это	4	1
508	для этого	3	1
509	с ее	10	1
510	в известном	1	1
511	более как	1	1
512	и чем	1	1
513	во времени	1	1
514	гораздо более	1	1
515	не просто	20	1
516	он был	1	1
517	не имеет	18	1
518	есть и	14	1
519	и скоро	1	1
520	однако же	1	1
521	одно из	8	1
522	или менее	1	1
523	везде и	1	1
524	и ее	8	1
525	и –	14	1
526	отличаться от	2	1
527	в которые	1	1
528	что жизнь	2	1
529	слова о	1	1
530	в бытии	2	1
531	или все	1	1
532	относиться к	1	1
533	времени так	2	1
534	было с	1	1
535	бы это	3	1
536	грань между	2	1
537	совершенно ясно	2	1
538	обратиться к	1	1
539	в душе	1	1
540	никогда не	9	1
541	нужно верить	1	1
542	еще не	7	1
543	если будет	2	1
544	т н	5	1
