N	2gram	Medvedev_F	Sotsiolo
309	они или	1	1
310	в этих	3	1
311	ровно ничего	1	1
312	сама по	2	1
313	у него	1	1
314	поэтики и	1	1
315	по себе	10	1
316	на отдельные	2	1
317	как художественный	2	1
318	на первый	1	1
319	лингвистику и	2	1
320	перед нами	3	1
321	из тех	1	1
322	очень далеки	1	1
323	историю литературы	3	1
324	изучается имманентно	1	1
325	положительное и	1	1
326	литературе и	2	1
327	какие выработала	1	1
328	все то	1	1
329	хотя бы	10	1
330	же время	13	1
331	наконец в	3	1
332	что на	3	1
333	имманентно с	1	1
334	это не	4	1
335	чуть ли	1	1
336	одной стороны	5	1
337	в связи	11	1
338	поэтика опираясь	1	1
339	бы в	6	1
340	и должно	4	1
341	работы в	1	1
342	в виде	2	1
343	в настоящее	11	1
344	методологической системы	1	1
345	именно в	12	1
346	никогда не	6	1
347	и есть	1	1
348	не может	26	1
349	между ними	3	1
350	и как	6	1
351	наиболее ценная	1	1
352	и какие	1	1
353	место в	8	1
354	как и	18	1
355	изучения и	3	1
356	ничего не	5	1
357	в них	4	1
