N	2gram	Savitsky_P	Analitik
517	конечно и	1	1
518	в наших	1	1
519	любовь и	1	1
520	существенно и	1	1
521	том виде	1	1
522	в национальной	1	1
523	развития в	1	1
524	судить по	1	1
525	характер этого	1	1
526	из тех	1	1
527	зрения исторической	1	1
528	как условие	1	1
529	в которых	5	1
530	в настоящий	3	1
531	определенный и	1	1
532	выступает как	1	1
533	над ним	1	1
534	и резко	2	1
535	ни на	1	1
536	когда ее	1	1
537	них самих	1	1
538	сопоставлении с	1	1
539	только мы	1	1
540	и уже	1	1
541	и теперь	1	1
542	только один	1	1
543	и вся	1	1
544	в это	1	1
545	отношении к	5	1
546	да в	1	1
547	они едины	1	1
548	ощущается как	1	1
549	вопроса и	1	1
550	ни были	1	1
551	этот спор	1	1
552	явлена в	1	1
553	в истории	1	1
554	это имеет	1	1
555	в каком	1	1
556	над собой	1	1
557	переход от	2	1
558	в сфере	2	1
559	если мы	1	1
560	может оказаться	1	1
561	мыслилась как	1	1
562	мире в	1	1
563	бы как	1	1
564	последней в	1	1
565	не одну	1	1
566	в и	1	1
567	на этих	2	1
568	друг друга	1	1
569	опирающаяся на	1	1
570	исключительно в	2	1
571	из этой	1	1
572	и быть	1	1
573	прийти к	1	1
574	но на	1	1
575	в гораздо	4	1
576	что оно	1	1
577	видения в	1	1
578	и многие	1	1
579	тяготеющих к	1	1
580	облечена в	1	1
581	многих других	1	1
582	поскольку мы	1	1
583	предпосылки в	1	1
584	церкви в	1	1
585	к соединению	1	1
586	к первой	1	1
587	в формах	1	1
588	мы вполне	1	1
589	при виде	1	1
590	и некоторых	1	1
591	и личности	1	1
592	начала в	1	1
593	на нее	1	1
594	можно быть	1	1
595	было в	2	1
596	в бытии	1	1
597	мнения о	1	1
598	бы оно	1	1
599	ничего более	1	1
600	как она	1	1
601	помнить что	2	1
602	и само	1	1
603	о с	2	1
604	нисколько не	1	1
605	идеи и	1	1
606	что именуется	1	1
607	в г	1	1
608	каково же	1	1
609	также что	1	1
610	и других	2	1
611	план в	1	1
612	она являет	1	1
613	она должна	1	1
614	на свои	1	1
615	под покровом	1	1
616	усомниться в	1	1
617	в наши	1	1
618	выражению не	1	1
619	этом мире	1	1
620	собою как	1	1
621	есть нечто	2	1
622	есть как	1	1
623	связана с	1	1
624	может помешать	1	1
625	не главного	1	1
626	есть и	1	1
627	к смерти	1	1
628	в трех	1	1
629	веры в	1	1
630	стороны и	2	1
631	только то	1	1
632	л о	1	1
633	числе и	1	1
634	промежуток времени	1	1
635	что если	1	1
636	реальность в	1	1
637	возвращением к	1	1
638	происходящего в	1	1
639	науки как	1	1
640	в виде	2	1
641	момента и	1	1
642	заключен в	1	1
643	можно судить	1	1
644	протекает не	1	1
645	общественной и	1	1
646	это в	1	1
647	творения в	1	1
648	само по	1	1
649	а н	5	1
650	в е	2	1
651	из двух	1	1
652	мира с	2	1
653	а я	5	1
654	являются наиболее	1	1
