N	2gram	Tiupa_Teor	KFilosof
418	что делает	1	1
419	была бы	3	1
420	со всех	1	1
421	не своей	1	1
422	художественного творчества	5	1
423	и нераздельное	1	1
424	она лишь	1	1
425	хотя и	4	1
426	содержит в	1	1
427	как раз	3	1
428	ты и	1	1
429	в литературе	4	1
430	к такому	1	1
431	предполагает не	1	1
432	с чем	2	1
433	ее в	2	1
434	а затем	2	1
435	и сама	1	1
436	и одна	1	1
437	и через	1	1
438	я во	2	1
439	можно сказать	5	1
440	систему ценностей	1	1
441	только при	1	1
442	не содержит	1	1
443	не субъективно	1	1
444	одно из	1	1
445	может оставаться	1	1
446	картина мира	6	1
447	смысле можно	1	1
448	в отношении	4	1
449	в результате	1	1
450	или иную	2	1
451	не от	2	1
452	имеем не	1	1
453	им с	1	1
454	мире можно	2	1
455	противоречие между	1	1
456	противоречие с	1	1
457	с собой	1	1
458	в третьем	1	1
459	бытию и	1	1
460	между жизнью	1	1
461	к предмету	1	1
462	высшей ценностью	1	1
463	не путем	1	1
464	жизни что	1	1
465	не была	1	1
466	не сможет	1	1
467	к настоящему	1	1
468	в конечном	6	1
469	их не	1	1
470	в зависимости	1	1
471	и даже	2	1
472	к его	3	1
473	видения в	1	1
474	бы для	1	1
475	эстетической деятельности	2	1
476	но он	4	1
477	не более	1	1
478	до этого	1	1
479	в которой	3	1
480	или в	3	1
481	в первом	2	1
482	отношения являются	1	1
483	сознание не	1	1
484	от своего	2	1
485	с ней	1	1
486	освобождения от	1	1
487	жизнь в	1	1
488	ее действительного	1	1
489	становления и	1	1
490	две строфы	2	1
491	мысль о	1	1
492	позицию по	1	1
493	всю жизнь	1	1
494	и будет	1	1
495	превращается в	2	1
496	за свою	1	1
497	включен в	1	1
498	конечном счете	6	1
499	к такой	2	1
500	не допуская	1	1
501	даль и	2	1
502	если он	1	1
503	внимание в	1	1
504	но само	1	1
505	между прочим	1	1
506	и исторической	1	1
507	тем же	2	1
508	своей структуре	1	1
509	причастности к	3	1
510	в какой	2	1
511	имеет место	3	1
512	жизнь на	2	1
513	имеет дело	2	1
514	их в	3	1
515	вследствие того	1	1
516	а именно	3	1
517	большинстве случаев	1	1
518	его я	2	1
519	как другого	1	1
520	одновременно и	1	1
521	вместе с	2	1
522	на этом	2	1
523	при таком	1	1
524	определяет его	1	1
525	в этих	4	1
526	никто не	3	1
527	противном случае	2	1
528	человек со	1	1
529	связи между	1	1
530	они не	1	1
531	к бытию	1	1
532	активностью в	1	1
533	своему смыслу	1	1
534	приводит к	6	1
535	предмета и	1	1
536	я есть	5	1
537	остановимся на	1	1
538	полноте и	1	1
539	тем или	2	1
540	отличается от	2	1
541	между собой	3	1
542	больше и	1	1
543	действительную жизнь	1	1
544	в иной	3	1
545	между ними	6	1
546	зависимости от	1	1
547	между ним	1	1
548	на его	1	1
549	в известном	2	1
550	для героя	1	1
551	точек зрения	1	1
552	научной истины	1	1
553	а только	4	1
554	делает его	2	1
555	и смыслы	1	1
556	об этом	2	1
557	единство и	1	1
558	она и	1	1
559	культуры в	3	1
560	заданности и	2	1
561	целого и	1	1
562	за его	1	1
563	к тому	4	1
564	в одной	1	1
565	особенно в	1	1
566	действительности и	1	1
567	включая и	1	1
568	вживания в	1	1
569	бы ни	1	1
570	его эстетической	3	1
571	лишь однажды	1	1
572	с этим	1	1
573	только одно	1	1
574	сам же	2	1
575	остается лишь	1	1
576	остается в	1	1
577	можно в	1	1
578	должен был	1	1
579	здесь как	1	1
580	к смыслу	2	1
581	все и	1	1
582	том случае	1	1
583	существенный момент	1	1
584	нуждается в	1	1
585	ясность и	1	1
586	не является	5	1
587	не существует	1	1
588	шире и	1	1
589	но с	1	1
590	только к	1	1
591	жизни а	2	1
592	же я	1	1
593	осуществляется в	1	1
594	в действительности	1	1
595	и такие	1	1
596	мире других	1	1
597	значимые и	1	1
598	лицом и	1	1
599	жизни я	1	1
600	на задний	1	1
601	в последней	2	1
602	совершенно иной	2	1
603	этой своей	1	1
604	в лучшем	1	1
605	более чем	1	1
606	не решает	1	1
607	заключать в	1	1
608	это событие	1	1
609	границы и	1	1
610	чего нет	1	1
611	помимо его	1	1
612	совпадает с	4	1
613	каким бы	1	1
614	значимость в	1	1
615	ему и	1	1
616	его полноте	1	1
617	и передачи	1	1
618	не тот	1	1
619	и иных	2	1
620	также и	1	1
621	ту же	1	1
622	неслиянное и	1	1
623	но во	2	1
624	из жизни	1	1
625	этом пути	1	1
626	как ученый	2	1
627	субъекта и	4	1
628	вмещает в	1	1
629	эти стороны	1	1
630	а через	1	1
631	просто не	1	1
632	по поводу	1	1
633	слова и	1	1
634	содержания не	1	1
635	в искусстве	9	1
636	с которой	1	1
637	на чем	1	1
638	и теперь	1	1
639	не могло	2	1
640	не носит	1	1
641	только на	2	1
642	другим и	1	1
643	в которую	1	1
644	он должен	3	1
645	не с	3	1
646	все с	1	1
647	может служить	2	1
648	в противоречие	1	1
649	я для	1	1
650	и эстетической	2	1
651	в различных	1	1
652	нового времени	3	1
653	отношений между	1	1
654	всего что	1	1
655	в форме	4	1
656	же самое	1	1
657	но только	1	1
658	ориентирована на	1	1
659	говоря о	3	1
660	не об	1	1
661	данности бытия	1	1
662	и до	1	1
663	ту или	2	1
664	в истории	1	1
665	последних двух	1	1
666	всю полноту	1	1
667	и находит	1	1
668	по своей	8	1
669	и религии	1	1
670	этих случаях	1	1
671	это может	2	1
672	в большинстве	2	1
673	свою очередь	3	1
674	видения мира	2	1
675	не совпадает	1	1
676	содержания в	1	1
677	еще на	1	1
678	и себя	1	1
679	когда мы	1	1
680	способу мышления	1	1
681	единицы и	1	1
682	а тем	1	1
683	принципиально иной	1	1
684	ее смысл	1	1
685	поскольку оно	1	1
686	я это	1	1
687	задний план	1	1
688	некое эстетическое	1	1
689	я в	18	1
690	и эстетического	1	1
691	я как	2	1
692	не становится	1	1
693	это существенно	1	1
694	и где	1	1
695	не подлежит	1	1
696	известном смысле	2	1
697	мышления но	1	1
698	не для	1	1
699	настоящее время	1	1
700	я с	5	1
701	с собою	1	1
702	выбора все	1	1
703	она может	1	1
704	и каждая	1	1
705	своей жизни	2	1
706	если мы	2	1
707	бытия я	1	1
708	той же	1	1
709	и др	3	1
710	человеческой жизни	3	1
711	о его	2	1
712	жизнь других	1	1
713	но прежде	1	1
714	произведения не	1	1
715	всех сторон	1	1
716	одной из	2	1
717	и абсолютная	1	1
718	ее мышления	1	1
719	места для	2	1
720	что может	2	1
721	человека как	1	1
722	в нашем	4	1
723	значительной степени	2	1
724	все моменты	1	1
725	ее можно	1	1
726	как я	1	1
727	субъектом и	1	1
728	лишь путем	1	1
729	в первой	6	1
730	и от	1	1
731	что все	1	1
732	с которым	1	1
733	столь же	3	1
734	том же	1	1
735	к миру	1	1
736	же в	1	1
737	единством а	1	1
738	что она	2	1
739	к пониманию	1	1
740	исходит из	1	1
741	и о	5	1
742	в значительной	2	1
743	с нашим	1	1
744	говорить об	1	1
745	одна из	1	1
746	оно становится	1	1
747	момент свершения	1	1
748	на то	1	1
749	так называемые	1	1
750	не мыслится	1	1
751	себе самому	1	1
752	здесь и	1	1
753	лирический герой	3	1
754	и по	3	1
755	я люблю	1	1
756	в противном	2	1
757	данном контексте	2	1
758	как себя	1	1
759	зрения автора	1	1
760	вся система	1	1
761	в эстетическую	1	1
762	культуры как	1	1
763	задана как	1	1
764	понятие о	3	1
765	в точке	3	1
766	к этим	1	1
767	события она	1	1
768	друг друга	1	1
769	лучшем случае	1	1
770	в системе	2	1
771	того же	4	1
772	и объект	1	1
773	не просто	2	1
774	нет не	1	1
775	не случайно	5	1
776	в настоящее	1	1
777	жизни не	1	1
778	и т.п	7	1
779	жизнью и	1	1
780	как мы	1	1
781	и иные	1	1
782	расположение их	1	1
783	возможна только	1	1
784	своего развития	1	1
785	ее не	1	1
786	бытия чтобы	1	1
787	могли быть	1	1
788	во второй	7	1
