N	2gram	Propp_Morf	PoTuStor
454	на это	1	1
455	с другой	9	1
456	в рамках	1	1
457	и три	1	1
458	известной степени	1	1
459	ничего общего	1	1
460	что же	2	1
461	как на	1	1
462	его хорошо	1	1
463	же самое	1	1
464	вступают в	3	1
465	что здесь	1	1
466	в эту	1	1
467	в точности	5	1
468	без всякого	2	1
469	заметить что	11	1
470	не совсем	1	1
471	ее не	1	1
472	однако в	2	1
473	она может	1	1
474	их мы	1	1
475	главным образом	5	1
476	друг другу	1	1
477	которые в	1	1
478	на других	1	1
479	бы он	1	1
480	о его	4	1
481	этом и	1	1
482	характерен для	1	1
483	что я	1	1
484	в высшей	1	1
485	в нашем	6	1
486	с этими	1	1
487	во многих	1	1
488	действительно не	1	1
489	материал в	1	1
490	или иной	1	1
491	же в	3	1
492	что она	2	1
493	например о	1	1
494	всех внешних	1	1
495	мы останавливаться	1	1
496	одна из	5	1
497	если они	2	1
498	деле в	1	1
499	право на	2	1
500	этот момент	5	1
501	следует заметить	2	1
502	его к	1	1
503	их на	2	1
504	для достижения	1	1
505	коем случае	1	1
506	сказать о	2	1
507	друг с	1	1
508	это уже	3	1
509	или при	2	1
510	что иное	2	1
511	мы должны	3	1
512	настоящая работа	1	1
513	но так	2	1
514	мы еще	1	1
515	дело обстоит	1	1
516	чем это	2	1
517	себя в	2	1
518	точку зрения	1	1
519	тот же	1	1
520	ничего не	5	1
521	можно указать	3	1
522	иное как	2	1
523	что до	2	1
524	из этой	1	1
525	мы скажем	1	1
526	к нему	3	1
527	высшей степени	1	1
