N	2gram	Vinokur_Ku	NovoeSre
170	как будто	2	2
171	в природе	1	2
172	но не	11	2
173	в то	4	2
174	культуры она	1	2
175	должно было	1	2
176	в новом	1	2
177	том что	30	2
178	ведь и	2	2
179	так же	8	2
180	и это	3	2
181	в смысле	2	2
182	но для	4	2
183	себя в	1	2
184	но в	11	2
185	мысли в	1	2
186	мысли и	1	2
187	может уже	1	2
188	к более	1	2
189	войны и	1	2
190	в той	6	1
191	революция не	1	1
192	вопрос об	1	1
193	новой эпохи	1	1
194	своего рода	4	1
195	в самом	20	1
196	во всем	1	1
197	к одному	2	1
198	имеют уже	2	1
199	нет ничего	1	1
200	они являются	1	1
201	для борьбы	1	1
202	и того	2	1
203	от нее	1	1
204	но тут	1	1
205	но можно	2	1
206	может иметь	3	1
207	том случае	3	1
208	на западе	1	1
209	можно сказать	6	1
210	и мысли	2	1
211	то он	1	1
212	все что	1	1
213	значение все	1	1
214	социальной жизни	3	1
215	то они	1	1
216	во все	2	1
217	но оно	2	1
218	в более	2	1
219	это конечно	2	1
220	до сих	5	1
221	свою энергию	1	1
222	образования и	1	1
223	бы к	1	1
224	в старых	1	1
225	и более	3	1
226	сельскому хозяйству	1	1
227	бы он	1	1
228	и этот	1	1
229	в котором	4	1
230	по природе	1	1
231	по преимуществу	3	1
232	жизни для	1	1
233	значение в	1	1
234	есть признак	1	1
235	нет уже	1	1
236	то это	3	1
237	выходит за	2	1
238	ничем не	1	1
239	в статье	3	1
240	что этот	2	1
241	отличие от	3	1
242	все ее	1	1
243	возможно лишь	1	1
244	же и	4	1
245	ни за	1	1
246	они не	4	1
247	из них	4	1
248	на нем	1	1
249	обратная сторона	1	1
250	также что	2	1
251	случае если	3	1
252	и сейчас	3	1
253	свидетельствует о	3	1
254	он также	1	1
255	мы уже	1	1
256	которая в	1	1
257	переходит в	2	1
258	и философы	1	1
259	то никогда	1	1
260	и старые	1	1
261	я пытаюсь	2	1
262	уже в	5	1
263	эти слова	1	1
264	не политический	1	1
265	к себе	4	1
266	в свою	4	1
267	в состоянии	2	1
268	для себя	1	1
269	из этих	5	1
270	во всяком	8	1
271	процесс в	1	1
272	смысле в	1	1
273	и поставил	1	1
274	не хочу	2	1
275	не должно	2	1
276	но во	1	1
277	но также	6	1
278	природе своей	1	1
279	для того	23	1
280	в каких	2	1
281	это я	1	1
282	вопросу о	4	1
283	быть не	2	1
284	к старой	1	1
285	не для	2	1
286	только мгновение	1	1
287	уступить место	2	1
288	думаю что	4	1
289	это значит	1	1
290	не всегда	4	1
291	а это	5	1
292	это уже	1	1
293	он и	1	1
294	что вся	2	1
295	или нет	1	1
296	было бы	28	1
297	мы должны	2	1
298	себе отношения	1	1
299	в сущности	11	1
300	в мировую	1	1
301	совершающееся в	1	1
302	в недрах	1	1
303	в его	16	1
304	когда она	1	1
305	к тем	1	1
306	народов и	1	1
307	мы в	3	1
308	но ведь	3	1
309	и вся	1	1
310	девять десятых	1	1
311	мировую войну	1	1
312	значение для	1	1
313	социальное значение	1	1
314	должны быть	4	1
315	и их	2	1
316	в которую	1	1
317	говорить о	5	1
318	не с	4	1
319	одному из	1	1
320	есть и	1	1
321	просвещения и	1	1
322	как результат	1	1
323	этот переход	1	1
324	и распадается	1	1
325	совершенно невозможно	1	1
326	у нас	19	1
327	не достигается	1	1
328	и когда	2	1
329	для них	2	1
330	не столько	2	1
331	было то	1	1
332	говорит что	1	1
333	они будут	1	1
334	вопроса о	7	1
335	в виду	7	1
336	или к	1	1
337	политике и	1	1
338	превращается в	4	1
339	духовной культуры	2	1
340	нужно будет	1	1
341	жадность к	1	1
342	чтобы эти	1	1
343	и развивается	1	1
344	и такое	1	1
345	только в	15	1
346	не на	4	1
347	не могут	5	1
348	общества конечно	1	1
349	есть уже	1	1
350	под этим	2	1
351	от того	5	1
352	он есть	3	1
353	сам этот	1	1
354	она становится	1	1
355	в зависимости	7	1
356	творчества и	1	1
357	в большинстве	3	1
358	было и	1	1
359	оно не	5	1
360	их не	1	1
361	потребность в	3	1
362	хочет и	1	1
363	партии в	1	1
364	что нет	2	1
365	как например	3	1
366	а на	3	1
367	политика должна	1	1
368	о природе	1	1
369	сами по	2	1
370	он конечно	1	1
371	это всегда	1	1
372	всего что	2	1
373	говорим о	3	1
374	или не	1	1
375	но он	2	1
376	есть проблема	1	1
377	глубже то	1	1
378	значение и	2	1
379	политика в	3	1
380	в которой	7	1
381	смысле как	1	1
382	и а	2	1
383	не хотел	1	1
384	в этой	8	1
385	жизни это	1	1
386	этого не	5	1
387	а во-вторых	2	1
388	вот что	1	1
389	что ничего	3	1
390	к чему	1	1
391	старых эпох	1	1
392	способ выражения	1	1
393	я думаю	1	1
394	человеческой жизни	1	1
395	времени его	1	1
396	а по	1	1
397	а также	3	1
398	и еще	4	1
399	жизнь в	2	1
400	что его	2	1
401	как на	4	1
402	в отличие	3	1
403	явление в	1	1
404	будто бы	3	1
405	культуры но	1	1
406	возможно что	1	1
407	общества мы	1	1
408	теперь и	1	1
409	во многом	2	1
410	вопрос этот	3	1
411	всегда есть	1	1
412	переход от	4	1
413	из всех	1	1
414	в силах	2	1
415	менее всего	1	1
416	быть только	3	1
417	что не	10	1
418	но все	5	1
419	от вопроса	1	1
420	он видел	1	1
421	тем что	9	1
422	что такова	1	1
423	россии и	1	1
424	и продолжал	1	1
425	и во	1	1
426	и культур	1	1
427	не хочет	2	1
428	только одна	1	1
429	к этой	3	1
430	свое и	1	1
431	но нет	1	1
432	лишь к	2	1
433	с большим	4	1
434	это время	1	1
435	в конце	5	1
436	вообще не	2	1
437	или иная	1	1
438	чтобы быть	2	1
439	но переходит	1	1
440	тогда начинается	1	1
441	выход из	2	1
442	них не	1	1
443	так как	16	1
444	смысле и	2	1
445	к которому	3	1
446	в своем	4	1
447	процессы в	1	1
448	давно уже	2	1
449	характер и	2	1
450	я могу	1	1
451	в последние	1	1
452	как я	2	1
453	есть по	1	1
454	лишь на	1	1
455	долгое время	1	1
456	к деревне	1	1
457	сих пор	5	1
458	что он	7	1
459	явление он	1	1
460	на себя	3	1
461	опыт русской	1	1
462	бы сказать	3	1
463	самая постановка	1	1
464	учит нас	1	1
465	их в	1	1
466	в силу	16	1
467	он может	1	1
468	большинстве случаев	3	1
469	в атмосфере	2	1
470	что мы	6	1
471	и вместе	1	1
472	власти в	1	1
473	далеко еще	1	1
474	в этих	5	1
475	в период	1	1
476	я хочу	1	1
477	он свои	1	1
478	том смысле	2	1
479	и русский	2	1
480	но если	2	1
481	по себе	10	1
482	приводит к	3	1
483	только для	3	1
484	не имел	1	1
485	на место	1	1
486	в области	15	1
487	и другая	1	1
488	делается в	1	1
489	в такой	2	1
490	все более	2	1
491	нуждается в	5	1
492	все другие	1	1
493	с ним	5	1
494	и только	2	1
495	что само	2	1
496	этой теме	1	1
497	который я	1	1
498	есть только	1	1
499	себя все	1	1
500	к той	1	1
501	всяком случае	8	1
502	этих терминов	1	1
503	протекает и	1	1
504	коммунизм и	1	1
505	все слова	1	1
506	зависимости от	9	1
507	та или	1	1
508	идей и	1	1
509	только потому	13	1
510	в эти	1	1
511	начало новой	1	1
512	к вопросу	4	1
513	в это	3	1
514	того же	6	1
515	в известном	2	1
516	в каком-то	1	1
517	тут мы	1	1
518	газетных статьях	1	1
519	знает что	1	1
520	на их	1	1
521	не случайно	7	1
522	борьба за	3	1
523	в чем	2	1
524	в каком	6	1
525	нет в	2	1
526	не был	2	1
527	движения и	1	1
528	дальше и	1	1
529	вполне возможно	1	1
530	и скоро	1	1
531	есть своя	1	1
532	и его	8	1
533	что вообще	1	1
534	слова в	7	1
535	и у	3	1
536	одного и	2	1
537	на это	3	1
538	но до	1	1
539	себе и	3	1
540	был в	2	1
541	понять что	1	1
542	партии и	1	1
543	тогда не	1	1
544	гораздо больше	1	1
545	всех народов	1	1
546	лишь по	1	1
547	совершается в	1	1
548	связано с	3	1
549	от этого	4	1
550	ко времени	1	1
551	который и	1	1
552	ему все	1	1
553	себя и	1	1
554	к нему	1	1
555	становится в	1	1
556	чтобы понять	1	1
557	на них	1	1
