N	2gram	Tiupa_Teor	EvropaiE
535	состоит в	22	1
536	лишь в	10	1
537	чем это	2	1
538	в рамках	13	1
539	на которые	1	1
540	этого мира	1	1
541	числе и	2	1
542	в отличие	7	1
543	он в	1	1
544	мира имеет	1	1
545	соответствии с	2	1
546	каждой из	1	1
547	одного из	1	1
548	она может	1	1
549	что для	1	1
550	та или	1	1
551	него не	1	1
552	затем в	1	1
553	для такого	2	1
554	революции в	1	1
555	друг другу	1	1
556	той же	1	1
557	которые в	1	1
558	а блок	1	1
559	как столь	1	1
560	и ее	4	1
561	свести к	1	1
562	что может	2	1
563	тот же	1	1
564	в нашем	4	1
565	к которому	3	1
566	с собой	1	1
567	по этому	1	1
568	то она	1	1
569	с которым	1	1
570	является весьма	1	1
571	в сознании	1	1
572	а впоследствии	1	1
573	бытия и	1	1
574	приобщения к	1	1
575	и о	5	1
576	ближайшего к	1	1
577	который в	2	1
578	одна из	1	1
579	включает в	2	1
580	с его	6	1
581	и его	11	1
582	реальность и	1	1
583	которая способна	1	1
584	тех или	3	1
585	в противном	2	1
586	что даже	1	1
587	существенное значение	1	1
588	в отдельных	1	1
589	эти два	1	1
590	в нем	7	1
591	если мы	2	1
592	лучшем случае	1	1
593	для этого	1	1
594	с ее	4	1
595	большей степени	1	1
596	к какой	1	1
597	то или	1	1
598	означает что	1	1
599	в самой	2	1
600	они могут	1	1
601	традиции как	1	1
602	настоящего времени	1	1
603	пришлось бы	1	1
604	это случается	1	1
605	одного и	4	1
606	возможность которого	1	1
607	жизнью и	1	1
608	степени и	1	1
609	его можно	1	1
610	своего развития	1	1
