N	2gram	Savitsky_P	Istorich
217	и и	2	7
218	что оно	1	7
219	где он	1	7
220	в начале	2	7
221	еще в	1	7
222	в области	11	7
223	по всему	1	7
224	те же	1	7
225	во многих	1	7
226	связь между	1	7
227	как на	2	7
228	он живет	1	7
229	в европе	2	7
230	также в	1	7
231	того чтобы	1	7
232	если мы	1	7
233	всяком случае	1	7
234	как она	1	7
235	в какой	1	7
236	думать что	2	7
237	в большинстве	1	7
238	и о	5	7
239	есть не	2	7
240	не могла	1	6
241	к сожалению	1	6
242	что по	1	6
243	нет ничего	1	6
244	одна сторона	1	6
245	в русском	2	6
246	этих двух	1	6
247	отличие от	1	6
248	ей в	3	6
249	также и	1	6
250	для того	3	6
251	сводится к	3	6
252	к небу	1	6
253	к жизни	1	6
254	что все	1	6
255	к чему	2	6
256	были бы	1	6
257	отношения к	2	6
258	коротко ли	1	6
259	исторического прошлого	1	6
260	а я	5	6
261	видим в	1	6
262	и уже	1	6
263	мы и	1	5
264	и очень	1	5
265	только как	1	5
266	она всегда	1	5
267	и мы	2	5
268	с ее	1	5
269	для них	2	5
270	да и	2	5
271	о котором	1	5
272	в каком	1	5
273	что если	1	5
274	в которую	2	5
275	в отличие	1	5
276	она может	1	5
277	что во	1	5
278	не означает	1	5
279	еще более	2	5
280	в одно	1	5
281	всего что	1	5
282	ней и	1	5
283	прийти к	1	5
284	xix века	6	5
285	что от	1	5
286	где уже	1	5
287	друг другу	2	5
288	переходит в	1	5
289	вот как	1	5
290	никак не	2	5
291	пути в	2	5
292	эта задача	1	5
293	том числе	2	5
294	это в	1	5
295	момент когда	1	5
296	что из	2	5
297	в самом	1	4
298	е с	6	4
299	происходит и	1	4
300	в результате	1	4
301	в мир	1	4
302	каждый из	1	4
303	на пути	4	4
304	формы в	1	4
305	во всей	2	4
306	что именно	1	4
307	что уже	1	4
308	бы что	1	4
309	того кто	1	4
310	что есть	1	4
311	отнюдь не	2	4
312	от нее	1	4
313	сами по	3	4
314	по сравнению	2	4
315	с которой	1	4
316	находятся в	1	4
317	но на	1	4
318	есть в	2	4
319	он пришел	1	4
320	особенно в	1	4
321	тем более	2	4
322	в народе	1	4
323	человека с	1	4
324	что было	1	4
325	мысль о	2	4
326	ведет к	1	4
327	когда в	1	4
328	время в	2	4
329	с точки	3	4
330	как раз	2	4
331	что происходит	1	4
332	не будут	1	4
333	в наших	1	4
334	столь же	3	4
335	ни к	1	4
336	при существовании	1	4
337	в древней	1	4
338	многих других	1	4
339	и через	1	4
340	в тот	2	4
341	всего мы	1	4
342	нисколько не	1	4
343	за то	1	4
344	или его	1	4
345	только то	1	4
346	идут от	1	4
347	является в	2	3
348	эти черты	1	3
349	смысл этого	1	3
350	казалось бы	1	3
351	смерти но	1	3
352	борьбе с	1	3
353	есть знак	1	3
354	переход от	2	3
355	из всех	1	3
356	образом на	2	3
357	под его	1	3
358	могли бы	1	3
359	и быть	1	3
360	бы она	1	3
361	в иных	1	3
362	и пусть	2	3
363	того света	1	3
364	что явление	1	3
365	только мы	1	3
366	тех пор	1	3
367	только один	1	3
368	на основании	1	3
369	кто был	1	3
370	тем же	1	3
371	о смысле	1	3
372	как к	1	3
373	и многие	1	3
374	богом и	1	3
375	них и	1	3
376	и я	1	3
377	живых и	1	3
378	материалы и	1	3
379	рассматривать как	1	3
380	индия и	1	3
381	вопросом о	1	3
382	взять на	1	3
383	чтобы дать	1	3
384	в борьбе	1	3
385	из нее	1	3
386	явление и	1	3
387	как оно	1	3
388	духа и	2	3
389	никакого сомнения	1	3
390	должно быть	2	3
391	есть у	1	3
392	сколько бы	2	3
393	входят в	1	3
394	и именно	1	3
395	есть та	1	3
396	чтобы понять	1	3
397	именно как	2	3
398	в наши	1	3
399	ему на	1	3
400	может идти	1	3
401	все основные	1	3
402	сомнения что	2	3
403	с которым	1	3
404	пр есть	1	3
405	которые были	1	3
406	представить себе	1	3
407	такова же	1	3
408	оказывается в	1	3
409	оно есть	1	3
410	он будет	1	3
411	в которые	1	3
412	сравнению с	1	3
413	эта мысль	1	3
414	подошел к	2	3
415	жизни народа	1	3
416	е к	1	3
417	из этой	1	3
418	в предыдущем	1	3
419	в формах	1	3
420	из числа	1	3
421	в церковь	1	3
422	из двух	1	3
423	в эпоху	1	3
424	она должна	1	3
425	которую мы	2	3
426	идет речь	1	3
427	в эти	1	3
428	само по	1	3
429	они являются	1	2
430	был и	1	2
431	выражена в	1	2
432	живого и	1	2
433	вопросу о	1	2
434	думается что	1	2
435	церковь и	1	2
436	к другим	1	2
437	и другим	1	2
438	пути к	1	2
439	выражены в	1	2
440	прямо на	1	2
441	и должна	1	2
442	и чистоте	1	2
443	в прошлом	1	2
444	и еще	1	2
445	к смерти	1	2
446	воздух и	1	2
447	по-видимому не	2	2
448	в сборнике	1	2
449	и мертвых	1	2
450	касается не	1	2
451	процесс этот	1	2
452	как по	1	2
453	можно судить	1	2
454	следует понимать	1	2
455	по одному	1	2
456	этот вывод	1	2
457	не нужно	2	2
458	вопрос об	1	2
459	в каждом	1	2
460	выступает в	1	2
461	есть признак	1	2
462	для тех	2	2
463	в развитии	1	2
464	одно и	1	2
465	не были	1	2
466	тем и	1	2
467	быть именно	1	2
468	многих случаях	1	2
469	современной европейской	2	2
470	бы ни	2	2
471	и никому	1	2
472	как условие	1	2
473	менее ясно	1	2
474	том мире	1	2
475	нет никакого	1	2
476	что делать	1	2
477	можно дать	1	2
478	характер этого	1	2
479	эти явления	1	2
480	выступает как	1	2
481	и вся	1	2
482	да в	1	2
483	нигде в	1	2
484	относиться к	1	2
485	это сделать	1	2
486	с американскими	1	2
487	обратиться к	1	2
488	и злая	1	2
489	к формам	1	2
490	хозяйственной жизни	1	2
491	что с	1	2
492	этом не	1	2
493	за тем	1	2
494	стремление к	1	2
495	перед тем	1	2
496	в полной	2	2
497	как таковые	1	2
498	как явление	1	2
499	числе и	1	2
500	и ясный	1	2
501	в ходе	1	2
502	место в	1	2
503	может и	2	2
504	задач мы	1	2
505	сказывается в	2	2
506	можно говорить	1	2
507	в момент	1	2
508	вопроса необходимо	1	2
509	что дело	1	2
510	помнить что	2	2
511	к более	1	2
512	не дается	1	2
513	духа в	1	2
514	одновременно и	1	2
515	них в	1	2
516	в обстановке	7	2
517	душа и	1	2
518	которых не	1	2
519	говорить о	2	2
520	и недостаточно	1	2
521	богов и	1	2
522	и леса	1	2
523	подчеркнуть что	1	2
524	и современная	1	2
525	как женщина	1	2
526	не о	2	2
527	к следующему	1	2
528	в мире	2	2
529	какой обстановке	1	2
530	е если	1	2
531	поскольку они	1	2
532	именно потому	1	2
533	не более	1	2
534	и крылья	1	2
535	ее нужно	1	2
536	в лесах	1	2
537	хозяйственной и	1	2
538	его нет	1	2
539	как одна	1	2
540	уяснить себе	1	2
541	связывается с	1	2
542	есть нечто	2	2
543	и силы	1	2
544	выражается в	1	2
545	бы нас	1	2
546	традиции в	1	2
547	каждый в	2	2
548	мы хотим	1	2
549	только это	2	2
550	к миру	1	2
551	в поиски	1	2
552	это значение	1	2
553	в и	1	2
554	мы возьмем	1	2
555	положение что	1	2
556	мире в	1	2
557	многие из	1	2
558	в рамках	1	2
559	и где	1	2
560	мира а	1	2
561	обе эти	1	2
562	и тех	1	2
563	более чем	2	2
564	могут дать	1	2
565	нужно было	2	2
566	частности в	1	2
567	именно здесь	1	2
568	на заре	1	2
569	чем к	1	2
570	не к	2	2
571	у моря	1	1
572	как ненужные	1	1
573	народа его	2	1
574	и вслед	1	1
575	какой бы	1	1
576	государство и	1	1
577	к историческому	1	1
578	чтобы в	1	1
579	весьма вероятно	2	1
580	и азии	1	1
581	именно о	1	1
582	иначе как	1	1
583	к народу	1	1
584	в порядке	3	1
585	в природе	1	1
586	это от	1	1
587	говорится о	1	1
588	себя воздух	1	1
589	над собой	1	1
590	было и	1	1
591	века в	1	1
592	и иных	1	1
593	должна была	1	1
594	в государство	1	1
595	мы все	1	1
596	не исключает	1	1
597	формах и	1	1
598	у д	1	1
599	ii в	2	1
600	в значительной	2	1
601	стоят по	1	1
602	отдельности и	1	1
603	века но	1	1
604	европы и	1	1
605	не два	1	1
606	всей широте	1	1
607	собой его	1	1
608	в человеческих	1	1
609	или иным	1	1
610	земель и	1	1
611	при сохранении	1	1
612	у каждого	1	1
613	как общество	1	1
614	глаза на	1	1
615	есть с	1	1
616	именно во	1	1
617	тем больше	1	1
618	бога не	1	1
619	различных формах	1	1
620	не очень	1	1
621	из важнейших	2	1
622	жива и	1	1
623	или иная	1	1
624	развитие в	1	1
625	в чистоте	1	1
626	на какие	1	1
627	вторая сторона	1	1
628	с формами	1	1
629	взятые в	1	1
630	и дети	2	1
631	и весьма	2	1
632	европы в	1	1
633	идти в	1	1
634	где в	2	1
635	в историческом	1	1
636	к первому	1	1
637	тот или	1	1
638	так называемые	2	1
639	она оказывается	1	1
640	не ограничиваются	1	1
641	приобщается к	1	1
642	народов древности	1	1
643	существует но	1	1
644	в процесс	1	1
645	о соединении	1	1
646	исторического бытия	1	1
647	теперь в	2	1
648	хозяйство и	3	1
649	два явления	1	1
650	в отношении	10	1
651	этого процесса	1	1
652	что церковь	1	1
653	древнего востока	1	1
654	идет именно	1	1
655	другие народы	2	1
656	относящиеся к	1	1
657	для каждого	1	1
658	ли не	1	1
659	экономики и	5	1
660	отчасти и	1	1
661	собой переход	1	1
662	современности в	1	1
663	везде и	1	1
664	широко и	1	1
665	составляют часть	1	1
666	облечена в	1	1
667	ни на	1	1
668	можно рассматривать	1	1
669	как начало	1	1
670	них самих	1	1
671	власть и	1	1
672	что смена	2	1
673	на плечи	1	1
674	света в	2	1
675	не связаны	1	1
676	более как	1	1
677	вся лесная	1	1
678	ранних и	1	1
679	может ли	2	1
680	на две	1	1
681	наука и	1	1
682	во времени	1	1
683	исключительно в	2	1
684	дать еще	1	1
685	два разных	1	1
686	знать что	2	1
687	мир в	1	1
688	может не	1	1
689	эта не	1	1
690	наших глазах	1	1
691	некоторые ее	1	1
692	народов как	1	1
693	в определенном	1	1
694	и всегда	1	1
695	и некоторых	1	1
696	мост ведущий	1	1
697	более что	1	1
698	на фоне	1	1
699	в условиях	1	1
700	и без	3	1
701	как задачи	1	1
702	бы это	1	1
703	мир с	1	1
704	как ни	1	1
705	пр в	1	1
706	последствий для	1	1
707	е и	3	1
708	пусть не	1	1
709	кто не	1	1
710	веры в	1	1
711	пространство в	1	1
712	причины почему	1	1
713	имеет к	1	1
714	или иной	1	1
715	в земледельческом	1	1
716	в задачах	1	1
717	которая и	1	1
718	два основных	1	1
719	бесконечное количество	1	1
720	правила и	1	1
721	особый и	2	1
722	ней не	2	1
723	друга на	1	1
724	тех кто	4	1
725	из авторов	1	1
726	которой в	1	1
727	жить и	1	1
728	что то	1	1
729	это значит?	1	1
730	люди и	1	1
731	это такое	1	1
732	значения но	1	1
733	и злой	1	1
734	давно уже	1	1
735	могут достичь	1	1
736	об отношении	1	1
737	наша задача	1	1
738	или что	1	1
739	ценности и	1	1
740	тому на	1	1
741	на наш	1	1
742	общения человека	1	1
743	в реальной	1	1
744	были в	1	1
745	и духовный	1	1
746	что жизнь	1	1
747	гораздо более	1	1
748	этом стремлении	1	1
749	должны его	1	1
750	только а	1	1
751	имеют в	1	1
752	сделана попытка	1	1
753	на этих	2	1
754	в стадии	1	1
755	жизни она	1	1
756	ю в	1	1
757	известных в	1	1
758	и притом	1	1
759	так было	1	1
760	не осуществляется	1	1
761	потому в	2	1
762	и жизнь	1	1
763	по характеру	2	1
764	должны в	1	1
765	и м	1	1
766	кульминационный пункт	1	1
767	к и	3	1
768	мысль и	1	1
769	родителей и	1	1
770	качестве исторической	1	1
771	смена эта	1	1
772	из мира	1	1
773	поиски и	1	1
774	этом смысле	1	1
775	недостаточно для	1	1
776	как известно	1	1
777	д а	3	1
778	укрепляется и	1	1
779	работы в	1	1
780	чтобы из	1	1
781	не входят	1	1
782	вовлечение в	1	1
783	значило бы	1	1
784	суждения об	1	1
785	сливаются в	1	1
786	сопоставлять с	1	1
787	у одних	1	1
788	являются ими	1	1
789	в судьбах	6	1
790	или все	1	1
791	от этой	1	1
792	загробное существование	1	1
793	основная задача	1	1
794	но чтобы	1	1
795	чтобы это	1	1
796	сравнении с	3	1
797	заключается в	3	1
798	любовь и	1	1
799	есть некоторая	1	1
800	экономическим и	1	1
801	из тех	1	1
802	и признаки	1	1
803	xi к	1	1
804	дело идет	1	1
805	в сравнении	3	1
806	ли они	1	1
807	вождей и	1	1
808	они ведут	1	1
809	который не	1	1
810	очень далеко	1	1
811	чем то	1	1
812	единства в	1	1
813	обстановке в	1	1
814	можно думать	1	1
815	должна в	1	1
816	ощущается как	1	1
817	в известном	1	1
818	же время	7	1
819	религия есть	1	1
820	нем в	1	1
821	историческом прошлом	1	1
822	к поздним	1	1
823	где бы	2	1
824	к началу	2	1
825	одних и	2	1
826	ли или	1	1
827	творчества они	1	1
828	должны здесь	1	1
829	мира но	1	1
830	что русская	1	1
831	с богом	1	1
832	если представить	1	1
833	и которая	1	1
834	глубоко в	1	1
835	основные черты	1	1
836	чем другие	1	1
837	имеют одновременно	1	1
838	значение которого	1	1
839	область где	1	1
840	и растет	1	1
841	только к	1	1
842	области и	1	1
843	так будет	1	1
844	до тех	1	1
845	церкви и	2	1
846	этом мире	1	1
847	скотоводства и	1	1
848	есть как	1	1
849	на пространстве	1	1
850	есть несколько	1	1
851	к обожествлению	1	1
852	котором говорит	1	1
853	два различных	1	1
854	которое в	2	1
855	тем чтобы	1	1
856	применительно к	1	1
