N	2gram	Propp_Russ	Tragedij
152	не просто	3	2
153	не случайно	2	2
154	только о	1	2
155	и ее	3	2
156	никогда не	1	2
157	ничего не	4	2
158	друг друга	3	2
159	любви и	1	2
160	в той	1	1
161	в особенности	3	1
162	все в	2	1
163	во всем	2	1
164	встреча не	1	1
165	он очень	1	1
166	от нее	1	1
167	от него	1	1
168	важнее для	1	1
169	всегда была	1	1
170	этом случае	9	1
171	могут быть	3	1
172	к сожалению	1	1
173	взгляд на	1	1
174	с последним	2	1
175	над ними	1	1
176	мы видим	2	1
177	что ему	2	1
178	нас другой	1	1
179	таким образом	10	1
180	по всем	3	1
181	был заимствован	1	1
182	и ненависть	1	1
183	после того	3	1
184	в петербурге	1	1
185	только что	1	1
186	это слова	1	1
187	также что	2	1
188	известно что	1	1
189	и эту	1	1
190	свидетельствует о	1	1
191	девочка в	1	1
192	на западе	2	1
193	того как	6	1
194	к этой	1	1
195	если он	1	1
196	богатые люди	1	1
197	и который	1	1
198	с одной	1	1
199	его с	4	1
200	должна быть	1	1
201	к себе	1	1
202	из сибири	6	1
203	с этой	2	1
204	и при	2	1
205	на столе	1	1
206	ко всему	2	1
207	в применении	1	1
208	к числу	2	1
209	это часто	1	1
210	что христос	1	1
211	что эта	1	1
212	т е	41	1
213	что при	2	1
214	с этими	1	1
215	того что	6	1
216	тем не	3	1
217	совершенно ином	1	1
218	не вызывает	1	1
219	не как	1	1
220	место где	1	1
221	не думает	1	1
222	а затем	5	1
223	для нас	12	1
224	может так	1	1
225	по-видимому не	1	1
226	и всегда	1	1
227	одно из	6	1
228	на одной	1	1
229	как он	2	1
230	же не	2	1
231	в виду	3	1
232	точности соответствует	1	1
233	и один	1	1
234	быть может	1	1
235	что наш	1	1
236	с собой	4	1
237	и теперь	1	1
238	на первую	2	1
239	только в	4	1
240	него нет	1	1
241	не столько	3	1
242	особое значение	1	1
243	хозяина и	1	1
244	особой силой	1	1
245	а на	8	1
246	и притом	1	1
247	не было	3	1
248	в духе	1	1
249	это должно	1	1
250	чтобы установить	1	1
251	но он	3	1
252	здесь мы	3	1
253	своей книге	1	1
254	с своими	1	1
255	ли мы	1	1
256	с наступлением	1	1
257	исходит от	1	1
258	вопросу об	1	1
259	вот что	1	1
260	а также	6	1
261	на улицу	2	1
262	в россии	4	1
263	только сам	1	1
264	тот кто	2	1
265	на нее	5	1
266	одним из	2	1
267	на себя	4	1
268	что не	1	1
269	теперь еще	1	1
270	нет он	1	1
271	именно в	3	1
272	игры в	2	1
273	далее следует	1	1
274	представление о	5	1
275	вообще не	1	1
276	iii эта	1	1
277	сходство с	3	1
278	детей и	3	1
279	тому что	4	1
280	в связи	4	1
281	является по	1	1
282	связан и	1	1
283	с ними	6	1
284	с такими	1	1
285	есть в	2	1
286	на земле	3	1
287	сливается с	1	1
288	в своей	1	1
289	рядом с	1	1
290	вместе с	16	1
291	на этом	6	1
292	оказалось что	1	1
293	при таком	1	1
294	стремление к	1	1
295	хорошо знает	1	1
296	не менее	3	1
297	и т	13	1
298	с криком	1	1
299	на все	3	1
300	на стол	4	1
301	и могут	1	1
302	в такой	1	1
303	и жизнь	1	1
304	но у	1	1
305	между собой	4	1
306	а нечто	1	1
307	в иной	1	1
308	в двух	2	1
309	это хорошо	1	1
310	вместе и	1	1
311	в чем	1	1
312	и способствует	1	1
313	к вам	5	1
314	и начинают	2	1
315	но мы	1	1
316	человеком и	1	1
317	а он	1	1
318	смысл этого	1	1
319	всему что	1	1
320	тогда как	4	1
321	могло бы	1	1
322	это самое	1	1
323	года и	1	1
324	начнем с	1	1
325	такая точка	1	1
326	а из	1	1
327	случае как	1	1
328	в них	10	1
329	на них	4	1
330	поле в	1	1
331	во всех	6	1
332	который он	1	1
333	говорится о	3	1
334	камень на	1	1
335	во всяком	1	1
336	и потому	3	1
337	это и	1	1
338	и дело	2	1
339	присмотреться к	1	1
340	до самой	1	1
341	никакой роли	1	1
342	он же	4	1
343	не является	2	1
344	а к	3	1
345	это как	1	1
346	и цель	1	1
347	в котором	2	1
348	ему в	1	1
349	не могли	1	1
350	применении к	1	1
351	которой он	1	1
352	на свои	1	1
353	эта связь	2	1
354	связи с	6	1
355	играют никакой	1	1
356	за все	2	1
357	iii и	2	1
358	стол все	1	1
359	она не	4	1
360	эти слова	1	1
361	этом мы	1	1
362	собой как	2	1
363	значение этого	1	1
364	того чтобы	6	1
365	на другой	2	1
366	таком виде	2	1
367	но не	7	1
368	в другом	1	1
369	между тем	9	1
370	представляет собой	5	1
371	быть не	1	1
372	общеизвестно что	1	1
373	и должна	2	1
374	в ней	3	1
375	вот почему	1	1
376	с совершенно	1	1
377	в сибири	4	1
378	был более	1	1
379	и чтобы	1	1
380	в новой	1	1
381	самом деле	1	1
382	из себя	1	1
383	этой связи	1	1
384	это по	1	1
385	в развитии	1	1
386	в которой	3	1
387	имеет целью	1	1
388	но может	1	1
389	а не	3	1
390	а за	4	1
391	а по	1	1
392	только на	4	1
393	и их	4	1
394	очень хорошо	1	1
395	и ненависти	1	1
396	в особую	1	1
397	есть и	2	1
398	же говорит	1	1
399	чтобы она	2	1
400	не могла	1	1
401	в селе	1	1
402	связь между	2	1
403	можно было	3	1
404	в форме	3	1
405	а между	1	1
406	тем и	4	1
407	себя на	1	1
408	содержала и	1	1
409	даже не	1	1
410	большое значение	1	1
411	в xix	13	1
412	не вполне	1	1
413	что ее	3	1
414	в истории	1	1
415	он есть	2	1
416	человека с	1	1
417	несколько раз	1	1
418	ту же	2	1
419	повод для	1	1
420	человека и	1	1
421	на всю	1	1
422	или как	1	1
423	не я	1	1
424	на смерть	2	1
425	должны были	3	1
426	в настоящей	1	1
427	всего этого	1	1
428	с другим	2	1
429	значение и	2	1
430	за этим	1	1
431	к ним	4	1
432	или вообще	3	1
433	и еще	2	1
434	т п	1	1
435	ту сторону	1	1
436	в точности	1	1
437	он в	1	1
438	к ней	4	1
439	как мы	11	1
440	со своими	1	1
441	у себя	1	1
442	и особенно	1	1
443	на две	3	1
444	и о	4	1
445	как некое	1	1
446	ее не	1	1
447	его как	2	1
448	и служит	1	1
449	наряду с	1	1
450	и др	4	1
451	подобной же	1	1
452	хлеб и	1	1
453	только по	2	1
454	считает что	2	1
455	не значит	2	1
456	во времена	1	1
457	на улице	1	1
458	слова в	3	1
459	и от	2	1
460	и есть	1	1
461	с которым	1	1
462	все время	1	1
463	объясняется тем	1	1
464	в общем	1	1
465	на этот	3	1
466	они сами	1	1
467	по улицам	4	1
468	что без	1	1
469	согласиться с	1	1
470	этого слова	3	1
471	например в	3	1
472	помещик в	1	1
473	в период	2	1
474	что именно	3	1
475	без которой	1	1
476	право на	2	1
477	но если	2	1
478	о своих	1	1
479	в литературе	1	1
480	до xx	1	1
481	в области	3	1
482	и по	10	1
483	нуждается в	1	1
484	что иногда	1	1
485	это в	1	1
486	в и	19	1
487	всяком случае	1	1
488	теперь уже	1	1
489	для чего	1	1
490	недостаточно чтобы	1	1
491	что сам	1	1
492	ее своей	1	1
493	к ее	1	1
494	свою рану	1	1
495	женщины на	1	1
496	и бьет	1	1
497	чтобы не	1	1
498	за счет	2	1
499	и наконец	2	1
500	он повторил	1	1
501	что на	5	1
502	вплоть до	4	1
503	с того	1	1
504	не к	3	1
505	в полночь	1	1
506	упоминается в	1	1
507	обратиться к	1	1
508	чем у	2	1
509	судя по	2	1
