N	2gram	Bakhtin_sl	OGranits
99	а как	3	2
100	в этом	21	2
101	и композиции	1	2
102	этой проблемы	1	2
103	об особой	1	2
104	в общем	1	2
105	данном случае	3	2
106	категорий но	1	2
107	героя и	5	2
108	на язык	2	2
109	человеческой речи	2	2
110	он только	1	2
111	в языке	7	2
112	с одной	7	2
113	мог бы	1	2
114	в течение	1	2
115	которое может	1	2
116	входит в	8	2
117	наконец в	5	2
118	и при	2	2
119	одной стороны	7	2
120	и должно	1	2
121	роль в	4	2
122	в другом	4	2
123	композиции в	1	2
124	при этом	12	2
125	несмотря на	2	2
126	между тем	5	2
127	для него	8	2
128	и стиль	2	2
129	речи не	2	2
130	только его	1	2
131	в этот	1	2
132	и тем	3	2
133	в руках	1	2
134	наиболее полно	1	2
135	с помощью	5	2
136	и может	4	2
137	смысле слова	2	2
138	те же	3	2
139	связанные с	7	2
140	не исчерпывается	3	2
141	в том	7	2
142	с этой	3	2
143	каждое слово	5	2
144	в отношении	9	2
145	но такое	1	2
146	чем же	1	2
147	конечно в	2	2
148	другой стороны	5	2
149	сознания и	1	2
150	не на	6	2
151	от этого	2	2
152	так же	2	2
153	в них	11	2
154	самого начала	1	2
155	а в	10	2
156	связанных с	4	2
157	если бы	1	2
158	мы понимаем	1	2
159	от всех	1	2
160	и делают	1	2
161	о языке	1	2
162	от своего	1	2
163	их внутренней	1	2
164	а также	5	2
165	еще в	1	2
166	в ней	7	2
167	с самого	1	2
168	литературное произведение	1	2
169	тем что	1	2
170	истории языка	1	2
171	лингвистики в	1	2
172	и др	17	2
173	языковых форм	2	2
174	могут быть	25	2
175	вовсе не	16	2
176	в действительности	1	2
177	же слово	3	2
178	приемов но	1	2
179	двух разных	1	2
180	его на	2	2
181	в связи	2	2
182	в зависимости	4	2
183	во всей	1	2
184	в высказываниях	1	2
185	с ними	8	2
186	материал в	2	2
187	все явления	1	2
188	говорить об	1	2
189	может стать	3	2
190	все эти	15	2
191	поэтического языка	4	2
192	с другой	8	2
193	как в	18	2
194	разрыв между	1	2
195	и внутренняя	1	2
196	не менее	4	2
197	нуждается в	3	2
198	и социально	1	2
199	там где	10	2
200	к предмету	4	2
201	том что	6	2
202	в нем	44	2
203	уже в	2	2
204	и следовательно	8	2
205	или иного	2	2
206	языка но	7	2
207	зависимости от	4	2
208	а не	29	2
209	в чем	2	2
210	в целом	3	2
211	в языковом	5	2
212	пути к	1	2
213	и ее	3	2
214	как индивидуальное	1	2
215	тот же	1	2
216	к тому	3	2
217	есть не	2	2
218	слова и	21	2
219	бы в	1	2
220	более того	5	2
221	в особенности	10	1
222	борьбы и	1	1
223	но у	1	1
224	его к	1	1
225	самое слово	2	1
226	науки о	2	1
227	в некоторых	3	1
228	системой языка	1	1
229	всего в	1	1
230	только одно	1	1
231	сведены к	1	1
232	и существенного	1	1
233	в категории	1	1
234	не дано	1	1
235	языка его	4	1
236	поэтическом стиле	1	1
237	поскольку она	1	1
238	как к	5	1
239	этого и	1	1
240	включенные в	1	1
241	момент как	1	1
242	речевых элементов	1	1
243	точное и	1	1
244	поэтическое произведение	1	1
245	языка в	21	1
246	проблема поэтического	1	1
247	произведения чтобы	1	1
248	принимая его	1	1
249	особенности и	1	1
250	находятся в	1	1
251	то он	1	1
252	выражение в	4	1
253	конкретного произведения	1	1
254	не зная	1	1
255	зрения и	4	1
256	для всех	2	1
257	находит свое	1	1
258	быть сведены	1	1
259	в данную	1	1
260	произведение и	1	1
261	и других	5	1
262	представителей этой	2	1
263	и он	1	1
264	до завершенного	1	1
265	один из	9	1
266	как ни	2	1
267	идеологической жизни	3	1
268	можно говорить	2	1
269	и здесь	5	1
270	и столь	1	1
271	реального языка	1	1
272	этого необходимо	1	1
273	что язык	2	1
274	явления как	1	1
275	выходит за	3	1
276	отличие от	13	1
277	в последнем	1	1
278	слово но	1	1
279	что мы	1	1
280	на этом	4	1
281	к слову	2	1
282	предмету но	1	1
283	они не	3	1
284	контекста и	1	1
285	ним мы	1	1
286	ведь в	1	1
287	языке и	3	1
288	на нем	2	1
289	автору и	1	1
290	не имеют	1	1
291	поэт не	1	1
292	пушкина или	1	1
293	о слове	7	1
294	ситуацию и	1	1
295	относятся все	1	1
296	даже и	4	1
297	сознания с	1	1
298	оторванные от	1	1
299	с единым	1	1
300	драматических диалогов	1	1
301	стиля в	2	1
302	которые не	1	1
303	или только	1	1
304	эта полнота	1	1
305	указать на	1	1
306	должно быть	3	1
307	того как	2	1
308	если он	1	1
309	моменты в	2	1
310	чужого языка	7	1
311	в самых	2	1
312	слову в	2	1
313	своего времени	1	1
314	о значении	1	1
315	и социальной	2	1
316	на том	2	1
317	такого рода	2	1
318	стилистики и	4	1
319	языковые особенности	1	1
320	высказывания и	3	1
321	эти слова	4	1
322	более или	5	1
323	может идти	1	1
324	узких пределах	1	1
325	потому что	2	1
326	в значительной	6	1
327	объекта в	1	1
328	сознания возможно	1	1
329	и остаются	1	1
330	языка от	1	1
331	но даже	1	1
332	того чтобы	1	1
333	и если	1	1
334	и место	1	1
335	учитывает и	1	1
336	же как	2	1
337	или иных	1	1
338	автора и	6	1
339	можно лишь	1	1
340	между отдельными	1	1
341	бы мы	1	1
342	и более	3	1
343	но такая	1	1
344	мы имеем	1	1
345	и у	2	1
346	не должно	3	1
347	также и	5	1
348	ту же	5	1
349	с миром	1	1
350	и речи	4	1
351	нем с	1	1
352	это и	1	1
353	для того	2	1
354	совсем не	1	1
355	тому что	2	1
356	узком смысле	13	1
357	пределах того	4	1
358	все то	2	1
359	и дает	1	1
360	и специфические	1	1
361	с одним	3	1
362	от произведения	1	1
363	поэтического сознания	1	1
364	есть его	1	1
365	быть не	1	1
366	его за	1	1
367	основные и	1	1
368	к новым	1	1
369	которых он	1	1
370	что всякий	1	1
371	он и	1	1
372	главное и	1	1
373	языке но	2	1
374	художественного слова	4	1
375	его и	5	1
376	ними и	1	1
377	близкий к	1	1
378	не всегда	1	1
379	в своем	9	1
380	в разных	3	1
381	наиболее устойчивых	1	1
382	или же	1	1
383	к истории	1	1
384	наблюдения над	2	1
385	осмысления и	2	1
386	речи и	4	1
387	особенностей и	1	1
388	этом отношении	2	1
389	однако этот	2	1
390	слово для	2	1
391	тем как	1	1
392	связей и	1	1
393	всегда задан	1	1
394	ни была	1	1
395	связанное с	1	1
396	время в	1	1
397	что при	1	1
398	с языком	4	1
399	язык с	1	1
400	место каждого	2	1
401	мысли и	1	1
402	тем не	2	1
403	в напряженном	1	1
404	и сквозь	1	1
405	слова этот	1	1
406	и языком	2	1
407	в другой	2	1
408	как это	3	1
409	в художественной	1	1
410	стиля не	2	1
411	и стилистические	2	1
412	синтаксическая конструкция	1	1
413	высказывание на	3	1
414	является лишь	3	1
415	вследствие этого	1	1
416	те или	4	1
417	данную эпоху	1	1
418	в свои	1	1
419	свою новую	1	1
420	что такое	1	1
421	монологического высказывания	1	1
422	входя в	4	1
423	мы все	2	1
424	то мы	1	1
425	с системой	1	1
426	только на	3	1
427	выйти за	1	1
428	и через	1	1
429	общения с	1	1
430	или иные	4	1
431	может лишь	2	1
432	в предшествующей	2	1
433	об этом	1	1
434	из существеннейших	5	1
435	вступает в	2	1
436	области поэтики	1	1
437	языковую жизнь	1	1
438	нужно сказать	1	1
439	переходит в	3	1
440	не приходится	2	1
441	автора остается	1	1
442	языка она	1	1
443	при наличии	1	1
444	в нескольких	1	1
445	процессе творчества	1	1
446	и что	2	1
447	и определяет	1	1
448	на самом	2	1
449	или иную	1	1
450	в различных	1	1
451	для них	2	1
452	и экспрессивную	2	1
453	и тот	1	1
454	пример такой	1	1
455	можно было	2	1
456	контекстами в	1	1
457	в этой	1	1
458	эпохи но	1	1
459	для данного	1	1
460	людей и	2	1
461	в широком	3	1
462	это слово	1	1
463	философия языка	3	1
464	борьба с	5	1
465	иметь в	1	1
466	с известным	1	1
467	в начале	1	1
468	во все	1	1
469	изучении художественного	1	1
470	в виду	2	1
471	иного конкретного	2	1
472	свое идеологическое	1	1
473	чем его	1	1
474	между языком	1	1
475	к другому	1	1
476	математических и	1	1
477	и до	2	1
478	системы и	2	1
479	сводится к	1	1
480	здесь уже	2	1
481	богатство и	1	1
482	с их	1	1
483	и есть	2	1
484	конечно не	7	1
485	в действительном	1	1
486	но это	3	1
487	и развивается	1	1
488	есть чисто	1	1
489	по себе	4	1
490	в истории	6	1
491	все равно	1	1
492	косвенной речи	2	1
493	по своей	2	1
494	же время	15	1
495	лишь как	3	1
496	в новых	2	1
497	лежит в	5	1
498	язык сплошь	1	1
499	что слово	1	1
500	и иных	6	1
501	контекстах может	1	1
502	его в	7	1
503	приходится выбирать	1	1
504	со всеми	3	1
505	человека и	3	1
506	то или	1	1
507	отметить что	3	1
508	на всю	3	1
509	или как	4	1
510	каждый из	1	1
511	а на	3	1
512	были рождены	1	1
513	работы и	2	1
514	выпадают из	1	1
515	самый предмет	1	1
516	связь с	2	1
517	а лишь	2	1
518	стиль и	2	1
519	или иное	1	1
520	и часто	7	1
521	сразу в	1	1
522	не было	4	1
523	связи с	4	1
524	не проникнет	1	1
525	этого процесса	1	1
526	ко всем	1	1
527	единая и	1	1
528	слове в	4	1
529	синтаксические и	1	1
530	же не	1	1
531	он весь	2	1
532	индивидуальное высказывание	1	1
533	этой точки	1	1
534	этого кругозора	1	1
535	как известно	1	1
536	жанра все	1	1
537	как свой	1	1
538	не знает	3	1
539	или в	10	1
540	не дан	1	1
541	в основе	8	1
542	собственном смысле	2	1
543	как мог	1	1
544	разрыва между	2	1
545	на то	2	1
546	ни о	2	1
547	этого произведения	1	1
548	и там	6	1
549	и глубоко	1	1
550	стиля есть	1	1
551	слова могут	4	1
552	речь в	2	1
553	среди них	1	1
554	и всякое	2	1
555	равно как	1	1
556	следовательно в	3	1
557	творческой работы	1	1
558	для осуществления	1	1
559	в отличие	12	1
560	смешения разных	1	1
561	и вне	3	1
562	произведение как	1	1
563	нет и	1	1
564	и превращается	1	1
565	заключается в	1	1
566	одним из	5	1
567	и чисто	5	1
568	жанров язык	1	1
569	отношение к	8	1
570	всего своего	1	1
571	преломления в	1	1
572	единству языка	1	1
573	остается устойчивым	1	1
574	весь этот	1	1
575	стилистики в	1	1
576	сказать что	4	1
577	менее всего	3	1
578	прямая речь	1	1
579	в социальное	1	1
580	понимании языка	1	1
581	и никогда	1	1
582	возможно только	1	1
583	темы в	2	1
584	речи в	5	1
585	разговорного языка	1	1
586	или менее	5	1
587	социологического подхода	1	1
588	она ни	1	1
589	или на	2	1
590	где нет	2	1
591	последнем счете	1	1
592	сознания но	1	1
593	возможности в	2	1
594	сознания нет	1	1
595	он говорит	1	1
596	систему и	1	1
597	выражения в	1	1
598	в конце	1	1
599	произведения и	2	1
600	его понимании	1	1
601	произведения не	2	1
602	в эстетической	1	1
603	наконец даже	2	1
604	одной из	4	1
605	за норму	1	1
606	и свободной	1	1
607	например в	6	1
608	в контексте	5	1
609	и философия	1	1
610	системы даже	1	1
611	слово не	3	1
612	его стилистического	1	1
613	и стилистики	3	1
614	время ощущается	1	1
615	стилей в	2	1
616	к этому	3	1
617	не знаем	3	1
618	в одной	2	1
619	долгое время	1	1
620	и как	3	1
621	всегда нуждается	1	1
622	же слова	1	1
623	в понимании	3	1
624	стороны оно	1	1
625	как о	2	1
626	в помощи	1	1
627	и язык	3	1
628	до конца	25	1
629	всякое высказывание	1	1
630	наиболее близкий	1	1
631	эти три	1	1
632	все время	4	1
633	что он	2	1
634	в узком	13	1
635	столь же	2	1
636	письменной речи	1	1
637	в собственном	2	1
638	в словесной	1	1
639	им и	1	1
640	синтаксической конструкции	1	1
641	язык во	1	1
642	что она	1	1
643	мы чувствуем	1	1
644	себя как	2	1
645	языкового сознания	10	1
646	или даже	5	1
647	всем своем	1	1
648	далеко не	7	1
649	поэта являются	1	1
650	и о	3	1
651	но что	1	1
652	бы быть	2	1
653	в мире	1	1
654	на который	1	1
655	вместе с	3	1
656	для понимания	3	1
657	данного языка	3	1
658	открытой форме	1	1
659	понимания и	1	1
660	одна из	6	1
661	на эту	1	1
662	и языка	5	1
663	и законченное	1	1
664	ощущаем в	2	1
665	этого слова	2	1
666	конечно для	1	1
667	единства литературного	1	1
668	смысловой и	1	1
669	слова есть	1	1
670	в которых	1	1
671	в открытой	2	1
672	но не	7	1
673	где она	1	1
674	так в	2	1
675	как стиль	1	1
676	постановка вопроса	1	1
677	как своеобразную	1	1
678	включает в	3	1
679	как замкнутое	1	1
680	в лирике	1	1
681	но если	1	1
682	одно из	1	1
683	с его	8	1
684	проникают в	1	1
685	при изучении	1	1
686	не актуализуется	1	1
687	на одном	1	1
688	себя и	2	1
689	оно может	3	1
690	очень трудно	2	1
691	особенности в	1	1
692	и стилистически	2	1
693	и синтаксической	1	1
694	тех или	1	1
695	языковой жизни	10	1
696	оценок поэтому	1	1
697	применяется к	1	1
698	системы общих	2	1
699	его роль	1	1
700	на всем	1	1
701	быть и	6	1
702	и связанных	2	1
703	в то	17	1
704	отбора и	1	1
705	и ценностных	2	1
706	а вовсе	4	1
707	один и	1	1
708	в действительной	1	1
709	стилистического анализа	2	1
710	о художественном	1	1
711	отнюдь не	1	1
712	и самый	2	1
713	только с	3	1
714	о которых	2	1
715	этой концепции	1	1
716	проблем стилистики	1	1
717	шаблонов и	1	1
718	может и	1	1
719	важное значение	1	1
720	и оно	2	1
721	в условиях	3	1
722	ведь и	1	1
723	в себя	3	1
724	системе языка	1	1
725	связанный с	1	1
726	в системе	2	1
727	или их	1	1
728	стилистика и	2	1
729	предшествующей главе	2	1
730	для этого	4	1
731	мы слышим	1	1
732	с ее	6	1
733	из него	4	1
734	не пытается	2	1
735	не из	2	1
736	и это	1	1
737	входящих в	1	1
738	в поэтическом	8	1
739	того же	7	1
740	из одного	2	1
741	в едином	2	1
742	его моментом	1	1
743	подхода к	5	1
744	в самой	1	1
745	в виде	4	1
746	только о	2	1
747	от него	5	1
748	например у	3	1
749	и ценностный	1	1
750	связанная с	2	1
751	здесь нет	1	1
752	как для	1	1
753	и становится	2	1
754	словами и	1	1
755	тенденциям и	1	1
756	иной характер	1	1
757	к нему	7	1
758	до его	1	1
759	не можем	1	1
760	их только	1	1
761	в чисто	4	1
762	как все	1	1
763	в синтаксической	1	1
764	тем более	1	1
765	него невозможно	1	1
766	формы и	3	1
767	особенно в	3	1
768	которая есть	1	1
769	не входит	1	1
770	строит свое	1	1
771	в несколько	1	1
772	слушателя и	5	1
773	внутренней речи	3	1
774	как из	1	1
775	он действительно	1	1
776	его можно	1	1
777	следовательно не	1	1
778	на материале	2	1
779	себе а	1	1
780	широко пользуется	1	1
781	на все	3	1
782	и особенно	2	1
783	еще не	9	1
784	ценностный кругозор	1	1
785	лео шпицер	1	1
786	и падения	1	1
787	осуществляются в	1	1
