N	2gram	Vinokur_Ku	UchenyiS
360	в качестве	12	1
361	осталось бы	1	1
362	о котором	4	1
363	учителя и	1	1
364	пишет в	1	1
365	в нем	7	1
366	явления стиля	1	1
367	именно этот	3	1
368	эмоциональную и	1	1
369	он не	4	1
370	содержания и	2	1
371	независимо от	1	1
372	может служить	4	1
373	и своеобразным	1	1
374	всего лишь	3	1
375	поскольку он	1	1
376	все что	1	1
377	термина не	1	1
378	и слово	1	1
379	ему приходится	2	1
380	на его	3	1
381	и что	11	1
382	в известном	2	1
383	одно из	3	1
384	что для	3	1
385	и это	3	1
386	методом и	1	1
387	в различных	1	1
388	с одной	3	1
389	он был	1	1
390	получают свое	1	1
391	в первую	5	1
392	на своем	1	1
393	и делает	1	1
394	тут мы	1	1
395	должно быть	6	1
396	случае он	1	1
397	до крайности	1	1
398	об этом	4	1
399	сторону от	2	1
400	точно и	1	1
401	явно преувеличивает	1	1
402	в виду	7	1
403	само по	6	1
404	широком смысле	5	1
405	или менее	3	1
406	пушкина но	1	1
407	невозможна без	1	1
408	в пределах	8	1
409	нужно будет	1	1
410	тот же	7	1
411	уже не	13	1
412	и вне	1	1
413	научного мышления	1	1
414	у других	1	1
415	о том	10	1
416	тем сам	1	1
417	не то	1	1
418	по его	1	1
419	конкретную жизнь	1	1
420	далеко не	2	1
421	тем более	2	1
422	и лингвистической	1	1
423	к проблемам	1	1
424	формы как	1	1
425	литературы как	1	1
426	того что	11	1
427	что еще	1	1
428	определяется не	1	1
429	у него	3	1
430	в словах	1	1
431	друг другу	1	1
432	явно недостаточно	1	1
433	нового в	1	1
434	слово как	1	1
435	в котором	4	1
436	резких и	1	1
437	этого изучения	1	1
438	языковых фактов	1	1
439	доказывает что	2	1
440	бы в	8	1
441	которых слово	1	1
442	в виде	1	1
443	той же	5	1
444	приводит к	3	1
445	стихи маяковского	1	1
446	никогда не	2	1
447	убедительно в	1	1
