N	2gram	Potebnia_M	SlovoVZh
432	в одном	13	1
433	в области	1	1
434	одно из	5	1
435	у нас	3	1
436	на которой	1	1
437	что каждый	1	1
438	взаимного отношения	1	1
439	слова которая	1	1
440	переходить в	1	1
441	отказывается от	1	1
442	можно было	1	1
443	творчества с	1	1
444	для их	2	1
445	и делает	1	1
446	бы они	2	1
447	а между	5	1
448	же не	2	1
449	в результате	1	1
450	к делу	1	1
451	определяется тем	1	1
452	и это	3	1
453	мы таким	1	1
454	стороны его	1	1
455	как нечто	1	1
456	ни были	3	1
457	множественного числа	1	1
458	но чтобы	1	1
459	для них	2	1
460	в игру	1	1
461	более и	2	1
462	значительной степени	3	1
463	по мере	10	1
464	этом смысле	4	1
465	подобно тому	7	1
466	и тот	1	1
467	том и	2	1
468	природу и	2	1
469	далеко не	4	1
470	только то	3	1
471	слова не	2	1
472	и которые	3	1
473	уже и	2	1
474	не вполне	1	1
475	у него	3	1
476	без того	1	1
477	так не	1	1
478	не на	3	1
479	в истории	8	1
480	не могут	10	1
481	все равно	1	1
482	что например	5	1
483	по мнению	4	1
484	же время	4	1
485	не существует	2	1
486	говорить и	1	1
487	при помощи	2	1
488	в виде	1	1
489	знания и	1	1
490	свое значение	1	1
491	из одного	3	1
492	там же	9	1
493	совершенно ясно	1	1
494	тот не	1	1
495	и независимо	2	1
496	этом основании	2	1
497	самого начала	5	1
498	в большинстве	1	1
499	свою очередь	8	1
500	этой группы	1	1
501	другая сторона	1	1
502	предполагает в	2	1
503	не было	7	1
504	когда мы	4	1
505	как например	4	1
506	связи с	6	1
507	не совпадает	1	1
508	химические тела	1	1
509	им в	1	1
510	связанных с	1	1
511	сами по	8	1
512	более или	6	1
513	связь слова	1	1
514	бы по	1	1
515	между людьми	2	1
516	он имеет	1	1
517	все то	2	1
518	рассматривать как	1	1
519	то общее	1	1
520	с ее	2	1
521	время как	2	1
522	того кто	2	1
523	мы понимаем	1	1
524	было бы	21	1
525	в следующее	1	1
526	словах и	1	1
527	к тому	5	1
528	слова должно	1	1
529	и общего	1	1
530	нами и	1	1
531	так называемую	1	1
532	в следующий	1	1
533	смысл слова	1	1
534	с так	3	1
535	что можно	3	1
536	наблюдений над	1	1
537	подумать что	1	1
538	с таким	3	1
539	так относится	1	1
540	себя однако	1	1
541	из нее	2	1
542	что здесь	1	1
543	равно как	1	1
544	само слово	2	1
545	существуют для	1	1
546	существуют и	1	1
547	и мы	1	1
548	своим содержанием	1	1
549	не нуждается	2	1
550	и степень	1	1
551	как мы	3	1
552	с такою	2	1
553	что она	3	1
554	бытия и	3	1
555	и о	3	1
556	слова с	2	1
557	на который	1	1
558	показать что	1	1
559	этого нельзя	1	1
560	как его	1	1
561	что для	5	1
562	с первого	1	1
563	если мы	5	1
564	он будет	1	1
565	тем же	4	1
566	но есть	1	1
567	представлять себе	1	1
568	нем но	1	1
569	и во	6	1
570	именно в	2	1
571	и таким	1	1
572	то время	3	1
573	но эта	1	1
574	к другим	3	1
575	не можем	5	1
576	в таком	7	1
577	оно стало	1	1
578	обратимся к	1	1
579	формы в	1	1
580	этого развития	2	1
581	следующим образом	1	1
582	например в	4	1
583	речь и	2	1
584	сама по	4	1
585	что я	2	1
586	форма и	1	1
587	само собою	4	1
588	только там	1	1
589	тот же	5	1
590	относятся к	2	1
591	к которому	5	1
592	может получить	1	1
593	обойтись без	1	1
594	время не	1	1
595	человек и	1	1
596	с которой	1	1
597	во внутренней	3	1
598	и без	4	1
599	теперь когда	1	1
600	же оно	1	1
601	отношения в	1	1
602	что все	4	1
603	то она	3	1
604	вопросов о	1	1
605	сможем найти	1	1
606	требования и	1	1
607	себе не	3	1
608	столь же	6	1
609	том же	3	1
610	в общем	1	1
611	при более	1	1
612	если нам	1	1
613	есть в	4	1
614	же как	1	1
615	или даже	3	1
616	к пониманию	1	1
617	рядом с	3	1
618	из его	1	1
619	при чтении	1	1
620	и прежде	1	1
621	зная этого	1	1
622	непосредственно сливается	1	1
623	выйти из	2	1
624	в слове	21	1
625	свои слова	1	1
626	слова из	1	1
627	как будто	2	1
628	что именно	2	1
629	есть только	16	1
630	человека или	1	1
631	противном случае	3	1
632	они как	1	1
633	дальше и	1	1
634	ровно ничего	1	1
635	и всякого	1	1
636	но если	4	1
637	имеет и	1	1
638	они не	5	1
639	и понимания	10	1
640	видит только	2	1
641	в словах	6	1
642	при таком	5	1
643	могли только	1	1
644	человека для	1	1
645	на себя	1	1
646	слова как	1	1
647	все более	3	1
648	зрения и	7	1
649	чем мы	1	1
650	материала это	1	1
651	и внешней	1	1
652	и только	6	1
653	один и	1	1
654	явлениями и	1	1
655	чувства в	5	1
656	можно сравнить	1	1
657	по своей	2	1
658	убедиться в	1	1
659	может и	1	1
660	отрешиться от	1	1
661	и оно	1	1
662	случае по	1	1
663	друг друга	6	1
664	значения не	1	1
665	но уже	2	1
666	себе как	1	1
667	для этого	2	1
668	и искусство	1	1
669	как явление	1	1
670	не из	3	1
671	если она	1	1
672	себе и	2	1
673	чтобы убедиться	2	1
674	в смысле	4	1
675	внутренней и	1	1
676	не всегда	2	1
677	на их	2	1
678	слов и	5	1
679	чтобы не	3	1
680	она как	1	1
681	и целых	1	1
682	в одной	2	1
683	в целом	3	1
684	нам кажется	2	1
685	единство и	1	1
686	ничего общего	3	1
687	в лице	1	1
688	себя в	1	1
689	крайней мере	6	1
690	или менее	6	1
691	др и	1	1
692	имеет дело	2	1
693	вовсе не	13	1
694	на другие	1	1
695	другого и	1	1
696	думать что	6	1
697	в так	1	1
698	в пространстве	1	1
699	не то	3	1
700	я и	1	1
701	имеют общего	1	1
702	тем более	2	1
703	по крайней	6	1
704	что до	2	1
705	не найдем	1	1
706	мы видели	5	1
707	перед нами	1	1
708	чем более	3	1
709	бы это	1	1
710	непосредственное выражение	1	1
711	всяком случае	7	1
712	которые в	1	1
713	только для	7	1
714	на них	1	1
715	высшей степени	1	1
716	с этих	1	1
