N	2gram	Savitsky_E	TeoriaLi
521	на себе	1	1
522	бы в	2	1
523	войны и	2	1
524	на них	2	1
525	людей в	1	1
526	же как	5	1
527	которое существует	2	1
528	к настоящему	3	1
529	том случае	1	1
530	полной мере	1	1
531	перед тем	1	1
532	только к	2	1
533	в полной	4	1
534	в своих	2	1
535	не означает	2	1
536	эти последние	2	1
537	случае если	1	1
538	в лучшем	1	1
539	если воспринимать	1	1
540	если не	1	1
541	она не	2	1
542	эти два	1	1
543	не дает	3	1
544	ту же	1	1
545	с совершенно	1	1
546	не более	3	1
547	это случается	1	1
548	чтобы такой	1	1
549	или же	1	1
550	а блок	1	1
551	в развитии	2	1
552	именно потому	2	1
553	бы они	1	1
554	мы обнаруживаем	1	1
555	и их	1	1
556	другим в	1	1
557	в последние	6	1
558	можно было	3	1
559	отношений между	2	1
560	заключает в	3	1
561	даже при	2	1
562	стороны и	6	1
563	лежат в	4	1
564	также и	7	1
565	этих случаях	1	1
566	то или	1	1
567	или иное	1	1
568	означает что	1	1
569	когда мы	1	1
570	было бы	8	1
571	а тем	2	1
572	он в	1	1
573	так называемый	1	1
574	как мы	5	1
575	одного из	1	1
576	что для	1	1
577	и каждая	2	1
578	та или	1	1
579	другой своей	1	1
580	которые в	1	1
581	как столь	1	1
582	свести к	1	1
583	и от	3	1
584	по этому	1	1
585	с которым	1	1
586	творчества что	1	1
587	же в	2	1
588	бытия и	1	1
589	по средней	2	1
590	ближайшего к	1	1
591	происходит в	2	1
592	на территории	1	1
593	на то	6	1
594	бы ни	3	1
595	степени и	1	1
596	и только	3	1
597	независимо от	4	1
598	лучшем случае	1	1
599	для этого	1	1
600	традиции как	1	1
601	или точнее	2	1
602	каждого из	1	1
603	настоящего времени	1	1
604	их отношении	3	1
605	возможность которого	1	1
606	в известной	3	1
607	есть не	2	1
608	жизнью и	1	1
609	кажется что	2	1
610	более того	1	1
